製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,04/23 18:02:45,04/23 18:02:45,04/23 18:02:45,
サンプリング周波数,200,200,200,
シーケンス数,10097,10097,10096,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00805017,-0.02801558,-0.00878872,
3,-0.05571113,-0.02604612,-0.05073824,
4,-0.03862606,-0.03788751,-0.03673045,
5,0.03500717,-0.01149673,-0.00635151,
6,0.00928109,-0.00536678,-0.00977345,
7,-0.01147211,0.00130477,0.02343659,
8,0.01211219,0.00288034,0.03227454,
9,0.0179221,-0.03321004,-0.08609007,
10,0.00992116,0.0010832,-0.03082207,
11,0.00937956,0.00667155,-0.01738049,
12,0.02045778,0.08970896,-0.00548987,
13,-0.00162481,-0.04753787,-0.00871487,
14,-0.00706544,-0.02907417,0.01363852,
15,-0.0022895,-0.02144251,0.00864101,
16,0.00118168,-0.01036429,-0.0187345,
17,-0.04921191,-0.02959115,0.04672547,
18,0.02799097,-0.01351543,-0.02828639,
19,-0.0020187,-0.01297383,-0.00785323,
20,-0.00059084,-0.00773013,-0.00366812,
21,0.00846868,0.01930072,-0.00563758,
22,-0.0121368,0.03321004,-0.0062038,
23,-0.00462823,-0.03591805,0.00352041,
24,0.01580493,-0.00920723,0.00130477,
25,0.010512,0.0252091,-0.00241259,
26,0.00450514,0.00955189,0.00004924,
27,-0.00096011,-0.0149679,0.00214179,
28,0.00103397,-0.00635151,-0.00514522,
29,0.00896105,-0.00177252,-0.01117669,
30,0.01011811,0.03771518,-0.00386507,
31,0.00359427,-0.0102412,0.00009847,
32,-0.00167404,-0.01413088,-0.00428358,
33,0.00066469,0.0159034,-0.00507136,
34,-0.00253568,-0.01430321,-0.00032004,
35,-0.02759707,-0.04094017,-0.015091,
36,-0.03527797,-0.05800063,-0.01216142,
37,0.03823216,0.04441135,-0.0067454,
38,0.03485946,0.01543565,-0.01457401,
