製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,04/23 18:37:44,04/23 18:37:44,04/23 18:37:44,
サンプリング周波数,200,200,200,
シーケンス数,8843,8843,8843,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.03786289,0.00302805,-0.01041353,
3,0.01319539,0.00046775,-0.00637613,
4,-0.0020187,-0.01767591,-0.00489903,
5,0.0148202,0.00871487,-0.0039143,
6,0.02063011,0.01942381,-0.00644999,
7,0.00034466,-0.00992116,-0.00076317,
8,-0.0022895,-0.00598224,-0.00694235,
9,0.00376659,-0.01004425,0.00696697,
10,0.00167404,-0.00384045,0.00019695,
11,0.00952727,-0.00494827,-0.00177252,
12,-0.01425398,-0.01619882,0.00428358,
13,-0.01740511,-0.00832097,-0.00243721,
14,0.00371736,-0.03050203,-0.00571144,
15,-0.00169866,-0.00672079,-0.00260954,
16,0.00324961,-0.01016734,0.00096011,
17,0.01398317,-0.00071393,-0.00216641,
18,0.01762668,-0.00374198,0.00785323,
19,0.01558336,0.02028545,0.00630228,
20,0.00709006,-0.02016236,0.00113244,
21,0.01733126,0.02779402,0.01075818,
22,-0.015091,-0.02503677,0.00342194,
23,-0.01006887,-0.02028545,0.00157557,
24,-0.00438205,-0.01368775,0.00113244,
25,0.00462823,-0.00300343,-0.00177252,
26,0.0087641,0.01952228,-0.00096011,
27,0.00396354,-0.02927112,-0.0036435,
28,-0.00881334,-0.02565223,0.00142786,
29,0.00039389,-0.00428358,-0.00002462,
30,-0.00096011,-0.01065971,0.0017479,
31,0.00630228,-0.00669617,-0.00214179,
32,0.00120629,-0.00214179,0.0031019,
33,0.00568682,-0.00709006,0.00379121,
34,-0.00635151,-0.03345622,-0.00617918,
35,-0.00617918,0.00285572,-0.00502213,
36,0.01565722,0.01905454,0.00548987,
37,-0.0133431,-0.03540106,0.00881334,
38,-0.01912839,-0.08146184,0.00041851,
39,-0.00157557,-0.02390433,0.00901028,
40,0.00610533,0.0144263,0.00509598,
41,-0.00487442,-0.01696198,0.00718853,
42,-0.0079517,-0.02444594,0.00809941,
43,0.00022156,-0.00654846,0.00654846,
44,0.0130723,0.05017202,0.00573606,
45,0.03136367,0.08746869,0.0094288,
46,-0.00411125,-0.00866563,-0.00396354,
47,-0.01548489,-0.07720288,-0.00396354,
