製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,04/23 18:26:47,04/23 18:26:47,04/23 18:26:47,
サンプリング周波数,200,200,200,
シーケンス数,7084,7084,7084,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.05605579,0.00472671,-0.00583453,
3,0.04005392,-0.00125553,-0.01560798,
4,0.04608539,0.016445,-0.00366812,
5,0.00088626,-0.04155563,-0.00982269,
6,-0.00637613,-0.0153618,-0.0005416,
7,-0.02198411,-0.00290496,0.00507136,
8,-0.15155004,-0.01528794,0.02853257,
9,0.10502152,-0.00305266,0.0062038,
10,0.13387412,0.01693737,-0.03106825,
11,0.0531016,0.0033727,0.06410596,
12,0.00140324,-0.00076317,0.13520351,
13,-0.00709006,0.00915799,-0.09596199,
14,-0.02764631,-0.01558336,-0.05905922,
15,-0.10275664,-0.01450016,-0.03404706,
16,0.08663167,-0.01890683,-0.02346121,
17,0.01555874,-0.00544064,-0.00487442,
18,-0.14362295,-0.00162481,0.06115177,
19,0.11846309,-0.03611499,-0.07712902,
20,0.03700125,-0.02343659,-0.02900032,
21,-0.07358399,-0.00583453,-0.00290496,
22,-0.0955681,-0.00231412,-0.00758243,
23,0.06405672,0.00832097,0.09389406,
24,0.11998942,0.0138847,-0.04438673,
25,0.01201371,-0.005933,-0.01762668,
26,-0.00585915,-0.01925148,-0.0096996,
27,-0.00580991,-0.00300343,-0.00728701,
28,-0.00709006,0.02223029,-0.01757744,
29,-0.00273263,0.02429823,-0.00462823,
30,-0.02956654,-0.02648925,0.00435743,
31,-0.14564165,-0.01346619,0.00731162,
32,0.0531016,-0.02959115,0.03510564,
33,0.01462325,0.00630228,0.03062512,
34,0.02993581,0.05019664,0.03279153,
35,-0.24517329,-0.06984202,-0.05039359,
36,0.13606515,-0.0490642,0.00790246,
37,0.05253538,-0.03727205,-0.03333313,
38,0.09630665,-0.00132939,-0.06747866,
39,-0.04551917,-0.00408663,-0.02422437,
40,0.04069399,0.06767561,0.08749331,
41,0.00548987,-0.06792179,-0.05844376,
42,0.00428358,-0.01161982,0.02003927,
43,-0.01445092,-0.00214179,-0.01302306,
44,-0.05561266,0.00945341,-0.04175258,
45,0.0357211,-0.00100935,-0.00002462,
46,-0.01139826,-0.02119633,-0.004579,
47,-0.10411064,0.00068931,0.01112746,
48,0.04261422,0.02651387,0.04549455,
49,0.00718853,-0.0423188,-0.02762169,
50,-0.21888099,-0.02552914,0.00514522,
51,-0.15371644,-0.03983235,0.00354503,
52,0.01811904,-0.03761671,0.00179713,
53,0.40725995,0.00667155,-0.0068685,
54,0.02690776,0.07331319,0.00869025,
55,0.01861141,0.04928577,0.01740511,
56,0.01479558,0.03759209,0.02900032,
57,-0.01499252,-0.02082705,-0.00955189,
58,-0.01912839,-0.031536,-0.0002708,
59,-0.03887224,-0.00524369,0.04153101,
60,-0.00950265,-0.01863603,-0.01607573,
61,-0.04999969,0.02656311,0.03537645,
62,0.05696666,-0.00630228,0.06292428,
63,0.00805017,0.00595762,-0.06198879,
64,-0.00731162,-0.00999502,-0.01607573,
65,-0.12922127,-0.01742973,0.00034466,
66,-0.19244097,-0.04118636,0.08264351,
67,0.12513464,-0.03847835,0.04766096,
68,0.02444594,-0.00448052,-0.05861609,
69,0.01260455,0.00974883,-0.02223029,
70,0.08466221,0.01139826,0.10686789,
71,0.01245684,0.00716391,-0.12424838,
72,-0.03133905,0.00288034,-0.04423902,
73,0.0122599,-0.00214179,-0.01523871,
74,0.00462823,-0.01339234,-0.00908414,
75,0.00521907,0.02242724,-0.0008124,
76,0.00236335,-0.00004924,0.00918261,
77,-0.0349087,-0.00637613,0.00007385,
78,0.05829605,-0.01115207,0.00595762,
79,-0.021024,-0.01420474,-0.00088626,
80,-0.08192958,-0.01257993,-0.00078778,
81,-0.18215054,-0.01080742,0.03613961,
82,0.15494736,-0.01238299,0.01289997,
83,0.08746869,-0.01984232,0.01006887,
84,0.01430321,-0.01356466,-0.00699159,
85,0.01393394,0.00128015,-0.00118168,
86,0.01006887,0.00891181,0.01110284,
87,-0.01654347,0.00524369,0.16422844,
88,-0.08914274,-0.01491867,-0.05105828,
89,0.09492803,-0.00563758,-0.0669863,
90,0.00032004,0.02552914,-0.02981272,
91,0.00445591,0.02432285,-0.01782362,
92,0.0064746,0.00435743,-0.00339732,
93,-0.00292957,-0.02550452,0.00189561,
94,-0.02186102,-0.01989156,0.00561296,
95,-0.00711468,-0.02434746,0.00155095,
96,-0.00071393,-0.01322001,-0.00563758,
97,-0.01555874,-0.01257993,-0.00078778,
98,-0.00588377,0.0229196,-0.00519445,
99,-0.20135278,-0.00925647,-0.00290496,
100,-0.06063478,-0.01779901,0.03808445,
101,0.11870927,-0.02262418,-0.01174291,
102,-0.12983673,-0.00846868,-0.00585915,
103,0.15603056,0.00105859,0.06181646,
104,-0.06715863,0.00059084,-0.02936959,
105,0.11787225,-0.00546525,-0.03621347,
106,-0.00297881,-0.01349081,-0.03239764,
107,-0.212431,0.00155095,0.00142786,
108,0.12693177,-0.00354503,0.00546525,
109,-0.10876349,0.01381085,0.03709972,
110,-0.01319539,0.00140324,-0.03456404,
111,0.18091962,0.00854254,-0.01893145,
112,0.00945341,-0.01486943,-0.02230415,
113,-0.08404675,-0.00733624,0.00130477,
114,0.04657776,-0.00748395,-0.0025603,
115,-0.03178218,0.01358928,0.00928109,
116,0.02712933,0.02085167,-0.01191524,
117,-0.02875413,-0.01322001,-0.00162481,
118,-0.02626769,-0.01866064,-0.00388969,
119,-0.05536648,0.01639576,-0.00088626,
120,0.08901964,-0.03106825,-0.00605609,
121,0.09143223,-0.00051698,-0.01767591,
122,-0.02808944,-0.0277694,-0.01713431,
123,-0.03185603,0.00140324,-0.02127018,
124,-0.09660207,-0.03050203,0.03879838,
125,0.13473576,-0.02038392,-0.03047741,
126,0.06336741,-0.01043814,-0.03394859,
127,0.01853755,0.00827174,-0.01198909,
128,0.0068685,0.03047741,-0.0051206,
129,0.01134902,0.02754784,-0.00546525,
130,-0.0814126,-0.01445092,-0.00083702,
131,0.02725242,-0.02599689,0.00428358,
132,-0.21031383,-0.02419975,-0.00103397,
133,0.06989125,-0.04593768,0.00224026,
134,0.09702058,-0.00563758,-0.01260455,
135,0.02666158,0.01548489,-0.00571144,
136,-0.02796635,0.00982269,0.00438205,
137,0.01713431,-0.02139327,-0.00470209,
138,-0.02058087,0.00642537,0.00044313,
139,0.049335,0.0200885,-0.00113244,
140,-0.05733594,0.02033469,0.00352041,
141,0.03522874,-0.0306005,0.01176753,
142,-0.07735059,-0.02011312,-0.00091088,
143,0.0754796,-0.01701122,0.00374198,
144,-0.07365785,-0.00064007,-0.00598224,
145,0.08759178,0.04039857,-0.00105859,
146,0.00989654,-0.01331848,-0.00933032,
147,0.0243967,-0.03842911,-0.00805017,
148,-0.00605609,-0.00263415,-0.01432783,
149,-0.00952727,-0.00585915,0.05758212,
150,-0.01198909,0.0005416,-0.02095014,
151,-0.074938,0.02863104,-0.01905454,
152,0.00925647,0.02262418,-0.01221066,
153,0.01445092,-0.01080742,-0.00145248,
154,0.01605111,-0.0138847,-0.00388969,
155,0.0207532,-0.02525834,-0.00192022,
156,-0.00071393,-0.00573606,-0.00723777,
157,0.00103397,-0.00371736,0.00192022,
158,-0.04916267,-0.00625304,0.00723777,
159,-0.09886695,0.01004425,0.015091,
160,0.10566159,-0.01664195,0.00083702,
161,0.01836523,-0.010512,-0.00758243,
162,0.02294422,0.01344157,-0.0020187,
163,0.00315114,0.01176753,-0.00452976,
164,-0.04482986,0.03958617,-0.004579,
165,-0.01533718,-0.02392895,0.00297881,
166,-0.02405204,-0.02311655,-0.00494827,
167,0.04682394,-0.03761671,-0.00487442,
168,0.00366812,-0.00699159,-0.00140324,
169,0.02161484,0.02700624,0.01048738,
170,0.00044313,-0.0146971,0.0306005,
171,0.06398287,-0.03293924,-0.02070396,
172,-0.05425865,-0.01934996,-0.02693238,
173,-0.00327423,0.01651886,-0.00785323,
174,0.03067436,-0.0093057,-0.0022895,
175,0.0172574,-0.00438205,-0.01568183,
176,-0.04276193,0.00260954,-0.00736086,
177,-0.00937956,0.00342194,-0.00216641,
178,0.05398785,-0.01824213,-0.01238299,
179,-0.01349081,0.00374198,0.00819788,
180,-0.07203304,-0.0179221,0.01100436,
181,0.07038362,0.00128015,0.00630228,
182,0.03771518,0.02072858,0.01450016,
183,0.0031019,0.01422936,0.0122599,
184,-0.02250109,-0.02971425,0.01742973,
185,0.02205796,-0.01006887,-0.0257507,
186,-0.12587319,-0.01866064,-0.01890683,
187,0.0536432,-0.00893643,-0.01878374,
188,0.00805017,0.0130723,0.03128981,
189,0.02146713,-0.01814366,0.00105859,
190,0.01521409,-0.04561764,-0.03045279,
191,0.0146971,-0.00435743,-0.03687816,
192,-0.02442132,0.00733624,-0.00854254,
193,0.03192989,-0.01275226,-0.00051698,
194,0.01979308,-0.00029542,-0.00315114,
195,0.00827174,0.01260455,-0.0246675,
196,-0.01986694,0.01553412,0.16078188,
197,0.10088565,-0.00918261,0.05396324,
198,-0.02515987,-0.01326924,-0.0774983,
199,-0.05595731,0.0096996,-0.04190029,
200,0.12338674,0.00398816,0.02139327,
201,0.00915799,-0.0121368,-0.06974354,
202,0.00864101,0.02451979,0.01642038,
203,0.00918261,0.0161742,-0.02644002,
204,0.00839483,-0.00679464,0.14766035,
205,-0.00585915,-0.02821253,0.04436211,
206,-0.00718853,-0.01715893,-0.08919197,
207,0.00526831,-0.00657308,-0.12781803,
208,0.00777937,0.00142786,-0.04027548,
209,0.00157557,-0.0074101,0.05088595,
210,0.01053662,0.00273263,-0.00568682,
211,0.00635151,0.00194484,0.02850795,
212,0.00194484,0.00376659,0.01363852,
213,-0.0008124,0.00755781,0.0536432,
214,0.01302306,0.00044313,0.00856716,
215,0.00305266,-0.00408663,-0.0334316,
216,0.0167158,0.02717856,-0.03256996,
217,-0.00558835,-0.02380586,0.01558336,
218,0.00558835,-0.00521907,0.06504145,
219,0.0025603,-0.00297881,-0.05324931,
220,0.05644968,0.00839483,0.01257993,
221,-0.05672048,-0.011866,-0.01888221,
222,0.02663696,0.00475133,-0.02631692,
223,-0.00950265,-0.02762169,-0.00265877,
224,0.03330851,-0.02383048,0.01915301,
