製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 10:50:50,06/17 10:50:50,06/17 10:50:50,
サンプリング周波数,200,200,200,
シーケンス数,5964,5964,5964,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01299844,-0.00438205,0.16698569,
3,-0.00155095,-0.00157557,0.6025074,
4,0.00103397,0.00632689,0.61316711,
5,0.00398816,-0.02353506,0.08978281,
6,-0.0074101,-0.01075818,0.10913277,
7,0.00150171,-0.00576067,0.39891435,
8,-0.02779402,-0.01122593,0.03451481,
9,0.02828639,-0.02616921,-0.80669128,
10,-0.02914802,0.00829636,-0.09418948,
11,0.00709006,0.01398317,-0.11949705,
12,0.01826675,-0.02223029,-0.58108951,
13,0.00285572,-0.0221072,-0.80669128,
14,-0.00605609,-0.00268339,-0.80669128,
15,0.03168371,-0.00544064,0.35359213,
16,0.00704082,-0.0082225,0.21585294,
17,0.00723777,-0.0005416,-0.06649393,
18,0.01558336,-0.01787286,-0.11843847,
19,-0.02395357,-0.00179713,-0.52948963,
20,-0.02284575,-0.00411125,0.80666667,
21,-0.004579,-0.00004924,0.57232541,
22,0.01265379,-0.00305266,0.45140049,
23,-0.01117669,0.00324961,0.80302316,
24,-0.00733624,0.01395856,0.10159958,
25,-0.02195949,-0.0076809,0.80666667,
26,0.03451481,-0.01531256,0.80666667,
27,-0.00945341,-0.02459365,0.80666667,
28,-0.00064007,-0.0094288,0.80592812,
29,0.00563758,-0.00612995,-0.23660614,
30,0.00137862,-0.00376659,0.80666667,
31,-0.00994578,-0.00509598,0.80666667,
32,-0.00780399,-0.00644999,0.80666667,
33,0.02099938,-0.00401278,0.28823064,
34,-0.01297383,-0.0031019,-0.44982493,
35,-0.00610533,0.00657308,0.80666667,
36,0.0022895,0.00004924,0.80666667,
37,0.01011811,-0.00782861,0.40130233,
