製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 11:18:17,06/17 11:18:17,06/17 11:18:17,
サンプリング周波数,200,200,200,
シーケンス数,6128,6128,6126,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.0033727,-0.01287535,-0.17991028,
3,-0.01041353,-0.01344157,-0.30314931,
4,-0.00152633,-0.01664195,-0.32855536,
5,-0.02651387,-0.01413088,-0.19157933,
6,-0.00482518,-0.01142287,-0.17907325,
7,0.01565722,-0.01838984,-0.3379103,
8,0.00433281,0.00120629,-0.31735405,
9,0.00071393,-0.01491867,-0.80669128,
10,0.01287535,-0.00669617,0.04212185,
11,0.0051206,-0.0094288,0.11873389,
12,-0.00137862,-0.01053662,0.15307637,
13,-0.00211717,-0.00039389,0.25620228,
14,0.00612995,-0.01829137,-0.80669128,
15,-0.01802057,-0.00856716,0.17924558,
16,0.00292957,-0.00792708,0.29697012,
17,0.01154597,-0.01093051,0.46481745,
18,-0.01294921,-0.00534216,0.4260683,
19,-0.01794671,-0.00470209,-0.80669128,
20,-0.00167404,-0.01036429,0.32525651,
21,-0.01454939,-0.01814366,0.65757846,
22,0.01373699,-0.0064746,0.6343142,
23,-0.00194484,-0.0094288,0.46796859,
24,0.01728202,-0.01201371,-0.80669128,
25,-0.02272266,-0.0133431,0.49911069,
26,0.00231412,-0.02119633,0.66028647,
27,0.00113244,-0.00994578,0.50952422,
28,0.01952228,0.00177252,0.41663951,
29,0.01238299,0.00034466,-0.80669128,
30,0.00322499,-0.00878872,0.57170995,
31,0.00002462,-0.00753319,0.60405835,
32,0.01713431,-0.00817326,0.55324625,
33,0.00280648,-0.01080742,0.68261523,
34,-0.01523871,-0.01142287,-0.78367321,
35,-0.01393394,-0.01102898,0.57355632,
36,0.00605609,-0.00731162,0.70381156,
37,0.03037894,-0.01065971,0.80666667,
38,0.0136139,-0.00967498,0.77205339,
39,0.00384045,-0.01164444,-0.80669128,
