製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 16:39:08,07/02 16:39:08,07/02 16:39:08,
サンプリング周波数,200,200,200,
シーケンス数,5759,5759,5759,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01408165,0.0005416,0.11449955,
3,0.00194484,-0.004579,0.04807947,
4,-0.01048738,0.004579,-0.16760114,
5,0.01142287,-0.01179215,-0.03547492,
6,-0.00785323,0.01408165,0.00002462,
7,-0.05962544,-0.00398816,-0.08965972,
8,-0.01282612,-0.00556373,0.13064913,
9,-0.01841446,-0.00814865,0.12523311,
10,0.00856716,-0.02163945,-0.06969431,
11,0.04022624,-0.01351543,-0.03222531,
12,-0.05388938,-0.02065472,0.0229196,
13,-0.02772017,-0.01322001,-0.00992116,
14,0.03485946,-0.01523871,0.05127984,
15,0.07498723,-0.00216641,0.05110752,
16,0.01642038,0.00950265,0.02109785,
17,-0.12237739,0.02220567,0.2532727,
18,0.0485226,0.0231904,-0.13190466,
19,0.04076785,-0.06184108,-0.07112217,
20,-0.00721315,-0.01610034,-0.03579496,
21,0.00802555,-0.01275226,-0.00977345,
22,-0.0541848,0.00265877,0.07735059,
23,-0.04746401,-0.01351543,0.13372641,
24,0.04963042,-0.00694235,0.02176255,
25,0.04842413,0.00691773,-0.04694703,
26,0.0172574,0.01257993,-0.04458368,
27,-0.06735557,0.03387473,0.03488408,
28,-0.01435245,0.02070396,0.07747368,
29,0.00832097,-0.05300312,-0.00841945,
30,0.03205298,-0.01331848,0.00078778,
31,0.02407666,-0.0138847,-0.06152104,
32,-0.0431312,-0.00243721,-0.03682892,
33,-0.01184139,0.00790246,0.01622344,
34,0.01031505,0.03215145,0.15260862,
35,0.03904457,-0.02365815,-0.07316548,
36,0.03205298,-0.02109785,-0.02230415,
37,-0.10248583,-0.02417514,-0.01472172,
38,0.0200885,-0.01137364,-0.00324961,
39,0.02021159,-0.0051206,0.12122033,
40,0.02402743,0.02161484,0.08175726,
41,0.01949767,0.00694235,0.12983673,
42,-0.06083173,-0.00937956,-0.04519913,
43,0.04162948,-0.01681427,-0.05401247,
44,0.0148202,-0.01676504,0.0204824,
45,-0.02813868,-0.00630228,0.03362855,
46,-0.00841945,-0.00216641,0.27183487,
47,-0.02877875,-0.04241727,-0.10354442,
48,0.02725242,-0.00534216,-0.06676473,
49,0.01521409,-0.00548987,0.00881334,
50,0.0513537,-0.00851792,0.00994578,
51,0.0048498,0.00066469,0.11895545,
52,-0.03330851,-0.0187345,0.04773481,
53,-0.02993581,-0.00241259,0.06587848,
54,0.02316579,0.00334808,-0.00450514,
55,0.0392169,-0.01383546,-0.00548987,
56,0.0095765,0.00497289,-0.02023621,
57,-0.03591805,0.0138847,0.08953663,
58,0.01789748,0.01925148,0.016445,
59,-0.01257993,-0.00605609,0.04268807,
60,-0.04556841,-0.02791711,0.11858618,
61,0.03136367,-0.01528794,0.05344625,
62,-0.03897071,0.00128015,-0.14950672,
63,-0.00280648,-0.00477594,0.08151107,
64,0.0606594,-0.01289997,0.13089531,
65,-0.05718823,-0.0051206,-0.05371705,
66,0.09000437,-0.00465285,-0.08146184,
67,-0.02661234,0.02195949,0.01363852,
68,-0.00955189,0.04167872,-0.06767561,
69,0.01782362,-0.04116174,0.01915301,
70,-0.05558804,-0.03030508,0.00920723,
71,0.02360892,-0.01068433,0.09254006,
72,-0.05726208,-0.01285073,0.14293364,
73,-0.01715893,0.00679464,0.04832565,
