製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 16:53:27,07/02 16:53:27,07/02 16:53:27,
サンプリング周波数,200,200,200,
シーケンス数,5518,5508,5518,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00145248,-0.00635151,-0.03744438,
3,0.00834559,0.00809941,-0.02513525,
4,0.0195469,0.00019695,-0.00925647,
5,0.02294422,-0.01238299,-0.00962574,
6,-0.00376659,-0.00905952,0.02415052,
7,0.02176255,-0.01454939,0.0528308,
8,-0.18510473,-0.01331848,0.00856716,
9,0.18732037,-0.00962574,-0.04643005,
10,0.01942381,-0.02279651,-0.02476597,
11,0.01420474,-0.00132939,-0.01767591,
12,-0.19389345,-0.01056124,-0.02742475,
13,0.08606545,-0.0176513,0.01619882,
14,0.02267342,-0.00155095,-0.00573606,
15,-0.00854254,0.0138847,-0.00908414,
16,0.00327423,0.00497289,-0.00401278,
17,-0.03330851,-0.0064746,0.02309193,
18,0.03611499,-0.00428358,-0.01147211,
19,-0.00187099,-0.00974883,-0.02023621,
20,0.01755282,-0.00408663,-0.01216142,
21,0.02159022,-0.00610533,-0.00401278,
22,-0.02095014,-0.00659769,-0.00809941,
23,-0.05925616,-0.0115952,0.00137862,
24,0.09881771,-0.00206793,0.09830073,
25,0.04871955,-0.01373699,-0.03148676,
26,-0.02801558,0.00548987,-0.0423188,
27,-0.05507106,-0.00327423,-0.0470455,
28,-0.08636087,-0.00571144,-0.00883796,
29,0.0549972,-0.03357931,-0.00361888,
30,0.01154597,-0.00280648,0.01462325,
31,-0.016445,-0.00236335,-0.03284076,
32,-0.0606594,-0.00263415,-0.00760704,
33,0.09217078,0.00248644,0.01755282,
34,0.01866064,-0.00667155,-0.04153101,
35,0.01235837,-0.0096996,-0.03399782,
36,-0.00807479,0.00583453,0.01090589,
37,-0.00411125,-0.00029542,-0.01491867,
38,-0.00622842,-0.01102898,0.01331848,
39,-0.05910845,-0.01265379,0.02299346,
40,0.07981241,-0.01371237,-0.04059552,
41,0.04741478,-0.01322001,-0.00617918,
42,0.02562761,-0.00032004,-0.01238299,
43,-0.01016734,0.00388969,0.10492304,
44,-0.08362824,0.00413587,-0.03993082,
45,0.08609007,-0.01164444,-0.01041353,
46,0.04574074,-0.00105859,-0.03291462,
47,-0.02579994,-0.01176753,-0.05942849,
48,-0.09027518,-0.0122599,-0.04359895,
49,0.06718324,-0.0039143,-0.02784326,
50,0.00379121,-0.00913338,-0.00598224,
51,-0.03328389,-0.00667155,-0.00694235,
52,-0.00302805,-0.01363852,0.06115177,
53,-0.00214179,0.00211717,0.01853755,
54,-0.00625304,-0.00809941,-0.04241727,
55,-0.00546525,-0.00285572,-0.00189561,
56,-0.02323964,-0.00241259,0.0475871,
57,0.00561296,-0.00612995,-0.03899533,
58,0.01715893,-0.01282612,-0.07732597,
59,0.10452915,-0.01176753,-0.03623809,
60,0.01191524,0.00231412,0.01376161,
61,-0.12282052,0.00334808,0.09743909,
62,0.02063011,-0.01129978,0.00765628,
63,0.05221534,-0.01068433,-0.08675476,
64,-0.04335276,-0.00583453,-0.06627237,
65,0.02703085,-0.00536678,-0.04010315,
66,0.01405703,-0.00140324,-0.0331608,
67,-0.05361858,-0.00150171,-0.01875912,
68,0.01223528,-0.00814865,-0.00187099,
69,0.00120629,-0.01294921,0.00797632,
70,-0.02877875,-0.00509598,0.02397819,
71,0.00078778,0.00347118,0.02380586,
72,-0.02171331,-0.00088626,-0.01974385,
73,0.05694205,-0.00354503,-0.00137862,
74,-0.01582954,-0.00869025,0.0039143,
75,0.02053163,-0.00164942,0.03067436,
76,-0.03658274,0.00014771,0.03850297,
77,0.08421908,0.00100935,-0.00302805,
78,-0.24066815,-0.00475133,-0.01614958,
79,0.0967744,-0.0107828,-0.02890184,
80,0.07552883,-0.00300343,0.03318542,
81,-0.02752322,0.004579,-0.04446059,
82,0.01275226,0.00251106,-0.03732129,
83,0.0235843,-0.00125553,-0.02144251,
84,0.00155095,-0.01228451,-0.02127018,
85,-0.00118168,-0.00937956,0.0005416,
86,0.01289997,-0.00531755,0.01659271,
87,-0.01410627,-0.00841945,0.02235338,
88,0.00017233,-0.00509598,0.04581459,
89,-0.01053662,-0.00585915,-0.0176513,
90,-0.0859916,-0.00438205,-0.03660736,
91,0.05371705,-0.00888719,-0.01405703,
92,0.05248614,-0.00494827,-0.01715893,
93,-0.06920194,0.00460362,-0.00630228,
94,0.07001434,-0.01373699,0.12331289,
95,0.05689281,-0.03554877,0.13537584,
96,-0.0031019,-0.00521907,-0.16501623,
97,-0.03847835,0.00386507,-0.09212155,
98,-0.01171829,0.0031019,-0.04359895,
99,0.01777439,0.00019695,-0.02476597,
100,0.02402743,0.00558835,-0.00672079,
101,-0.05913307,-0.021024,-0.00164942,
102,-0.0477102,-0.00901028,0.03099439,
103,0.09549425,-0.0095765,0.07058056,
104,-0.12318979,-0.00667155,-0.01750359,
105,0.07639047,0.00691773,-0.05113213,
106,0.01344157,0.00780399,-0.02173793,
107,0.02479059,-0.00315114,-0.00477594,
108,0.01203833,-0.00064007,-0.00347118,
109,-0.00696697,-0.00871487,-0.01127517,
110,-0.128852,-0.00920723,-0.00091088,
111,0.10777876,-0.00915799,0.0518953,
112,0.02789249,-0.01011811,-0.00448052,
113,0.00612995,-0.01688813,-0.03764133,
114,-0.02693238,-0.00792708,-0.02309193,
115,0.0221072,-0.02397819,-0.00548987,
116,-0.06009318,0.0079517,-0.0039143,
117,0.09869462,-0.00839483,0.03990621,
118,0.02853257,0.00411125,0.06900499,
119,-0.00064007,-0.00238797,0.00420972,
120,-0.01472172,0.00145248,-0.03700125,
121,-0.13200313,-0.01413088,-0.05689281,
122,0.12806421,0.00130477,-0.04647928,
123,-0.15408572,0.00145248,-0.01459863,
124,0.14345063,0.00411125,0.04583921,
125,-0.01811904,-0.00940418,-0.02754784,
126,-0.00339732,-0.01164444,0.01693737,
127,-0.05187068,-0.01080742,0.11782301,
128,-0.00915799,-0.00470209,-0.06358898,
129,0.03613961,-0.00657308,-0.10937895,
130,-0.00275725,-0.00076317,-0.11489344,
131,-0.04916267,-0.0020187,-0.05790216,
132,0.03783827,-0.0181929,-0.00881334,
133,0.05905922,-0.02971425,0.00556373,
134,-0.01930072,-0.01553412,0.04955657,
135,-0.01799595,0.00748395,0.00854254,
136,0.04857184,-0.00019695,-0.01578031,
137,-0.14729108,0.00199408,0.1080988,
138,0.14652791,-0.00435743,0.17887631,
139,0.0783107,-0.00765628,0.00155095,
140,0.00078778,-0.01659271,-0.15745842,
141,0.00329885,-0.00716391,-0.14187506,
142,-0.01260455,0.00275725,-0.12104801,
143,-0.00632689,0.01196448,-0.05369243,
144,-0.00974883,-0.00507136,-0.0230427,
145,-0.00561296,-0.00130477,0.00571144,
146,-0.14288441,-0.00585915,0.16602557,
147,0.16991526,-0.01043814,0.09591276,
148,-0.08537614,-0.01713431,-0.03727205,
149,0.06885729,0.00297881,-0.09027518,
150,0.03020661,0.00194484,0.00475133,
151,-0.25994425,-0.00992116,0.19586291,
152,0.19037304,-0.00169866,-0.03879838,
153,-0.00142786,-0.00940418,-0.14753726,
154,-0.03759209,0.0033727,-0.09320475,
155,0.03030508,0.00805017,-0.04598692,
156,-0.0583699,-0.00718853,-0.00125553,
157,0.10676941,-0.04150639,0.06858648,
158,0.09581428,-0.00169866,0.02348582,
159,-0.04748863,0.01248146,-0.03983235,
160,-0.02469212,0.01720817,-0.04601154,
161,-0.06639546,0.00743472,-0.03493332,
162,-0.10800033,-0.01610034,0.16533626,
163,0.22040732,-0.01693737,0.08675476,
164,0.03328389,-0.00691773,-0.15393801,
165,-0.1207772,0.01516485,-0.0556619,
166,-0.01090589,0.00580991,0.08623778,
167,0.04458368,0.00982269,0.01228451,
168,-0.0719838,-0.00066469,0.00238797,
169,0.01122593,-0.00888719,-0.03067436,
170,0.03554877,-0.00699159,-0.08023092,
171,-0.06774946,-0.0125307,-0.03677969,
172,0.09640512,-0.01233375,0.23446435,
173,-0.07663666,-0.01580493,0.0828897,
174,0.09938393,0.00152633,-0.06115177,
175,-0.00600686,0.00273263,0.09064445,
176,-0.00630228,0.00265877,-0.13239703,
177,0.0238551,0.00347118,-0.152584,
178,0.00187099,-0.00770552,-0.07794142,
179,0.0040374,-0.01137364,0.07715364,
180,-0.0505413,-0.01713431,0.25216488,
181,-0.0289757,-0.00083702,-0.05041821,
182,0.07543036,-0.01208757,0.29980122,
183,-0.01457401,-0.0161742,-0.1707769,
184,0.02405204,0.00982269,-0.28148523,
185,0.00709006,0.00662231,-0.15580899,
186,-0.00846868,-0.00248644,-0.06378592,
187,-0.2635139,-0.01610034,0.15531663,
188,0.22510941,-0.00251106,0.18429233,
189,0.06838954,-0.00487442,-0.09714367,
190,-0.03082207,0.00472671,-0.0981284,
191,0.0020187,-0.00009847,-0.04034934,
192,-0.00834559,-0.00745933,0.0218364,
193,0.01112746,-0.01250608,-0.06312123,
194,0.06533687,-0.00224026,-0.01962076,
195,-0.02188564,-0.0094288,-0.06774946,
196,-0.10625243,-0.00580991,0.22941761,
197,0.03660736,-0.00866563,0.14372143,
198,0.02540605,-0.00162481,0.20489781,
199,0.01592802,-0.00280648,-0.23786167,
200,-0.00807479,0.00509598,-0.13138768,
201,-0.14482925,-0.00576067,-0.0853269,
202,0.12476536,-0.00699159,-0.04226956,
203,0.02956654,-0.00649922,-0.14551856,
204,-0.12848272,-0.00977345,0.16452386,
205,0.05423404,-0.00709006,0.49450708,
206,0.01639576,-0.01171829,-0.30090904,
207,0.04980275,-0.00438205,-0.2842671,
208,-0.01319539,-0.00827174,-0.14842352,
209,-0.02680929,-0.00379121,0.30593117,
210,-0.01363852,-0.00632689,0.05923154,
211,0.00933032,0.00004924,-0.18973296,
212,-0.0760212,-0.01521409,-0.12513464,
213,0.07407636,-0.00514522,0.13271706,
214,0.04721783,-0.0221072,0.34251391,
215,-0.08798568,-0.0138847,-0.24879218,
216,0.03488408,-0.02912341,-0.29458215,
217,-0.02114709,0.0002708,-0.15073763,
218,-0.02552914,0.00526831,-0.02262418,
219,-0.11750298,-0.00265877,0.14157964,
220,0.16378531,-0.00573606,-0.01260455,
221,0.02912341,-0.00790246,-0.20012187,
222,-0.03293924,-0.00797632,0.15206702,
223,-0.02594765,-0.00502213,0.10937895,
224,-0.04889187,-0.00654846,-0.07823684,
225,0.06898038,-0.00967498,-0.10159958,
226,0.00709006,-0.00162481,0.40280404,
227,-0.00428358,-0.00544064,-0.08224962,
228,-0.01265379,-0.01201371,-0.14039796,
229,-0.00905952,-0.00093549,-0.20194362,
