製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 16:58:47,07/02 16:58:47,07/02 16:58:47,
サンプリング周波数,200,200,200,
シーケンス数,5560,5560,5560,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00423434,0.0010832,0.10283049,
3,0.03867529,-0.01669118,-0.02604612,
4,0.06009318,-0.01233375,-0.04945809,
5,-0.01198909,0.0067454,-0.02456903,
6,0.00773013,-0.00039389,0.02651387,
7,0.04411593,-0.0040374,-0.0207532,
8,-0.06521378,-0.00805017,-0.00807479,
9,0.12931974,-0.01240761,0.06422905,
10,0.02245186,-0.01038891,0.14862046,
11,-0.02545529,0.00797632,-0.17363262,
12,-0.00691773,0.00600686,-0.07860612,
13,-0.00684388,0.00071393,-0.05708975,
14,-0.02907417,-0.00352041,-0.00379121,
15,-0.12181117,-0.00780399,0.04620848,
16,0.19359803,-0.00748395,0.06356436,
17,0.02343659,-0.01634653,-0.03318542,
18,0.01432783,-0.01363852,-0.08473607,
19,0.03227454,-0.00866563,-0.03227454,
20,-0.00507136,-0.00120629,-0.00509598,
21,-0.01287535,-0.00460362,0.03239764,
22,-0.03013276,-0.00588377,-0.01474634,
23,-0.14810348,-0.00379121,0.06787255,
24,0.08286508,-0.00733624,0.13997945,
25,0.04675008,-0.00649922,-0.07501185,
26,-0.04697165,-0.00423434,-0.00145248,
27,-0.00534216,0.00002462,0.13407107,
28,0.12286976,-0.01467249,-0.15452885,
29,-0.05425865,-0.02058087,-0.10731101,
30,-0.05386476,-0.00637613,-0.0675279,
31,-0.00773013,0.00300343,-0.03092054,
32,-0.10258431,0.0010832,-0.00305266,
33,0.01073356,-0.00366812,0.00450514,
34,0.03333313,-0.01314615,0.01085665,
35,0.08995514,-0.00568682,0.00285572,
36,-0.0203593,-0.00721315,0.00125553,
37,-0.06280119,-0.0079517,0.05642506,
38,-0.01730664,-0.00297881,0.09633127,
39,0.01627267,0.00064007,-0.01880835,
40,0.12245125,-0.01139826,0.03168371,
41,0.00979807,-0.00305266,-0.07419945,
42,0.08360363,-0.005933,-0.05955158,
43,-0.00115706,-0.00288034,-0.09948241,
44,-0.00361888,-0.00472671,-0.05448022,
45,-0.00384045,-0.00728701,-0.03591805,
