製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 16:56:06,07/02 16:56:06,07/02 16:56:06,
サンプリング周波数,200,200,200,
シーケンス数,5759,5758,5759,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.03670583,-0.00384045,0.22565101,
3,-0.01454939,-0.00888719,-0.11033906,
4,-0.0547264,-0.0068685,0.04069399,
5,-0.14197353,-0.01312153,0.29034781,
6,0.17641448,-0.01595264,-0.14849737,
7,0.13690217,0.00384045,-0.19500127,
8,0.14997447,0.00091088,-0.08805953,
9,0.01548489,-0.00462823,-0.0359919,
10,0.00635151,-0.00974883,-0.00551449,
11,-0.12033408,-0.02050701,0.15580899,
12,-0.05868994,-0.02072858,0.30014588,
13,0.09463261,0.00388969,-0.24812749,
14,0.04719321,-0.00435743,-0.14359834,
15,0.01738049,0.00125553,-0.0229196,
16,-0.39756035,-0.01031505,0.21366192,
17,0.05704052,-0.0161742,-0.03296386,
18,0.04657776,-0.02284575,0.27262266,
19,0.15376568,-0.01174291,0.11417951,
20,-0.01646962,-0.0093057,-0.17375571,
21,0.08983205,-0.00214179,-0.15699067,
22,-0.02624307,-0.00829636,-0.04990122,
23,0.00595762,-0.00091088,0.04583921,
24,0.03271767,-0.00785323,0.31087944,
25,-0.09288471,-0.01322001,-0.09714367,
26,0.14214586,-0.00546525,-0.06063478,
27,-0.10319976,-0.02656311,0.01912839,
28,0.11486882,-0.01356466,-0.01073356,
29,-0.05393862,-0.01976847,0.26225837,
30,-0.04463291,0.0020187,-0.00487442,
31,-0.35021943,-0.00637613,0.2802297,
32,0.42705303,-0.0207532,-0.011866,
33,-0.02259957,-0.00329885,-0.44431043,
34,0.02469212,-0.00470209,-0.20226366,
35,-0.03867529,-0.01326924,-0.08202806,
36,0.03217607,-0.01622344,-0.010512,
37,-0.03062512,-0.01511561,0.14810348,
38,0.04089094,-0.01142287,-0.00731162,
39,-0.0261446,-0.00558835,-0.05209225,
40,0.00790246,-0.00706544,0.00428358,
41,-0.01171829,-0.01097975,0.05470178,
42,0.01925148,-0.00588377,0.22338613,
43,-0.15913246,-0.00288034,0.20034343,
44,0.02762169,-0.00502213,0.18847743,
45,0.00612995,-0.01875912,-0.10802494,
46,0.13833003,-0.01198909,-0.17951638,
47,-0.05519415,-0.00558835,-0.02705547,
48,0.10059023,-0.00994578,-0.005933,
49,-0.03980773,-0.01053662,-0.02383048,
50,0.10605548,-0.00967498,-0.0824958,
51,0.05359396,-0.01344157,0.02799097,
52,-0.01319539,0.00169866,-0.08872422,
53,0.01285073,0.0036435,0.04005392,
54,-0.12895047,-0.00120629,0.30068748,
55,0.07811375,-0.00526831,-0.18379996,
56,0.00502213,-0.0153618,-0.05233843,
57,0.05073824,-0.00206793,0.03271767,
58,-0.38813156,-0.00760704,-0.12193426,
59,0.20575945,-0.01248146,0.22215522,
60,0.12624246,-0.00630228,0.16799504,
61,0.15211626,-0.0153618,-0.2187579,
62,-0.00014771,0.00544064,-0.13941323,
63,-0.02355968,0.01006887,-0.0474394,
64,-0.08840419,-0.00002462,0.11757683,
65,-0.03357931,-0.01041353,0.11671519,
66,0.01147211,-0.01376161,-0.05905922,
67,0.06477065,-0.00841945,0.42766849,
68,-0.01848832,0.0074101,-0.23675385,
69,-0.16344066,0.00029542,-0.21201249,
70,0.09559272,-0.0008124,-0.0289757,
71,-0.05484949,0.00152633,0.24500097,
72,0.0899059,-0.0062038,0.26708355,
73,-0.01289997,-0.00563758,-0.08756717,
74,-0.01363852,-0.01339234,-0.21920103,
