製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,09/21 12:35:31,09/21 12:35:31,09/21 12:35:31,
サンプリング周波数,200,200,200,
シーケンス数,6496,6496,6498,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00450514,-0.00009847,0.16499161,
3,0.00334808,-0.01614958,-0.17030915,
4,0.00211717,-0.00945341,-0.02223029,
5,0.01646962,0.00056622,-0.12035869,
6,-0.0039143,-0.02016236,-0.07439639,
7,0.00612995,-0.00524369,0.05187068,
8,0.01053662,-0.01678966,0.01642038,
9,0.00526831,-0.03818293,-0.11307169,
10,-0.00334808,-0.00844406,-0.01472172,
11,-0.0121368,-0.00534216,-0.01075818,
12,0.01115207,0.00241259,0.01880835,
13,0.00654846,-0.01516485,0.03611499,
14,0.00224026,-0.03205298,-0.09862077,
15,0.00231412,-0.01568183,0.04495295,
16,-0.02988657,-0.00777937,0.03481023,
17,0.02496292,-0.01878374,-0.0528308,
18,0.00169866,-0.01277688,0.00758243,
19,0.01240761,-0.01031505,0.01755282,
20,0.0051206,-0.0036435,-0.02656311,
21,0.01100436,0.00635151,-0.13436649,
22,-0.03675507,-0.02405204,-0.06312123,
23,0.01866064,-0.02188564,-0.01947305,
24,0.01782362,-0.01019196,0.00187099,
25,-0.0181929,-0.05002431,-0.05061515,
26,0.00152633,0.00401278,0.05546495,
27,0.00507136,-0.00093549,-0.0618657,
28,0.00428358,-0.01189062,0.01947305,
29,0.00384045,-0.00083702,0.0899059,
30,0.01905454,0.00955189,-0.00913338,
31,0.00019695,-0.0243967,-0.14729108,
32,-0.00379121,-0.01718355,0.02269804,
33,0.00878872,-0.01610034,-0.00433281,
34,0.00113244,-0.01693737,-0.05401247,
35,-0.00302805,-0.01262917,0.0176513,
36,-0.00723777,0.00745933,0.13498194,
37,-0.01462325,-0.0102412,-0.0529785,
38,0.0096996,-0.01816828,0.0408417,
39,0.01122593,-0.01075818,-0.08229886,
40,0.01656809,0.01006887,-0.04817794,
41,-0.00462823,-0.01558336,0.091383,
42,0.00465285,-0.00349579,-0.0362627,
43,0.00059084,-0.01971923,0.09689749,
44,0.00386507,-0.01110284,-0.06878343,
45,-0.00317576,-0.00290496,0.01696198,
46,0.01346619,-0.00214179,-0.02900032,
47,0.00384045,-0.0130723,-0.01117669,
48,0.0039143,-0.01368775,0.02402743,
49,-0.00649922,-0.00224026,0.07673513,
50,0.00189561,-0.02346121,-0.10002401,
51,0.0148202,0.03116672,0.04561764,
52,-0.00489903,-0.02195949,-0.03072359,
53,-0.01238299,-0.04894111,-0.07515956,
54,-0.00145248,-0.01211219,-0.08929044,
55,0.00891181,-0.00263415,0.01459863,
56,-0.00514522,-0.00933032,0.04721783,
57,-0.00029542,0.00093549,0.02235338,
58,-0.00844406,-0.02496292,0.02112247,
59,0.01745435,-0.01479558,-0.142072,
60,-0.00979807,-0.00731162,-0.0102412,
61,0.01703584,0.0010832,-0.01299844,
62,-0.03220069,-0.00396354,-0.00883796,
63,0.01774977,-0.02200873,0.01191524,
64,0.01531256,-0.0079517,-0.03018199,
65,0.00871487,0.00349579,0.05098443,
66,0.01026582,0.00137862,-0.01777439,
67,0.01036429,-0.00288034,0.02661234,
68,0.00585915,-0.01691275,-0.01285073,
69,0.01349081,0.01004425,0.12220506,
70,-0.01344157,-0.00846868,0.02392895,
71,0.01885759,0.01376161,0.13239703,
72,-0.00268339,-0.02540605,-0.26023967,
73,0.00100935,-0.0264154,-0.07284544,
74,0.00760704,-0.00723777,-0.00765628,
75,-0.01546027,-0.0413833,-0.00841945,
76,0.00231412,0.00317576,-0.02257495,
77,0.0040374,0.00755781,0.01683889,
78,-0.00388969,-0.01331848,0.02021159,
79,0.01184139,-0.00617918,-0.05352011,
80,0.00066469,-0.01102898,-0.02725242,
81,0.0074101,0.01373699,-0.0473163,
82,0.01041353,-0.00509598,0.0505413,
83,0.01742973,-0.01297383,0.11280089,
84,0.01422936,-0.00440667,0.0146971,
85,0.00989654,-0.01531256,-0.10566159,
86,0.01454939,0.00669617,-0.01171829,
87,-0.00881334,-0.01447554,-0.04106326,
88,-0.01437707,-0.02311655,0.02259957,
89,0.0053914,0.00100935,0.08121565,
90,0.00017233,-0.02543067,-0.12732566,
91,0.01075818,0.00773013,0.03732129,
92,0.01511561,-0.01425398,-0.12565162,
93,0.00263415,-0.0192761,-0.02602151,
94,-0.01309692,-0.01216142,-0.05617888,
95,-0.00731162,-0.01486943,0.02097476,
96,-0.01154597,0.00625304,0.07129449,
97,0.00608071,0.0082225,0.015091,
98,-0.04017701,-0.0190053,-0.01408165,
99,-0.03244687,-0.02451979,-0.0448791,
100,-0.00662231,-0.0087641,-0.01979308,
101,-0.01053662,-0.00672079,0.02087629,
102,-0.01688813,-0.02476597,-0.00709006,
103,-0.01400779,-0.01265379,0.05487411,
104,-0.01528794,-0.00716391,-0.08412061,
105,0.00046775,-0.00617918,0.00612995,
106,-0.00915799,-0.00339732,0.05265847,
107,0.00723777,-0.00755781,-0.08655782,
108,-0.00573606,-0.01235837,0.04707012,
109,0.00300343,-0.00329885,0.0200885,
110,-0.00440667,-0.00731162,0.07358399,
111,0.00809941,-0.00017233,0.00743472,
112,0.00992116,-0.00859177,-0.14399223,
113,-0.00600686,-0.01777439,0.06063478,
114,0.00317576,-0.02688314,-0.015091,
115,-0.00649922,0.0005416,0.02710471,
116,-0.00265877,-0.00145248,0.02508601,
117,0.00519445,-0.00709006,0.06996511,
118,-0.01937457,-0.02134404,-0.10447991,
119,0.02013774,-0.01824213,-0.1366806,
120,-0.00145248,-0.00401278,0.05290465,
121,0.00851792,0.0062038,0.01262917,
122,0.00206793,0.00137862,0.00352041,
123,0.00561296,-0.02747398,-0.05209225,
124,-0.01696198,-0.0229196,0.02380586,
125,0.00433281,-0.02040854,-0.07193457,
126,0.00352041,0.0010832,-0.01472172,
127,0.02875413,-0.00051698,0.06174261,
128,0.01491867,-0.016445,0.03325928,
129,-0.00078778,-0.021024,-0.09647898,
130,0.00908414,-0.00802555,-0.0408417,
131,0.00588377,0.00145248,0.03451481,
