製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,09/21 12:41:49,09/21 12:41:49,09/21 12:41:49,
サンプリング周波数,200,200,200,
シーケンス数,6499,6499,6499,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.05571113,0.19591215,0.21523748,
3,0.03079745,0.17579903,0.1864095,
4,0.01999003,0.20662109,0.14911283,
5,-0.02483983,0.19071769,0.173608,
6,-0.02309193,0.19677379,0.15327331,
7,0.01381085,0.19450891,0.17124465,
8,-0.02058087,0.14357372,0.21302184,
9,-0.00977345,0.18879747,0.0745441,
10,-0.03412091,0.20031882,0.20344534,
11,-0.00273263,0.20671957,0.29007701,
12,-0.0181929,0.20374076,0.14495234,
13,0.0172574,0.14652791,0.119694,
14,-0.02685853,0.19416425,0.11654286,
15,-0.01947305,0.20017111,0.14731569,
16,-0.04374666,0.21100314,0.17370647,
17,0.02459365,0.20940296,0.23717236,
18,-0.03537645,0.15145156,0.13756686,
19,-0.02481521,0.19788161,0.09229387,
20,0.02813868,0.20233751,0.10851731,
21,-0.02171331,0.20977223,0.16558245,
22,0.03367779,0.19943256,0.14724184,
23,-0.02208258,0.1608065,0.20701498,
24,0.00132939,0.19450891,0.20721193,
25,-0.02208258,0.17382956,0.02508601,
26,-0.02501216,0.19603524,0.10568621,
27,-0.005933,0.1988171,0.15455346,
28,0.00580991,0.13808384,0.09426333,
29,-0.02710471,0.18050111,0.07122064,
30,0.00113244,0.18576942,0.12154037,
31,-0.00231412,0.18480931,0.17966409,
32,0.00477594,0.19185013,0.1883051,
33,-0.00113244,0.12794112,0.16213589,
34,-0.00509598,0.17739921,0.08384981,
35,-0.01610034,0.1721309,0.07309163,
36,-0.09578967,0.17513433,0.1775223,
37,0.05967467,0.17427269,0.20647338,
38,-0.0008124,0.11683828,0.05765598,
39,0.00524369,0.1620128,0.11427798,
40,0.00834559,0.16750267,0.19660146,
41,-0.00962574,0.16934904,0.11917702,
