製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 14:40:02,10/10 14:40:02,10/10 14:40:02,
サンプリング周波数,200,200,200,
シーケンス数,6699,6699,6699,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.02434746,-0.01287535,0.06102868,
3,0.01902992,0.00152633,-0.03547492,
4,-0.04532222,-0.00780399,-0.01061047,
5,-0.03788751,-0.0115952,-0.00145248,
6,-0.01915301,-0.00551449,-0.02168869,
7,0.03069898,-0.00241259,0.06122562,
8,0.04724245,0.00125553,-0.04453444,
9,0.03301309,0.00758243,0.0190053,
10,0.02700624,-0.05150141,-0.06814336,
11,-0.03190527,-0.0115952,-0.0107828,
12,-0.07759677,0.00425896,0.07442101,
13,-0.04126021,-0.01257993,0.03325928,
14,-0.02727704,-0.02127018,-0.05615426,
15,0.1083696,-0.00891181,-0.02419975,
16,0.07006358,-0.00846868,0.03350546,
17,-0.07464258,-0.00315114,-0.005933,
18,-0.00386507,-0.00342194,-0.05221534,
19,0.02235338,0.01117669,0.01989156,
20,0.00265877,-0.01750359,-0.05992086,
21,-0.0087641,-0.01553412,-0.01001963,
22,-0.02882799,-0.00361888,-0.01085665,
23,-0.00128015,-0.02274728,0.00933032,
24,0.02085167,0.01688813,-0.00349579,
25,-0.02171331,-0.0190053,0.00859177,
26,0.01430321,-0.01459863,0.02808944,
27,0.01408165,-0.01250608,0.05534186,
28,-0.03601652,-0.00681926,0.03990621,
29,-0.00359427,-0.01802057,0.02341197,
30,0.12525773,-0.00908414,0.04322967,
31,-0.04022624,-0.01659271,-0.03933999,
32,-0.04857184,-0.0161742,-0.03389935,
33,0.0110536,-0.01112746,-0.08559771,
34,0.00977345,-0.00019695,-0.01312153,
35,-0.03562263,-0.01435245,0.01029043,
36,0.01196448,-0.00790246,0.04894111,
37,0.05659739,0.00322499,-0.0149679,
38,0.01117669,-0.00448052,0.03183142,
39,-0.04549455,0.00832097,-0.02582456,
40,-0.03340698,0.01964537,0.01462325,
41,-0.01511561,-0.01314615,-0.01319539,
42,0.0033727,-0.02579994,0.03303771,
43,0.08163416,-0.00782861,-0.0121368,
44,0.01221066,-0.01553412,0.03958617,
45,0.01016734,-0.01294921,-0.05260923,
46,-0.06275196,-0.00869025,-0.00977345,
47,0.01912839,-0.01400779,0.05610502,
48,0.02949268,-0.02380586,0.07050671,
49,0.00773013,-0.01272764,-0.01134902,
50,-0.05347087,0.00452976,-0.0641552,
51,-0.00342194,-0.01861141,-0.00361888,
52,-0.03867529,-0.00669617,-0.00445591,
53,-0.02380586,0.00263415,-0.02476597,
54,0.03796136,-0.02058087,0.00315114,
55,0.01750359,-0.01664195,0.04682394,
56,0.01376161,-0.00888719,0.01139826,
57,0.00765628,-0.00125553,-0.05352011,
58,0.0646968,0.02306731,0.01147211,
59,-0.02754784,-0.03131443,-0.0010832,
60,0.00440667,0.00460362,0.01952228,
61,-0.02255033,-0.00465285,-0.01381085,
62,0.0110536,-0.0115952,0.01718355,
63,0.03242225,-0.00302805,-0.00704082,
64,0.00204332,-0.00450514,-0.01595264,
65,0.00477594,0.00164942,0.07168839,
66,-0.09180151,-0.01597725,0.09061983,
67,-0.01595264,-0.00598224,-0.06595233,
68,-0.02134404,-0.01127517,-0.05408633,
69,-0.04441135,0.00361888,0.06878343,
70,-0.01937457,-0.02518448,-0.05987162,
71,-0.00224026,-0.01349081,-0.02619383,
72,0.00610533,-0.00260954,0.03168371,
73,0.04071861,0.00064007,-0.01582954,
74,0.00157557,0.00617918,-0.00359427,
75,-0.01331848,-0.00679464,0.0133431,
76,0.03079745,-0.01888221,-0.01996541,
77,0.03399782,-0.01989156,0.05061515,
78,-0.01947305,0.00192022,-0.04502681,
79,-0.00194484,0.00044313,0.02764631,
80,0.08458836,0.01011811,0.049335,
81,0.01228451,-0.0252091,-0.01804519,
82,0.00878872,-0.02476597,0.02488907,
83,0.08340668,-0.00802555,0.01917763,
84,-0.06602618,-0.00374198,-0.0857208,
85,-0.06390901,-0.0017479,-0.04347585,
86,-0.03131443,0.01110284,-0.01309692,
87,-0.04236803,-0.01122593,-0.0536432,
88,0.01196448,-0.00164942,0.04999969,
89,-0.02380586,-0.01117669,0.02895108,
90,-0.01804519,-0.03338237,0.00782861,
91,-0.00002462,0.00292957,-0.0175282,
92,-0.00231412,-0.02195949,0.04022624,
93,0.04214647,-0.01344157,0.08239733,
94,-0.01804519,-0.01541103,0.03623809,
95,0.08562232,-0.03685354,-0.02383048,
96,0.00558835,0.02232877,-0.04263883,
97,-0.04453444,-0.00125553,0.03761671,
98,-0.02479059,0.00864101,-0.04128483,
99,-0.01395856,0.01031505,-0.0473163,
100,0.02306731,-0.01257993,-0.0076809,
101,0.06617389,-0.01654347,-0.00187099,
102,0.09384482,0.0010832,0.05423404,
103,0.00280648,-0.01127517,-0.0343671,
104,-0.01221066,-0.00152633,-0.03419477,
105,-0.06427829,-0.00167404,0.00600686,
106,-0.0229196,-0.0351795,0.04249112,
107,0.17574979,0.00273263,-0.01201371,
108,-0.00642537,0.02742475,0.00002462,
109,-0.09931008,-0.03658274,0.00169866,
110,-0.03700125,-0.01422936,0.01533718,
111,-0.03417015,-0.00888719,-0.0207532,
112,0.01026582,-0.00288034,-0.02730166,
113,-0.00374198,-0.02981272,0.00544064,
114,0.00908414,-0.02223029,0.00625304,
115,0.05598193,-0.01139826,0.03862606,
116,0.01634653,-0.01437707,-0.02698162,
117,-0.00265877,0.01257993,0.02355968,
118,-0.02476597,-0.00280648,0.04071861,
119,0.05800063,0.00051698,0.01718355,
120,-0.03333313,-0.0051206,-0.01898068,
121,0.11191463,-0.00521907,-0.0204824,
122,0.02109785,-0.00125553,-0.04507604,
123,-0.0362627,0.02993581,-0.0451499,
124,-0.05864071,0.01831599,-0.00928109,
125,-0.06666626,-0.02772017,0.01829137,
126,0.05534186,-0.01826675,-0.0048498,
127,-0.04190029,-0.02343659,0.07131911,
128,-0.02070396,-0.0261446,-0.02624307,
129,0.00179713,-0.00859177,0.02247648,
130,-0.00588377,-0.00425896,0.04822718,
