製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 14:43:02,10/10 14:43:02,10/10 14:43:02,
サンプリング周波数,200,200,200,
シーケンス数,6774,6774,6774,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01043814,0.00231412,0.00854254,
3,0.07808913,0.00324961,0.00115706,
4,-0.00465285,-0.03983235,-0.01450016,
5,-0.0148202,-0.03055127,0.04278654,
6,0.08338206,-0.00809941,0.03574572,
7,0.07067904,-0.00716391,-0.03924151,
8,-0.12577471,0.05388938,-0.14170273,
9,-0.05273232,-0.03547492,0.00312652,
10,-0.00445591,0.0093057,0.02845871,
11,-0.00142786,0.0076809,0.0686111,
12,-0.01541103,-0.06083173,0.0266862,
13,0.047981,-0.02235338,-0.03232378,
14,0.04478062,-0.01413088,-0.02676005,
15,0.00568682,-0.0022895,0.05238767,
16,-0.01053662,0.00524369,0.03353008,
17,0.02789249,0.02287037,-0.08786259,
18,-0.02348582,0.00411125,0.00859177,
19,-0.01245684,0.00349579,0.00386507,
20,0.00854254,-0.04928577,0.02823715,
21,0.15671987,-0.03035432,-0.01976847,
22,-0.03227454,0.0053914,-0.04106326,
23,-0.05152603,0.00022156,0.02562761,
24,-0.02077782,-0.03099439,0.0233135,
25,-0.03552416,-0.00044313,-0.01925148,
26,0.0167158,0.00585915,0.0442144,
27,0.03269306,0.01937457,-0.0448791,
28,0.04293425,0.02742475,-0.01043814,
29,-0.03591805,-0.01171829,-0.02705547,
30,-0.02136865,-0.01250608,-0.00881334,
31,-0.02619383,-0.00989654,-0.02087629,
32,-0.01356466,0.00199408,-0.0195469,
33,0.05017202,0.00115706,0.0338255,
34,-0.03444095,-0.07703055,-0.01974385,
35,0.02850795,-0.00499751,0.05381553,
36,-0.00071393,-0.01400779,-0.00091088,
37,0.00327423,-0.01843908,-0.05997009,
38,0.02213182,-0.01991618,0.05302774,
39,-0.02053163,-0.01472172,0.00792708,
40,-0.02811406,-0.02693238,-0.02013774,
41,-0.02988657,-0.00519445,-0.06230883,
42,0.05457869,-0.01450016,0.0179221,
43,0.0258738,0.00137862,-0.04783329,
