製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 14:54:00,10/10 14:54:00,10/10 14:54:00,
サンプリング周波数,200,200,200,
シーケンス数,6738,6738,6738,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.14313059,-0.01097975,-0.01484481,
3,-0.0200885,0.00782861,0.04679932,
4,-0.05928078,-0.0215656,0.12717795,
5,0.04069399,-0.00992116,0.05694205,
6,0.07479029,-0.02483983,-0.03547492,
7,-0.0051206,-0.0303297,-0.00667155,
8,0.02456903,-0.01799595,0.03906919,
9,-0.08047711,0.00408663,-0.07550422,
10,-0.04692241,0.0017479,-0.04386975,
11,-0.02599689,-0.0233135,0.01984232,
12,0.03956155,0.01287535,-0.12176194,
13,0.07821223,0.00347118,0.12446994,
14,-0.01533718,0.01080742,-0.01654347,
15,0.06575538,-0.01511561,0.03020661,
16,0.1225251,0.03136367,-0.13000905,
17,0.00755781,-0.00908414,0.07060518,
18,-0.03998006,-0.02919726,-0.00681926,
19,-0.11774916,0.00728701,-0.03552416,
20,-0.03842911,-0.03252073,0.04507604,
21,0.10504613,-0.00140324,-0.02996043,
22,-0.07764601,0.01031505,0.10312591,
23,-0.06070864,-0.01740511,0.0423188,
24,0.01270302,0.01085665,-0.06218574,
25,0.01878374,-0.02122094,-0.01147211,
26,0.01708508,0.02939421,0.00723777,
27,-0.01632191,-0.04251574,-0.01715893,
28,0.07818761,-0.00982269,0.05664663,
29,-0.0107828,-0.00989654,-0.05578499,
30,0.03663198,0.02690776,-0.10408602,
31,-0.01831599,-0.01910377,0.08227424,
32,-0.0136139,0.00489903,-0.03818293,
33,0.09586352,0.01984232,-0.0788523,
34,0.2504416,-0.05448022,0.02050701,
35,0.02483983,-0.02267342,0.06910347,
36,0.05320007,-0.01102898,0.05024588,
37,-0.19785699,-0.00546525,-0.02464288,
38,-0.08670553,-0.01297383,0.01447554,
39,-0.0346379,-0.01814366,0.01110284,
40,-0.04305734,-0.00605609,-0.05150141,
41,-0.06513993,0.00433281,-0.04207261,
42,0.05987162,0.00989654,-0.04807947,
43,-0.0285818,0.00273263,0.00905952,
44,0.0490642,0.00989654,0.02432285,
45,0.00041851,0.00691773,0.01942381,
46,-0.03845373,0.05152603,-0.0896351,
47,-0.02114709,-0.05800063,0.0746672,
48,-0.01208757,-0.03293924,-0.04330353,
49,0.00576067,0.00216641,0.00637613,
50,0.08852728,-0.02306731,-0.08621316,
51,0.06639546,-0.02506139,0.05361858,
52,0.3015245,-0.01523871,0.07412559,
53,-0.18404614,-0.0107828,-0.01984232,
54,-0.12639017,0.0039143,0.00224026,
55,-0.03554877,-0.01511561,0.02764631,
56,-0.03394859,0.00268339,-0.05408633,
57,-0.00327423,0.0039143,-0.01491867,
58,0.07855688,0.01235837,-0.02703085,
59,0.06021627,-0.0090349,0.03431786,
60,0.02607074,-0.01949767,-0.01043814,
61,0.1566214,0.01607573,0.01976847,
62,-0.13421878,0.01494329,-0.03973388,
63,-0.11292398,0.02821253,-0.11673981,
64,-0.05201839,-0.04379589,0.10969899,
65,-0.00438205,-0.02267342,-0.00411125,
66,0.08830571,0.02163945,-0.03429324,
67,-0.05684357,-0.07097446,0.02673544,
68,0.0359919,-0.00608071,-0.04017701,
69,0.10854193,0.00155095,-0.00814865,
70,-0.04226956,-0.02082705,-0.00009847,
71,-0.03340698,-0.00219103,0.04719321,
72,-0.03431786,0.01592802,-0.02882799,
73,-0.01745435,0.0033727,-0.04497757,
74,-0.00066469,-0.02528296,0.05881303,
75,0.2930312,-0.02195949,0.01117669,
76,-0.01976847,0.00339732,-0.02503677,
77,-0.17678376,0.00546525,0.01755282,
78,-0.0408417,0.01299844,0.03082207,
79,-0.02976348,0.01029043,-0.07131911,
80,0.01004425,-0.02235338,0.02095014,
81,0.01299844,-0.02567685,-0.01639576,
82,0.08237271,0.0125307,0.1523132,
83,0.015091,-0.00388969,-0.07119602,
84,0.04756249,-0.01413088,-0.02784326,
85,-0.08079714,-0.02419975,-0.00022156,
86,-0.01125055,-0.00913338,-0.03554877,
87,-0.01479558,-0.005933,-0.01605111,
88,0.02688314,-0.00472671,-0.01026582,
89,0.01964537,-0.0093057,0.01299844,
90,0.01799595,-0.00187099,-0.02186102,
91,0.04783329,0.00068931,-0.01285073,
92,0.04153101,0.01996541,-0.0719838,
93,-0.09889157,-0.00071393,0.07235308,
94,-0.01484481,-0.00019695,-0.00502213,
95,-0.04103865,-0.0167158,0.10839422,
96,0.09443566,-0.00977345,0.01457401,
97,0.13599129,0.01999003,-0.06009318,
98,0.11331787,-0.01486943,0.02016236,
99,-0.0365335,-0.0308713,-0.0102412,
100,-0.05972391,0.01152135,0.04817794,
101,-0.01371237,-0.02176255,-0.02772017,
102,0.00908414,-0.01154597,-0.04162948,
103,0.05694205,0.01137364,-0.0362627,
104,-0.07383017,-0.02168869,-0.00352041,
105,-0.01457401,-0.01299844,0.01026582,
106,-0.04103865,-0.01211219,0.00999502,
107,0.10519384,0.00064007,-0.01277688,
108,0.05726208,-0.02451979,0.00014771,
109,0.0513537,0.00022156,0.00450514,
110,0.02543067,0.00118168,0.01799595,
111,-0.08375134,0.01282612,-0.02555376,
112,-0.04298349,0.0093057,0.00192022,
113,0.06127486,-0.01346619,0.11083143,
114,-0.03215145,-0.00531755,0.07624276,
115,-0.03621347,0.01358928,-0.12178655,
116,0.13116611,-0.01738049,0.11159459,
117,0.03303771,-0.00334808,-0.03732129,
118,-0.01720817,0.01922686,-0.1237314,
119,-0.04635619,-0.02272266,-0.00834559,
120,0.00829636,0.01235837,-0.0067454,
121,-0.09288471,-0.02865566,0.00128015,
122,0.06750328,-0.00709006,-0.00918261,
123,0.05063977,-0.00785323,0.01905454,
124,0.00241259,-0.00236335,0.00096011,
125,-0.0885519,0.01435245,0.01976847,
126,0.01863603,-0.00992116,0.00130477,
127,0.08453912,-0.00398816,0.03722282,
128,-0.10937895,0.00605609,-0.04404207,
129,0.01602649,0.04716859,-0.01831599,
130,-0.06797103,-0.02279651,-0.00105859,
131,-0.02390433,-0.01898068,0.01528794,
132,0.08988128,-0.01115207,0.01275226,
133,-0.02205796,-0.0095765,-0.01405703,
134,0.1186108,-0.01299844,-0.02823715,
135,0.01154597,0.00696697,-0.03449019,
136,-0.10196885,-0.01139826,0.07661204,
137,-0.09775913,-0.02936959,-0.00644999,
138,-0.03638579,-0.01036429,-0.00901028,
139,0.071713,0.005933,-0.03441633,
140,0.06147181,0.00519445,0.04399284,
141,-0.01738049,-0.01405703,-0.01605111,
142,-0.02895108,0.00167404,0.02383048,
143,-0.04544532,0.00721315,-0.11304707,
144,-0.03264382,0.0064746,0.01358928,
145,-0.00374198,0.00280648,0.02648925,
146,-0.01216142,-0.00334808,0.12685792,
147,0.01472172,0.01521409,-0.04190029,
148,-0.04180181,-0.00177252,0.04039857,
149,0.05750827,-0.00802555,-0.11395795,
150,-0.00908414,-0.00526831,-0.04401746,
