製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 14:46:00,10/10 14:46:00,10/10 14:46:00,
サンプリング周波数,200,200,200,
シーケンス数,7073,7073,7073,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.05300312,-0.01713431,-0.00696697,
3,-0.01410627,0.0475871,0.01779901,
4,-0.01782362,-0.03813369,0.10541541,
5,-0.01139826,0.05093519,-0.05817296,
6,-0.01755282,-0.00292957,0.0334316,
7,0.00704082,-0.01413088,-0.06678935,
8,0.00994578,0.02223029,0.19354879,
9,0.0130723,0.00056622,-0.0149679,
10,0.06051169,0.10800033,-0.09409101,
11,0.05199377,-0.04571612,0.03505641,
12,0.01708508,-0.07860612,-0.02456903,
13,-0.02767093,-0.0306005,0.02146713,
14,0.07838455,-0.0067454,-0.05179683,
15,-0.06479527,-0.0349087,0.16127425,
16,-0.05324931,0.06654317,-0.04293425,
17,-0.01053662,-0.08778873,-0.11006826,
18,-0.00265877,0.10408602,0.07321472,
19,0.02296884,0.01154597,0.04918729,
20,0.01381085,-0.02981272,0.05150141,
21,-0.00494827,0.00790246,-0.12282052,
22,0.03148676,0.01683889,0.05541571,
23,-0.0040374,0.03810907,-0.05017202,
24,-0.00238797,-0.07456872,0.10502152,
25,-0.0390938,-0.00595762,0.08389904,
26,-0.02488907,0.00723777,-0.10110721,
27,-0.00920723,-0.03727205,-0.07355937,
28,0.03146214,-0.02949268,-0.07611967,
29,0.0094288,0.00548987,-0.0413833,
30,-0.05115675,-0.05888689,0.00802555,
31,0.07023591,-0.0235843,0.04803023,
32,-0.02053163,0.03232378,-0.01646962,
33,-0.01430321,-0.03055127,-0.03929075,
34,-0.04601154,-0.03973388,0.08611469,
35,-0.01799595,0.04022624,-0.07429792,
36,0.00758243,-0.06457371,0.00482518,
37,0.01250608,0.12146652,0.09566658,
38,0.08375134,0.01467249,-0.12491307,
39,0.06587848,0.0459623,0.13003367,
40,-0.02250109,-0.06612466,0.00118168,
41,-0.02417514,-0.08535152,-0.03675507,
42,-0.03252073,-0.0470455,-0.0022895,
43,0.02698162,0.00302805,-0.04180181,
44,-0.0734609,-0.03109287,-0.0229196,
45,0.0051206,-0.01065971,-0.09254006,
46,-0.04113712,-0.07835994,0.0334316,
47,-0.01696198,-0.0882811,0.01011811,
48,0.03357931,0.14251513,-0.09177689,
49,-0.02533219,-0.02287037,0.08712404,
50,-0.00780399,-0.01383546,-0.05832067,
51,0.02636616,-0.02299346,-0.02740013,
52,0.0459623,0.01312153,0.00544064,
53,-0.00078778,-0.01065971,-0.02663696,
54,0.0337024,0.02545529,-0.0899059,
55,0.01164444,0.04217109,0.11112685,
