製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:02:30,10/16 16:02:30,10/16 16:02:30,
サンプリング周波数,200,200,200,
シーケンス数,6571,6571,6571,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.03685354,-0.00324961,0.20671957,
3,0.07277159,-0.01629729,-0.16922595,
4,0.03143752,-0.0079517,-0.0516245,
5,0.058493,-0.00817326,-0.01102898,
6,0.02518448,-0.01100436,-0.05201839,
7,0.04697165,-0.00925647,-0.01395856,
8,0.1471926,0.00632689,0.04967966,
9,-0.00192022,-0.01639576,0.04015239,
10,0.03998006,-0.03387473,0.00475133,
11,0.00925647,-0.00179713,-0.00241259,
12,-0.00733624,0.00137862,-0.07178686,
13,-0.02193487,-0.00224026,-0.07589811,
14,-0.01097975,-0.00716391,0.00704082,
15,0.04396822,-0.00017233,-0.01112746,
16,0.04342662,-0.0181929,0.00905952,
17,-0.02752322,-0.01573107,0.0555388,
18,0.05595731,0.00598224,-0.06681397,
19,-0.01959614,-0.00014771,0.08717327,
20,-0.00728701,-0.01147211,-0.00068931,
21,0.01248146,-0.00521907,0.05891151,
22,0.02784326,-0.00790246,-0.09106296,
23,0.03830602,-0.01656809,-0.06686321,
24,0.04544532,-0.00955189,0.00866563,
25,0.00576067,-0.00039389,-0.13953632,
26,-0.01610034,-0.01075818,0.01302306,
27,-0.00696697,-0.02353506,-0.02360892,
28,-0.01097975,-0.00546525,-0.01432783,
29,0.00088626,-0.00462823,0.06518916,
30,0.13594206,-0.00694235,-0.02427361,
31,0.01499252,-0.01730664,-0.02525834,
32,0.01922686,-0.01137364,0.06555844,
33,-0.04992584,0.00524369,-0.0451499,
34,-0.01506638,0.01302306,0.0757504,
35,0.01632191,-0.00556373,-0.02922188,
36,-0.00002462,-0.00733624,0.06211188,
37,0.01607573,-0.01486943,-0.03525335,
38,0.07001434,0.00315114,-0.0377398,
39,0.03116672,-0.00780399,-0.02434746,
40,-0.03695201,-0.00452976,0.04546993,
41,-0.0246675,-0.00046775,0.18000875,
42,0.01868526,-0.00482518,-0.1528548,
43,0.03340698,-0.02496292,-0.06176723,
44,0.04746401,-0.00662231,-0.03227454,
45,-0.02395357,-0.01548489,0.11789687,
46,0.01639576,-0.01063509,-0.02789249,
47,-0.04150639,-0.00411125,-0.02582456,
48,-0.0258738,0.00324961,0.03677969,
49,-0.00866563,-0.00760704,0.03444095,
50,0.00524369,-0.01484481,-0.05494797,
51,0.00893643,-0.0094288,0.00782861,
52,0.00642537,-0.00548987,0.01240761,
53,0.01179215,-0.00317576,-0.04707012,
54,0.09177689,-0.00551449,0.0799355,
55,0.00758243,-0.01866064,0.06083173,
56,-0.10201809,0.00169866,-0.08586851,
57,-0.04015239,-0.0087641,0.01691275,
58,-0.00681926,-0.00224026,0.06085635,
59,0.00901028,-0.00115706,-0.08781335,
60,0.05546495,-0.00416049,0.01285073,
61,0.1281873,-0.01952228,0.09953164,
62,0.02072858,-0.00856716,-0.0746672,
63,-0.05302774,0.00312652,0.06272734,
64,-0.04982737,-0.00137862,0.01934996,
65,-0.03301309,-0.00891181,-0.08096947,
66,-0.0203593,0.00288034,-0.08360363,
67,0.0115952,-0.00162481,0.03000966,
68,0.03995544,-0.01762668,-0.07887692,
69,0.03092054,-0.00142786,0.0133431,
70,0.04229418,-0.00649922,0.01238299,
71,-0.03980773,-0.00940418,-0.04096479,
72,-0.0010832,0.00322499,-0.01838984,
73,0.02242724,-0.01073356,0.08335744,
74,0.10443068,-0.01063509,0.0529785,
75,-0.00214179,0.0148202,0.01806981,
76,-0.03872453,-0.00420972,-0.09876848,
77,-0.01001963,-0.00219103,-0.00386507,
78,-0.00411125,-0.01408165,-0.01287535,
79,0.02447055,-0.01459863,-0.00699159,
80,0.02072858,-0.00056622,0.09189998,
81,0.0788523,-0.01270302,-0.04662699,
82,-0.03554877,0.00819788,-0.01112746,
83,-0.01088127,0.00029542,-0.08178187,
84,-0.02040854,-0.01198909,-0.02811406,
85,0.01184139,0.00078778,-0.09463261,
86,0.04795638,-0.004579,0.00105859,
87,-0.0076809,-0.01356466,0.05002431,
88,0.00992116,-0.01164444,-0.03256996,
89,0.04256498,-0.01880835,0.02983734,
90,0.0159034,-0.02272266,0.10987131,
91,0.03906919,0.011866,-0.00888719,
92,-0.03067436,-0.00736086,-0.0983992,
93,-0.01669118,0.0136139,-0.00428358,
94,-0.01437707,-0.00952727,-0.02491368,
95,-0.0010832,-0.00716391,-0.01233375,
96,0.04354971,-0.01137364,0.14128422,
97,0.04081708,-0.0148202,0.00125553,
98,0.01843908,-0.01363852,-0.09524806,
99,-0.01314615,0.00039389,-0.08035401,
100,-0.03067436,0.00017233,-0.02727704,
101,-0.01358928,-0.004579,-0.07222999,
102,-0.01363852,-0.00164942,-0.01750359,
103,0.02028545,-0.01659271,0.02405204,
104,-0.01523871,-0.00514522,0.01238299,
105,-0.00243721,-0.00241259,-0.03389935,
106,0.0130723,-0.01223528,0.04601154,
107,0.05987162,-0.00359427,-0.00056622,
108,0.06944812,-0.01161982,0.14972828,
109,0.01014272,-0.00920723,-0.06417982,
110,-0.03192989,-0.00644999,-0.04241727,
111,-0.06580462,-0.00669617,-0.13956094,
112,0.01036429,-0.00711468,-0.07922157,
113,0.03296386,-0.01730664,0.17678376,
114,-0.00524369,-0.01454939,-0.09980244,
115,-0.02028545,0.00536678,-0.11085604,
116,0.01073356,-0.00470209,-0.10172267,
117,0.00004924,-0.00226488,-0.05147679,
118,-0.01014272,-0.00324961,-0.0289757,
119,-0.00507136,-0.00962574,0.01134902,
120,0.0371982,-0.00731162,0.04354971,
121,0.04891649,-0.00937956,-0.02501216,
122,0.00915799,-0.00637613,0.03047741,
123,0.01245684,0.00014771,0.03604114,
124,0.02579994,-0.00423434,-0.03842911,
125,0.03574572,-0.01102898,0.02442132,
126,0.0167158,-0.01125055,-0.03530259,
127,0.05952696,-0.01693737,0.01565722,
128,-0.00773013,-0.00470209,-0.17538051,
129,-0.06048708,-0.00534216,-0.05868994,
130,-0.04091556,-0.00317576,-0.01228451,
131,-0.02491368,-0.00814865,0.14369681,
132,0.00004924,-0.01578031,-0.06472142,
133,0.01314615,-0.0051206,-0.02328888,
134,0.00915799,-0.00588377,-0.01189062,
135,0.01851293,-0.00489903,-0.00499751,
136,0.08340668,-0.00753319,-0.00152633,
137,0.00937956,-0.01201371,0.08983205,
138,0.04995046,-0.01134902,-0.03424401,
139,-0.02159022,0.00118168,0.03488408,
140,-0.03148676,0.00248644,-0.08953663,
141,-0.02247648,-0.0095765,0.08722251,
142,0.02592303,-0.00736086,-0.05706514,
143,0.06122562,-0.00130477,0.05393862,
144,-0.02023621,-0.00977345,-0.08606545,
145,0.00157557,-0.00497289,-0.05644968,
146,0.02801558,-0.00657308,-0.03227454,
147,0.00155095,0.01043814,-0.04450982,
148,0.01142287,-0.00376659,0.10305205,
149,0.02434746,-0.01299844,-0.10024557,
150,0.03609038,-0.01888221,-0.03133905,
151,-0.04266345,-0.00851792,-0.01573107,
152,0.01093051,0.00694235,-0.10307667,
