製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 15:59:33,10/16 15:59:33,10/16 15:59:33,
サンプリング周波数,200,200,200,
シーケンス数,6489,6489,6489,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00807479,-0.00433281,-0.02968963,
3,0.00376659,-0.0133431,0.01376161,
4,0.00743472,-0.0040374,0.15580899,
5,0.00100935,0.00273263,0.10563697,
6,-0.00324961,0.03195451,-0.01285073,
7,0.00204332,-0.03451481,0.02269804,
8,0.00622842,-0.01336772,0.07013744,
9,-0.07474105,-0.00999502,0.01592802,
10,0.07525803,-0.01718355,0.03067436,
11,0.00216641,-0.01651886,0.11309631,
12,-0.02346121,-0.00918261,0.10681865,
13,0.00388969,-0.00199408,-0.20275602,
14,0.0087641,-0.01718355,-0.06851263,
15,0.00526831,-0.00814865,-0.06543535,
16,-0.06445062,-0.01250608,-0.03239764,
17,0.12107262,0.00396354,0.27242571,
18,0.06452447,-0.00844406,-0.09505112,
19,-0.01257993,-0.01336772,-0.06255501,
20,-0.0338255,-0.01174291,-0.04778405,
21,-0.0195469,-0.00275725,0.04399284,
22,0.02245186,0.00733624,-0.05332316,
23,-0.00622842,-0.00275725,-0.00142786,
24,-0.00204332,-0.00032004,-0.03254535,
25,-0.00482518,-0.01223528,0.01472172,
26,-0.00384045,-0.00536678,0.04052166,
27,-0.00145248,-0.00519445,-0.04643005,
28,0.05864071,0.00305266,0.27149022,
29,0.03380088,-0.03709972,-0.13948709,
30,-0.04773481,-0.00420972,-0.04844874,
31,-0.02594765,0.00088626,-0.08212653,
32,0.01789748,-0.00684388,0.10797571,
33,-0.00462823,-0.00965036,0.00352041,
34,0.00268339,-0.0053914,0.04276193,
35,0.00576067,-0.01184139,0.06368745,
36,0.00300343,-0.0146971,-0.08079714,
37,0.00226488,0.00017233,-0.09364788,
38,-0.01445092,-0.00642537,0.03284076,
39,0.0318068,-0.00489903,0.02545529,
40,0.00871487,-0.00649922,0.09254006,
41,-0.08323435,-0.00598224,0.0008124,
42,0.04350047,-0.01208757,0.05684357,
43,0.00041851,0.00482518,-0.06526302,
44,0.0318068,0.01238299,0.12080182,
45,-0.01666656,-0.01275226,0.0459623,
46,-0.01831599,-0.01504176,-0.03407168,
47,0.00083702,-0.00780399,0.03941384,
48,-0.00435743,-0.00785323,0.01868526,
49,0.01147211,-0.0031019,0.070359,
50,0.01979308,-0.00152633,0.05913307,
51,-0.02685853,-0.0068685,0.07747368,
52,0.01250608,-0.00716391,0.11245623,
53,0.00918261,-0.0048498,0.06063478,
54,0.02808944,-0.00827174,-0.00199408,
55,-0.00354503,-0.00401278,-0.04611001,
56,0.00497289,-0.01238299,-0.00376659,
57,0.00211717,-0.01208757,0.17803929,
58,0.0149679,-0.00524369,0.11907854,
59,0.02530758,-0.02095014,-0.09308166,
60,-0.0133431,-0.01523871,0.03879838,
61,-0.02127018,-0.00950265,-0.03633656,
62,0.00305266,0.0074101,-0.07023591,
63,-0.00096011,0.00177252,-0.01289997,
64,0.00642537,-0.00733624,0.05332316,
65,0.01619882,-0.02247648,0.06122562,
66,0.01272764,-0.00576067,0.08067405,
67,-0.00238797,-0.0040374,0.11590279,
68,0.02690776,-0.00096011,0.0285818,
69,0.00718853,0.00041851,0.02464288,
70,-0.01696198,-0.0115952,0.02065472,
71,0.01248146,-0.00694235,0.06984202,
72,0.04359895,-0.0010832,0.07523342,
73,0.01351543,-0.02936959,0.00681926,
74,-0.00846868,-0.00302805,0.11073295,
75,-0.02223029,-0.00487442,0.00324961,
76,0.0095765,0.00187099,-0.0814126,
77,0.01309692,-0.01068433,-0.02299346,
78,-0.09788222,-0.01826675,0.0742733,
79,0.05640044,-0.00625304,0.06747866,
80,0.00361888,0.00450514,0.18375072,
81,0.00066469,-0.00489903,-0.03375164,
82,-0.00164942,-0.00253568,-0.06545996,
83,0.0133431,-0.00413587,-0.01061047,
84,0.03810907,-0.00913338,0.05039359,
85,0.00064007,-0.00920723,0.05585884,
86,0.00967498,-0.00667155,0.03461328,
87,0.01223528,-0.00841945,-0.05425865,
88,0.00544064,0.00420972,0.02594765,
89,0.00681926,-0.01272764,0.20639953,
90,-0.03131443,-0.00339732,-0.11390871,
91,0.0575575,-0.00711468,0.02594765,
92,-0.03813369,0.01410627,0.16006795,
93,0.00327423,-0.0110536,-0.01080742,
94,0.01708508,-0.0110536,-0.00312652,
95,-0.02309193,-0.00051698,-0.01245684,
96,-0.01272764,-0.00371736,-0.00841945,
97,0.00297881,0.00076317,0.07257464,
98,-0.01196448,-0.00945341,-0.0615949,
99,0.03128981,-0.01100436,0.03308695,
100,-0.00118168,-0.01646962,0.00413587,
101,0.01134902,0.01134902,0.03956155,
102,0.00792708,0.01582954,0.00425896,
103,0.01080742,-0.01848832,0.05947773,
104,-0.00736086,-0.00834559,0.07075289,
105,0.04010315,-0.01445092,0.05123061,
106,-0.00477594,-0.00526831,-0.01102898,
107,-0.00396354,-0.00305266,0.09113681,
108,-0.00711468,0.00251106,0.04633157,
109,0.00167404,-0.00881334,0.10723716,
110,0.02703085,-0.00507136,-0.05494797,
111,0.04199876,-0.0102412,0.04803023,
112,-0.02762169,-0.02390433,-0.03170832,
113,-0.02328888,-0.00649922,0.06405672,
114,0.00893643,-0.00177252,0.18453851,
115,0.04150639,-0.00359427,0.01257993,
116,0.00827174,-0.00544064,-0.06061017,
117,-0.01031505,-0.00691773,0.02703085,
118,-0.00797632,-0.00851792,0.00145248,
119,0.0266862,-0.010512,0.04790714,
120,0.02515987,-0.00462823,0.06799565,
121,0.02715395,-0.01523871,-0.08601622,
122,-0.01521409,-0.0068685,-0.00482518,
123,-0.0203593,0.00472671,0.08266813,
124,-0.02058087,0.00534216,-0.04180181,
125,-0.00521907,-0.00100935,0.11331787,
126,-0.01001963,-0.01789748,-0.06996511,
127,-0.00100935,-0.00679464,0.05172297,
128,0.00248644,-0.00534216,-0.06198879,
129,0.00896105,0.00100935,0.05002431,
130,0.00093549,0.00206793,0.13448958,
131,0.0181929,-0.02161484,0.00901028,
132,0.00401278,-0.00475133,-0.0970452,
133,-0.01221066,0.00489903,-0.01939919,
134,0.00194484,-0.00157557,0.0896351,
135,0.01642038,-0.00317576,0.09020132,
136,-0.00859177,-0.00241259,0.02274728,
137,0.00125553,-0.01666656,0.00965036,
138,0.02395357,-0.01250608,-0.00285572,
139,0.03820755,-0.0039143,0.00251106,
140,0.01363852,-0.01038891,-0.01299844,
141,-0.02759707,-0.00288034,0.00681926,
142,0.02112247,0.00068931,0.04155563,
143,-0.06024089,-0.0153618,0.06555844,
144,0.10947742,-0.01804519,0.00007385,
145,-0.01683889,-0.00642537,-0.03623809,
146,0.01408165,0.00450514,0.04546993,
147,-0.00561296,-0.00755781,-0.02501216,
148,0.00487442,-0.00312652,0.03756747,
149,-0.02045778,0.01336772,0.17070304,
