製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:05:28,10/16 16:05:28,10/16 16:05:28,
サンプリング周波数,200,200,200,
シーケンス数,6728,6728,6728,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01669118,0.00076317,0.04940886,
3,0.03190527,-0.00612995,-0.00509598,
4,-0.0079517,-0.01270302,-0.00034466,
5,-0.04709474,-0.00460362,-0.03970926,
6,-0.0020187,-0.00334808,0.02360892,
7,0.01740511,0.00083702,-0.07685822,
8,-0.00544064,-0.00967498,0.05910845,
9,0.01989156,-0.0200885,-0.02365815,
10,-0.05265847,-0.01639576,0.16910286,
11,0.00243721,-0.01878374,-0.1523132,
12,0.01437707,-0.01102898,-0.01272764,
13,0.0022895,-0.00132939,-0.01614958,
14,-0.00354503,-0.0133431,-0.00536678,
15,-0.0149679,-0.01479558,0.00342194,
16,0.02119633,-0.02023621,-0.00224026,
17,0.00401278,-0.0161742,0.09091525,
18,0.02538143,-0.01885759,0.01740511,
19,-0.03449019,-0.00765628,-0.06477065,
20,-0.01592802,-0.01248146,0.10563697,
21,-0.00438205,-0.01110284,-0.10780338,
22,-0.01282612,-0.01250608,-0.00396354,
23,-0.01425398,-0.00851792,-0.03190527,
24,-0.01115207,-0.00278186,-0.02262418,
25,-0.01511561,-0.01499252,0.09615894,
26,0.02816329,-0.00881334,-0.00846868,
27,0.00571144,-0.01676504,0.02887722,
28,-0.01262917,-0.00657308,-0.10418449,
29,-0.00605609,-0.01102898,-0.08301279,
30,0.01418012,-0.01161982,-0.00482518,
31,0.0020187,-0.01147211,0.01031505,
32,0.00659769,-0.01457401,0.1245438,
33,-0.06139795,-0.00901028,-0.03970926,
34,0.06243192,-0.0122599,-0.03493332,
35,-0.02579994,-0.02176255,-0.02442132,
36,0.00937956,-0.01314615,-0.03636118,
37,-0.00438205,-0.02028545,0.00684388,
38,-0.01208757,-0.00994578,-0.00290496,
39,0.03966002,-0.0167158,0.00278186,
40,0.02602151,-0.02003927,-0.0040374,
41,-0.02058087,-0.00982269,-0.05492335,
42,-0.03350546,-0.00305266,-0.02845871,
43,-0.01026582,-0.01349081,-0.00802555,
44,0.04130945,-0.01484481,-0.00162481,
45,0.04864569,-0.01750359,0.11868465,
46,-0.042048,-0.01863603,0.00189561,
47,-0.04502681,-0.01011811,-0.02735089,
48,-0.00322499,-0.00982269,0.02095014,
49,-0.0133431,-0.010512,-0.08217577,
50,0.03613961,-0.01275226,-0.03596728,
51,0.03687816,-0.01211219,0.22136743,
52,-0.00312652,-0.01602649,-0.1373453,
53,-0.02579994,-0.0122599,-0.06309661,
54,-0.0087641,-0.01868526,-0.04199876,
55,0.00194484,-0.01651886,-0.0403001,
56,-0.0051206,-0.01976847,-0.00736086,
57,0.00758243,-0.01922686,0.00039389,
58,0.0403001,-0.00792708,-0.00125553,
59,0.01767591,-0.02245186,0.01531256,
60,-0.02676005,-0.01491867,0.04633157,
61,-0.02097476,-0.00625304,0.02850795,
62,-0.0110536,-0.00544064,0.02712933,
63,-0.03887224,-0.01208757,0.01915301,
64,0.03254535,-0.00489903,-0.05824681,
65,-0.00243721,-0.00632689,0.03045279,
66,-0.00076317,-0.01322001,0.07587349,
67,0.02099938,-0.00625304,0.01019196,
68,0.01757744,-0.01868526,-0.12860581,
69,0.01080742,-0.02796635,-0.06553382,
70,0.04167872,-0.02060549,-0.01410627,
71,0.00965036,-0.01848832,-0.00128015,
72,-0.0442144,-0.01319539,-0.01767591,
73,-0.04576535,-0.00509598,-0.02058087,
74,-0.03973388,-0.01324463,0.01248146,
75,-0.01947305,-0.01893145,-0.016445,
76,-0.01558336,-0.0195469,-0.00502213,
77,-0.00497289,-0.01196448,-0.00440667,
78,-0.00610533,-0.0133431,-0.00034466,
79,0.0020187,-0.01430321,0.00292957,
80,-0.00460362,-0.01248146,0.00130477,
81,0.00521907,-0.00339732,0.04871955,
82,-0.00251106,-0.01459863,0.1071633,
83,-0.02501216,-0.0148202,0.15787693,
84,-0.01989156,-0.01149673,-0.1533964,
85,0.0110536,-0.005933,-0.07146682,
86,0.02737551,-0.01312153,-0.01683889,
87,-0.00374198,-0.02099938,0.06184108,
88,-0.02407666,-0.00718853,-0.00937956,
89,0.00140324,-0.01479558,-0.04679932,
90,-0.0096996,-0.01669118,-0.0215656,
91,-0.01363852,-0.01198909,-0.0020187,
92,0.01358928,-0.00933032,0.00731162,
93,-0.00802555,-0.00728701,0.03820755,
94,0.00339732,-0.00913338,0.04945809,
95,0.04955657,-0.02028545,0.00428358,
96,0.01294921,-0.01688813,0.09377097,
97,-0.03788751,-0.01149673,0.00551449,
98,-0.03306233,0.0053914,-0.00524369,
99,-0.03202836,-0.01774977,0.03825678,
100,-0.01499252,-0.00881334,-0.02607074,
101,-0.05024588,-0.00041851,-0.00832097,
102,0.01474634,-0.00598224,-0.15701529,
103,0.01607573,-0.02419975,-0.01666656,
104,-0.01393394,-0.01164444,-0.02131942,
105,-0.04497757,-0.00866563,-0.04327891,
106,-0.02476597,0.00494827,-0.00445591,
107,-0.00871487,-0.00440667,0.02922188,
108,-0.00359427,-0.00925647,0.01048738,
109,-0.02119633,-0.00758243,0.01777439,
110,-0.01979308,-0.02282113,0.02195949,
111,-0.00211717,-0.01201371,0.0601178,
112,0.02082705,-0.01164444,-0.01356466,
113,0.00007385,-0.01129978,0.04347585,
114,-0.04017701,-0.01693737,0.13057527,
115,-0.02397819,-0.0048498,-0.0200885,
116,-0.03362855,-0.01381085,-0.0090349,
117,-0.03082207,-0.01097975,-0.09064445,
118,-0.02360892,-0.02053163,-0.04150639,
119,0.00817326,-0.01875912,-0.05352011,
120,-0.02656311,-0.01757744,-0.04687318,
121,-0.03055127,-0.00425896,-0.00120629,
