製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 15:56:50,10/16 15:56:50,10/16 15:56:50,
サンプリング周波数,200,200,200,
シーケンス数,7474,7474,7474,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.02850795,-0.00194484,-0.06292428,
3,-0.03217607,-0.00920723,-0.00612995,
4,-0.00669617,-0.00657308,-0.00568682,
5,-0.03953693,0.00408663,0.03451481,
6,0.04350047,0.00224026,0.09204769,
7,0.0187345,-0.00162481,-0.01646962,
8,0.07134373,0.00115706,0.07419945,
9,0.03109287,-0.00115706,-0.10873887,
10,-0.01100436,-0.0076809,0.0246675,
11,-0.02491368,-0.00425896,0.16159429,
12,0.01851293,-0.00888719,0.04433749,
13,0.01789748,-0.01080742,-0.12429762,
14,-0.0175282,-0.00263415,-0.04546993,
15,-0.01137364,-0.00130477,0.03899533,
16,0.02422437,-0.00398816,-0.0008124,
17,0.00280648,0.0161742,-0.06373669,
18,-0.00275725,-0.01248146,0.00999502,
19,0.01277688,-0.01713431,0.05987162,
20,0.04177719,-0.00509598,0.02789249,
21,0.05844376,-0.01558336,0.01036429,
22,-0.03092054,-0.00219103,0.07370708,
23,-0.0292465,-0.00046775,-0.0394877,
24,-0.01425398,-0.00428358,-0.03318542,
25,-0.0095765,-0.00723777,0.04052166,
26,-0.02287037,-0.01383546,0.24785669,
27,0.07882768,-0.00809941,-0.13988098,
28,-0.00004924,0.0010832,-0.0179221,
29,-0.01669118,-0.00974883,-0.04473139,
30,0.00379121,-0.00352041,0.08200344,
31,-0.02262418,-0.00300343,0.09891619,
32,0.05278156,-0.01420474,-0.11917702,
33,0.05228919,-0.00617918,-0.01843908,
34,0.01664195,0.00009847,-0.02077782,
35,-0.01270302,0.00657308,0.09837458,
36,-0.01986694,-0.00219103,-0.02011312,
37,-0.0008124,-0.00819788,0.01962076,
38,0.00169866,-0.00022156,0.09332784,
39,0.02119633,-0.00625304,0.00064007,
40,0.01610034,-0.01974385,-0.10285511,
41,0.03892148,0.00002462,-0.0513537,
42,0.06120101,-0.00583453,0.0371982,
43,-0.00753319,0.0033727,-0.12316518,
44,-0.0663216,0.0064746,0.20799972,
45,-0.01491867,-0.00546525,-0.0516245,
46,0.00231412,0.00408663,-0.00548987,
47,-0.04746401,-0.01836523,-0.13906858,
48,0.07735059,-0.00477594,-0.02927112,
49,0.00672079,-0.01031505,-0.03222531,
50,-0.00361888,-0.00913338,0.11710908,
51,-0.01166906,-0.00216641,-0.07646433,
52,-0.01861141,0.00009847,0.02469212,
53,-0.03375164,-0.00977345,0.10100874,
54,0.02902493,-0.01363852,0.01147211,
55,-0.01634653,-0.01127517,-0.01868526,
56,0.01986694,-0.01149673,0.07523342,
57,-0.00839483,-0.01393394,0.16459772,
58,0.0192761,0.00561296,-0.09276162,
59,-0.01285073,-0.01137364,0.04618386,
60,0.03389935,-0.00644999,-0.06457371,
61,0.01100436,-0.00265877,-0.0916538,
62,-0.01592802,-0.00608071,-0.05881303,
63,-0.00460362,-0.0002708,0.09308166,
64,0.01934996,-0.00224026,-0.00846868,
65,0.00758243,-0.00600686,-0.00253568,
66,0.00022156,-0.00878872,0.0646968,
67,-0.00339732,-0.00273263,0.07525803,
68,0.00004924,0.00548987,-0.04300811,
69,0.01174291,0.00078778,0.01656809,
70,0.0215656,-0.01664195,-0.03579496,
71,0.03013276,-0.01445092,-0.09965473,
72,0.0146971,0.00556373,0.05159988,
73,-0.10994517,-0.00019695,-0.09372173,
74,0.12890123,-0.00797632,0.0669863,
75,-0.08089562,-0.00563758,-0.01260455,
76,0.01381085,-0.00224026,0.05947773,
77,-0.09756218,-0.01036429,-0.02540605,
78,0.06612466,-0.00731162,-0.05494797,
79,-0.03867529,-0.00428358,0.05974853,
80,0.02065472,0.01622344,0.0115952,
81,-0.03143752,-0.01629729,-0.04162948,
82,-0.00659769,-0.0079517,-0.04839951,
83,0.00398816,-0.00856716,0.12080182,
84,0.02737551,-0.00017233,0.00093549,
85,-0.00696697,-0.00494827,-0.06090559,
86,0.00177252,-0.01171829,0.04992584,
87,0.00408663,-0.00937956,0.04921191,
88,-0.03924151,-0.00083702,0.13648366,
89,0.03156061,-0.00059084,-0.06299814,
90,-0.0962328,-0.02250109,-0.09719291,
91,0.05004893,-0.00888719,-0.00260954,
92,0.01728202,0.00472671,-0.12414991,
93,-0.01728202,0.00992116,0.18015646,
94,-0.00359427,-0.0125307,-0.1168629,
95,0.00317576,-0.01110284,-0.06678935,
96,0.0087641,-0.00120629,0.01152135,
97,0.0295173,-0.00526831,0.16011719,
98,0.05063977,-0.00216641,0.23114088,
99,-0.05989624,-0.00177252,0.01068433,
100,0.05721285,-0.01986694,-0.09187536,
101,-0.04089094,-0.011866,0.16280058,
102,-0.02267342,-0.00477594,-0.31865881,
103,-0.01235837,-0.01203833,-0.1451739,
104,0.02220567,0.00115706,-0.0380106,
105,0.01029043,-0.00248644,0.02257495,
106,0.07720288,-0.00940418,0.01147211,
107,-0.04143254,-0.011866,0.14766035,
108,0.03554877,-0.01816828,0.0394877,
109,-0.04005392,0.01117669,-0.10738487,
110,-0.03362855,0.00519445,0.04116174,
111,-0.00327423,0.00384045,0.30684205,
112,0.00544064,-0.00408663,-0.05091057,
113,-0.00120629,-0.00433281,-0.00462823,
114,-0.00128015,-0.00600686,-0.15093458,
115,0.01029043,-0.01393394,-0.13111688,
116,0.00846868,-0.00588377,-0.0096996,
117,0.0274986,-0.00896105,-0.04620848,
118,0.00765628,-0.00869025,0.01176753,
119,0.04162948,0.01110284,0.07671051,
120,0.01484481,-0.0266862,-0.0002708,
121,0.01595264,-0.0076809,-0.02171331,
122,-0.00322499,-0.005933,-0.04079246,
123,-0.00839483,-0.00438205,-0.0064746,
124,0.00637613,-0.00398816,0.05002431,
125,0.00556373,-0.00130477,0.36491653,
126,-0.00128015,0.00945341,-0.22449395,
127,-0.04815332,-0.00760704,0.32697979,
128,0.09874386,-0.01676504,-0.33919045,
129,-0.05347087,0.00790246,-0.20785201,
130,-0.02779402,-0.00711468,-0.12685792,
131,-0.01289997,-0.0040374,0.01238299,
132,-0.0068685,-0.00416049,0.04618386,
133,0.01065971,-0.00499751,-0.00354503,
134,-0.00118168,-0.00819788,-0.09682363,
135,0.02604612,-0.01373699,0.00452976,
136,-0.02582456,-0.01100436,-0.02562761,
137,-0.00548987,0.00411125,0.10876349,
138,-0.01043814,0.00834559,0.19354879,
139,0.02479059,-0.00292957,0.17030915,
140,0.00913338,-0.01208757,-0.28842758,
141,-0.16083112,-0.01164444,-0.12474075,
142,0.14642944,-0.00962574,-0.11060986,
143,0.00809941,-0.00401278,0.03562263,
144,-0.00132939,-0.0051206,-0.03375164,
145,-0.00130477,0.00379121,0.02050701,
146,-0.00777937,0.00435743,-0.06481989,
147,-0.01322001,0.00588377,-0.0729193,
148,0.01898068,-0.0036435,0.17045686,
149,0.0008124,-0.00349579,0.01708508,
150,-0.00428358,0.0002708,0.21174169,
151,0.03461328,-0.0159034,0.021024,
152,0.00780399,-0.00856716,-0.25305114,
153,0.09507574,-0.02476597,0.03732129,
154,0.00834559,0.00462823,-0.05152603,
155,-0.01602649,0.00275725,-0.09224464,
156,-0.01742973,-0.00598224,-0.05977315,
157,0.00780399,-0.00731162,-0.00753319,
158,-0.02533219,0.00952727,0.00435743,
159,0.0125307,-0.00950265,0.01164444,
160,-0.0167158,-0.00206793,-0.02257495,
161,0.02309193,-0.01592802,0.03493332,
162,0.03862606,-0.01804519,0.09768527,
163,0.03131443,-0.01398317,0.16575477,
164,-0.06998973,-0.01363852,-0.1506884,
165,0.09827611,-0.00649922,0.00952727,
166,-0.0190053,0.00544064,-0.03133905,
167,-0.02099938,-0.00595762,-0.03874915,
168,-0.00908414,0.00312652,-0.00635151,
169,-0.06922656,0.0022895,-0.01011811,
170,0.08399752,-0.02077782,-0.06750328,
171,0.00662231,-0.00251106,-0.02685853,
172,0.00125553,0.0017479,-0.0195469,
173,0.01568183,0.00576067,0.20849208,
174,0.00945341,0.00142786,-0.07626738,
175,0.01565722,-0.00157557,0.01223528,
176,-0.00704082,-0.00435743,-0.1509592,
177,0.00226488,-0.00413587,-0.00305266,
178,-0.00091088,-0.00007385,0.11568122,
179,-0.01447554,-0.00871487,-0.0505413,
180,0.03584419,-0.00856716,0.04839951,
181,0.00046775,-0.00361888,-0.1253562,
182,0.04177719,-0.01642038,-0.00472671,
183,-0.05004893,-0.01422936,0.0570159,
184,0.01794671,-0.00901028,-0.03874915,
185,-0.03658274,-0.01282612,-0.05007355,
186,0.03338237,-0.00499751,0.10219042,
187,0.02077782,0.00125553,0.09076754,
188,0.00278186,0.01257993,-0.09007823,
189,-0.0033727,0.010512,0.08348053,
190,0.00167404,-0.02033469,-0.13000905,
191,-0.01386008,-0.00918261,-0.06974354,
192,0.00317576,-0.00477594,0.23109165,
193,-0.00472671,-0.0033727,0.00034466,
194,-0.03441633,-0.00753319,-0.15883704,
195,0.02624307,-0.00312652,-0.04820256,
196,-0.0074101,-0.00896105,-0.00709006,
197,0.0394877,-0.01654347,0.02747398,
198,0.00765628,-0.00354503,0.01302306,
199,0.00546525,0.00285572,0.03488408,
200,-0.01597725,0.00482518,-0.07038362,
201,0.02045778,-0.00347118,-0.04281116,
202,-0.00238797,0.00384045,0.11154536,
203,-0.00359427,-0.01610034,-0.04908882,
204,-0.00204332,-0.00721315,-0.03468713,
205,0.00064007,-0.01294921,0.04175258,
206,0.01518947,-0.01472172,0.0655092,
207,0.01595264,-0.00007385,0.04807947,
208,0.00635151,0.00199408,-0.12154037,
209,-0.05578499,-0.01368775,0.21425275,
210,0.1072864,-0.02415052,-0.015091,
211,0.02877875,-0.0053914,-0.2647202,
212,-0.05137832,0.0040374,-0.0904475,
213,-0.01949767,-0.01890683,0.01848832,
214,0.02390433,-0.00091088,0.07882768,
215,0.00088626,-0.00425896,0.08559771,
216,0.01806981,-0.00711468,-0.07419945,
217,0.0200885,-0.01073356,0.01602649,
218,-0.01930072,0.01056124,-0.13493271,
219,-0.02481521,0.0002708,0.0175282,
220,-0.02168869,0.00448052,0.01555874,
221,-0.01235837,-0.0002708,0.14135807,
222,0.02383048,-0.0207532,-0.18215054,
223,0.01383546,-0.01299844,-0.0882811,
224,0.00561296,-0.00253568,-0.00329885,
225,0.00745933,-0.00371736,-0.07158991,
226,0.02232877,-0.01504176,0.00681926,
227,0.01191524,-0.00630228,-0.0686111,
228,-0.01112746,-0.01068433,0.04207261,
229,-0.173608,-0.01688813,0.07122064,
230,0.11427798,0.011866,-0.08921659,
231,-0.08348053,0.00004924,0.00359427,
232,0.08092023,0.00416049,0.03178218,
233,0.02360892,-0.00662231,-0.02225491,
234,0.01762668,-0.01376161,0.13623747,
235,-0.0513537,0.00433281,-0.09549425,
236,-0.01137364,0.00066469,0.1684874,
237,-0.02343659,0.00044313,-0.04618386,
238,0.00164942,0.00155095,-0.19615833,
239,0.00248644,-0.01287535,-0.13936399,
240,0.00475133,0.00051698,-0.04229418,
241,0.00548987,-0.01912839,0.03057588,
242,0.01191524,-0.00051698,-0.05482487,
243,0.04229418,-0.00509598,-0.01622344,
244,0.02762169,-0.0062038,-0.02255033,
245,-0.03638579,-0.00982269,0.02114709,
246,-0.01484481,-0.01740511,-0.14066876,
247,-0.00499751,0.02011312,0.10829574,
248,-0.00113244,-0.00844406,0.15034374,
249,-0.00359427,-0.01708508,-0.07843379,
250,0.01779901,-0.01319539,-0.06738019,
251,0.00622842,0.00029542,0.18178126,
252,-0.07530727,-0.0195469,0.05127984,
253,0.11725679,-0.00551449,-0.00499751,
254,-0.12114648,0.00558835,-0.11799534,
255,0.06176723,-0.01459863,-0.07368247,
256,-0.0371982,0.00064007,0.0090349,
257,-0.01418012,-0.00029542,0.09458337,
258,-0.00162481,-0.00413587,-0.02791711,
259,0.00635151,-0.00546525,-0.03810907,
260,0.01001963,-0.00598224,-0.07419945,
261,0.02262418,-0.00745933,0.08781335,
262,0.01179215,-0.00819788,0.0570159,
263,0.01154597,-0.00448052,-0.07624276,
264,-0.01100436,-0.01221066,-0.01001963,
265,-0.00920723,0.01474634,-0.10078717,
266,0.00465285,-0.03404706,0.02402743,
267,-0.00275725,-0.01376161,-0.00548987,
268,0.01450016,-0.00854254,0.00288034,
269,0.00132939,-0.00435743,-0.00933032,
270,0.01110284,-0.00300343,0.13062451,
271,0.00206793,-0.00965036,-0.07257464,
272,0.00059084,-0.01324463,-0.00416049,
273,-0.09093987,-0.00206793,-0.07252541,
274,0.09005361,-0.00482518,0.02272266,
275,-0.02218106,0.00482518,0.0706298,
276,-0.01910377,0.01006887,-0.05667124,
277,0.00482518,0.00290496,0.09918699,
278,0.02986195,-0.00883796,0.10381522,
279,0.03055127,0.00758243,-0.16208665,
280,-0.01085665,-0.00694235,-0.06447523,
281,0.0175282,-0.00928109,-0.01134902,
282,-0.00462823,-0.0074101,0.08638549,
283,0.02865566,0.00093549,0.04630696,
284,0.03658274,-0.0172574,-0.12584857,
285,-0.03173294,-0.01755282,-0.05438175,
286,-0.00883796,-0.00844406,-0.03510564,
287,-0.00132939,-0.00864101,-0.02459365,
288,0.00494827,-0.01265379,0.01139826,
289,0.02181178,-0.00731162,0.10098412,
290,-0.01595264,0.00438205,0.00352041,
291,-0.00797632,-0.00502213,-0.03638579,
292,-0.05398785,-0.00551449,0.13722221,
293,0.07703055,0.00051698,-0.1353266,
294,-0.00169866,-0.00354503,-0.07597196,
295,-0.0082225,0.00032004,-0.12341136,
296,0.0082225,-0.00465285,0.04298349,
297,0.03355469,-0.00731162,0.01848832,
298,-0.00962574,-0.0218364,0.05312621,
299,0.02193487,-0.00736086,-0.10029481,
300,-0.00630228,-0.0010832,-0.09802993,
301,0.01905454,0.00329885,0.01568183,
302,-0.07784295,-0.02725242,0.01381085,
303,0.11799534,-0.0125307,0.00568682,
304,-0.04820256,0.00694235,0.12459304,
305,0.00721315,-0.01122593,-0.00519445,
306,-0.16144658,0.00470209,0.08737022,
307,0.13874854,-0.00300343,0.12104801,
308,0.0064746,-0.00278186,-0.23544908,
309,-0.00071393,-0.0020187,0.08549923,
310,0.01462325,0.00352041,-0.00251106,
311,0.01053662,-0.00253568,0.09593738,
312,0.01678966,0.00709006,-0.12944283,
313,0.00846868,-0.01595264,-0.02604612,
314,0.00785323,-0.0107828,0.05078748,
315,0.01787286,-0.00260954,-0.06262886,
316,0.04707012,-0.00654846,0.02912341,
317,0.01117669,-0.01142287,-0.12611937,
318,-0.02986195,0.00103397,-0.00339732,
319,-0.01250608,-0.00083702,0.13805923,
320,-0.0020187,-0.01582954,-0.0377398,
321,0.02223029,-0.01339234,-0.02099938,
322,0.04574074,-0.01299844,0.12442071,
323,0.01297383,-0.01467249,0.12040793,
324,-0.0051206,-0.0144263,-0.06590309,
325,0.04847336,-0.01856217,-0.13621286,
326,-0.04977813,-0.01154597,0.23084546,
327,-0.00672079,-0.00654846,-0.17395266,
328,-0.01019196,-0.00251106,-0.10147649,
329,0.00460362,0.01368775,-0.0175282,
330,-0.12680868,-0.0167158,0.01939919,
331,0.09470646,-0.00384045,0.14005331,
332,0.01757744,0.00017233,-0.03586881,
333,0.02355968,-0.00585915,0.06147181,
334,0.05886227,-0.0031019,0.0518953,
335,0.0408417,0.00177252,-0.02176255,
336,0.02932035,-0.01578031,0.02001465,
337,0.03357931,-0.00386507,-0.04859645,
