製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:03:23,10/19 12:03:23,10/19 12:03:23,
サンプリング周波数,200,200,200,
シーケンス数,6744,6744,6750,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01363852,-0.00654846,0.02479059,
3,0.24635497,-0.00967498,0.01445092,
4,0.02011312,-0.00416049,-0.06718324,
5,-0.04199876,-0.00248644,-0.09113681,
6,0.00544064,-0.00238797,0.0675279,
7,-0.00315114,-0.00379121,0.06427829,
8,-0.15711376,-0.01043814,-0.07562731,
9,0.18608946,-0.01191524,0.03591805,
10,0.04810409,-0.00251106,-0.01934996,
11,-0.02742475,0.0020187,-0.03734591,
12,-0.00608071,-0.00637613,0.00598224,
13,-0.13242164,-0.00384045,0.03197913,
14,-0.08577003,-0.01110284,-0.01467249,
15,0.16856126,-0.01265379,0.03109287,
16,-0.06304737,-0.01312153,0.01457401,
17,0.04214647,-0.00068931,-0.01322001,
18,0.05118137,-0.00716391,0.0181929,
19,-0.02348582,-0.00118168,-0.03993082,
20,-0.03128981,-0.01016734,-0.02397819,
21,0.00841945,-0.00632689,0.02050701,
22,0.01400779,-0.00753319,0.02540605,
23,0.00251106,-0.00755781,0.00305266,
24,0.04822718,-0.00777937,-0.0136139,
25,-0.00435743,0.00273263,0.0076809,
26,-0.14876817,-0.00881334,-0.0323484,
27,-0.10723716,-0.01277688,-0.03751823,
28,0.08303741,-0.00950265,0.0408417,
29,0.14330292,-0.0062038,-0.03884762,
30,0.01868526,-0.0068685,-0.06728172,
31,-0.10679403,-0.00450514,-0.01137364,
32,0.13013215,-0.00142786,0.00994578,
33,-0.11573046,0.004579,0.00433281,
34,0.0955681,-0.01326924,-0.01964537,
35,-0.03252073,-0.01499252,0.01715893,
36,-0.0295173,-0.00544064,0.02481521,
37,0.004579,-0.00723777,0.03412091,
38,0.08466221,-0.00167404,0.07444563,
39,-0.05369243,-0.00312652,0.01794671,
40,0.04977813,-0.00317576,-0.03173294,
41,0.01240761,-0.00563758,-0.01117669,
42,0.04229418,-0.01001963,-0.05462793,
43,-0.03365317,-0.00573606,0.03082207,
44,-0.19554287,-0.00632689,0.00915799,
45,0.01302306,-0.01309692,-0.0400293,
46,0.27816177,-0.00965036,-0.00142786,
47,-0.00312652,-0.00039389,0.00411125,
48,-0.02346121,-0.00068931,-0.02309193,
49,0.00115706,-0.00300343,-0.04354971,
50,-0.0392169,-0.00635151,-0.05187068,
51,0.07380556,-0.005933,-0.01614958,
52,-0.00204332,-0.00881334,0.02735089,
53,-0.03394859,-0.00088626,-0.01277688,
54,0.02417514,-0.0068685,0.01669118,
55,-0.04446059,-0.01211219,0.02124556,
56,0.03835526,-0.00595762,0.03722282,
57,-0.00487442,-0.01110284,0.08596698,
58,-0.07119602,-0.00982269,0.0087641,
59,0.09492803,-0.00625304,-0.03513026,
60,-0.04217109,-0.00290496,-0.02459365,
61,0.03973388,-0.00034466,-0.01043814,
62,-0.10563697,-0.0062038,0.01937457,
63,-0.09325399,-0.00152633,-0.07284544,
