製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:09:46,10/19 12:09:46,10/19 12:09:46,
サンプリング周波数,200,200,200,
シーケンス数,6618,6618,6618,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00297881,0.00137862,0.04143254,
3,-0.02279651,-0.00733624,-0.02631692,
4,0.01531256,0.0010832,-0.01622344,
5,-0.08860113,-0.01299844,0.04027548,
6,-0.03874915,-0.00696697,0.01061047,
7,0.05448022,-0.00428358,0.25733472,
8,0.05967467,0.00150171,-0.08648396,
9,0.00704082,0.00691773,-0.19601062,
10,-0.09608509,-0.00573606,0.02737551,
11,0.11563199,-0.01418012,-0.03961079,
12,0.01134902,-0.00573606,-0.06669088,
13,0.01706046,-0.00398816,-0.04955657,
14,-0.05893612,-0.00659769,0.04835027,
15,-0.11944782,-0.00748395,-0.08993052,
16,0.11957091,-0.01016734,0.06607542,
17,0.03030508,-0.00891181,-0.04633157,
18,0.01560798,0.01248146,0.03449019,
19,0.01915301,0.00376659,0.00103397,
20,0.00992116,0.00182175,0.1835784,
21,-0.01568183,-0.00519445,-0.09793146,
22,0.03350546,-0.00669617,0.05199377,
23,-0.03788751,-0.00494827,-0.06307199,
24,-0.07843379,-0.00718853,-0.07956623,
25,0.0513537,-0.01349081,0.08894579,
26,-0.04241727,-0.00071393,-0.00856716,
27,0.0672571,-0.01893145,0.01622344,
28,0.0087641,-0.01112746,-0.09116143,
29,0.03481023,-0.00765628,-0.0300589,
30,-0.00497289,-0.00462823,0.03879838,
31,0.0048498,-0.00022156,0.04076785,
32,0.01270302,-0.00386507,0.02223029,
33,-0.00297881,-0.01041353,-0.05827143,
34,-0.00275725,0.00470209,-0.09350017,
35,0.00059084,-0.01651886,0.07358399,
36,-0.12008789,-0.0115952,-0.06070864,
37,-0.03601652,-0.0051206,-0.04576535,
38,0.12525773,-0.00278186,0.09052136,
39,0.02464288,-0.00728701,-0.07872921,
40,-0.01137364,0.00051698,0.08190497,
41,0.01129978,-0.00388969,-0.00883796,
42,0.01659271,-0.00644999,-0.02058087,
43,-0.01171829,-0.00669617,0.11425336,
44,-0.00103397,-0.00805017,-0.10827113,
45,-0.03793675,-0.01806981,-0.10467686,
46,0.00029542,-0.00231412,-0.0190053,
47,0.03675507,0.00275725,-0.10071332,
48,-0.04335276,-0.02023621,0.21193864,
49,0.08569618,-0.00832097,-0.09876848,
50,-0.12831039,-0.01073356,-0.00785323,
51,-0.06538611,-0.01922686,-0.00679464,
52,0.16779809,-0.01486943,0.02235338,
53,0.06789717,-0.00059084,0.0962328,
54,-0.11366253,-0.00347118,-0.04638081,
55,0.0159034,-0.00878872,0.05125523,
56,0.09997477,-0.00155095,-0.03862606,
57,0.00617918,0.00164942,-0.06420443,
58,0.00088626,-0.01533718,0.11504115,
59,-0.00211717,-0.00448052,-0.02616921,
60,0.00955189,-0.00014771,0.00637613,
61,0.00630228,-0.00494827,-0.04559303,
62,-0.01203833,-0.0087641,-0.03673045,
63,-0.00950265,-0.01171829,0.03995544,
64,-0.01708508,-0.00918261,-0.05226458,
65,0.0130723,-0.00952727,-0.03958617,
66,-0.07154068,-0.00644999,-0.03392397,
67,0.09025056,-0.00610533,0.08759178,
68,-0.0215656,0.0039143,-0.00617918,
69,-0.06235806,-0.00536678,-0.00475133,
70,0.06218574,0.00157557,-0.01804519,
71,0.04423902,-0.00519445,-0.03244687,
72,-0.01097975,-0.00428358,0.04687318,
73,0.01582954,-0.0176513,0.06664164,
74,-0.02159022,-0.00017233,-0.02023621,
75,-0.10465224,-0.00142786,-0.04810409,
76,0.05544033,-0.00317576,0.14827581,
77,0.08104333,-0.00694235,-0.08434217,
78,-0.05339702,-0.00782861,-0.06649393,
79,-0.03074821,-0.00558835,0.02112247,
80,0.0998763,-0.00224026,-0.01090589,
81,0.00009847,-0.00571144,0.0536432,
82,0.00477594,-0.00654846,0.07867997,
83,0.01201371,-0.00642537,0.13131382,
84,0.00743472,-0.02161484,-0.17382956,
