製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:14:59,10/19 12:14:59,10/19 12:14:59,
サンプリング周波数,200,200,200,
シーケンス数,6519,6519,6519,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.16981679,0.00199408,0.011866,
3,0.17513433,-0.01248146,-0.02109785,
4,-0.06368745,-0.00632689,-0.11474573,
5,-0.0252091,-0.00672079,-0.02887722,
6,0.06541073,-0.00561296,0.02336273,
7,-0.04212185,-0.00728701,0.00681926,
8,0.07479029,-0.00967498,0.0149679,
9,-0.03168371,-0.00487442,-0.06255501,
10,0.02779402,-0.00711468,0.01080742,
11,0.0431312,-0.00502213,0.00809941,
12,-0.00598224,-0.00814865,-0.07735059,
13,0.00859177,-0.00819788,0.00150171,
14,-0.04908882,-0.00952727,-0.02149174,
15,-0.09091525,-0.00694235,-0.0039143,
16,-0.00630228,-0.01400779,0.0179221,
17,-0.02488907,-0.00475133,-0.01856217,
18,-0.00507136,-0.00194484,0.0451499,
19,0.07855688,0.00322499,0.00361888,
20,0.08490839,-0.00130477,0.09948241,
21,-0.10113183,-0.01381085,-0.01511561,
22,-0.00851792,-0.00785323,-0.070359,
23,0.09455875,-0.01666656,0.05105828,
24,0.0087641,-0.00179713,-0.01349081,
25,0.00162481,-0.00760704,-0.06996511,
26,-0.01065971,-0.00699159,-0.05376629,
27,-0.0040374,-0.00859177,0.00881334,
28,0.01966999,-0.00755781,-0.05521877,
29,-0.01228451,-0.0090349,-0.03712434,
30,-0.01179215,-0.0122599,-0.04081708,
31,-0.0349087,-0.00169866,-0.03271767,
32,-0.16585325,-0.00854254,0.15184545,
33,0.09881771,-0.01472172,0.03707511,
34,0.05558804,-0.00608071,-0.02629231,
35,-0.00091088,0.00103397,0.13929014,
36,0.05807449,-0.00642537,-0.05888689,
37,-0.09943317,-0.01068433,-0.03269306,
38,-0.09118605,-0.00792708,0.04318044,
39,0.10910815,-0.01161982,0.01531256,
40,-0.0231904,-0.00211717,0.00162481,
41,0.07141758,-0.00580991,0.00339732,
42,0.01774977,-0.00551449,-0.11112685,
43,-0.01669118,0.00103397,-0.0826189,
44,0.00105859,0.00194484,0.01122593,
45,0.03318542,-0.00856716,0.07306701,
46,-0.0803294,0.00497289,0.05457869,
47,-0.09928546,-0.00901028,0.01262917,
48,0.00260954,-0.01437707,-0.05733594,
49,0.11819229,-0.01472172,-0.05603117,
50,0.09729138,-0.00859177,-0.06292428,
51,-0.04239265,0.00349579,-0.06403211,
52,0.09345093,-0.00878872,-0.02311655,
53,-0.01555874,-0.00654846,-0.00524369,
54,-0.00805017,0.0076809,0.03000966,
55,-0.05536648,-0.00366812,0.01166906,
56,-0.05731132,-0.00322499,0.09756218,
57,0.0688819,-0.00433281,0.0924662,
58,0.02968963,-0.00300343,-0.01001963,
59,-0.10706483,-0.00462823,-0.03254535,
60,0.04007853,-0.00871487,-0.00068931,
61,-0.02136865,-0.01287535,0.00893643,
62,-0.10152572,-0.00206793,-0.03045279,
63,0.13741915,-0.01794671,-0.04460829,
64,0.03894609,-0.01006887,-0.01782362,
65,-0.04268807,0.00004924,-0.02082705,
66,0.02392895,-0.01546027,-0.04436211,
67,-0.02383048,-0.01063509,0.01149673,
68,0.10371675,0.00091088,-0.01019196,
69,-0.01678966,0.00472671,0.0272278,
70,0.01619882,-0.00721315,-0.03621347,
71,0.015091,-0.00920723,0.01592802,
