製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:13:02,10/19 12:13:02,10/19 12:13:02,
サンプリング周波数,200,200,200,
シーケンス数,6728,6728,6728,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00187099,-0.02095014,-0.04153101,
3,0.00142786,-0.00854254,-0.00982269,
4,-0.02063011,-0.00093549,-0.04052166,
5,-0.00706544,-0.00224026,0.21979186,
6,0.02451979,-0.01061047,0.044756,
7,-0.02767093,-0.00632689,-0.02159022,
8,-0.11627206,-0.00585915,0.0090349,
9,0.05475102,-0.00881334,0.05873918,
10,0.04022624,-0.00881334,0.11789687,
11,0.05743441,-0.01196448,-0.16878282,
12,0.02159022,0.00487442,-0.13015676,
13,0.01164444,-0.00829636,-0.04239265,
14,-0.00206793,-0.01578031,0.17030915,
15,0.00120629,-0.00782861,0.00041851,
16,0.00790246,-0.00913338,-0.17720227,
17,0.00642537,-0.00091088,0.0423188,
18,0.00142786,-0.00359427,-0.09790684,
19,-0.0002708,0.004579,-0.0207532,
20,0.00595762,-0.00521907,0.09172765,
21,-0.0093057,-0.00905952,-0.01262917,
22,-0.03232378,-0.00145248,-0.01816828,
23,0.03047741,-0.00192022,0.0529785,
24,0.00354503,-0.01016734,0.02070396,
25,-0.00009847,-0.00755781,0.04126021,
26,-0.00792708,-0.01184139,0.07218075,
27,-0.00224026,-0.01902992,0.12018637,
28,-0.04446059,-0.01129978,-0.00093549,
29,-0.05681895,-0.00758243,-0.09473108,
30,0.00285572,-0.00265877,-0.11285012,
31,-0.0051206,0.00152633,-0.08584389,
32,0.09534654,-0.01459863,-0.03941384,
33,0.01568183,-0.01019196,0.08983205,
34,0.01432783,0.01351543,-0.10076256,
35,-0.00928109,-0.00226488,0.05967467,
36,0.00445591,-0.00423434,0.13911781,
37,0.03050203,0.00014771,-0.12661173,
38,-0.00128015,-0.01019196,0.10785262,
39,-0.00243721,-0.00465285,-0.01654347,
40,0.00723777,-0.00376659,0.01713431,
41,-0.00339732,-0.0138847,0.04428826,
42,-0.00524369,-0.00199408,-0.07218075,
43,0.00278186,-0.01216142,-0.11772454,
44,0.00425896,-0.01203833,0.03345622,
45,-0.02508601,-0.00933032,0.16683798,
46,-0.02131942,-0.00477594,-0.08212653,
47,-0.00580991,-0.0144263,-0.01582954,
48,0.00864101,-0.00546525,-0.11371176,
49,0.04753787,-0.01381085,0.00632689,
50,0.00987192,0.00260954,0.08244657,
51,0.0094288,0.00103397,-0.02279651,
52,0.00561296,-0.01073356,0.19655222,
53,-0.0153618,0.00366812,-0.01294921,
54,0.00280648,-0.01285073,-0.12520849,
55,-0.05812372,-0.0218364,0.15499659,
56,0.0280402,-0.01491867,-0.02033469,
57,0.03818293,-0.01139826,-0.16501623,
58,0.00632689,-0.00214179,0.03535183,
59,0.00913338,-0.00736086,0.05031973,
60,0.00413587,-0.01331848,-0.05891151,
61,0.00743472,0.00096011,-0.08884732,
62,0.00654846,-0.0048498,-0.10226427,
63,0.00113244,-0.00056622,-0.03380088,
64,-0.03695201,-0.01614958,0.2291468,
65,-0.0578283,-0.02136865,-0.21166784,
66,0.04325429,0.00805017,-0.05561266,
67,0.04697165,0.00891181,-0.12355907,
68,0.01297383,-0.00034466,0.01629729,
69,0.00002462,-0.00568682,-0.00029542,
70,-0.01848832,-0.00544064,0.01794671,
71,-0.03953693,-0.02077782,0.32535498,
72,-0.05635121,-0.00608071,-0.18010722,
73,0.10236274,-0.00829636,-0.13993021,
74,0.01339234,-0.00649922,0.05012279,
75,0.01164444,-0.00817326,0.0337024,
76,0.00482518,-0.01326924,-0.09505112,
77,0.00150171,-0.01112746,-0.04214647,
78,-0.01319539,-0.0121368,-0.00748395,
79,-0.02602151,-0.00519445,0.0885519,
80,0.03291462,-0.00379121,-0.01250608,
81,-0.00580991,0.00241259,0.04766096,
82,-0.01939919,-0.01127517,-0.09066907,
83,0.03232378,0.01413088,0.05590808,
84,0.01142287,-0.00182175,-0.03503179,
85,-0.01073356,-0.00290496,0.21260333,
86,0.00199408,-0.00489903,-0.07033438,
87,-0.02767093,-0.00933032,0.06809412,
88,0.00105859,-0.00829636,-0.02299346,
89,-0.0161742,0.00236335,0.16659179,
90,0.00046775,-0.00883796,-0.20058962,
91,-0.0323484,-0.0266862,0.08892117,
92,-0.03439172,-0.00864101,-0.00832097,
93,0.11001902,-0.00829636,-0.19076693,
94,0.0176513,-0.00189561,-0.09468184,
95,0.0122599,-0.00544064,-0.01868526,
96,0.01196448,-0.01349081,0.04158025,
97,0.00780399,-0.00814865,0.01905454,
98,-0.00192022,0.00642537,-0.01836523,
99,0.01110284,-0.00206793,-0.03099439,
100,0.00275725,-0.01134902,0.12742414,
101,-0.00662231,-0.00644999,0.0547264,
102,0.00007385,-0.0036435,0.18453851,
103,-0.00667155,-0.01228451,-0.03239764,
104,-0.01875912,-0.01171829,0.05401247,
105,-0.02134404,-0.01134902,-0.05233843,
106,-0.02173793,-0.00760704,0.13030447,
107,-0.00605609,-0.0033727,0.13237241,
108,0.00716391,-0.01491867,-0.06100406,
109,0.00088626,0.0010832,-0.06994049,
110,0.04352509,-0.01265379,-0.02488907,
111,0.00962574,-0.00694235,-0.03510564,
112,-0.0025603,-0.00206793,0.05480026,
113,0.00305266,-0.00420972,-0.195986,
114,-0.00354503,0.00526831,0.01511561,
115,-0.00241259,-0.00711468,0.01179215,
116,-0.00125553,-0.00041851,-0.03318542,
117,0.00130477,-0.01546027,0.04785791,
118,0.00502213,0.00164942,0.03252073,
119,-0.01031505,-0.00204332,0.12417453,
120,-0.12341136,-0.00595762,0.03990621,
121,0.05630197,-0.00777937,-0.2583933,
122,0.02321502,-0.0107828,0.12631631,
123,-0.00046775,-0.00563758,0.04335276,
124,0.04212185,0.00231412,-0.02395357,
125,-0.01486943,-0.00019695,0.07870459,
126,-0.00937956,0.00499751,0.03367779,
127,0.02922188,-0.01683889,-0.18490778,
128,0.00583453,-0.00662231,-0.06248115,
129,-0.01486943,-0.00302805,-0.00657308,
130,-0.02370739,-0.00206793,0.08879808,
131,0.04608539,-0.00649922,-0.01976847,
132,0.01277688,0.00083702,0.00790246,
133,-0.0022895,-0.005933,0.03394859,
134,0.00933032,0.00933032,0.1024366,
135,-0.00950265,-0.01090589,0.24253914,
136,0.00955189,-0.01250608,-0.24145594,
137,0.00388969,-0.0062038,0.0175282,
138,-0.02053163,0.00773013,-0.01802057,
139,-0.00290496,-0.0175282,0.12668559,
140,0.02602151,-0.0172574,-0.13111688,
141,-0.00630228,-0.00224026,0.03884762,
