製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 12:30:01,06/17 12:30:01,06/17 12:30:01,
サンプリング周波数,200,200,200,
シーケンス数,5989,5989,5989,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01558336,-0.01228451,-0.01265379,
3,0.20561174,-0.00280648,0.03559801,
4,0.13274168,-0.00644999,0.00251106,
5,-0.24177597,-0.00470209,0.01248146,
6,-0.07193457,-0.00758243,-0.02550452,
7,0.11211158,-0.00519445,0.01568183,
8,-0.08682862,-0.0051206,-0.01642038,
9,-0.0365335,-0.0190053,-0.00317576,
10,-0.01868526,-0.021024,0.00630228,
11,-0.06742943,-0.02422437,-0.016445,
12,-0.03749362,-0.02390433,-0.01004425,
13,0.05420942,-0.0082225,0.01189062,
14,0.02959115,-0.01285073,0.0190053,
15,0.07771986,-0.02725242,0.07218075,
16,0.02341197,-0.0266862,-0.01533718,
17,-0.11543504,-0.02653849,0.00354503,
18,0.03697663,-0.02296884,-0.04118636,
19,0.10521846,-0.02279651,-0.01770053,
20,-0.2314363,-0.02136865,0.03259458,
21,0.04830103,-0.0266862,-0.07023591,
22,0.00805017,-0.01693737,0.01127517,
23,0.13618824,-0.00901028,0.00625304,
24,0.20996918,-0.00888719,0.06580462,
25,-0.21895484,-0.01260455,-0.03685354,
26,0.02577532,-0.0179221,-0.03128981,
27,-0.03577034,-0.010512,0.03712434,
28,0.07811375,-0.00118168,0.02998505,
29,0.02114709,-0.00396354,-0.03119134,
30,-0.08311126,-0.01511561,0.00915799,
31,0.12671021,-0.00748395,-0.04999969,
32,-0.05187068,-0.00728701,-0.00263415,
33,-0.22264758,-0.01299844,0.00925647,
34,0.07296854,-0.00342194,-0.01068433,
35,0.0203593,-0.00374198,-0.03018199,
36,0.01715893,-0.01016734,-0.05787754,
37,0.05448022,-0.00888719,-0.01523871,
38,-0.07648895,-0.00489903,0.0192761,
39,0.02826177,-0.00561296,-0.04822718,
40,-0.04965504,-0.01275226,-0.02159022,
41,-0.01294921,-0.00809941,-0.03355469,
42,0.08577003,-0.00263415,0.00667155,
43,0.26654195,0.00679464,0.02636616,
44,-0.24406547,-0.00588377,-0.01134902,
45,0.08695171,-0.01799595,-0.0082225,
46,0.32400098,-0.00841945,0.01949767,
47,-0.00477594,0.00288034,0.04657776,
48,-0.25955036,-0.01804519,-0.02343659,
49,-0.01324463,-0.01393394,0.00017233,
50,-0.01371237,-0.0231904,-0.01565722,
51,-0.02346121,-0.01774977,0.02090091,
52,-0.01568183,-0.01001963,-0.005933,
53,0.01019196,-0.00588377,-0.00115706,
54,0.06912809,-0.01324463,-0.03638579,
55,-0.01799595,-0.01085665,0.01499252,
56,-0.06139795,-0.01486943,-0.01277688,
57,-0.01890683,-0.00440667,0.04761172,
58,0.0405709,-0.00388969,-0.07067904,
59,0.07991089,-0.00438205,-0.03724743,
60,-0.00694235,-0.01161982,-0.00780399,
61,0.04635619,-0.00681926,0.00531755,
62,0.17533128,-0.00226488,0.03786289,
63,-0.21998881,-0.00349579,-0.00864101,
64,0.02853257,-0.0062038,0.04364818,
65,0.01166906,-0.01558336,-0.0462331,
66,-0.0516245,-0.01639576,-0.0277694,
67,-0.05167374,-0.00376659,-0.01171829,
68,0.12712872,0.00224026,0.0079517,
69,-0.0005416,0.00206793,0.00093549,
70,0.10615396,-0.00398816,-0.00398816,
71,-0.07222999,-0.01371237,-0.01420474,
72,-0.05913307,-0.0033727,-0.00839483,
73,0.07375632,0.00140324,-0.00248644,
74,-0.07333781,0.00093549,0.03000966,
75,-0.07924619,-0.00797632,-0.01996541,
76,0.03308695,-0.00583453,0.02730166,
77,0.02895108,0.0017479,-0.04761172,
78,0.00977345,0.01016734,-0.00598224,
79,0.35743258,0.00918261,-0.01518947,
80,-0.23702465,-0.00667155,0.04396822,
81,-0.03682892,-0.01048738,-0.08274199,
82,-0.10605548,-0.00679464,0.02107323,
83,0.11494268,0.00103397,-0.01937457,
84,0.21925026,0.00041851,0.01740511,
85,-0.23618763,-0.01789748,-0.00657308,
86,-0.08387443,-0.02124556,-0.02767093,
87,-0.01568183,-0.00851792,-0.02247648,
88,0.06366283,0.00056622,-0.0146971,
89,-0.05861609,-0.00595762,-0.00854254,
90,0.05056591,-0.00595762,-0.00531755,
