製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 12:02:25,06/17 12:02:25,06/17 12:02:25,
サンプリング周波数,200,200,200,
シーケンス数,6002,5999,5999,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.23564603,-0.00465285,0.01740511,
3,0.06851263,-0.00662231,0.0133431,
4,-0.11565661,-0.02419975,0.0022895,
5,-0.10467686,-0.02740013,-0.06661702,
6,-0.00758243,-0.01804519,-0.01533718,
7,0.01326924,-0.0107828,-0.00854254,
8,0.18089501,0.0002708,0.02552914,
9,0.23269183,-0.01319539,0.05603117,
10,-0.47505865,-0.02971425,-0.01942381,
11,0.08446526,-0.02267342,0.01179215,
12,-0.34980092,-0.02865566,-0.01836523,
13,0.0531016,-0.03468713,-0.04281116,
14,0.05236305,-0.03613961,-0.01238299,
15,0.0031019,-0.02813868,-0.0125307,
16,-0.0649676,-0.04561764,-0.01115207,
17,0.01125055,0.01312153,0.0615949,
18,0.10034405,-0.01134902,-0.05750827,
19,-0.02909879,-0.0203593,-0.01053662,
20,-0.02161484,-0.0125307,0.03220069,
21,-0.16316986,-0.00716391,-0.0207532,
22,0.05211687,-0.01880835,0.06563229,
23,0.00718853,-0.01349081,-0.07784295,
24,0.00576067,-0.01486943,0.00219103,
25,0.00536678,-0.01221066,-0.02365815,
26,0.0082225,-0.00704082,0.03256996,
27,0.0518953,0.00260954,-0.03266844,
28,-0.02747398,0.00654846,0.00937956,
29,-0.01093051,-0.01176753,-0.00219103,
30,-0.01152135,-0.05534186,-0.02193487,
31,0.10726178,0.01912839,0.02993581,
32,-0.11789687,0.00435743,0.01413088,
33,-0.08938892,-0.00851792,0.01484481,
34,0.07294392,-0.02346121,0.00612995,
35,-0.04507604,-0.04734092,-0.05492335,
36,-0.01410627,-0.0064746,0.00002462,
37,0.11245623,-0.00871487,-0.06910347,
38,-0.05644968,0.00992116,0.05196916,
39,-0.00164942,-0.00452976,-0.03232378,
40,0.00361888,-0.00219103,0.01112746,
41,-0.00078778,-0.00428358,-0.02195949,
42,-0.00157557,0.00514522,0.03128981,
43,-0.00022156,-0.00115706,-0.06570615,
44,0.00667155,-0.016445,0.03222531,
45,0.00440667,-0.01651886,-0.03591805,
46,-0.00192022,-0.02200873,-0.00878872,
47,0.02257495,-0.00753319,-0.00071393,
48,0.0200885,-0.01831599,-0.005933,
49,-0.02919726,-0.02139327,-0.00009847,
50,0.00891181,-0.03197913,0.04684856,
51,0.01885759,-0.01730664,-0.0444852,
52,0.01885759,0.00078778,-0.00544064,
53,0.04625772,0.00039389,0.04532222,
54,0.02287037,0.00056622,-0.02639078,
55,-0.06582924,-0.11949705,0.01757744,
56,-0.05484949,0.01996541,-0.02419975,
57,0.02912341,-0.02245186,-0.03338237,
58,0.0233135,-0.00361888,-0.0102412,
59,0.13261859,-0.02085167,0.0033727,
60,-0.09320475,-0.01287535,-0.00622842,
61,-0.04391898,-0.01565722,0.00716391,
62,-0.00435743,-0.01134902,0.0064746,
63,0.13882239,-0.01614958,-0.00155095,
64,-0.04822718,-0.02828639,0.01816828,
65,0.0149679,-0.0231904,-0.02562761,
66,0.00497289,-0.01718355,-0.03505641,
67,-0.0470455,-0.0087641,-0.0122599,
68,-0.0203593,-0.01430321,-0.00846868,
69,-0.00359427,-0.04153101,-0.0033727,
70,0.00022156,-0.01642038,-0.00933032,
71,0.00445591,-0.01922686,-0.00440667,
72,0.00004924,-0.02390433,-0.00155095,
73,0.0064746,-0.02119633,0.00056622,
74,-0.00438205,-0.04574074,0.00019695,
75,0.00100935,-0.01878374,0.00292957,
76,0.00100935,-0.01405703,0.00462823,
77,0.00524369,-0.04630696,-0.00142786,
78,-0.00300343,-0.02816329,-0.00630228,
79,0.004579,-0.02959115,-0.00243721,
80,-0.00691773,-0.03498255,-0.00450514,
81,0.00440667,-0.03943846,-0.00583453,
82,-0.00007385,-0.03786289,0.00524369,
83,0.00137862,-0.06410596,0.00034466,
84,0.00937956,-0.07479029,0.00297881,
85,0.00773013,-0.08252042,-0.00068931,
86,0.00130477,-0.03953693,0.00017233,
87,0.00905952,-0.02934497,0.00994578,
88,-0.00002462,-0.03256996,0.00312652,
89,-0.00093549,-0.07747368,-0.0010832,
90,0.0074101,-0.03279153,-0.00388969,
91,0.00285572,-0.03998006,0.00612995,
92,0.00605609,-0.01996541,0.00275725,
93,-0.00019695,-0.03092054,0.00928109,
94,0.00765628,-0.04463291,0.05118137,
95,0.00561296,-0.04322967,-0.05147679,
96,-0.00064007,-0.03451481,0.02543067,
97,0.00398816,-0.02552914,0.01804519,
98,0.02011312,-0.00797632,0.10029481,
99,-0.01880835,-0.03744438,-0.06368745,
100,-0.01491867,-0.04736554,-0.03562263,
101,0.05063977,-0.04091556,-0.00438205,
102,0.28214993,-0.01048738,0.05548957,
103,-0.13175695,-0.00440667,-0.01974385,
104,-0.10034405,-0.04746401,0.03402244,
105,-0.0768336,-0.03724743,-0.04130945,
106,-0.02710471,-0.01782362,-0.01127517,
107,0.01541103,-0.01774977,0.16440077,
108,0.06612466,-0.01494329,-0.17606983,
109,-0.02245186,-0.01890683,0.0487934,
110,-0.03404706,-0.0366566,-0.09881771,
111,-0.02476597,-0.02245186,-0.0711714,
112,-0.02688314,0.01688813,-0.03232378,
113,-0.01875912,-0.02717856,0.01703584,
114,-0.01570645,0.0359919,-0.02772017,
115,-0.00531755,0.00226488,-0.04389437,
116,0.02715395,0.02171331,-0.01841446,
117,0.02740013,0.00435743,-0.00187099,
118,-0.00329885,-0.01282612,-0.00475133,
119,-0.0287049,-0.07277159,-0.00347118,
120,-0.0062038,-0.01117669,-0.00977345,
121,-0.0125307,-0.01799595,0.00017233,
122,-0.01139826,-0.0133431,-0.00044313,
123,0.00093549,0.04620848,-0.00305266,
124,0.01999003,-0.03124058,0.01080742,
125,0.02365815,-0.02801558,0.00472671,
126,-0.02973886,-0.01319539,-0.00194484,
127,-0.01541103,-0.00785323,0.12971363,
128,-0.01930072,-0.0076809,-0.08685324,
129,-0.021024,-0.02459365,-0.0675279,
130,0.00598224,-0.03591805,-0.01075818,
131,-0.03547492,-0.01573107,0.02944344,
132,0.00450514,-0.04564226,-0.06346589,
133,0.01413088,-0.06531226,-0.01632191,
134,0.00189561,-0.06816797,0.05878842,
135,0.00251106,-0.08978281,0.04524837,
136,0.09007823,0.01245684,0.14793115,
137,-0.01344157,-0.11834,-0.21925026,
138,0.03158523,-0.02678467,-0.03500717,
139,-0.13621286,-0.04635619,0.00315114,
140,-0.03724743,-0.05457869,-0.01878374,
141,-0.00140324,-0.06255501,-0.06245654,
142,-0.00324961,-0.0527077,-0.02853257,
143,-0.00450514,-0.0873456,-0.00162481,
144,0.00292957,-0.05041821,0.00777937,
145,0.02090091,-0.05263385,-0.01085665,
146,-0.01843908,-0.04116174,-0.00204332,
147,0.00236335,-0.06962045,-0.01939919,
148,0.0033727,-0.07092522,-0.01506638,
149,-0.00797632,-0.05484949,0.05253538,
150,-0.00600686,-0.04532222,-0.00142786,
151,-0.00952727,-0.05285541,-0.04145716,
152,-0.00009847,-0.03990621,-0.01486943,
153,0.00743472,-0.02533219,-0.01602649,
154,0.08929044,-0.02491368,0.14554318,
155,0.09706982,-0.04783329,-0.00398816,
156,-0.1299352,-0.0343671,-0.0531016,
157,-0.07996012,-0.05187068,-0.06169337,
158,-0.0192761,-0.01703584,-0.02579994,
159,-0.00901028,-0.03242225,-0.00807479,
160,-0.00962574,-0.03837987,-0.01383546,
161,-0.01161982,-0.02811406,-0.00413587,
162,0.00376659,-0.00546525,-0.00502213,
163,-0.0005416,-0.0195469,-0.00071393,
164,0.00022156,-0.0338255,0.03057588,
165,0.00334808,-0.0272278,-0.05115675,
166,0.00204332,-0.01971923,0.01297383,
167,0.00871487,-0.01986694,-0.02082705,
168,-0.00509598,-0.02107323,-0.00551449,
169,-0.00524369,-0.04414055,-0.0040374,
170,-0.00918261,0.00140324,0.00204332,
171,0.00531755,-0.03168371,-0.00145248,
172,0.00265877,0.07986165,-0.0017479,
173,0.00145248,0.01558336,-0.00004924,
174,0.00278186,-0.06925118,-0.00113244,
175,0.00534216,0.0238551,0.02419975,
176,-0.0090349,-0.02636616,0.07639047,
177,0.00499751,-0.04950733,0.09510036,
178,-0.02890184,-0.0200885,-0.08217577,
179,-0.01592802,-0.01014272,-0.04170334,
180,0.00194484,-0.05457869,-0.01708508,
181,-0.00807479,-0.01814366,-0.0115952,
182,-0.00317576,0.01770053,-0.0110536,
183,0.00113244,0.00728701,0.01811904,
184,0.00856716,-0.01646962,0.0144263,
185,-0.01011811,-0.01782362,0.06243192,
186,0.03842911,-0.01605111,-0.00093549,
187,0.00248644,-0.00585915,-0.00632689,
188,0.00164942,-0.00748395,-0.01053662,
189,0.04830103,-0.02097476,-0.00014771,
190,-0.0051206,-0.01853755,-0.0051206,
191,-0.0593054,-0.0039143,-0.00288034,
192,-0.02328888,-0.0416541,-0.00327423,
193,-0.01696198,0.011866,-0.00366812,
194,-0.02565223,-0.00361888,-0.00029542,
195,0.00238797,-0.00994578,0.0031019,
196,0.03350546,-0.03604114,0.05812372,
197,0.00068931,0.00243721,0.03116672,
198,-0.04876878,-0.00342194,-0.12045717,
199,0.02390433,-0.03451481,0.01068433,
200,-0.0564743,0.00051698,-0.02124556,
201,-0.01164444,0.00817326,-0.02346121,
202,0.00384045,-0.01799595,-0.00428358,
203,0.00039389,0.00044313,-0.0096996,
204,-0.00312652,-0.00859177,0.00155095,
205,0.00137862,-0.01065971,-0.0005416,
206,0.02063011,-0.00499751,0.0022895,
207,0.07375632,-0.00408663,0.03412091,
208,0.01597725,0.00760704,-0.04741478,
209,-0.03045279,-0.01486943,-0.00551449,
210,-0.04995046,-0.01824213,-0.00315114,
211,0.00315114,-0.0159034,0.0017479,
212,0.04943347,-0.00814865,-0.00817326,
213,-0.00164942,0.00132939,-0.02065472,
214,-0.07848303,-0.01351543,0.06521378,
215,0.06452447,-0.00851792,0.0138847,
216,-0.02774478,-0.00526831,0.01949767,
217,-0.02838486,-0.00694235,-0.05356934,
218,0.15329793,0.00187099,-0.04261422,
219,-0.13284015,-0.00962574,0.07587349,
220,-0.0831605,-0.02890184,-0.06715863,
221,-0.02764631,-0.00933032,-0.02045778,
222,-0.00896105,0.01607573,-0.04967966,
223,-0.01125055,0.0122599,-0.0218364,
224,-0.00236335,-0.00187099,0.00118168,
225,-0.00829636,0.00785323,-0.03453942,
226,0.00078778,0.01240761,0.00731162,
227,0.01868526,0.0136139,-0.00472671,
228,0.04362356,0.02730166,0.00600686,
229,0.10295358,0.01794671,-0.0079517,
230,-0.02919726,0.02294422,-0.00706544,
231,0.02355968,0.02754784,0.0138847,
232,-0.0847853,0.03591805,0.01139826,
233,0.04574074,0.03879838,0.00610533,
234,-0.07321472,0.00546525,-0.00571144,
235,-0.14359834,0.00014771,-0.02336273,
236,0.01358928,0.01816828,-0.01905454,
237,-0.00809941,0.02028545,-0.00869025,
238,-0.01149673,-0.00915799,-0.01346619,
239,-0.00571144,0.0413833,0.00059084,
240,-0.00694235,-0.02392895,0.00544064,
241,0.01100436,0.07626738,0.00509598,
242,0.00162481,0.00765628,0.00076317,
243,-0.00137862,0.02786788,0.00137862,
244,0.00883796,0.01016734,0.00780399,
245,0.0203593,0.00470209,0.03025585,
246,-0.06257963,0.0040374,-0.01184139,
247,0.0138847,0.01868526,-0.00051698,
248,-0.01085665,-0.01211219,-0.01240761,
249,0.0005416,0.01287535,0.06883267,
250,0.00265877,0.02998505,-0.00334808,
251,-0.01678966,0.01651886,-0.04293425,
252,-0.00691773,0.02577532,-0.01152135,
253,0.01085665,0.00482518,-0.0040374,
254,0.0357211,-0.05184606,-0.00649922,
255,0.01811904,-0.00571144,0.01235837,
256,0.02801558,0.00869025,0.0040374,
257,-0.02639078,0.00435743,-0.00041851,
258,-0.03308695,-0.00551449,0.00130477,
259,0.02813868,-0.01959614,-0.0121368,
260,-0.04182643,0.00132939,0.00251106,
261,-0.03264382,-0.01462325,0.00851792,
262,0.00017233,0.0274986,0.03845373,
263,-0.01733126,0.00610533,0.00083702,
264,-0.0005416,-0.00869025,-0.00128015,
265,0.00718853,-0.02525834,0.02471674,
266,0.00967498,-0.00477594,0.04276193,
267,0.00435743,-0.00691773,-0.05448022,
268,-0.01418012,-0.00723777,-0.03906919,
269,-0.01161982,-0.02730166,-0.02097476,
270,-0.00994578,-0.03293924,-0.04894111,
271,0.00115706,-0.04950733,-0.03178218,
272,-0.00017233,-0.04404207,-0.01989156,
273,-0.00632689,-0.03727205,-0.016445,
274,0.00644999,-0.03764133,-0.00297881,
275,0.02939421,-0.03968464,-0.00032004,
276,0.04064475,-0.02956654,0.00465285,
277,0.05019664,0.00989654,0.01065971,
278,-0.09357402,-0.00029542,0.00576067,
279,-0.01952228,-0.03961079,0.00519445,
280,0.05940387,-0.04697165,0.01683889,
281,0.07050671,-0.04325429,-0.01902992,
282,-0.13781304,-0.01430321,-0.00425896,
283,-0.00401278,-0.00292957,0.09197384,
284,0.01164444,-0.02163945,0.03825678,
285,0.00342194,-0.02767093,-0.01356466,
286,-0.00182175,-0.03941384,0.00155095,
