製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 12:34:28,06/17 12:34:28,06/17 12:34:28,
サンプリング周波数,200,200,200,
シーケンス数,5809,5809,5809,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.0308713,-0.00558835,0.13572049,
3,-0.04470677,-0.00748395,-0.1001471,
4,0.05123061,-0.00723777,-0.0303297,
5,0.05113213,-0.0064746,-0.01984232,
6,-0.03485946,-0.0053914,-0.01189062,
7,0.08242195,-0.01073356,-0.01294921,
8,-0.0153618,-0.00605609,0.00118168,
9,-0.01898068,-0.03663198,0.00263415,
10,0.00260954,-0.03318542,-0.01223528,
11,0.00489903,-0.02685853,0.00514522,
12,0.06762637,-0.01742973,-0.00152633,
13,0.21139704,-0.01595264,0.03259458,
14,0.1750851,-0.02451979,0.02902493,
15,-0.08589312,-0.02151636,0.03633656,
16,0.12254972,-0.02557838,-0.02801558,
17,-0.22594643,-0.00605609,0.02151636,
18,0.20159897,-0.00182175,-0.07560269,
19,-0.02282113,-0.01728202,0.06115177,
20,-0.29982584,-0.02390433,-0.05167374,
21,0.00280648,-0.0110536,-0.05898536,
22,0.00140324,-0.01454939,-0.13045218,
23,-0.00659769,0.00827174,-0.0172574,
24,0.03737053,-0.02836024,-0.01917763,
25,-0.10172267,-0.01976847,-0.00937956,
26,0.04945809,-0.0017479,0.03535183,
27,-0.05105828,-0.04133407,0.01905454,
28,-0.03072359,-0.02451979,-0.01102898,
29,-0.00059084,-0.02895108,-0.00571144,
30,0.0002708,0.00489903,0.05386476,
31,-0.00477594,0.01989156,-0.09254006,
32,-0.00489903,0.02095014,-0.07806452,
33,-0.00802555,-0.03874915,-0.03407168,
34,-0.00273263,-0.09199845,0.06674011,
35,0.00248644,0.00519445,-0.04876878,
36,-0.00093549,-0.00777937,-0.05460331,
37,0.00157557,0.00425896,-0.01888221,
38,0.02639078,0.00238797,-0.00502213,
39,0.00728701,-0.00989654,0.03146214,
40,0.00169866,-0.01331848,-0.04377127,
41,0.03756747,-0.0079517,-0.01262917,
42,-0.02247648,0.00051698,0.05433251,
43,-0.06221035,-0.01117669,-0.0831605,
44,-0.01824213,-0.01201371,-0.01425398,
45,-0.00470209,-0.02267342,0.02220567,
46,-0.01745435,0.01117669,0.06454909,
47,0.00551449,0.01211219,-0.12018637,
48,-0.02058087,-0.01829137,0.01056124,
49,-0.01398317,-0.01312153,0.00937956,
50,-0.01521409,-0.01568183,-0.09308166,
51,-0.0121368,0.01420474,0.00531755,
52,0.0090349,-0.04864569,0.01826675,
53,0.03522874,-0.02119633,0.05167374,
54,0.02454441,-0.00152633,-0.01853755,
55,0.01004425,-0.00925647,0.01208757,
56,0.02353506,-0.01799595,-0.03072359,
57,0.01851293,-0.00204332,0.04263883,
58,-0.07218075,-0.01454939,-0.01607573,
59,0.01014272,-0.04335276,-0.03156061,
60,0.03276691,0.00019695,0.06275196,
61,0.05868994,0.00120629,-0.03685354,
62,-0.0175282,-0.0033727,-0.00268339,
63,-0.04076785,-0.00354503,0.00093549,
64,-0.03540106,-0.02848333,0.04655314,
65,-0.01257993,-0.01939919,-0.00487442,
66,0.0002708,-0.01216142,-0.00371736,
67,0.02639078,0.00807479,-0.01112746,
68,0.00950265,0.00408663,-0.03313618,
69,-0.03205298,-0.02082705,-0.04155563,
70,0.00039389,-0.00908414,0.08473607,
71,-0.00216641,-0.00425896,-0.12437147,
72,0.02353506,0.01080742,0.07190995,
73,0.03660736,0.01718355,-0.02259957,
74,0.03943846,-0.01708508,0.01191524,
75,0.04066937,-0.00327423,0.02131942,
76,0.02087629,0.00329885,0.09278624,
77,0.02705547,0.04643005,-0.0862624,
78,-0.08446526,-0.01309692,-0.01029043,
79,-0.02011312,-0.03013276,0.02208258,
80,0.02188564,-0.02163945,-0.02323964,
81,-0.01196448,-0.00561296,-0.00723777,
82,0.01152135,-0.0051206,-0.01110284,
83,-0.00534216,-0.00179713,-0.01432783,
84,-0.03357931,-0.00846868,0.02136865,
85,-0.01149673,-0.02710471,-0.01110284,
