製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 12:06:45,06/17 12:06:45,06/17 12:06:45,
サンプリング周波数,200,200,200,
シーケンス数,6108,6108,6108,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.04598692,-0.00105859,-0.06447523,
3,-0.04940886,-0.00782861,-0.02163945,
4,0.01666656,-0.01068433,-0.02402743,
5,-0.07124526,-0.01669118,-0.02198411,
6,-0.04318044,-0.02321502,-0.01454939,
7,-0.01504176,-0.00878872,0.0470455,
8,-0.01093051,-0.02415052,-0.0181929,
9,-0.00716391,-0.05521877,-0.0125307,
10,-0.01097975,-0.08352977,-0.01703584,
11,0.00428358,-0.03727205,0.00231412,
12,0.00445591,-0.01856217,0.01319539,
13,-0.02159022,-0.02503677,-0.00275725,
14,0.01610034,-0.04992584,-0.01147211,
15,-0.05086133,-0.02959115,-0.00928109,
16,0.00605609,-0.01386008,0.00765628,
17,0.00952727,-0.01189062,-0.06792179,
18,0.03362855,-0.0153618,-0.00398816,
19,0.04145716,-0.03387473,0.0062038,
20,0.05556342,-0.02284575,-0.00792708,
21,-0.05740979,-0.00612995,0.09438643,
22,-0.03062512,0.01344157,-0.0669863,
23,-0.01437707,-0.01287535,-0.07060518,
24,0.00329885,-0.03096978,-0.02395357,
25,-0.01676504,-0.02365815,-0.03192989,
26,0.07488876,0.00032004,-0.00731162,
27,-0.02432285,-0.00366812,-0.01314615,
28,-0.02727704,-0.0125307,-0.01541103,
29,0.00576067,-0.02619383,0.0008124,
30,0.01029043,-0.01962076,-0.0036435,
31,0.03111749,-0.00071393,0.09015208,
32,0.00182175,0.00987192,0.0796647,
33,-0.05568651,0.00790246,0.10157496,
34,-0.02779402,-0.03195451,-0.07929543,
35,0.02491368,-0.02085167,0.00896105,
36,-0.00785323,-0.00595762,-0.09308166,
37,0.03759209,0.0181929,0.16073265,
38,0.09313089,-0.00743472,-0.10908353,
39,-0.04943347,-0.02688314,-0.0130723,
40,-0.05226458,0.00433281,0.0686111,
41,-0.04965504,-0.01787286,-0.19884172,
42,0.01265379,0.00265877,-0.06821721,
43,0.01134902,-0.00600686,-0.06358898,
44,-0.0095765,-0.0264154,-0.07671051,
45,-0.00263415,-0.00908414,0.05615426,
46,-0.00987192,-0.01605111,0.02099938,
47,0.00078778,0.01117669,-0.00937956,
48,0.00408663,0.00078778,-0.0067454,
49,0.00408663,-0.03872453,0.00534216,
50,0.00273263,-0.01740511,0.03968464,
51,0.0215656,0.00585915,-0.04867031,
52,0.01031505,-0.01479558,0.07944314,
53,-0.01053662,-0.00290496,-0.03291462,
54,-0.00169866,-0.00755781,-0.03387473,
55,0.08020631,-0.00128015,0.07240232,
56,-0.06883267,0.00214179,-0.11388409,
57,0.01629729,0.01454939,0.03069898,
58,0.03769056,-0.00622842,-0.01196448,
59,0.14987599,-0.01139826,0.04416517,
60,0.20553789,0.00755781,0.0005416,
61,-0.21149551,-0.00514522,-0.06873419,
62,-0.09980244,0.00546525,-0.03616423,
63,-0.01585416,0.00014771,-0.02533219,
64,-0.00731162,-0.02208258,-0.0192761,
65,-0.00635151,-0.01314615,-0.00452976,
66,-0.00802555,0.00118168,0.04854722,
67,0.02247648,0.00329885,-0.06095482,
68,-0.01196448,-0.00945341,-0.01757744,
69,-0.00770552,-0.03330851,-0.00809941,
70,0.00125553,-0.01036429,-0.00748395,
71,0.00034466,-0.00425896,-0.00216641,
72,-0.01504176,0.00945341,0.02427361,
73,-0.00974883,-0.0102412,-0.01836523,
74,0.00605609,-0.02464288,0.00068931,
75,0.01910377,0.01006887,0.00632689,
76,0.01979308,0.00807479,0.00531755,
77,0.06193955,0.01745435,0.00610533,
78,0.02242724,0.01319539,0.00521907,
79,-0.03449019,-0.03131443,-0.00731162,
80,0.00059084,-0.01112746,0.0025603,
81,-0.04588844,-0.00211717,0.00585915,
82,-0.00312652,0.00637613,-0.02026083,
83,-0.00785323,-0.01386008,-0.00864101,
84,0.01346619,-0.02626769,0.00608071,
85,0.01161982,-0.01248146,-0.01425398,
86,-0.00982269,-0.00371736,-0.00881334,
87,0.01016734,0.01418012,-0.00472671,
88,0.03306233,-0.00398816,0.01582954,
89,0.08042787,-0.02232877,0.03980773,
90,0.00925647,-0.01061047,-0.01484481,
91,-0.03958617,0.00066469,-0.01843908,
92,-0.03330851,0.00472671,0.00211717,
93,-0.01026582,-0.00448052,-0.03062512,
94,-0.0175282,-0.03673045,0.03375164,
95,0.0110536,-0.01139826,-0.00157557,
96,0.01494329,0.02173793,0.02321502,
97,-0.0039143,0.02919726,-0.04251574,
98,-0.03301309,-0.00290496,-0.04214647,
99,-0.02230415,-0.02636616,-0.01629729,
100,0.01061047,-0.00507136,-0.01312153,
101,0.00334808,0.01001963,-0.00797632,
102,0.00236335,0.01582954,0.01472172,
103,-0.03128981,-0.00497289,0.0025603,
104,-0.01447554,-0.02813868,-0.04121097,
105,-0.00300343,-0.00248644,-0.0167158,
106,-0.00509598,0.00192022,-0.0096996,
107,0.00322499,0.00273263,-0.00280648,
108,-0.00790246,-0.01400779,-0.01806981,
109,-0.01457401,-0.03732129,-0.01014272,
110,-0.00851792,-0.01959614,-0.00462823,
111,-0.0036435,-0.00509598,-0.01061047,
112,-0.00007385,0.01546027,-0.00452976,
113,-0.00556373,-0.00177252,-0.01811904,
114,-0.00039389,-0.01806981,0.01289997,
115,-0.00093549,-0.01191524,-0.05425865,
116,-0.00371736,0.00051698,-0.01654347,
117,0.00694235,0.01570645,0.16730572,
118,0.03244687,0.00315114,-0.03178218,
119,0.03943846,-0.02223029,-0.05073824,
120,0.02316579,-0.01011811,-0.02279651,
121,0.00854254,0.00777937,-0.13825617,
122,-0.04300811,0.0161742,0.0562035,
123,0.01435245,-0.00034466,-0.08426832,
124,-0.04822718,-0.03069898,0.03601652,
125,-0.05339702,-0.01669118,-0.01610034,
126,-0.00940418,0.00544064,-0.03271767,
127,-0.00573606,0.00187099,-0.0192761,
128,0.03485946,0.01607573,-0.00440667,
129,-0.00869025,-0.01770053,0.00305266,
130,-0.02700624,-0.00253568,0.01100436,
131,0.00113244,0.01139826,0.0204824,
132,0.00029542,0.01068433,-0.02299346,
133,-0.01161982,-0.01742973,-0.01418012,
134,-0.00637613,-0.01971923,-0.00558835,
135,-0.0008124,0.00423434,0.02464288,
136,-0.00805017,0.01038891,0.09396791,
137,0.0125307,0.01016734,0.12028484,
138,0.02053163,0.00300343,-0.21142165,
139,0.00059084,-0.00721315,-0.02772017,
