製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）
計測時ID,1,2,3
計測開始時刻,2024/6/17 12:32,2024/6/17 12:32,2024/6/17 12:32
サンプリング周波数,200,200,200
シーケンス数,5788,5788,5788
PGAゲイン,x12,x12,x12
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
コメント,,,
ファイル保存形式,演算データ,演算データ,演算データ
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV]
1,0,0,0
2,-0.00721315,-0.00977345,-0.02996043
3,0.09586352,-0.00290496,-0.03985697
4,0.10332286,-0.00770552,-0.03983235
5,-0.1451739,-0.00716391,-0.01806981
6,-0.03252073,-0.00802555,-0.0423188
7,0.01757744,-0.00366812,0.00416049
8,-0.02538143,-0.01294921,-0.00814865
9,-0.0365335,-0.03412091,-0.01001963
10,0.00780399,-0.03537645,0.00164942
11,0.04709474,-0.0295173,0.01134902
12,0.05320007,-0.01917763,0.01915301
13,-0.01794671,-0.00760704,0.02316579
14,-0.08057558,-0.03069898,-0.0218364
15,-0.07479029,-0.03641041,-0.00125553
16,0.00091088,-0.01934996,-0.00979807
17,-0.01952228,-0.04679932,-0.00733624
18,-0.00251106,-0.02661234,0.04995046
19,-0.00120629,-0.01358928,0.08606545
20,0.05844376,-0.0190053,0.0359919
21,-0.07579964,-0.00937956,-0.00580991
22,-0.07799066,-0.01654347,-0.02922188
23,0.06587848,0.00219103,0.0306005
24,0.03690278,-0.01294921,0.00088626
25,0.01799595,-0.01738049,-0.07867997
26,0.05886227,-0.01962076,-0.08956125
27,0.00004924,-0.04113712,0.07331319
28,-0.11211158,-0.01228451,-0.06883267
29,0.12570086,-0.06629699,0.02740013
30,-0.03904457,0.01189062,-0.00699159
31,-0.0896351,0.0110536,0.00046775
32,0.15920632,-0.00305266,-0.02752322
33,-0.10797571,-0.01297383,0.00162481
34,-0.04522375,0.00571144,-0.00162481
35,-0.01888221,-0.0357211,-0.00829636
36,0.03690278,-0.07215613,-0.01289997
37,0.04780867,-0.07333781,0.01171829
38,-0.0357211,-0.01573107,-0.03111749
39,-0.0392169,0.02826177,0.03466252
40,-0.0357211,-0.00696697,-0.03867529
41,-0.02624307,0.03481023,-0.03700125
42,0.00489903,-0.06996511,0.08158493
43,0.01184139,-0.03769056,0.01971923
44,-0.00792708,-0.01041353,-0.04386975
45,0.1029782,-0.02944344,-0.03687816
46,-0.02811406,-0.03958617,-0.022378
47,0.10145187,0.05635121,0.01016734
48,-0.07597196,0.03867529,-0.01312153
49,0.13151077,0.02565223,0.02533219
50,0.17604521,-0.02200873,0.03055127
51,-0.04352509,-0.00137862,0.02730166
52,-0.04473139,0.02914802,-0.02848333
53,-0.25674388,0.04945809,0.05430789
54,0.02058087,0.00743472,-0.02208258
55,-0.07038362,0.01381085,-0.05196916
56,0.07936928,0.02602151,-0.02341197
57,0.05164912,0.02772017,-0.01211219
58,-0.05088595,0.03190527,-0.01358928
59,0.0896351,0.02284575,0.04187567
60,-0.09377097,-0.00881334,-0.02072858
61,-0.14182582,0.01696198,0.03338237
62,0.00192022,0.00743472,-0.01080742
63,0.03530259,0.01001963,-0.08392366
64,0.04967966,-0.00755781,-0.00977345
65,0.03850297,-0.01014272,-0.03301309
66,-0.04076785,-0.01270302,0.01085665
67,0.01137364,-0.01149673,-0.0289757
68,-0.0456915,0.00248644,0.02592303
69,0.04963042,-0.0148202,0.01001963
70,0.25167252,-0.01762668,-0.01031505
71,-0.10174729,-0.00974883,0.01479558
72,0.07181148,-0.00617918,0.01838984
