製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 12:04:47,06/17 12:04:47,06/17 12:04:47,
サンプリング周波数,200,200,200,
シーケンス数,6033,6033,6033,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00792708,0.00610533,0.03313618,
3,-0.02131942,0.00150171,0.06661702,
4,-0.01836523,0.00039389,0.04992584,
5,0.00115706,-0.00324961,-0.04859645,
6,0.08705018,0.00573606,-0.03985697,
7,0.00878872,0.00428358,-0.01816828,
8,0.00315114,-0.01331848,0.00398816,
9,0.18261828,-0.04364818,0.09037365,
10,-0.1548735,-0.04145716,-0.02146713,
11,0.05462793,-0.03663198,-0.01014272,
12,-0.11506577,-0.0176513,0.01073356,
13,0.01910377,-0.03399782,-0.03776442,
14,-0.02518448,-0.05617888,-0.0474394,
15,-0.14741417,-0.04711936,-0.02742475,
16,-0.02230415,-0.04091556,-0.03289,
17,-0.00979807,-0.02496292,0.00758243,
18,-0.00448052,-0.02882799,0.00273263,
19,0.00733624,-0.04926115,-0.02380586,
20,0.05174759,-0.04276193,-0.0136139,
21,-0.01450016,-0.03407168,-0.00192022,
22,-0.04773481,-0.02247648,-0.01777439,
23,0.00051698,-0.02789249,-0.00571144,
24,-0.01733126,-0.03911842,0.00032004,
25,-0.00854254,-0.03222531,-0.00091088,
26,0.01322001,-0.02747398,0.01179215,
27,0.00290496,-0.01275226,0.00100935,
28,-0.01457401,-0.00933032,0.00684388,
29,-0.00743472,-0.04473139,-0.00758243,
30,0.0008124,-0.03111749,-0.02208258,
31,0.02296884,-0.02003927,-0.00760704,
32,0.02220567,-0.01294921,0.00494827,
33,-0.01011811,-0.01627267,0.06866034,
34,0.03714896,-0.04409131,-0.0572867,
35,0.11415489,-0.02944344,0.01100436,
36,-0.03813369,-0.01408165,-0.01127517,
37,-0.04438673,-0.00782861,0.01413088,
38,-0.00940418,0.00120629,0.0331608,
39,0.01861141,-0.03609038,-0.05019664,
40,0.12232816,-0.01558336,0.02427361,
41,0.00423434,-0.00371736,0.02661234,
42,-0.00777937,0.00211717,-0.06531226,
43,-0.05974853,-0.00499751,-0.03141291,
44,-0.01521409,-0.02836024,-0.02023621,
45,-0.00280648,-0.01799595,-0.01888221,
46,0.01331848,-0.00632689,0.01085665,
47,0.0431312,0.01459863,-0.02284575,
48,-0.00425896,0.00386507,-0.01669118,
49,0.01597725,-0.01787286,-0.0005416,
50,-0.0266862,-0.01888221,0.00120629,
51,-0.00696697,-0.00576067,-0.01161982,
52,0.01068433,-0.00145248,0.01166906,
53,0.01523871,-0.00423434,-0.00339732,
54,-0.00007385,-0.03062512,-0.01245684,
55,-0.01368775,-0.0338255,-0.0053914,
56,0.0203593,-0.03271767,-0.00248644,
57,0.05800063,-0.01161982,0.01245684,
58,0.04064475,-0.01260455,0.02380586,
59,-0.03303771,-0.03485946,-0.02422437,
60,-0.03047741,-0.02973886,-0.00470209,
61,0.00216641,-0.02114709,-0.00755781,
62,0.05524339,-0.01425398,0.00622842,
63,-0.04913806,0.00120629,0.05913307,
64,0.06902961,-0.03591805,0.11683828,
65,-0.04162948,-0.03702587,-0.07222999,
66,-0.03190527,-0.02407666,-0.05322469,
67,0.00765628,-0.01161982,-0.02742475,
68,-0.00263415,-0.01339234,-0.02503677,
69,-0.00162481,-0.042048,0.01949767,
70,-0.00482518,-0.02636616,0.02488907,
71,-0.00359427,-0.01634653,-0.00832097,
72,0.00780399,-0.00472671,-0.00179713,
73,-0.00248644,-0.01149673,0.01878374,
74,0.01112746,-0.02545529,0.05184606,
75,0.06235806,-0.01418012,-0.01986694,
76,0.02902493,-0.00137862,0.05307698,
77,-0.00435743,0.00408663,-0.02097476,
78,-0.04167872,-0.00612995,0.01031505,
79,0.01351543,-0.02949268,-0.02589841,
80,0.10676941,-0.02530758,-0.00706544,
81,-0.03869991,-0.01245684,0.00315114,
82,-0.08096947,-0.01053662,-0.01166906,
83,-0.00435743,-0.01349081,-0.00452976,
84,-0.00093549,-0.03874915,-0.00388969,
85,-0.00509598,-0.03217607,-0.00792708,
86,0.00312652,-0.02163945,-0.00068931,
87,-0.00792708,-0.00253568,-0.00064007,
88,0.00401278,-0.00987192,-0.00462823,
89,0.00064007,-0.04438673,0.00128015,
90,0.00300343,-0.02592303,-0.00275725,
91,0.00672079,-0.00091088,-0.00263415,
92,0.00435743,0.00162481,0.00019695,
93,-0.0033727,-0.00445591,-0.0005416,
94,0.00386507,-0.01966999,-0.00241259,
95,0.02360892,-0.02619383,-0.00263415,
96,0.0400293,-0.01573107,-0.0064746,
97,0.05263385,0.00681926,0.0010832,
98,0.06292428,0.00856716,-0.00521907,
99,0.09689749,-0.01910377,0.03847835,
100,0.02124556,-0.01080742,-0.01558336,
101,0.02725242,-0.01432783,-0.0207532,
102,0.04327891,-0.0010832,-0.01257993,
103,0.05775445,-0.01053662,-0.02934497,
104,0.06024089,-0.03340698,0.05265847,
105,0.06619851,-0.01299844,0.02594765,
106,0.04386975,-0.0022895,0.07023591,
107,0.07648895,-0.00120629,-0.08613931,
108,0.00561296,-0.00723777,-0.04891649,
109,-0.03092054,-0.04574074,0.01802057,
110,-0.00179713,-0.0308713,-0.00398816,
111,0.01235837,-0.02058087,-0.00531755,
