製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 12:27:47,06/17 12:27:47,06/17 12:27:47,
サンプリング周波数,200,200,200,
シーケンス数,6054,6054,6054,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.05743441,-0.00327423,0.08476068,
3,0.04470677,-0.00583453,-0.06041322,
4,-0.08313588,-0.00583453,0.03404706,
5,-0.07208228,-0.01405703,-0.11100375,
6,0.03451481,-0.01326924,-0.00691773,
7,0.01866064,-0.01257993,-0.04864569,
8,0.06472142,-0.00359427,-0.00600686,
9,0.01730664,-0.01085665,-0.03096978,
10,-0.12528235,-0.01036429,-0.00472671,
11,-0.00617918,-0.00807479,-0.01733126,
12,0.03941384,-0.00103397,-0.00007385,
13,-0.03825678,-0.00928109,-0.011866,
14,0.00699159,-0.01248146,-0.01270302,
15,-0.01331848,-0.00817326,-0.02459365,
16,0.10159958,-0.00329885,0.03906919,
17,0.02789249,-0.01102898,-0.02838486,
18,-0.14049643,-0.00622842,-0.02533219,
19,0.08092023,-0.00551449,-0.03394859,
20,0.03547492,-0.0067454,0.05386476,
21,-0.08264351,-0.00937956,-0.01208757,
22,0.02355968,-0.01176753,-0.01848832,
23,0.11149612,-0.00327423,-0.00145248,
24,-0.04549455,-0.01211219,0.02026083,
25,-0.00544064,-0.01208757,-0.0115952,
26,0.05536648,-0.00610533,0.02223029,
27,-0.02801558,-0.00802555,0.00017233,
28,-0.07222999,-0.02336273,0.01184139,
29,0.03867529,-0.01174291,0.00339732,
30,0.27505987,-0.00859177,0.12803959,
31,-0.20159897,-0.01824213,-0.19204708,
32,-0.02220567,-0.01287535,-0.04167872,
33,0.12496231,-0.00568682,-0.0357211,
34,-0.05832067,-0.01019196,0.02122094,
35,-0.08670553,-0.03601652,-0.02936959,
36,0.09480494,-0.00219103,-0.01831599,
37,0.03911842,-0.01349081,-0.00494827,
38,-0.07872921,-0.01102898,-0.01125055,
39,-0.04500219,-0.00992116,-0.00145248,
40,0.03837987,-0.00706544,0.01979308,
41,0.00878872,-0.01090589,-0.01179215,
42,0.02993581,-0.00773013,0.02407666,
43,-0.04795638,0.0076809,0.01632191,
44,-0.01319539,-0.00839483,0.03675507,
45,-0.04721783,-0.00679464,0.03419477,
46,0.00881334,-0.00376659,0.02599689,
47,-0.03485946,-0.02065472,-0.02944344,
48,0.09997477,-0.01122593,-0.01233375,
49,-0.13608977,-0.00531755,-0.04244189,
50,0.10713869,-0.00563758,0.02661234,
51,0.0408417,0.00649922,0.09286009,
52,-0.00292957,-0.00470209,-0.01543565,
53,-0.07129449,-0.00482518,-0.03813369,
54,-0.03165909,0.00918261,-0.01309692,
55,0.00150171,-0.01435245,0.0218364,
56,-0.00041851,-0.00152633,-0.0394877,
57,0.03340698,-0.00248644,0.00177252,
58,-0.05694205,-0.00558835,-0.01395856,
59,0.07747368,-0.0048498,-0.01804519,
60,-0.0734609,-0.00625304,-0.01309692,
61,-0.04662699,-0.00039389,0.09775913,
62,0.00790246,-0.01134902,-0.00088626,
63,0.00428358,-0.00472671,-0.01555874,
64,-0.0663216,-0.00721315,0.01432783,
65,-0.02592303,-0.0002708,0.04679932,
66,0.02442132,-0.00777937,-0.02395357,
67,0.03264382,-0.00896105,-0.0303297,
68,0.05632659,-0.00452976,0.01568183,
69,0.02530758,0.00859177,0.02321502,
70,-0.03687816,0.00460362,-0.01312153,
71,0.00617918,0.0025603,-0.01176753,
72,0.24374543,-0.01504176,-0.0159034,
73,-0.09566658,0.00041851,-0.01238299,
74,-0.00711468,-0.00137862,0.04827642,
75,-0.1792702,-0.010512,0.01543565,
76,-0.02946806,-0.01597725,-0.07289468,
77,0.02208258,-0.01085665,0.01289997,
78,0.04150639,0.00014771,0.03850297,
79,-0.0706298,-0.01356466,0.01036429,
80,0.17432193,-0.0005416,-0.03399782,
81,-0.09990092,-0.0107828,0.01841446,
82,0.02801558,-0.0093057,-0.01504176,
83,-0.04827642,-0.00630228,-0.00755781,
84,0.00487442,-0.00814865,-0.03148676,
85,0.04574074,-0.00440667,0.01989156,
86,0.08700095,0.00435743,-0.00204332,
87,-0.05507106,-0.00792708,-0.00401278,
88,-0.00920723,0.00305266,0.0203593,
89,-0.10763105,-0.01410627,-0.00891181,
90,0.03830602,-0.00494827,0.03958617,
91,0.01324463,-0.00548987,-0.0518953,
92,0.16718263,-0.00580991,-0.04140792,
93,0.06457371,-0.01221066,0.03333313,
94,-0.22355846,-0.00600686,-0.01376161,
95,0.09566658,-0.01413088,-0.00349579,
96,-0.00736086,-0.00905952,-0.00472671,
97,0.05140294,-0.00896105,0.00059084,
98,0.01516485,-0.01326924,0.01829137,
99,-0.04303273,-0.00305266,-0.0138847,
100,0.06986663,-0.00716391,0.07498723,
101,-0.04724245,-0.0082225,-0.05435713,
102,-0.05100904,-0.01065971,-0.00428358,
103,-0.04803023,-0.00472671,-0.01203833,
104,0.00558835,-0.00962574,-0.01915301,
105,0.03096978,-0.01565722,-0.03092054,
106,0.01257993,-0.00844406,-0.00777937,
107,0.01937457,-0.00470209,0.02725242,
108,-0.00423434,-0.00659769,-0.01947305,
109,0.01484481,-0.00317576,-0.00632689,
110,0.03636118,-0.00137862,-0.00371736,
111,0.01228451,0.00219103,0.01275226,
112,-0.01265379,-0.00096011,0.03136367,
113,-0.01240761,-0.0022895,0.01319539,
