製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,06/17 11:59:45,06/17 11:59:45,06/17 11:59:45,
サンプリング周波数,200,200,200,
シーケンス数,5678,5678,5678,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00802555,-0.00502213,-0.00743472,
3,-0.02060549,-0.00334808,0.0102412,
4,0.03165909,-0.00706544,0.06957121,
5,-0.01211219,0.00413587,0.064426,
6,-0.00753319,-0.01706046,-0.05435713,
7,-0.00297881,-0.00354503,-0.01777439,
8,0.00814865,0.00248644,-0.0125307,
9,0.47798822,0.00263415,0.02528296,
10,-0.00226488,0.00797632,0.08121565,
11,-0.31087944,-0.01499252,-0.03424401,
12,-0.07579964,-0.0176513,-0.01233375,
13,-0.02235338,-0.00423434,-0.04076785,
14,0.10612934,-0.03128981,-0.01149673,
15,-0.19219479,-0.02791711,-0.010512,
16,-0.02914802,-0.0513537,0.01122593,
17,0.07513494,-0.00206793,0.01344157,
18,-0.16203742,-0.00827174,-0.02767093,
19,0.10861578,-0.0264154,-0.01646962,
20,-0.03636118,-0.00300343,-0.01248146,
21,0.00219103,-0.00718853,0.00192022,
22,0.09867,-0.02405204,0.00851792,
23,-0.01166906,-0.01565722,-0.01925148,
24,0.01125055,-0.01203833,0.02427361,
25,0.10551388,-0.00859177,-0.02016236,
26,-0.03862606,-0.0187345,-0.01102898,
27,-0.00140324,-0.00915799,0.02395357,
28,-0.06287505,-0.00642537,0.00669617,
29,-0.11432722,-0.00487442,-0.01019196,
30,0.01447554,-0.00192022,-0.01048738,
31,0.01400779,0.0010832,-0.00273263,
32,0.05878842,-0.00278186,-0.0187345,
33,-0.0606594,-0.03000966,0.00044313,
34,0.02250109,0.03062512,-0.00076317,
35,0.10231351,-0.0252091,0.00128015,
36,-0.06381054,0.00546525,0.01454939,
37,-0.00408663,-0.05841914,-0.0039143,
38,-0.05150141,0.02685853,-0.00632689,
39,-0.0133431,-0.01346619,0.03148676,
40,0.01898068,-0.00937956,0.00044313,
41,0.0051206,-0.01422936,0.07030976,
42,0.02112247,0.00120629,-0.00425896,
43,0.00684388,-0.00475133,-0.07195919,
44,0.01755282,-0.00691773,0.06405672,
45,-0.00588377,-0.01223528,-0.06568153,
46,0.00226488,-0.00199408,-0.02661234,
47,-0.01112746,-0.00428358,-0.02176255,
48,-0.00610533,0.00450514,0.0215656,
49,0.00736086,-0.02114709,0.00748395,
50,0.00433281,0.01395856,-0.01934996,
51,0.00888719,0.00265877,-0.00928109,
52,-0.01627267,-0.015091,-0.0068685,
53,-0.00388969,-0.02311655,0.00600686,
54,0.037469,-0.01917763,0.00588377,
55,0.03823216,0.00068931,0.01016734,
56,-0.01373699,-0.01100436,0.00408663,
57,-0.03867529,-0.0159034,0.0039143,
58,0.0020187,-0.00871487,0.05159988,
59,0.00384045,-0.01294921,-0.00445591,
60,-0.0231904,-0.02653849,0.04527299,
61,0.0010832,0.00238797,-0.00856716,
62,-0.04177719,-0.00632689,0.01880835,
63,-0.04571612,-0.03357931,-0.06565691,
64,0.04118636,0.01523871,0.04212185,
65,-0.00642537,0.01418012,-0.01393394,
66,-0.05063977,-0.0017479,-0.03857682,
67,0.01506638,0.02976348,0.0587638,
68,0.00519445,-0.00477594,-0.17520819,
69,0.02673544,-0.01610034,-0.01848832,
70,-0.01511561,-0.01250608,0.03160985,
71,-0.00100935,-0.02208258,-0.05039359,
72,-0.0125307,-0.02279651,0.02003927,
73,0.00859177,0.04133407,-0.04007853,
74,0.01676504,0.00829636,-0.02907417,
75,-0.02422437,-0.03586881,-0.01016734,
76,0.07011282,-0.02737551,0.00465285,
77,0.15268248,0.00290496,0.0215656,
78,-0.17742383,0.01841446,0.00162481,
79,-0.05238767,-0.01888221,-0.01260455,
80,-0.02432285,-0.00866563,-0.01777439,
81,0.06513993,-0.02038392,0.0122599,
82,-0.06218574,-0.0010832,-0.00896105,
83,-0.03601652,0.00743472,-0.01198909,
84,0.06346589,-0.00241259,0.00288034,
85,-0.01708508,-0.01964537,0.00452976,
86,-0.04707012,-0.00723777,-0.03995544,
87,-0.01139826,-0.0053914,0.01462325,
88,-0.0508121,-0.00312652,0.00046775,
89,0.02311655,-0.02397819,-0.02538143,
90,-0.00878872,0.02767093,0.02705547,
91,0.00920723,0.02589841,0.04396822,
92,0.03675507,-0.01346619,-0.01063509,
93,0.17016144,0.02287037,0.07934467,
94,-0.1392409,0.02107323,-0.04940886,
95,-0.04044781,-0.00489903,-0.00571144,
96,-0.00558835,-0.00711468,-0.00672079,
97,0.04081708,-0.00214179,0.00519445,
98,-0.03537645,0.00194484,0.00263415,
99,0.00758243,0.00521907,-0.00280648,
100,0.10145187,0.0148202,0.02616921,
101,-0.01949767,0.00684388,-0.0121368,
102,0.11895545,0.00743472,0.01371237,
103,-0.0814126,0.00536678,-0.01506638,
104,-0.07882768,-0.00371736,-0.0153618,
105,-0.05878842,-0.00937956,-0.01137364,
106,-0.01184139,-0.0010832,0.0082225,
