製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:45:16,07/02 17:45:16,07/02 17:45:16,
サンプリング周波数,200,200,200,
シーケンス数,5685,5685,5685,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00797632,-0.01533718,-0.00982269,
3,-0.00041851,-0.02134404,-0.01233375,
4,-0.00785323,0.05807449,-0.01043814,
5,0.00177252,-0.01770053,-0.01718355,
6,-0.01110284,-0.03426862,0.0005416,
7,-0.00091088,-0.01454939,-0.01014272,
8,-0.00967498,0.02139327,0.00546525,
9,0.00773013,-0.01592802,-0.00526831,
10,-0.00408663,-0.01171829,-0.01289997,
11,-0.06100406,-0.00644999,-0.00302805,
12,-0.03488408,-0.00718853,0.0053914,
13,0.0337024,-0.0053914,-0.02109785,
14,0.04803023,0.00610533,-0.01413088,
15,0.00044313,-0.01090589,-0.01408165,
16,-0.0074101,-0.01432783,-0.00918261,
17,-0.0246675,-0.02267342,-0.0074101,
18,0.01454939,-0.02099938,-0.00644999,
19,0.0159034,-0.01804519,-0.00435743,
20,-0.01548489,-0.00359427,-0.01794671,
21,0.00573606,-0.00908414,-0.01659271,
22,0.00632689,-0.00039389,-0.01824213,
23,-0.00379121,-0.01597725,-0.00681926,
24,0.02826177,-0.02112247,-0.00093549,
25,-0.03613961,0.01272764,-0.02242724,
26,-0.02112247,0.00718853,-0.01974385,
27,0.031536,-0.00059084,-0.00292957,
28,0.01228451,-0.01038891,-0.00612995,
29,0.01405703,-0.03781365,-0.00497289,
30,-0.00854254,0.01511561,-0.00905952,
31,-0.01770053,-0.00573606,-0.01161982,
32,-0.01272764,-0.01326924,-0.00654846,
33,0.00248644,0.01029043,-0.00384045,
34,0.01257993,-0.00317576,-0.00088626,
35,0.02149174,0.0074101,-0.00684388,
36,0.03805984,-0.01885759,-0.00448052,
37,-0.01582954,-0.01669118,-0.004579,
38,-0.00206793,-0.00743472,-0.00371736,
39,-0.03867529,-0.00263415,-0.00841945,
40,-0.02023621,0.00103397,-0.0053914,
41,-0.02038392,-0.00642537,-0.00428358,
42,0.01479558,-0.00841945,-0.00536678,
