製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:26:11,07/02 17:26:11,07/02 17:26:11,
サンプリング周波数,200,200,200,
シーケンス数,5653,5653,5653,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00140324,-0.01730664,-0.00691773,
3,0.00731162,-0.00366812,0.02296884,
4,0.00352041,-0.01553412,0.00128015,
5,0.00649922,-0.01240761,0.00659769,
6,0.00078778,-0.00568682,0.00551449,
7,-0.00263415,-0.01356466,0.05659739,
8,-0.00379121,-0.00438205,-0.01984232,
9,-0.00706544,-0.0079517,-0.02085167,
10,-0.00145248,-0.00630228,0.00388969,
11,-0.00034466,-0.00374198,0.00088626,
12,-0.00519445,-0.01939919,-0.015091,
13,-0.01097975,-0.01410627,-0.0036435,
14,-0.01541103,-0.02311655,0.00004924,
15,-0.00790246,-0.01228451,0.00091088,
16,0.01289997,-0.01437707,0.00679464,
17,-0.02666158,-0.01720817,-0.01472172,
18,-0.01802057,-0.01257993,0.00470209,
19,-0.01061047,-0.01331848,0.00359427,
20,-0.01516485,-0.00608071,0.00992116,
21,-0.01484481,-0.0064746,0.00632689,
22,-0.01257993,-0.00982269,0.00007385,
23,-0.01075818,-0.01386008,0.07685822,
24,-0.02348582,-0.02213182,-0.04133407,
25,-0.00251106,-0.01029043,0.00425896,
26,-0.00105859,-0.01277688,-0.00797632,
27,0.00716391,0.01100436,-0.00770552,
28,-0.01533718,-0.0149679,0.01016734,
29,-0.0181929,-0.02195949,-0.00187099,
