製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:50:42,07/02 17:50:42,07/02 17:50:42,
サンプリング周波数,200,200,200,
シーケンス数,5894,5894,5894,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00420972,0.04470677,-0.02676005,
3,0.00248644,0.01991618,0.00777937,
4,0.01228451,-0.01917763,-0.02725242,
5,-0.00438205,0.07284544,0.03303771,
6,-0.02235338,0.21723156,0.0146971,
7,0.01048738,0.04401746,-0.02651387,
8,-0.02311655,0.02968963,0.22988535,
9,0.00583453,0.01400779,-0.25546373,
10,0.00580991,-0.05531724,-0.03953693,
11,0.00721315,0.08510534,0.0002708,
12,-0.02161484,0.08933968,0.01774977,
13,-0.03158523,0.04497757,-0.02429823,
14,0.02026083,-0.04857184,-0.00585915,
15,0.03453942,0.03473637,0.00388969,
16,-0.01250608,-0.02648925,0.01742973,
17,-0.00568682,-0.00157557,0.00940418,
18,-0.06371207,0.07205766,0.03911842,
19,-0.02698162,0.01312153,-0.00113244,
20,0.03402244,0.00347118,-0.01430321,
21,0.06331818,-0.10743411,-0.00361888,
22,0.02946806,0.00728701,0.00128015,
23,-0.01174291,0.07075289,0.12092491,
24,-0.00169866,0.01664195,-0.08178187,
25,-0.00019695,0.01656809,-0.01314615,
26,0.00315114,-0.0176513,0.00093549,
27,-0.00546525,0.06341665,0.04551917,
28,0.02397819,-0.0010832,-0.02026083,
29,0.04453444,0.0572867,0.04638081,
30,-0.02023621,0.04433749,-0.10319976,
31,-0.00032004,-0.02186102,0.01669118,
32,-0.00987192,0.00398816,0.07173762,
33,-0.00064007,0.02518448,-0.00901028,
34,0.00413587,0.02488907,0.08648396,
35,0.00211717,-0.03146214,-0.10443068,
36,-0.00342194,-0.06706015,0.01287535,
37,0.00918261,-0.01349081,0.01806981,
38,0.00472671,0.12402682,0.0292465,
39,-0.01393394,0.07690746,-0.04522375,
40,-0.00937956,0.05327392,0.00044313,
41,-0.00305266,0.02213182,-0.00482518,
42,-0.01139826,0.00248644,0.03148676,
43,-0.01029043,-0.05960082,0.02225491,
44,-0.00723777,-0.0847853,-0.03850297,
45,-0.0167158,0.08079714,-0.00285572,
46,-0.0095765,0.08052634,0.00829636,
47,-0.01750359,0.05088595,0.0204824,
48,-0.02538143,-0.03805984,0.00913338,
49,-0.02570147,-0.00851792,-0.02946806,
50,0.01257993,0.10322438,-0.00869025,
51,-0.00192022,-0.02836024,-0.00226488,
52,-0.02287037,0.03579496,0.00612995,
53,-0.03493332,-0.0110536,0.00728701,
54,-0.021024,0.01499252,-0.05110752,
55,0.0405709,0.01848832,-0.01979308,
56,0.00470209,0.0176513,0.01208757,
57,-0.06024089,0.01075818,0.02415052,
58,-0.01767591,-0.03094516,0.01420474,
59,0.08010783,-0.04022624,-0.04709474,
60,0.01984232,0.00118168,-0.00790246,
61,-0.00388969,0.01282612,0.00548987,
62,0.02294422,-0.02599689,-0.01740511,
63,0.04549455,0.01400779,-0.05007355,
64,-0.00509598,0.05448022,-0.0529785,
65,-0.01467249,0.07875383,-0.02503677,
66,-0.04175258,-0.02181178,-0.00709006,
67,-0.01770053,0.03195451,-0.00371736,
68,0.04657776,-0.03941384,0.0181929,
69,0.01629729,0.00672079,-0.05745903,
70,0.01068433,-0.00189561,-0.01693737,
71,0.00563758,-0.02850795,-0.00576067,
72,-0.01634653,0.02003927,0.00014771,
73,-0.0068685,0.02545529,0.01605111,
74,0.0243967,0.01073356,-0.04724245,
75,0.00832097,0.00805017,-0.01272764,
76,0.00544064,0.00034466,0.00583453,
77,0.01925148,-0.0136139,-0.02392895,
78,0.0022895,-0.00573606,0.00462823,
79,-0.00260954,0.02863104,-0.05004893,
80,0.00260954,0.02171331,-0.01602649,
81,0.00435743,0.04364818,-0.0017479,
82,-0.01299844,0.00694235,-0.0005416,
83,-0.00034466,-0.00723777,-0.00066469,
