製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:30:52,07/02 17:30:52,07/02 17:30:52,
サンプリング周波数,200,200,200,
シーケンス数,5938,5940,5938,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00994578,-0.01363852,-0.00078778,
3,0.01696198,-0.00472671,-0.00152633,
4,0.00561296,0.00150171,-0.011866,
5,0.00967498,-0.01285073,-0.00164942,
6,0.00265877,0.0051206,-0.00177252,
7,-0.00226488,-0.00598224,-0.00844406,
8,0.00032004,-0.00883796,-0.00773013,
9,-0.00125553,0.010512,-0.01147211,
10,0.01543565,0.00780399,-0.00068931,
11,0.00302805,-0.00145248,-0.00017233,
12,-0.00214179,-0.00866563,0.00157557,
13,0.0287049,-0.00435743,-0.01521409,
14,-0.01422936,-0.01228451,-0.00955189,
15,0.00300343,-0.00292957,-0.00004924,
16,0.01164444,-0.01282612,0.00243721,
17,0.00805017,-0.01639576,0.00630228,
18,0.00413587,-0.00091088,0.00265877,
19,-0.01260455,-0.03082207,-0.00773013,
20,-0.00091088,-0.01149673,-0.016445,
21,0.00396354,-0.00433281,-0.00078778,
22,0.00475133,-0.01097975,-0.00561296,
23,0.01235837,0.00502213,0.00679464,
24,-0.00551449,-0.01326924,-0.00548987,
25,-0.01472172,0.00770552,-0.01435245,
26,0.02353506,0.0051206,0.00908414,
27,-0.00312652,0.00585915,0.00260954,
28,0.01080742,-0.00472671,0.00401278,
29,0.01233375,0.00076317,-0.00644999,
30,-0.00918261,-0.01041353,-0.00709006,
31,0.00856716,-0.00297881,-0.00728701,
32,-0.00349579,-0.01250608,0.0031019,
33,0.00354503,0.00157557,0.00908414,
34,0.00322499,-0.00068931,-0.01285073,
35,0.01211219,-0.02090091,-0.01221066,
36,0.01149673,0.00398816,0.00359427,
37,0.00526831,0.00051698,0.00896105,
38,-0.00029542,0.00064007,0.00462823,
39,0.01654347,0.00349579,0.00413587,
40,0.02193487,-0.01048738,-0.0039143,
41,-0.02631692,-0.01570645,-0.00583453,
42,0.00662231,-0.01570645,0.00571144,
43,0.00366812,-0.00994578,-0.0048498,
44,0.00809941,-0.01245684,-0.01112746,
45,0.03192989,-0.01902992,-0.01270302,
46,0.0051206,-0.00883796,-0.00438205,
47,-0.00128015,-0.01016734,0.00167404,
48,0.00366812,-0.00408663,-0.00002462,
49,0.00568682,0.01565722,-0.00699159,
50,0.00952727,0.00497289,-0.00078778,
51,0.01506638,-0.01472172,0.00216641,
52,0.01065971,0.00103397,-0.00315114,
53,0.02186102,-0.01090589,-0.00438205,
54,-0.00009847,-0.0122599,-0.01654347,
55,-0.00137862,-0.01346619,-0.01085665,
