製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:48:36,07/02 17:48:36,07/02 17:48:36,
サンプリング周波数,200,200,200,
シーケンス数,5765,5765,5765,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01201371,0.02570147,-0.01976847,
3,-0.02176255,0.03552416,0.00359427,
4,-0.00662231,0.01474634,0.01393394,
5,0.00883796,-0.02698162,-0.00241259,
6,-0.03709972,0.01922686,-0.0144263,
7,-0.01543565,-0.02023621,-0.0025603,
8,0.00691773,0.0351795,0.00654846,
9,0.01184139,-0.00076317,-0.01683889,
10,0.0079517,0.00684388,-0.01038891,
11,-0.00044313,-0.02060549,0.00792708,
12,0.02644002,-0.00487442,-0.03488408,
13,-0.00908414,-0.01240761,-0.02328888,
14,-0.01398317,-0.01088127,-0.03057588,
15,0.03658274,-0.00669617,-0.01976847,
16,0.00275725,-0.01277688,0.00617918,
17,-0.00558835,-0.0153618,-0.01068433,
18,-0.02690776,-0.00915799,-0.01395856,
19,0.01196448,0.01265379,-0.01861141,
20,0.00064007,-0.0431312,-0.03025585,
21,0.0008124,-0.03456404,-0.03695201,
22,0.00243721,0.0121368,-0.02112247,
23,0.00721315,-0.01405703,-0.01272764,
24,-0.00327423,-0.02427361,-0.03798598,
25,-0.00888719,-0.0200885,-0.03222531,
26,-0.0062038,-0.02294422,-0.00329885,
27,-0.00278186,-0.01233375,0.01262917,
28,-0.00487442,-0.00622842,0.02119633,
29,-0.00864101,0.00654846,0.03407168,
30,0.01029043,-0.02119633,-0.07882768,
31,0.00275725,-0.00007385,0.00349579,
32,-0.01228451,-0.0303297,0.01137364,
33,-0.01149673,-0.00745933,0.00731162,
34,-0.00352041,-0.02053163,-0.14908821,
35,0.00571144,-0.00721315,0.05369243,
36,-0.00260954,-0.00489903,0.02626769,
37,0.01971923,-0.01174291,0.02676005,
38,-0.00514522,-0.00755781,0.00878872,
39,0.00573606,-0.01029043,0.01395856,
40,0.00374198,-0.00866563,0.01189062,
41,-0.01597725,0.00280648,-0.00056622,
42,-0.01516485,-0.01272764,-0.00292957,
43,0.02599689,-0.01413088,-0.00017233,
44,0.02454441,-0.01811904,-0.0076809,
45,0.04278654,-0.01102898,-0.02262418,
46,0.01949767,0.01147211,0.04450982,
47,0.00864101,-0.04551917,0.08416985,
48,0.00359427,0.03591805,0.02865566,
49,-0.00499751,0.00315114,-0.00083702,
50,0.00374198,0.01228451,0.01949767,
51,-0.00425896,0.00637613,-0.00187099,
52,0.01814366,0.02582456,0.00915799,
53,0.01184139,-0.01733126,0.01838984,
54,-0.00002462,-0.00817326,-0.12380525,
55,-0.00770552,0.00388969,0.05455407,
56,-0.02779402,0.00022156,0.0502705,
57,-0.01196448,-0.02501216,0.04593768,
58,0.03714896,-0.01484481,0.02705547,
59,0.01216142,-0.01386008,0.03857682,
