製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:28:52,07/02 17:28:52,07/02 17:28:52,
サンプリング周波数,200,200,200,
シーケンス数,5604,5604,5604,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01331848,-0.00096011,-0.01622344,
3,-0.01065971,-0.00753319,0.0025603,
4,0.00199408,-0.00610533,0.01184139,
5,0.00817326,-0.00802555,-0.01942381,
6,0.00470209,-0.00711468,-0.00805017,
7,-0.00004924,-0.0338255,0.00354503,
8,-0.02934497,0.00721315,-0.01696198,
9,-0.01425398,-0.01546027,-0.00302805,
10,0.00046775,-0.00600686,0.0175282,
11,0.00716391,-0.00078778,0.17666066,
12,-0.01336772,-0.00088626,-0.1679458,
13,-0.01115207,-0.02619383,-0.03158523,
14,-0.00236335,-0.00871487,-0.00179713,
15,-0.01326924,-0.01917763,-0.01349081,
16,0.01386008,-0.0121368,0.12237739,
17,-0.01122593,-0.05925616,-0.09827611,
18,-0.00416049,0.01486943,-0.07794142,
19,-0.00051698,-0.00625304,-0.01755282,
20,-0.0121368,-0.01541103,-0.0074101,
21,-0.00733624,0.01189062,-0.00487442,
22,-0.00329885,-0.00206793,-0.00022156,
23,0.00157557,-0.00076317,0.00605609,
24,0.00699159,-0.00253568,-0.01996541,
25,-0.00130477,-0.00428358,-0.00462823,
26,-0.00347118,0.00662231,0.00327423,
27,0.01678966,0.00398816,-0.01915301,
28,-0.00534216,-0.00893643,-0.00866563,
29,-0.03813369,-0.01110284,-0.11107761,
30,-0.00608071,-0.00278186,-0.01065971,
31,-0.00088626,0.01848832,0.01947305,
32,0.00866563,0.00416049,0.1695706,
33,0.00093549,-0.0167158,-0.03818293,
34,0.00145248,-0.00113244,-0.01597725,
35,-0.00100935,-0.00253568,-0.01413088,
36,-0.00632689,-0.00164942,-0.02986195,
37,0.01573107,-0.00401278,0.00561296,
38,-0.00770552,-0.00691773,-0.07451949,
39,-0.0079517,-0.01085665,-0.01750359,
40,0.00103397,-0.02294422,-0.0181929,
41,-0.00177252,-0.01802057,-0.02299346,
42,-0.00216641,-0.01097975,0.00280648,
43,-0.00891181,-0.02296884,-0.02503677,
44,-0.00128015,0.00066469,-0.01198909,
45,0.00753319,-0.01619882,-0.00507136,
46,0.0115952,-0.00019695,-0.02964039,
47,0.02097476,-0.00487442,-0.01693737,
48,-0.00273263,0.00376659,-0.01432783,
49,-0.0025603,0.00598224,-0.00612995,
50,0.00583453,-0.04212185,-0.00937956,
51,-0.01001963,-0.05073824,-0.01681427,
52,-0.00068931,0.02813868,0.00238797,
53,0.00248644,-0.01413088,-0.00950265,
54,0.00423434,0.01371237,-0.04404207,
55,0.00251106,-0.00494827,-0.01504176,
56,-0.00169866,0.00758243,-0.00635151,
57,0.00428358,0.00452976,-0.00859177,
58,0.01405703,0.00681926,0.00494827,
59,0.00718853,0.00290496,0.16809351,
60,0.01137364,0.0051206,-0.1186108,
61,0.00179713,0.0002708,-0.04938424,
62,-0.01814366,-0.00994578,-0.04256498,
63,0.00241259,-0.02168869,-0.02402743,
64,0.00347118,-0.00785323,-0.02860642,
65,-0.00371736,0.00056622,-0.0207532,
66,0.00339732,0.0121368,-0.0122599,
67,0.02127018,-0.00551449,-0.01235837,
68,0.00699159,0.00150171,-0.0218364,
69,-0.01777439,0.00785323,0.01432783,
70,-0.01558336,-0.00854254,-0.0295173,
71,0.00120629,-0.01250608,0.12033408,
72,0.00359427,0.01223528,-0.12166346,
73,0.01127517,-0.0076809,-0.0413833,
74,0.00194484,0.00290496,-0.02188564,
75,0.01632191,0.0017479,0.0033727,
76,0.02483983,0.00305266,0.12232816,
77,-0.01161982,0.00056622,-0.07161453,
78,0.00145248,-0.03958617,-0.02488907,
79,0.00064007,-0.00681926,-0.02131942,
80,0.01450016,0.00352041,-0.01629729,
81,0.01179215,0.01097975,-0.01102898,
82,0.00396354,0.01964537,-0.00773013,
83,-0.00568682,-0.02447055,-0.01036429,
84,0.00251106,-0.00534216,0.03943846,
85,0.01041353,-0.00253568,-0.07781833,
86,-0.01824213,0.00162481,-0.02306731,
87,-0.00709006,-0.03426862,-0.03047741,
88,0.00452976,-0.00546525,0.00002462,
89,0.02287037,-0.00248644,-0.00014771,
90,0.00169866,-0.00588377,-0.01546027,
91,-0.01454939,-0.03958617,-0.00265877,
92,-0.00928109,-0.01371237,-0.00728701,
93,0.0010832,-0.00630228,0.03045279,
94,0.00280648,0.00659769,0.02077782,
95,0.00002462,-0.00487442,-0.0547264,
96,0.03023123,-0.00305266,-0.02501216,
97,0.03279153,-0.00777937,0.02144251,
98,-0.0318068,-0.0181929,-0.02565223,
99,-0.03444095,-0.02060549,-0.02540605,
100,-0.01435245,-0.031536,-0.00770552,
101,-0.005933,-0.02823715,-0.02033469,
102,0.00334808,-0.03357931,-0.01491867,
103,0.00585915,-0.00211717,-0.03116672,
104,0.00728701,-0.02151636,-0.00248644,
105,-0.01474634,0.01381085,0.03156061,
106,0.00416049,-0.02021159,-0.11378562,
107,0.00531755,0.01979308,-0.01580493,
108,0.00302805,-0.02198411,0.10036866,
109,-0.01381085,-0.04803023,-0.28626118,
110,-0.00499751,0.01326924,0.02021159,
111,-0.00157557,-0.01043814,0.04724245,
112,-0.00071393,-0.00694235,-0.05937925,
113,0.00568682,-0.03111749,-0.00765628,
114,0.00982269,0.00790246,-0.09295857,
115,-0.01777439,-0.02060549,-0.02151636,
116,-0.01065971,0.02114709,0.00534216,
117,-0.00100935,0.01573107,0.00248644,
118,0.01578031,-0.00241259,-0.00096011,
119,0.00128015,-0.02159022,-0.05910845,
120,-0.00007385,-0.0243967,0.0176513,
121,-0.00224026,-0.00211717,0.00361888,
122,0.01762668,-0.00605609,0.01137364,
123,-0.01922686,-0.03993082,0.00093549,
124,-0.01607573,-0.01322001,-0.00438205,
125,-0.00881334,0.00268339,0.00600686,
126,-0.00413587,0.00142786,-0.08611469,
127,-0.01097975,0.01189062,0.02107323,
128,0.00450514,-0.02255033,0.02796635,
129,0.01703584,-0.00398816,0.12264819,
130,-0.00502213,0.0243967,-0.0731901,
131,-0.01085665,-0.00777937,-0.00933032,
132,0.00583453,-0.01681427,-0.00920723,
133,-0.00841945,0.00408663,-0.00580991,
134,0.01430321,0.00450514,-0.02368277,
135,0.01578031,0.00226488,0.00992116,
136,-0.00288034,-0.00809941,0.00829636,
137,-0.00152633,0.02742475,0.01245684,
138,-0.00411125,-0.01285073,-0.00359427,
139,0.00219103,-0.00777937,0.00733624,
140,-0.00349579,-0.00078778,-0.01152135,
