製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:43:26,07/02 17:43:26,07/02 17:43:26,
サンプリング周波数,200,200,200,
シーケンス数,5678,5678,5678,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00728701,-0.04190029,-0.00317576,
3,0.0146971,-0.01533718,-0.01036429,
4,0.00667155,-0.01853755,-0.00017233,
5,0.005933,-0.00667155,-0.01085665,
6,-0.00305266,-0.01004425,-0.00940418,
7,-0.0096996,-0.01843908,-0.00962574,
8,-0.00349579,-0.00832097,-0.00280648,
9,-0.00398816,-0.00487442,0.00352041,
10,0.01523871,-0.00379121,-0.00334808,
11,0.01454939,-0.01962076,-0.00472671,
12,0.00551449,0.01326924,-0.00580991,
13,-0.01275226,-0.01558336,-0.00236335,
14,-0.01371237,-0.01289997,0.00177252,
15,-0.01112746,-0.00819788,0.00600686,
16,0.02255033,-0.00004924,-0.00034466,
17,0.01289997,-0.00777937,-0.00536678,
18,0.0068685,-0.00797632,-0.00423434,
19,0.01393394,-0.00817326,-0.00100935,
20,0.01174291,0.0031019,0.00137862,
21,-0.00465285,-0.00536678,0.00551449,
22,-0.02144251,-0.00854254,0.01137364,
23,0.016445,-0.01110284,0.0076809,
24,0.02195949,0.06088097,0.00745933,
25,-0.00039389,-0.06206264,0.005933,
26,-0.02122094,-0.01856217,0.0002708,
27,0.00846868,-0.01659271,0.00214179,
28,0.00450514,-0.00152633,0.00029542,
29,-0.00265877,0.00832097,0.00654846,
30,-0.02250109,-0.01100436,-0.00514522,
31,-0.0010832,-0.01068433,-0.00819788,
32,-0.00051698,-0.01171829,-0.0020187,
33,-0.0190053,0.01179215,-0.00118168,
34,-0.016445,-0.02050701,0.00204332,
35,0.02173793,-0.01061047,-0.01413088,
36,0.01056124,-0.00450514,-0.01240761,
37,0.00679464,-0.0095765,0.00231412,
38,0.00893643,-0.0062038,-0.00802555,
39,-0.01299844,-0.00856716,-0.00029542,
40,-0.01048738,-0.00721315,-0.00096011,
41,-0.01486943,-0.00534216,-0.00260954,
42,0.00187099,-0.01073356,0.0005416,
43,-0.01546027,0.00694235,0.00187099,
44,-0.00435743,-0.0233135,0.0008124,
45,0.00681926,-0.01912839,-0.0002708,
46,0.01811904,-0.01605111,-0.00420972,
47,0.00979807,-0.01602649,0.00339732,
48,-0.00206793,-0.00519445,-0.00413587,
49,-0.00386507,-0.01459863,0.00226488,
50,-0.00489903,-0.02077782,-0.00440667,
51,-0.0002708,-0.01245684,-0.0068685,
52,0.00470209,-0.00162481,-0.01085665,
53,0.00300343,-0.01787286,-0.00770552,
54,0.00002462,-0.0133431,-0.00334808,
55,-0.0175282,0.01056124,-0.00534216,
56,-0.00711468,-0.02186102,-0.00679464,
57,0.00416049,-0.02518448,-0.00869025,
58,0.02316579,-0.02144251,-0.00204332,
