製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/02 17:23:49,07/02 17:23:49,07/02 17:23:49,
サンプリング周波数,200,200,200,
シーケンス数,5705,5705,5705,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.02481521,-0.02836024,-0.00684388,
3,-0.00644999,0.01056124,0.00268339,
4,0.00583453,-0.00066469,-0.00029542,
5,0.00125553,-0.00211717,0.00396354,
6,0.01065971,-0.00839483,0.05866532,
7,0.00696697,0.00162481,-0.07178686,
8,-0.02131942,0.01152135,-0.0144263,
9,-0.00743472,-0.00790246,-0.01043814,
10,-0.01011811,0.02107323,-0.00238797,
11,0.00004924,-0.00792708,-0.01405703,
12,-0.02799097,-0.00679464,-0.01516485,
13,-0.00502213,-0.0246675,-0.01127517,
14,0.01511561,0.01664195,0.00253568,
15,0.02373201,0.01782362,-0.00521907,
16,0.02353506,0.01659271,-0.00563758,
17,0.00563758,0.00216641,-0.01075818,
18,-0.00009847,-0.00489903,-0.00004924,
19,0.00524369,0.00059084,-0.00120629,
20,-0.00413587,0.00226488,-0.00733624,
21,0.00064007,0.00622842,-0.00182175,
22,0.01198909,-0.01285073,-0.00009847,
23,-0.00945341,-0.00694235,0.00546525,
24,0.01376161,0.00130477,0.00120629,
25,0.00056622,0.00236335,-0.00979807,
26,0.00044313,0.00408663,-0.00386507,
27,-0.00004924,0.01376161,-0.01147211,
28,0.01152135,-0.00694235,-0.01090589,
29,0.00100935,0.0033727,-0.00832097,
30,0.00785323,-0.00238797,-0.01351543,
31,0.01363852,-0.00497289,-0.01467249,
32,0.00814865,-0.00177252,-0.00802555,
33,0.00637613,-0.00354503,-0.01302306,
34,0.01580493,-0.00519445,-0.00605609,
35,-0.0136139,-0.00460362,-0.00396354,
36,-0.00231412,-0.00349579,-0.00669617,
37,0.00608071,0.00524369,-0.00278186,
38,0.0025603,-0.01149673,-0.00782861,
39,-0.00704082,0.01312153,0.00014771,
40,0.00398816,0.00034466,0.00347118,
41,0.00920723,-0.00118168,0.00672079,
42,-0.011866,-0.01437707,-0.02023621,
43,-0.01565722,-0.00452976,-0.01762668,
44,0.00659769,-0.00115706,-0.00519445,
45,0.0107828,-0.03579496,-0.00780399,
46,0.0068685,0.02070396,-0.01703584,
47,0.0144263,-0.00206793,-0.00519445,
48,-0.00091088,-0.00285572,0.00260954,
49,0.00347118,0.00285572,0.08471145,
50,-0.01462325,0.00361888,-0.06910347,
51,-0.00076317,0.00716391,-0.00706544,
52,0.01376161,0.00076317,-0.02801558,
53,0.0257507,-0.02097476,-0.00588377,
54,0.0148202,0.00145248,0.0020187,
55,0.01445092,-0.00610533,0.00034466,
56,0.02099938,-0.00192022,0.00297881,
57,0.02976348,-0.01080742,0.00329885,
58,0.01026582,-0.00216641,0.01063509,
59,0.00103397,0.00662231,0.0095765,
60,0.01257993,-0.00014771,-0.00807479,
61,0.01127517,-0.00317576,-0.02986195,
62,0.0048498,-0.00182175,-0.00056622,
63,0.00435743,-0.00871487,-0.02213182,
64,0.00531755,-0.00022156,-0.01228451,
65,0.01198909,0.00302805,-0.01629729,
66,0.01418012,-0.0148202,-0.01459863,
67,0.02341197,-0.00871487,-0.00216641,
68,-0.00105859,-0.00731162,-0.0095765,
69,0.01211219,-0.01282612,0.0346379,
70,0.0102412,0.0079517,-0.01312153,
71,0.01420474,-0.00384045,-0.00502213,
