製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:33:25,07/13 15:33:25,07/13 15:33:25,
サンプリング周波数,200,200,200,
シーケンス数,5848,5848,5848,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.05238767,-0.00622842,-0.00371736,
3,-0.02786788,-0.00760704,-0.00297881,
4,-0.0172574,-0.0067454,-0.0051206,
5,-0.00790246,-0.00598224,-0.00278186,
6,0.02168869,-0.00494827,-0.00470209,
7,-0.02528296,-0.00576067,-0.00354503,
8,-0.03623809,-0.00573606,-0.00462823,
9,0.02444594,-0.00753319,-0.00580991,
10,-0.02149174,-0.00502213,-0.00179713,
11,-0.01560798,-0.00704082,-0.00487442,
12,0.01848832,-0.0067454,-0.00472671,
13,0.01435245,-0.0053914,-0.00398816,
14,0.00273263,-0.00588377,-0.0031019,
15,-0.00433281,-0.00755781,-0.00388969,
16,-0.06541073,-0.00622842,-0.00297881,
17,-0.01718355,-0.01001963,-0.00376659,
18,-0.02050701,-0.00844406,-0.00253568,
19,0.02685853,-0.0090349,-0.0031019,
20,-0.00408663,-0.00856716,-0.0022895,
21,-0.0331608,-0.00669617,-0.00280648,
22,0.05644968,-0.00433281,-0.00359427,
23,0.06334279,-0.0076809,-0.00285572,
24,-0.07451949,-0.01088127,-0.00531755,
25,-0.04967966,-0.0076809,-0.00329885,
26,0.0033727,-0.00891181,-0.0031019,
27,-0.0257507,-0.00844406,-0.00632689,
28,0.04106326,-0.00802555,-0.00482518,
29,-0.03141291,-0.01006887,-0.00386507,
30,-0.00595762,-0.00854254,-0.0022895,
31,0.04620848,-0.01016734,-0.00297881,
32,-0.0456915,-0.00736086,-0.0022895,
33,-0.00792708,-0.00723777,-0.00182175,
34,0.03321004,-0.00807479,-0.0010832,
35,-0.05610502,-0.00883796,-0.00128015,
36,0.00733624,-0.00649922,-0.00068931,
37,-0.03340698,-0.0068685,-0.00177252,
38,-0.02114709,-0.00681926,-0.00275725,
39,0.00214179,-0.00654846,-0.00145248,
40,0.00667155,-0.005933,-0.00275725,
41,0.00507136,-0.00955189,-0.00290496,
42,0.03670583,-0.00805017,-0.00408663,
43,0.00955189,-0.00765628,-0.00445591,
44,-0.05093519,-0.00989654,-0.0022895,
45,-0.0272278,-0.00773013,-0.00450514,
46,0.0603886,-0.00733624,-0.00371736,
47,0.02607074,-0.00684388,-0.00408663,
48,-0.02525834,-0.0094288,-0.00206793,
49,0.03072359,-0.00731162,-0.00386507,
50,0.09177689,-0.00580991,-0.00366812,
51,-0.01730664,-0.00598224,-0.00302805,
52,-0.08335744,-0.00711468,-0.00433281,
53,-0.03362855,-0.00846868,-0.00179713,
54,-0.00644999,-0.00696697,-0.00475133,
55,0.03527797,-0.00649922,-0.00292957,
56,0.02508601,-0.0020187,-0.00433281,
57,-0.02863104,-0.00477594,-0.00315114,
58,-0.00450514,-0.00681926,-0.00416049,
59,0.00716391,-0.0062038,-0.0051206,
60,0.02715395,-0.00684388,-0.0031019,
61,0.02395357,-0.00462823,-0.00302805,
62,0.049335,-0.0064746,-0.00644999,
63,-0.00755781,-0.00706544,-0.00401278,
64,0.01582954,-0.00568682,-0.00396354,
65,0.02149174,-0.00736086,-0.00179713,
66,0.00580991,-0.00630228,-0.00371736,
67,-0.01179215,-0.00679464,-0.00401278,
68,0.00901028,-0.00805017,-0.00354503,
69,0.03380088,-0.00908414,-0.00544064,
70,0.02589841,-0.00878872,-0.00352041,
71,-0.01770053,-0.00851792,-0.00379121,
72,-0.01989156,-0.00743472,-0.00169866,
73,0.01730664,-0.01137364,-0.00349579,
74,-0.00182175,-0.00950265,-0.00278186,
75,-0.00595762,-0.0107828,-0.00384045,
76,0.03513026,-0.01006887,-0.00558835,
77,-0.0274986,-0.00859177,-0.00531755,
78,-0.01949767,-0.00952727,-0.00428358,
79,0.01595264,-0.00760704,-0.00497289,
80,-0.02988657,-0.00839483,-0.00317576,
81,0.01245684,-0.00745933,-0.00470209,
82,-0.01149673,-0.00745933,-0.00502213,
83,-0.00162481,-0.00608071,-0.00322499,
84,-0.00718853,-0.0076809,-0.00487442,
85,0.02151636,-0.00696697,-0.00305266,
86,0.02895108,-0.00632689,-0.00315114,
87,-0.02471674,-0.00770552,-0.00408663,
88,-0.03591805,-0.00696697,-0.00164942,
89,0.0115952,-0.00731162,-0.00438205,
90,0.05017202,-0.00534216,-0.00342194,
91,-0.02272266,-0.00499751,-0.00211717,
92,-0.01688813,-0.00918261,-0.00425896,
93,-0.03099439,-0.00846868,-0.00305266,
94,-0.03761671,-0.00679464,-0.00300343,
95,0.02383048,-0.00709006,-0.00260954,
96,0.07956623,-0.00785323,-0.00206793,
97,-0.0721069,-0.01014272,-0.00162481,
98,-0.05450484,-0.00829636,-0.00509598,
99,0.01097975,-0.00918261,-0.00219103,
100,0.00078778,-0.00802555,-0.00265877,
101,0.0161742,-0.00866563,-0.00315114,
102,0.01129978,-0.00777937,-0.00374198,
103,-0.00937956,-0.00809941,-0.00214179,
104,0.00644999,-0.00736086,-0.00465285,
105,-0.00068931,-0.00802555,-0.0036435,
106,0.01570645,-0.00829636,-0.00366812,
107,-0.01610034,-0.01038891,-0.0031019,
108,-0.01757744,-0.00834559,-0.00211717,
109,0.03045279,-0.0087641,-0.00327423,
110,0.02001465,-0.00571144,-0.00300343,
111,-0.01720817,-0.00918261,-0.00379121,
112,-0.0303297,-0.00928109,-0.00243721,
113,-0.015091,-0.00642537,-0.00435743,
114,0.01174291,-0.01174291,-0.00083702,
115,0.05004893,-0.00817326,-0.00352041,
116,0.04482986,-0.00723777,-0.00177252,
117,-0.06489374,-0.00667155,-0.00642537,
118,-0.05260923,-0.00785323,-0.00460362,
119,-0.0181929,-0.01053662,-0.00423434,
120,-0.00164942,-0.00979807,-0.00497289,
121,0.0094288,-0.00731162,-0.00588377,
122,0.00420972,-0.00743472,-0.00359427,
123,-0.04638081,-0.00745933,-0.00462823,
124,-0.03318542,-0.00866563,-0.00359427,
125,0.02159022,-0.00699159,-0.00349579,
126,0.00361888,-0.00706544,-0.00354503,
127,-0.00706544,-0.00507136,-0.00416049,
128,-0.01245684,-0.00760704,-0.00657308,
129,-0.00152633,-0.00908414,-0.00371736,
130,-0.00585915,-0.00753319,-0.00317576,
131,0.01546027,-0.0062038,-0.00280648,
132,-0.00103397,-0.00743472,-0.00440667,
133,-0.04236803,-0.00869025,-0.00273263,
134,0.00305266,-0.0067454,-0.00194484,
135,0.01383546,-0.00637613,-0.00285572,
136,0.01314615,-0.00637613,-0.00571144,
137,-0.0215656,-0.00841945,-0.00519445,
138,-0.01875912,-0.00841945,-0.00366812,
139,-0.00871487,-0.00780399,-0.00388969,
140,0.01875912,-0.00531755,-0.00556373,
141,0.00297881,-0.00839483,-0.00509598,
142,-0.01006887,-0.00893643,-0.00595762,
143,-0.02508601,-0.00696697,-0.00408663,
144,0.00029542,-0.00851792,-0.00563758,
145,-0.00300343,-0.00765628,-0.00275725,
146,0.01922686,-0.00644999,-0.00425896,
147,-0.00901028,-0.00773013,-0.00386507,
148,-0.0277694,-0.00753319,-0.00199408,
149,-0.01521409,-0.00753319,-0.00428358,
150,0.02013774,-0.00918261,-0.00425896,
151,0.02678467,-0.00908414,-0.00376659,
152,-0.00625304,-0.00546525,-0.00253568,
153,-0.03685354,-0.00819788,-0.00115706,
154,-0.01757744,-0.00694235,-0.0036435,
155,0.0203593,-0.00952727,-0.00359427,
156,0.02124556,-0.00790246,-0.00386507,
157,-0.01568183,-0.00632689,-0.00167404,
158,-0.01445092,-0.00891181,-0.00420972,
159,0.01312153,-0.00901028,-0.00292957,
160,-0.00022156,-0.00694235,-0.00477594,
161,0.01614958,-0.00644999,-0.00317576,
162,0.0195469,-0.00622842,-0.00096011,
163,-0.03215145,-0.00612995,-0.00044313,
164,-0.0243967,-0.00622842,-0.00137862,
165,0.00773013,-0.00544064,-0.00206793,
166,0.02296884,-0.00723777,-0.00352041,
167,-0.00844406,-0.00731162,-0.00460362,
168,-0.01235837,-0.00630228,-0.00482518,
169,0.03215145,-0.00610533,-0.0036435,
170,0.00140324,-0.00790246,-0.00411125,
171,0.00044313,-0.0067454,-0.00502213,
172,-0.01878374,-0.00782861,-0.00470209,
173,-0.01939919,-0.00854254,-0.00263415,
174,0.00524369,-0.00841945,-0.00440667,
175,0.01777439,-0.00809941,-0.00216641,
176,0.0192761,-0.00896105,-0.00093549,
177,-0.03222531,-0.00896105,-0.00241259,
178,-0.01779901,-0.00807479,-0.00164942,
179,-0.01558336,-0.00748395,-0.00433281,
180,0.02144251,-0.00905952,-0.00423434,
181,0.03291462,-0.00883796,-0.00361888,
182,-0.01494329,-0.00669617,-0.00354503,
183,-0.01878374,-0.01065971,-0.00435743,
184,-0.00169866,-0.00748395,-0.00300343,
185,0.01198909,-0.00600686,-0.00448052,
186,0.01228451,-0.00859177,-0.0031019,
187,-0.00487442,-0.00704082,-0.00177252,
188,-0.01555874,-0.00733624,-0.00374198,
189,0.01171829,-0.00785323,-0.00440667,
190,0.03092054,-0.0076809,-0.00519445,
191,0.02097476,-0.00851792,-0.00423434,
192,-0.03266844,-0.00657308,-0.0036435,
193,-0.0235843,-0.00699159,-0.0008124,
194,-0.00462823,-0.00672079,-0.00216641,
195,0.01115207,-0.00721315,-0.00288034,
196,0.02195949,-0.00866563,-0.00317576,
197,-0.01275226,-0.00802555,-0.00388969,
198,-0.0261446,-0.00864101,-0.00600686,
199,0.00041851,-0.00807479,-0.0053914,
200,0.00805017,-0.00681926,-0.00548987,
201,0.01767591,-0.00802555,-0.0039143,
202,-0.0040374,-0.00667155,-0.00475133,
203,0.00182175,-0.00854254,-0.00514522,
204,-0.00536678,-0.00878872,-0.00224026,
205,0.00066469,-0.00667155,-0.00470209,
206,0.01289997,-0.00524369,-0.00366812,
207,0.00632689,-0.00723777,-0.00334808,
208,-0.01171829,-0.00605609,-0.00401278,
209,-0.00440667,-0.00864101,-0.00216641,
210,-0.00561296,-0.00667155,-0.00039389,
211,0.00610533,-0.00583453,-0.00189561,
212,-0.01516485,-0.00657308,-0.00248644,
213,-0.0130723,-0.00585915,-0.00312652,
214,0.00718853,-0.00908414,-0.00354503,
215,0.01553412,-0.00782861,-0.00334808,
216,0.01664195,-0.00937956,-0.00297881,
217,-0.00563758,-0.0068685,-0.0022895,
218,-0.00288034,-0.0076809,-0.00435743,
219,-0.00918261,-0.0067454,-0.00354503,
220,0.02077782,-0.0062038,-0.00268339,
221,0.0318068,-0.00423434,-0.00128015,
222,-0.00324961,-0.0090349,-0.00192022,
223,-0.00878872,-0.00915799,-0.00268339,
224,0.00248644,-0.00773013,-0.00204332,
225,-0.01745435,-0.00743472,-0.00349579,
226,0.00765628,-0.00962574,-0.00654846,
227,-0.0257507,-0.00920723,-0.00226488,
228,-0.00888719,-0.00659769,-0.00499751,
229,-0.00140324,-0.00612995,-0.00425896,
230,-0.0036435,-0.00977345,-0.005933,
231,-0.00413587,-0.00782861,-0.00514522,
232,-0.01605111,-0.0074101,-0.00420972,
233,-0.00194484,-0.00691773,-0.00435743,
234,0.00797632,-0.00718853,-0.00514522,
235,0.00866563,-0.00588377,-0.00273263,
236,0.00585915,-0.00649922,-0.00450514,
237,-0.01669118,-0.00507136,-0.00462823,
238,-0.02026083,-0.0053914,-0.00379121,
239,-0.00359427,-0.00632689,-0.0040374,
240,0.00987192,-0.00814865,-0.00477594,
241,0.01450016,-0.00834559,-0.00408663,
242,-0.02808944,-0.00814865,-0.00224026,
243,-0.01174291,-0.00733624,-0.00285572,
244,0.00349579,-0.00777937,-0.00497289,
245,0.00238797,-0.00859177,-0.0040374,
246,0.01294921,-0.00558835,-0.00273263,
247,-0.0187345,-0.00839483,-0.0036435,
248,-0.0195469,-0.00844406,-0.00366812,
249,0.01814366,-0.00773013,-0.00371736,
250,0.031536,-0.0062038,-0.00534216,
251,0.02850795,-0.00649922,-0.00278186,
252,-0.02136865,-0.00672079,-0.0033727,
253,-0.02673544,-0.00851792,-0.0036435,
254,-0.01491867,-0.00743472,-0.00206793,
255,0.0017479,-0.00684388,-0.00224026,
256,0.00231412,-0.0067454,-0.00371736,
257,-0.0064746,-0.00585915,-0.00056622,
258,-0.00805017,-0.00531755,-0.00206793,
259,-0.00071393,-0.00657308,-0.00226488,
260,-0.01075818,-0.00563758,-0.004579,
261,-0.0033727,-0.00748395,-0.00334808,
262,-0.0144263,-0.01056124,-0.00302805,
263,-0.02127018,-0.00755781,-0.00128015,
