製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:55:57,07/13 15:55:57,07/13 15:55:57,
サンプリング周波数,200,200,200,
シーケンス数,6121,6121,6121,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.0067454,0.00265877,-0.04473139,
3,0.00733624,-0.01966999,-0.02368277,
4,0.01511561,-0.00142786,-0.01093051,
5,0.01806981,-0.00915799,-0.0159034,
6,0.00315114,0.00017233,-0.01189062,
7,-0.00561296,0.00032004,0.00100935,
8,0.00856716,-0.00965036,0.00477594,
9,-0.00396354,-0.00489903,0.02168869,
10,0.0040374,-0.01656809,0.0093057,
11,-0.01026582,-0.00152633,0.05775445,
12,0.00448052,-0.00982269,-0.06533687,
13,0.01491867,-0.00445591,-0.01642038,
14,0.0082225,-0.00204332,-0.0079517,
15,0.01036429,-0.00704082,0.00770552,
16,-0.00297881,0.00979807,0.010512,
17,0.00388969,-0.00305266,0.02131942,
18,0.00339732,-0.00770552,-0.00502213,
19,-0.00014771,-0.00507136,-0.00704082,
20,0.00999502,-0.00401278,-0.00167404,
21,-0.00398816,-0.00327423,0.02323964,
22,-0.00118168,-0.00945341,-0.0110536,
23,0.01014272,-0.01211219,-0.01573107,
24,0.0130723,0.00637613,0.03687816,
25,0.0175282,-0.01371237,-0.01203833,
26,0.00588377,-0.01122593,0.00928109,
27,0.00199408,-0.011866,-0.01322001,
28,-0.00022156,-0.00573606,0.00007385,
29,0.00684388,-0.00189561,-0.0176513,
30,0.00376659,-0.01260455,-0.0051206,
31,0.00519445,-0.01085665,-0.01371237,
32,-0.00214179,-0.00041851,0.02058087,
33,0.00214179,-0.0090349,-0.0102412,
34,-0.00489903,-0.00366812,-0.00130477,
35,-0.00329885,-0.00888719,0.00305266,
36,0.00243721,0.00059084,0.04699627,
37,-0.00029542,-0.02503677,-0.04386975,
38,0.00733624,0.0051206,-0.01799595,
39,-0.00029542,-0.01339234,-0.0079517,
40,0.00100935,-0.00731162,-0.00152633,
41,0.00214179,-0.01110284,0.00928109,
42,0.00635151,-0.00777937,0.00128015,
43,0.00334808,-0.01198909,-0.0148202,
44,0.01068433,-0.02410128,0.00386507,
45,0.00342194,-0.00721315,0.0005416,
46,-0.00605609,-0.00844406,-0.02518448,
47,0.0017479,-0.01004425,0.00017233,
48,0.00632689,0.0192761,0.03264382,
49,-0.00017233,-0.01506638,-0.0303297,
50,-0.00253568,-0.00979807,-0.03682892,
51,-0.0031019,0.0022895,-0.02661234,
52,-0.00398816,-0.01048738,0.0403001,
53,0.00448052,-0.00610533,-0.01152135,
54,0.00260954,-0.00605609,0.01610034,
55,0.00354503,-0.00548987,-0.00844406,
56,0.00573606,-0.01142287,-0.05610502,
57,0.01063509,-0.00118168,-0.00384045,
58,-0.00829636,-0.00423434,-0.00076317,
59,-0.00408663,-0.01974385,-0.0031019,
60,0.00103397,0.00019695,0.00204332,
61,-0.00140324,0.00509598,-0.00059084,
62,0.0048498,0.0203593,0.03857682,
63,-0.00083702,0.00834559,0.01494329,
64,0.00019695,-0.01216142,-0.01053662,
65,0.00411125,-0.00785323,-0.04630696,
66,-0.00649922,-0.01117669,-0.00809941,
67,0.00214179,-0.01447554,-0.0067454,
68,0.00758243,-0.01127517,-0.03355469,
69,0.00169866,-0.00731162,0.00573606,
70,0.00322499,-0.00398816,0.00096011,
71,0.01073356,-0.00022156,0.01093051,
72,0.01814366,-0.01065971,-0.01720817,
73,-0.0144263,-0.00617918,-0.00561296,
74,-0.01971923,-0.0068685,0.0040374,
75,-0.00145248,-0.01166906,-0.015091,
76,-0.00132939,-0.01004425,-0.01006887,
77,0.01029043,-0.00992116,0.00253568,
78,0.0010832,-0.00952727,0.00472671,
79,0.00300343,-0.00044313,0.0010832,
80,0.00531755,-0.01651886,-0.00588377,
81,0.00753319,-0.01880835,0.01516485,
82,-0.00423434,-0.01531256,-0.0133431,
83,-0.00164942,0.00487442,0.06464756,
84,0.00288034,0.00263415,-0.00019695,
85,-0.00526831,-0.04896573,-0.03035432,
86,-0.00096011,-0.00091088,-0.02611998,
87,-0.00694235,0.00401278,-0.00226488,
88,-0.00723777,-0.01878374,-0.00076317,
89,-0.0020187,-0.01272764,-0.02685853,
90,-0.00177252,0.00113244,-0.00014771,
91,0.00598224,0.01959614,-0.0062038,
92,-0.00913338,-0.01262917,-0.02163945,
93,-0.00573606,-0.00243721,-0.03498255,
94,0.00462823,-0.01890683,0.08773949,
95,-0.00489903,0.00438205,-0.13217546,
96,-0.00398816,-0.00157557,-0.03192989,
97,0.00883796,-0.00029542,-0.0040374,
98,-0.00312652,-0.01902992,-0.0068685,
99,-0.00425896,-0.01806981,0.00105859,
100,0.00236335,-0.0175282,-0.00064007,
101,-0.00866563,-0.00366812,0.02127018,
102,0.00130477,-0.01356466,-0.03941384,
103,-0.00238797,-0.01129978,0.00130477,
104,0.00019695,-0.0136139,-0.05361858,
105,-0.00150171,0.01112746,-0.01166906,
106,0.00709006,-0.01065971,0.00056622,
107,0.00785323,-0.0067454,0.03737053,
108,0.01358928,-0.00792708,0.00945341,
109,-0.00169866,0.011866,-0.0649676,
110,-0.01061047,-0.01275226,-0.01257993,
111,0.00465285,-0.03128981,0.01093051,
112,-0.00009847,-0.00263415,-0.01622344,
113,0.01408165,-0.00312652,0.00275725,
114,-0.00140324,0.00189561,0.02508601,
115,0.00273263,-0.00093549,-0.0365335,
116,0.00568682,-0.01999003,-0.02097476,
117,0.00113244,-0.00561296,0.01312153,
118,-0.00150171,-0.00681926,-0.004579,
119,-0.00571144,-0.00179713,0.00214179,
120,-0.00145248,-0.00275725,-0.02284575,
121,-0.00064007,-0.00100935,0.02181178,
122,0.00871487,0.0087641,0.02099938,
123,-0.00625304,-0.01386008,-0.05807449,
124,-0.00755781,-0.0010832,-0.00497289,
125,0.0022895,0.00339732,0.08490839,
126,-0.00361888,-0.01528794,-0.13136306,
127,0.00411125,-0.00967498,-0.0190053,
128,0.00204332,0.00071393,-0.0087641,
129,-0.00056622,0.0025603,-0.02003927,
130,0.00263415,-0.0280402,-0.00182175,
131,0.00177252,0.00224026,-0.00002462,
132,0.00551449,-0.00088626,0.01043814,
133,-0.00211717,0.004579,0.00243721,
134,0.00817326,-0.04613463,-0.00384045,
135,-0.00416049,-0.00088626,0.00260954,
136,0.00243721,0.00226488,0.01297383,
137,0.00965036,-0.00157557,-0.0010832,
138,0.00662231,0.00046775,-0.00096011,
139,0.00531755,-0.01971923,-0.01201371,
140,-0.00115706,0.00428358,0.0292465,
141,0.00059084,-0.00736086,-0.02112247,
142,0.00317576,-0.0230427,0.00987192,
143,-0.00758243,-0.00216641,0.03685354,
144,-0.01102898,-0.01235837,-0.01112746,
145,0.00251106,0.01733126,-0.0025603,
146,0.00718853,-0.01383546,0.00814865,
147,0.00342194,-0.00827174,-0.01312153,
148,-0.00809941,-0.00551449,0.01917763,
149,-0.01142287,-0.01085665,-0.01006887,
150,0.00312652,-0.0138847,0.00507136,
151,0.00137862,0.00962574,0.02983734,
152,0.00169866,0.00118168,-0.00327423,
153,-0.00066469,-0.00642537,0.00792708,
154,-0.00105859,0.02993581,0.01189062,
155,0.00290496,0.02163945,-0.00152633,
156,0.00243721,0.01905454,0.00041851,
157,-0.00315114,-0.00275725,0.0200885,
158,-0.00379121,-0.00324961,0.00273263,
159,-0.00219103,-0.0159034,0.0048498,
160,0.00329885,0.00280648,-0.00829636,
161,0.0036435,-0.00204332,-0.01110284,
162,0.01100436,0.00440667,-0.00896105,
163,0.01006887,-0.00004924,0.02599689,
164,0.02496292,0.00354503,0.04675008,
165,0.00327423,-0.00684388,-0.03995544,
166,-0.01457401,-0.00497289,-0.0133431,
167,-0.00192022,-0.00384045,-0.00334808,
168,-0.00046775,-0.02208258,-0.03392397,
169,0.01376161,0.00558835,0.00556373,
170,0.00977345,-0.01683889,0.01038891,
171,-0.00194484,-0.03301309,-0.03333313,
172,-0.00359427,0.0087641,0.0192761,
173,-0.00157557,-0.00130477,-0.03542568,
174,0.00743472,0.00179713,0.00076317,
175,0.00745933,0.01085665,-0.0102412,
176,0.00440667,0.00068931,0.00477594,
177,0.00032004,-0.00216641,0.04633157,
178,0.00068931,-0.00329885,0.01216142,
179,0.00891181,0.00152633,-0.01868526,
180,-0.00142786,-0.00573606,-0.02284575,
181,0.00305266,-0.00452976,-0.00777937,
182,0.00962574,-0.0048498,-0.00718853,
183,-0.00452976,0.00285572,0.01134902,
184,-0.00059084,-0.02001465,0.01681427,
185,-0.0020187,-0.01629729,-0.04039857,
186,0.00758243,-0.01299844,-0.01102898,
187,0.01376161,-0.00388969,0.00477594,
188,0.00888719,0.00251106,-0.02909879,
189,0.00716391,-0.02397819,0.00155095,
190,-0.01450016,-0.01134902,-0.00657308,
191,-0.01127517,0.00157557,0.00093549,
192,0.00428358,-0.00521907,0.02087629,
193,0.00940418,0.00347118,-0.05726208,
194,-0.00169866,-0.00177252,-0.00371736,
195,-0.00273263,-0.00568682,-0.00285572,
196,0.00509598,-0.00275725,0.01097975,
197,-0.00167404,0.0002708,0.05063977,
198,-0.00425896,0.00605609,-0.06420443,
199,0.00100935,-0.01097975,0.00216641,
200,0.00672079,-0.01314615,-0.03119134,
201,0.00834559,0.01228451,-0.04586383,
202,0.00782861,-0.01740511,-0.00672079,
203,-0.00204332,-0.01142287,-0.00526831,
204,-0.0033727,-0.00502213,0.00977345,
205,-0.00349579,-0.00482518,0.01851293,
206,0.01053662,-0.00361888,0.00777937,
207,0.00482518,-0.00475133,-0.03367779,
208,0.00361888,-0.0005416,0.01843908,
209,-0.00974883,-0.0096996,-0.00169866,
210,0.0020187,-0.01038891,-0.00103397,
211,0.00598224,-0.01164444,0.02927112,
212,0.00802555,0.01703584,0.04219571,
213,0.00785323,-0.01890683,-0.00770552,
214,0.00339732,-0.01395856,0.01004425,
215,0.00438205,-0.01270302,0.03805984,
216,0.00226488,-0.00076317,-0.04903958,
217,0.00290496,-0.00805017,0.04830103,
218,0.00361888,-0.0246675,-0.03559801,
219,-0.00334808,-0.01208757,-0.02673544,
220,0.00145248,-0.00238797,-0.004579,
221,0.01142287,0.00411125,0.01386008,
222,0.0107828,-0.00452976,-0.00302805,
223,-0.00684388,0.00206793,-0.01806981,
224,-0.00066469,0.00561296,0.04963042,
225,-0.00376659,-0.0010832,-0.02508601,
226,-0.0031019,0.00452976,0.04748863,
227,-0.00115706,-0.00920723,-0.04140792,
228,-0.00967498,-0.00507136,-0.02402743,
229,0.00088626,-0.01939919,-0.01075818,
230,0.00856716,0.00078778,0.00022156,
231,0.01425398,-0.02909879,-0.01019196,
232,-0.0002708,-0.00817326,0.00502213,
233,-0.00251106,-0.01368775,-0.00649922,
234,0.00622842,-0.004579,0.02011312,
235,0.00834559,-0.00219103,0.00470209,
236,0.00878872,-0.00915799,-0.01681427,
237,0.00681926,-0.0107828,-0.00635151,
238,0.00177252,-0.01065971,-0.00046775,
239,0.0036435,-0.0017479,-0.00216641,
240,0.00489903,-0.00497289,0.01755282,
241,0.01228451,-0.00017233,0.05622812,
242,0.00128015,-0.01696198,-0.10312591,
243,-0.00548987,0.00470209,-0.0394877,
244,-0.00093549,-0.00974883,-0.01568183,
245,0.00091088,-0.00312652,-0.01250608,
246,0.01398317,-0.00416049,0.00568682,
247,0.00814865,-0.01915301,0.01506638,
248,0.00236335,0.02648925,-0.015091,
249,-0.00637613,0.00216641,-0.00760704,
250,0.00435743,-0.01122593,0.00805017,
251,0.0079517,0.0008124,-0.02562761,
252,0.01201371,-0.00376659,-0.01245684,
253,-0.00758243,-0.00920723,-0.00662231,
254,-0.01061047,-0.00780399,0.00032004,
255,-0.0039143,-0.01090589,0.02685853,
256,0.00654846,-0.00856716,-0.00841945,
257,0.01100436,-0.00905952,-0.02602151,
258,0.00472671,-0.01038891,0.02964039,
259,0.00192022,0.00265877,-0.03739514,
260,0.00342194,0.00342194,0.09037365,
261,0.0002708,-0.01270302,-0.02961577,
262,0.01142287,-0.01297383,-0.01191524,
263,0.01233375,0.00064007,-0.00494827,
264,0.01085665,-0.01622344,0.02444594,
265,-0.0067454,-0.010512,-0.03131443,
266,-0.00859177,-0.00617918,-0.02429823,
267,-0.00435743,-0.02432285,-0.01088127,
268,0.00780399,-0.02813868,0.01277688,
269,0.00893643,-0.01166906,-0.02131942,
