製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:59:31,07/13 15:59:31,07/13 15:59:31,
サンプリング周波数,200,200,200,
シーケンス数,6070,6070,6070,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00514522,-0.00792708,0.00384045,
3,0.01371237,-0.02380586,0.04202338,
4,-0.00120629,-0.01147211,-0.00721315,
5,-0.00760704,-0.00846868,0.00622842,
6,0.01314615,0.0115952,0.00009847,
7,0.01250608,0.01164444,0.03663198,
8,-0.00817326,-0.00029542,-0.01363852,
9,0.00216641,-0.0064746,0.00856716,
10,0.01607573,-0.00534216,-0.04670085,
11,-0.00169866,0.00177252,0.02717856,
12,0.00125553,0.00169866,0.00448052,
13,-0.00649922,-0.00064007,-0.00032004,
14,0.00588377,-0.01999003,0.01762668,
15,0.00315114,-0.00669617,0.01642038,
16,0.0031019,-0.00206793,-0.02077782,
17,0.00583453,0.00199408,0.00034466,
18,0.00103397,-0.01511561,-0.0161742,
19,0.00290496,-0.01127517,0.04559303,
20,0.00711468,-0.00022156,-0.03613961,
21,-0.00994578,-0.01484481,-0.01880835,
22,0.00489903,-0.00952727,0.0167158,
23,0.00709006,-0.00039389,-0.03663198,
24,0.01006887,-0.00339732,-0.00625304,
25,0.01016734,0.00864101,0.01420474,
26,-0.0082225,-0.01814366,-0.01848832,
27,-0.00088626,-0.01531256,-0.01179215,
28,-0.00004924,0.01240761,-0.00696697,
29,0.00285572,-0.02368277,-0.00667155,
30,0.00413587,-0.00989654,-0.00679464,
31,0.00642537,-0.00470209,-0.01233375,
32,0.00499751,-0.01129978,-0.00420972,
33,-0.00544064,0.00078778,-0.05201839,
34,0.00169866,-0.00583453,-0.00150171,
35,-0.00088626,-0.00610533,-0.00445591,
36,0.00386507,-0.00130477,0.02023621,
37,0.01056124,0.00051698,0.00827174,
38,0.00805017,0.00002462,-0.00145248,
39,0.00908414,-0.01757744,0.02816329,
40,0.00125553,-0.00782861,-0.03035432,
41,-0.00022156,-0.00211717,-0.0392169,
42,-0.00352041,-0.00416049,0.03042817,
43,-0.00940418,-0.0102412,-0.03537645,
44,0.0040374,-0.01262917,-0.00502213,
45,-0.01122593,0.00489903,-0.01349081,
46,-0.00224026,-0.00807479,0.0076809,
47,0.00416049,0.00524369,-0.015091,
48,0.00214179,0.00925647,0.00544064,
49,-0.00334808,0.00859177,-0.04007853,
50,0.0010832,-0.01312153,0.00056622,
51,0.00637613,-0.00556373,-0.00297881,
52,0.00760704,-0.01198909,0.02353506,
53,-0.0093057,-0.01639576,-0.01211219,
54,0.00672079,0.00814865,-0.0051206,
55,0.00411125,0.00472671,0.01176753,
56,-0.00322499,-0.01720817,0.01351543,
57,0.00681926,-0.02895108,0.02801558,
58,0.00157557,-0.01191524,-0.03387473,
59,0.01063509,-0.0039143,0.0148202,
60,0.01331848,-0.00470209,-0.02294422,
61,-0.0031019,-0.00347118,-0.00093549,
62,0.00748395,0.00056622,-0.00224026,
63,0.01297383,0.00622842,0.01531256,
64,0.0074101,-0.00576067,0.02422437,
