製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:38:00,07/13 15:38:00,07/13 15:38:00,
サンプリング周波数,200,200,200,
シーケンス数,6478,6467,6478,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00019695,-0.00667155,-0.0115952,
3,0.01053662,-0.00563758,-0.00509598,
4,0.0010832,-0.00642537,-0.00790246,
5,0.01838984,-0.00416049,-0.01285073,
6,-0.00130477,-0.0048498,-0.01336772,
7,-0.01767591,-0.00544064,-0.02328888,
8,-0.00605609,-0.00588377,-0.02599689,
9,-0.00731162,-0.00598224,-0.14972828,
10,-0.00450514,-0.00231412,0.00157557,
11,-0.00416049,-0.00642537,-0.01097975,
12,0.00214179,-0.00672079,-0.00288034,
13,-0.00280648,-0.00568682,0.00120629,
14,0.00339732,-0.00760704,-0.14478001,
15,0.01127517,-0.00622842,0.01678966,
16,0.01176753,-0.00814865,-0.00297881,
17,-0.01371237,-0.00531755,-0.02698162,
18,-0.01959614,-0.00534216,0.01174291,
19,-0.0121368,-0.00654846,-0.16171738,
20,0.01272764,-0.00625304,-0.0022895,
21,0.03148676,-0.00809941,0.02693238,
22,-0.01125055,-0.00696697,0.00039389,
23,-0.01196448,-0.00571144,-0.0153618,
24,-0.00625304,-0.00672079,-0.13325866,
25,0.00354503,-0.00736086,0.00965036,
26,0.00630228,-0.00598224,0.00039389,
27,0.00622842,-0.00736086,0.03481023,
28,-0.00440667,-0.00585915,-0.03481023,
29,0.00814865,-0.00502213,-0.10174729,
30,0.00598224,-0.00470209,-0.04281116,
31,0.01289997,-0.00514522,0.03916766,
32,0.00709006,-0.01029043,0.00657308,
33,-0.00302805,-0.0048498,0.01061047,
