製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:57:41,07/13 15:57:41,07/13 15:57:41,
サンプリング周波数,200,200,200,
シーケンス数,5924,5923,5923,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00334808,-0.01001963,-0.01235837,
3,0.00854254,-0.00583453,0.01595264,
4,-0.00416049,-0.00462823,-0.00551449,
5,0.00029542,-0.00588377,0.01196448,
6,0.0067454,-0.00622842,-0.03842911,
7,-0.00189561,-0.00896105,-0.01979308,
8,-0.0036435,0.00157557,-0.03047741,
9,0.00300343,-0.00888719,-0.00386507,
10,0.00659769,-0.00635151,0.03687816,
11,0.00494827,-0.01011811,-0.02218106,
12,0.00760704,-0.01275226,-0.05088595,
13,0.00352041,-0.00162481,-0.03185603,
14,-0.00263415,-0.00268339,0.00251106,
15,0.00004924,-0.00782861,-0.01344157,
16,0.00189561,-0.00009847,0.00039389,
17,-0.0017479,-0.00192022,-0.00718853,
18,0.00425896,-0.01787286,-0.00177252,
19,0.00420972,-0.00521907,-0.01053662,
20,0.0031019,-0.00253568,-0.02737551,
21,0.00773013,-0.00755781,-0.00937956,
22,0.00448052,-0.00435743,-0.01016734,
23,0.01036429,-0.00893643,-0.01688813,
24,-0.00236335,-0.00408663,-0.00851792,
25,0.00723777,-0.00022156,-0.00128015,
26,-0.00118168,-0.01038891,0.0107828,
27,0.00814865,-0.0130723,-0.03833064,
28,0.00182175,-0.00654846,-0.01949767,
29,0.00982269,-0.0231904,-0.00411125,
30,0.01339234,-0.00773013,0.01056124,
31,0.00839483,-0.01036429,0.0005416,
32,0.00179713,-0.00841945,-0.0323484,
33,0.00231412,-0.01491867,-0.01585416,
34,-0.00755781,-0.01270302,-0.03156061,
35,0.004579,0.00118168,-0.02021159,
36,0.00379121,-0.00472671,-0.00915799,
37,0.00644999,0.00352041,-0.00706544,
38,0.00514522,-0.01395856,0.0192761,
39,0.00883796,-0.0048498,-0.00292957,
40,0.01043814,-0.01349081,0.00827174,
41,0.0122599,-0.01171829,-0.042048,
42,0.00460362,-0.00179713,-0.02370739,
43,-0.0064746,-0.00802555,-0.0110536,
44,-0.01189062,-0.00841945,-0.00068931,
45,0.00514522,-0.0064746,-0.01191524,
46,0.00499751,-0.00253568,-0.00396354,
47,0.00130477,-0.00728701,0.0036435,
48,0.00100935,-0.00334808,0.00475133,
49,-0.00236335,-0.00347118,0.00962574,
50,0.0074101,-0.00219103,0.04364818,
51,0.00905952,-0.00814865,-0.01999003,
52,-0.00068931,-0.01257993,-0.00132939,
53,-0.00637613,-0.01319539,-0.00770552,
54,-0.0095765,-0.02033469,0.03426862,
55,-0.00435743,-0.0087641,-0.03522874,
56,0.00644999,-0.0076809,-0.02540605,
57,0.00625304,-0.00361888,0.00324961,
58,0.00965036,-0.01890683,-0.00324961,
59,0.00251106,-0.0076809,0.00361888,
60,0.00681926,-0.01198909,0.02415052,
61,-0.00066469,0.01738049,-0.00263415,
62,0.00519445,-0.01602649,-0.00462823,
63,0.0022895,-0.0051206,0.0002708,
64,0.00563758,-0.01161982,0.08692709,
65,0.0033727,-0.00625304,0.00275725,
66,0.00502213,0.00657308,0.00329885,
67,0.00019695,-0.01531256,0.00568682,
68,-0.00078778,-0.0159034,-0.01075818,
69,0.00288034,-0.00219103,-0.01614958,
70,-0.00433281,-0.00896105,0.00962574,
71,-0.00280648,-0.00987192,0.0033727,
72,-0.00489903,-0.00622842,-0.01405703,
73,0.00359427,-0.00137862,-0.00009847,
74,0.00137862,0.00083702,0.04190029,
75,0.0082225,-0.01494329,-0.12331289,
76,0.0122599,-0.00497289,-0.00534216,
77,0.00334808,-0.00231412,-0.06974354,
78,0.01090589,-0.00137862,-0.00571144,
79,0.01459863,-0.0033727,-0.02944344,
80,0.00189561,0.01139826,0.02099938,
81,0.00041851,-0.010512,0.01742973,
82,0.00999502,-0.01149673,0.00302805,
83,0.00416049,0.0005416,0.00526831,
84,0.00546525,-0.01543565,0.01368775,
85,-0.00819788,-0.00384045,-0.02099938,
86,0.00093549,-0.00937956,0.0107828,
87,0.00216641,-0.01110284,0.04044781,
88,-0.0110536,-0.00448052,-0.05110752,
89,-0.00420972,-0.01196448,-0.01297383,
90,0.0053914,-0.01075818,0.00420972,
91,0.0093057,0.00046775,0.00617918,
92,0.0033727,-0.00672079,-0.01065971,
93,0.00093549,-0.00396354,-0.01265379,
94,0.00544064,-0.00878872,0.00029542,
95,0.01208757,-0.00046775,0.01422936,
96,0.01125055,-0.00470209,-0.00167404,
97,0.00915799,-0.00401278,0.00312652,
98,0.00470209,-0.01043814,-0.06504145,
99,-0.00241259,-0.00275725,0.02939421,
100,0.01029043,-0.00536678,-0.05327392,
101,0.01228451,-0.00125553,-0.00199408,
102,0.00568682,0.00649922,0.01937457,
103,-0.00029542,-0.00182175,0.00519445,
104,0.00374198,-0.0082225,0.00029542,
105,0.0005416,-0.01184139,-0.03493332,
106,0.00155095,-0.00920723,-0.0033727,
107,0.01179215,0.01161982,0.01745435,
108,0.00524369,-0.01356466,0.00300343,
109,0.00150171,-0.01622344,0.00477594,
110,0.00046775,-0.01568183,-0.05063977,
111,-0.0017479,-0.00206793,0.01038891,
112,0.00300343,-0.01166906,-0.02774478,
113,0.00226488,-0.01245684,0.03781365,
114,0.00361888,-0.01528794,-0.04684856,
115,0.0082225,-0.0130723,-0.01750359,
116,0.01733126,-0.00711468,-0.03279153,
117,0.01184139,-0.00182175,0.01484481,
118,0.00413587,-0.00681926,-0.01289997,
119,0.01097975,-0.00777937,-0.00546525,
120,0.00445591,-0.00300343,-0.00854254,
121,0.00654846,-0.01166906,-0.01432783,
122,0.0062038,-0.01285073,0.02373201,
123,-0.00093549,-0.00630228,-0.00329885,
124,0.00150171,-0.00056622,0.01770053,
125,0.0122599,-0.00859177,-0.01398317,
126,0.01952228,-0.00952727,-0.00017233,
127,-0.00965036,-0.01905454,-0.00103397,
128,-0.00891181,-0.00630228,-0.00315114,
129,0.00354503,-0.01006887,-0.00760704,
130,0.00654846,-0.01349081,-0.00194484,
131,0.00428358,-0.00994578,-0.01257993,
132,0.0172574,-0.02779402,0.015091,
133,0.01799595,0.01435245,0.03867529,
134,-0.00576067,-0.01934996,-0.02188564,
135,-0.00807479,-0.02311655,0.02365815,
136,-0.00994578,-0.01499252,-0.03783827,
137,-0.00100935,-0.01309692,-0.00398816,
138,0.00770552,-0.01016734,0.01518947,
139,0.00817326,-0.00273263,0.01691275,
140,0.01344157,-0.00908414,-0.03025585,
141,-0.0020187,-0.00755781,-0.0365335,
142,0.00091088,-0.00450514,-0.02181178,
143,-0.00580991,0.00544064,-0.00770552,
144,0.00487442,-0.00292957,-0.00706544,
145,0.00091088,-0.0146971,0.01221066,
146,-0.00534216,-0.01779901,0.00438205,
147,0.01056124,-0.01302306,-0.00760704,
148,0.0020187,-0.01696198,-0.03365317,
149,0.0025603,-0.00571144,-0.00558835,
150,0.00416049,-0.01029043,-0.004579,
151,0.00514522,-0.01068433,0.02099938,
152,0.01117669,-0.0107828,-0.01656809,
153,0.0082225,-0.00536678,0.03333313,
154,-0.01669118,-0.01176753,-0.06742943,
155,-0.0005416,-0.00411125,-0.0144263,
156,-0.00118168,-0.01223528,-0.0022895,
157,0.0067454,0.00448052,0.00241259,
158,0.00056622,-0.01843908,-0.00083702,
159,0.01479558,-0.01602649,-0.0033727,
160,0.00241259,0.00728701,-0.00029542,
161,-0.00716391,-0.02796635,-0.0292465,
162,0.00617918,0.00696697,0.037469,
163,-0.00103397,-0.00920723,0.00029542,
164,-0.00238797,-0.00866563,-0.01479558,
165,-0.00088626,-0.01289997,0.04226956,
166,0.00251106,-0.02321502,-0.01115207,
167,0.00755781,0.00704082,0.00017233,
168,0.00091088,0.00290496,0.00411125,
169,0.00155095,-0.00032004,0.00854254,
170,0.00297881,-0.00915799,0.00502213,
171,0.01080742,0.00514522,0.02956654,
172,0.00290496,-0.00359427,-0.0289757,
173,0.01358928,-0.00974883,-0.00359427,
174,0.00913338,-0.03367779,-0.00433281,
175,0.00140324,-0.00859177,0.00531755,
176,0.00583453,-0.01285073,0.02636616,
177,0.0008124,-0.01297383,0.00617918,
178,0.00733624,-0.00600686,-0.06703553,
179,-0.00758243,-0.01134902,-0.0204824,
180,-0.00807479,-0.00819788,-0.00273263,
181,0.00216641,-0.01437707,-0.01853755,
182,0.00384045,-0.01971923,-0.00014771,
183,0.00524369,-0.00017233,0.00536678,
184,0.00263415,-0.00137862,-0.049335,
185,0.00797632,-0.0122599,-0.00534216,
186,0.00425896,-0.0051206,0.00635151,
187,0.00642537,-0.00150171,-0.01595264,
188,0.00487442,-0.00059084,-0.0192761,
189,0.01708508,-0.00046775,-0.01102898,
190,0.00595762,-0.00290496,-0.00736086,
191,-0.00625304,0.00064007,-0.0175282,
192,-0.00056622,-0.00182175,-0.0068685,
193,0.00913338,-0.00386507,0.02865566,
194,-0.00068931,-0.00622842,-0.0371982,
195,-0.01080742,-0.0349087,-0.0215656,
196,-0.00477594,0.00748395,-0.01016734,
197,0.00243721,-0.00115706,0.00489903,
198,0.01137364,0.01270302,0.07983703,
199,0.00864101,-0.01580493,-0.0133431,
200,-0.00014771,-0.00782861,0.01026582,
201,-0.00450514,-0.00832097,0.01560798,
202,0.00536678,-0.00920723,0.0323484,
203,0.00083702,-0.00753319,-0.00716391,
204,0.00164942,-0.00945341,-0.00396354,
205,-0.00576067,-0.01240761,-0.00733624,
206,0.00066469,-0.00219103,0.01134902,
207,-0.00167404,-0.00359427,-0.00711468,
208,0.0020187,-0.00009847,-0.0079517,
209,0.00231412,-0.00797632,0.01622344,
210,0.00487442,-0.00718853,-0.01270302,
211,0.00014771,-0.00814865,-0.00679464,
212,0.0068685,-0.02786788,0.01782362,
213,0.01555874,0.00423434,0.02651387,
214,0.00349579,-0.01294921,-0.02964039,
215,0.00699159,-0.00913338,-0.00224026,
216,0.00723777,0.00580991,-0.02479059,
217,0.00416049,-0.01841446,-0.01543565,
218,-0.00999502,-0.01043814,-0.01681427,
219,-0.00088626,-0.00573606,0.01073356,
220,-0.00753319,-0.00386507,0.01939919,
221,-0.00051698,-0.01373699,0.01381085,
222,0.00760704,-0.00992116,-0.02934497,
223,0.00827174,-0.00859177,0.01102898,
224,-0.00448052,-0.0230427,0.00955189,
225,0.00204332,-0.00064007,-0.0252091,
226,0.00487442,-0.005933,-0.0036435,
227,0.00556373,-0.0025603,0.02983734,
228,0.00657308,-0.00770552,0.01516485,
229,-0.00563758,-0.01454939,-0.00470209,
230,-0.00076317,-0.0115952,-0.01358928,
231,0.00150171,-0.02875413,-0.02390433,
232,0.00349579,-0.00460362,0.00425896,
233,0.00635151,0.00982269,0.00302805,
234,0.00514522,-0.01196448,-0.01356466,
235,0.00711468,-0.00563758,0.02235338,
236,-0.00125553,-0.00066469,0.00859177,
237,0.00130477,-0.01622344,-0.00869025,
238,0.01398317,-0.01127517,-0.0192761,
239,0.01117669,-0.00521907,0.01893145,
240,0.00672079,-0.00952727,-0.01245684,
241,-0.00137862,-0.01152135,-0.01578031,
242,-0.00088626,-0.00669617,0.07535651,
243,-0.00150171,0.00428358,0.01486943,
244,-0.0025603,-0.01294921,0.01344157,
245,0.0048498,-0.01986694,-0.04473139,
246,0.00071393,-0.00388969,-0.03197913,
247,0.00236335,-0.00608071,-0.01088127,
248,0.00790246,-0.00630228,-0.00366812,
249,0.0033727,-0.005933,0.00064007,
250,0.00428358,-0.00809941,0.00204332,
251,0.00297881,-0.01149673,-0.0051206,
252,0.00268339,-0.01250608,0.00745933,
253,-0.00066469,-0.01607573,-0.00819788,
254,0.0051206,-0.01413088,0.00039389,
255,0.00199408,-0.01450016,0.00524369,
256,-0.00238797,-0.01738049,-0.01553412,
257,0.00758243,-0.00420972,-0.01277688,
258,0.00937956,-0.00832097,0.00004924,
259,-0.004579,-0.00177252,0.03121596,
260,0.00268339,-0.00765628,-0.0295173,
261,-0.00004924,0.00182175,-0.01445092,
262,-0.01110284,-0.02488907,-0.01043814,
263,0.00519445,-0.03128981,-0.00263415,
264,0.0122599,0.01922686,-0.01373699,
265,0.00465285,-0.02567685,0.00605609,
266,0.0067454,-0.00489903,0.05209225,
267,0.00834559,-0.00475133,-0.02700624,
268,0.00878872,-0.00315114,-0.00524369,
269,0.02065472,-0.0068685,0.00162481,
270,-0.01102898,0.00945341,0.00128015,
271,-0.0053914,-0.02124556,-0.00452976,
272,-0.00657308,-0.01486943,-0.00096011,
273,0.00339732,-0.0062038,-0.01149673,
274,0.00334808,-0.00044313,-0.00118168,
275,0.00576067,-0.00470209,-0.02552914,
276,0.00644999,-0.0053914,0.03266844,
277,-0.00635151,0.00115706,-0.04303273,
278,-0.00155095,-0.01056124,0.00273263,
279,-0.00194484,-0.00888719,-0.04155563,
280,0.00551449,-0.00841945,-0.03232378,
281,0.00856716,-0.00913338,0.00083702,
282,0.0062038,-0.00721315,-0.00950265,
283,0.01080742,0.01085665,-0.0053914,
284,0.00733624,-0.01063509,0.01450016,
285,-0.00051698,-0.01174291,-0.01582954,
286,0.00177252,0.00977345,-0.00347118,
287,0.0074101,-0.01053662,0.00933032,
288,0.01420474,-0.00388969,0.02602151,
289,0.00029542,-0.01910377,0.01691275,
290,-0.00113244,-0.01164444,-0.02577532,
291,-0.00169866,-0.00718853,-0.00440667,
292,0.00893643,-0.01627267,0.00733624,
293,0.00300343,-0.00428358,-0.00723777,
294,0.00386507,0.00103397,-0.01147211,
295,0.01011811,-0.00519445,0.00908414,
296,-0.01073356,-0.00388969,-0.00817326,
297,-0.00214179,-0.00462823,-0.0079517,
298,-0.00339732,-0.00004924,-0.00696697,
299,0.00014771,0.00046775,-0.00034466,
300,0.00600686,-0.00179713,0.00226488,
301,-0.00672079,-0.00585915,-0.00883796,
302,0.00078778,0.00573606,0.0371982,
303,0.0005416,-0.00521907,-0.04263883,
304,-0.00103397,-0.00667155,-0.00576067,
305,-0.00226488,-0.0053914,0.0025603,
306,0.00125553,0.00489903,-0.01171829,
307,0.01558336,-0.01324463,-0.00982269,
308,-0.00499751,-0.00374198,-0.00610533,
309,-0.00137862,-0.00475133,-0.00214179,
310,0.00445591,-0.00721315,-0.00630228,
311,0.02316579,-0.00130477,0.00526831,
312,0.00814865,-0.00179713,0.00066469,
313,-0.00349579,-0.00598224,-0.00179713,
314,0.00324961,-0.00558835,-0.01147211,
315,0.0031019,-0.01139826,0.01238299,
316,0.00374198,-0.00179713,-0.04889187,
317,0.00802555,-0.00716391,-0.0144263,
318,-0.00194484,-0.0039143,0.00032004,
319,0.0008124,-0.00782861,0.02368277,
320,0.00162481,-0.0068685,-0.01745435,
321,0.00120629,-0.00679464,-0.0053914,
322,0.00068931,-0.00477594,-0.00777937,
323,0.00731162,-0.00526831,0.00940418,
324,-0.00014771,-0.01346619,0.01578031,
325,-0.00659769,-0.00918261,-0.03057588,
326,-0.00305266,0.00509598,-0.00878872,
327,0.00317576,-0.01073356,-0.01029043,
328,0.00091088,-0.01189062,0.01779901,
329,0.00465285,-0.01014272,-0.02040854,
330,0.01324463,-0.00241259,-0.00548987,
331,0.00546525,-0.00046775,-0.00649922,
332,0.00497289,-0.00908414,-0.00777937,
333,0.00709006,-0.00179713,-0.00115706,
334,0.0161742,-0.00206793,-0.00300343,
335,0.00839483,-0.00137862,-0.0110536,
336,-0.00396354,-0.01061047,-0.04606077,
337,-0.00192022,-0.00637613,-0.01866064,
338,0.00598224,-0.00869025,-0.00940418,
339,0.0033727,-0.0036435,0.01093051,
340,-0.00548987,-0.00041851,-0.02988657,
341,-0.0051206,-0.00076317,-0.01627267,
342,-0.00669617,-0.00041851,0.01708508,
343,0.00625304,-0.00913338,0.04903958,
344,0.00189561,-0.00841945,-0.00588377,
345,0.00856716,-0.01504176,-0.01294921,
346,-0.00034466,-0.01196448,-0.0064746,
347,0.00398816,-0.00489903,-0.00285572,
348,0.00206793,0.00864101,0.00064007,
349,0.00950265,-0.00864101,-0.00078778,
350,0.00317576,-0.01420474,-0.00093549,
351,0.00263415,-0.00992116,0.00189561,
352,0.00561296,0.00083702,0.00329885,
353,0.00709006,-0.0064746,-0.03709972,
354,0.0144263,-0.0074101,-0.00388969,
355,0.00428358,0.00017233,0.01893145,
356,-0.02107323,-0.0036435,-0.02144251,
357,-0.01272764,-0.01555874,-0.02533219,
358,-0.00770552,-0.00846868,-0.01777439,
359,0.00691773,-0.00475133,0.00071393,
360,0.0115952,-0.00093549,-0.01816828,
361,0.00022156,-0.0067454,-0.00408663,
362,0.00263415,0.00216641,-0.00292957,
363,0.00179713,-0.01038891,0.0033727,
364,0.00568682,-0.01097975,-0.00292957,
365,-0.00342194,-0.0040374,-0.00236335,
366,0.00534216,0.00967498,-0.00157557,
367,0.01740511,-0.01166906,-0.00017233,
368,-0.00893643,-0.00019695,0.00494827,
369,0.004579,-0.01053662,-0.00608071,
370,0.00324961,-0.00733624,0.02205796,
371,0.00354503,-0.00679464,0.00881334,
372,0.0008124,-0.00989654,-0.01149673,
373,-0.0005416,-0.00691773,-0.00384045,
374,0.01031505,-0.00716391,0.01257993,
375,0.01053662,-0.00977345,0.02070396,
376,0.00635151,-0.00937956,-0.01619882,
377,0.0121368,-0.00224026,-0.01346619,
378,0.00691773,-0.0122599,-0.00657308,
379,0.00758243,-0.00182175,-0.00635151,
380,0.01326924,-0.00187099,-0.00253568,
381,0.01531256,-0.00637613,0.00275725,
382,-0.00925647,-0.00866563,-0.00029542,
383,0.00327423,-0.00150171,-0.00974883,
384,-0.00342194,-0.00408663,0.0053914,
385,0.00327423,-0.00339732,-0.03978312,
386,0.00721315,-0.01614958,-0.00342194,
387,0.00883796,-0.01272764,-0.02419975,
388,0.01422936,-0.00721315,-0.00317576,
389,0.00952727,-0.00612995,-0.00460362,
390,-0.00241259,-0.0082225,-0.00224026,
391,-0.00386507,-0.00558835,0.00379121,
392,-0.00509598,-0.00753319,0.00290496,
393,0.00041851,-0.02663696,-0.00546525,
394,0.00339732,0.00913338,0.01137364,
395,0.00120629,0.00423434,-0.00039389,
396,0.00622842,-0.01947305,-0.00854254,
397,0.00494827,-0.01986694,-0.00637613,
398,0.00773013,0.00194484,0.00600686,
399,0.00925647,-0.01336772,-0.01294921,
400,0.00216641,-0.00438205,0.01221066,
401,0.00487442,-0.00856716,-0.00841945,
402,0.00273263,-0.00854254,-0.00846868,
403,-0.00204332,-0.01093051,-0.00379121,
404,0.00290496,-0.00329885,0.00551449,
405,0.00164942,-0.00871487,-0.0025603,
406,0.00078778,-0.00952727,-0.01669118,
407,-0.00359427,-0.00773013,-0.00632689,
408,0.00164942,-0.00780399,0.03879838,
409,-0.00091088,-0.0051206,-0.0320776,
410,0.0053914,-0.00576067,0.00883796,
411,-0.00460362,-0.00632689,-0.02151636,
412,0.0062038,-0.01762668,0.01134902,
413,0.00009847,-0.00711468,0.02181178,
414,-0.01459863,-0.00435743,-0.00748395,
415,0.00302805,-0.00896105,-0.00679464,
416,0.00585915,-0.01829137,-0.03673045,
417,-0.00386507,-0.00792708,0.0115952,
418,-0.00731162,-0.00374198,-0.00120629,
419,-0.00268339,-0.01016734,0.00905952,
420,0.00071393,-0.00588377,0.01339234,
421,0.00494827,-0.01270302,0.02309193,
422,-0.00300343,-0.00056622,-0.00502213,
423,0.00460362,-0.00280648,0.02272266,
424,-0.00155095,-0.00608071,-0.01112746,
425,-0.00598224,-0.01491867,0.0074101,
426,-0.00477594,-0.01088127,-0.04842413,
427,0.00612995,0.00046775,0.02712933,
428,0.01395856,-0.00211717,-0.01287535,
429,0.00408663,-0.00472671,-0.0115952,
430,0.00029542,-0.02885261,0.02611998,
431,0.00534216,0.0179221,-0.06408134,
432,0.00888719,-0.00905952,-0.011866,
433,0.00034466,0.00622842,-0.01843908,
434,0.00064007,-0.00637613,0.00901028,
435,0.00654846,-0.02026083,-0.01211219,
436,0.00782861,-0.02038392,-0.00428358,
437,0.00844406,-0.00832097,-0.00009847,
438,0.00278186,-0.00893643,0.02850795,
439,0.00470209,-0.00681926,-0.00748395,
440,0.0068685,-0.01312153,0.01779901,
441,0.00251106,-0.00925647,-0.0536432,
442,0.00435743,-0.00940418,-0.02144251,
443,0.0036435,-0.01250608,-0.00588377,
444,-0.01373699,-0.00925647,-0.01774977,
445,0.00204332,-0.00420972,0.00155095,
446,-0.00014771,-0.00805017,-0.01125055,
447,0.00669617,-0.01068433,0.01149673,
448,-0.00440667,-0.01115207,0.00475133,
449,-0.00091088,-0.01363852,-0.00994578,
450,0.00177252,-0.00428358,-0.00435743,
451,0.00305266,-0.00920723,0.00974883,
452,0.00329885,-0.01053662,-0.05529262,
453,0.00312652,-0.00460362,-0.00155095,
454,0.00214179,-0.00753319,0.01597725,
455,0.00155095,-0.01312153,-0.00598224,
