製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:35:43,07/13 15:35:43,07/13 15:35:43,
サンプリング周波数,200,200,200,
シーケンス数,6429,6429,6429,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00169866,-0.0079517,-0.00425896,
3,0.00573606,-0.00777937,-0.00536678,
4,0.00672079,-0.00950265,-0.00251106,
5,0.00802555,-0.00524369,-0.00361888,
6,0.01036429,-0.00807479,-0.00155095,
7,-0.01504176,-0.0076809,-0.00132939,
8,-0.01974385,-0.00659769,-0.00238797,
9,-0.01523871,-0.00979807,-0.00349579,
10,0.00384045,-0.00649922,-0.00322499,
11,0.01868526,-0.00832097,-0.00376659,
12,-0.00248644,-0.00622842,-0.00231412,
13,-0.02582456,-0.00558835,-0.00327423,
14,-0.01395856,-0.00893643,-0.00300343,
15,0.02139327,-0.00610533,-0.00379121,
16,0.02070396,-0.00704082,-0.00182175,
17,-0.01952228,-0.00743472,-0.00324961,
18,-0.01413088,-0.00827174,-0.00408663,
19,-0.00758243,-0.00718853,-0.00448052,
20,-0.00007385,-0.00662231,-0.00339732,
21,0.01435245,-0.00598224,-0.00347118,
22,-0.00681926,-0.00792708,-0.00376659,
23,-0.01147211,-0.00595762,-0.00384045,
24,0.0064746,-0.00672079,-0.00448052,
25,0.01176753,-0.00470209,-0.00285572,
26,0.02865566,-0.00718853,-0.00305266,
27,-0.00989654,-0.00809941,-0.00359427,
28,-0.00017233,-0.00489903,-0.00359427,
29,0.01851293,-0.00470209,-0.00224026,
30,0.00349579,-0.00598224,-0.00571144,
31,0.00032004,-0.00595762,-0.00219103,
32,-0.01614958,-0.00556373,-0.00558835,
33,0.00359427,-0.00866563,-0.00164942,
34,0.01841446,-0.00580991,-0.00251106,
35,0.02415052,-0.00765628,-0.00376659,
36,0.0280402,-0.00472671,-0.0036435,
37,-0.01629729,-0.00644999,-0.00273263,
38,-0.02050701,-0.00792708,-0.00214179,
39,0.00950265,-0.00805017,-0.0036435,
40,0.01856217,-0.00649922,-0.00150171,
41,0.01518947,-0.00694235,-0.00260954,
42,-0.00878872,-0.00268339,-0.00408663,
43,-0.00524369,-0.00657308,-0.00140324,
44,-0.00544064,-0.00489903,-0.00105859,
45,0.01331848,-0.00489903,-0.00278186,
46,0.02309193,-0.00659769,-0.00285572,
47,0.01750359,-0.00521907,-0.00573606,
48,-0.01531256,-0.00524369,-0.004579,
49,0.00416049,-0.00573606,-0.00401278,
50,-0.0039143,-0.00709006,-0.0040374,
51,-0.01026582,-0.00600686,-0.0017479,
52,-0.02567685,-0.00770552,-0.00167404,
53,-0.00285572,-0.00819788,-0.00059084,
54,0.01161982,-0.00782861,-0.00224026,
55,0.01912839,-0.00662231,-0.0040374,
56,0.01831599,-0.00635151,-0.00440667,
57,-0.00657308,-0.00644999,-0.00315114,
58,-0.00844406,-0.00827174,-0.00120629,
59,0.01147211,-0.00684388,-0.00241259,
60,0.010512,-0.00595762,-0.00162481,
61,0.02296884,-0.00851792,-0.00157557,
62,0.01804519,-0.00965036,-0.00253568,
63,-0.02259957,-0.00809941,-0.00322499,
64,0.00278186,-0.00817326,-0.00241259,
65,0.01294921,-0.00723777,-0.00423434,
66,0.00334808,-0.0067454,-0.00465285,
67,-0.03160985,-0.00706544,-0.00137862,
68,-0.01863603,-0.00851792,-0.00268339,
69,0.01026582,-0.00827174,-0.00339732,
70,0.0235843,-0.00699159,-0.00231412,
71,0.00755781,-0.00684388,-0.00280648,
72,-0.02973886,-0.00617918,-0.00361888,
73,-0.00773013,-0.00893643,-0.00352041,
74,0.01006887,-0.0076809,-0.00440667,
75,0.00177252,-0.00760704,-0.00317576,
76,0.01642038,-0.0062038,-0.00371736,
77,-0.00100935,-0.00755781,-0.00347118,
78,-0.02082705,-0.00679464,-0.00571144,
79,0.00300343,-0.00694235,-0.0048498,
80,0.02287037,-0.00605609,-0.00423434,
81,0.01555874,-0.00681926,-0.0017479,
82,-0.01277688,-0.00711468,-0.00088626,
83,-0.00103397,-0.00709006,-0.00132939,
84,-0.00032004,-0.00376659,-0.00408663,
85,0.00748395,-0.00694235,-0.00120629,
86,0.01053662,-0.00760704,-0.00324961,
