製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:54:11,07/13 15:54:11,07/13 15:54:11,
サンプリング周波数,200,200,200,
シーケンス数,6050,6050,6046,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00076317,0.00231412,-0.02789249,
3,0.00435743,0.00305266,-0.00120629,
4,0.01056124,-0.0068685,-0.01555874,
5,0.01297383,-0.01221066,0.02168869,
6,0.02122094,0.00029542,0.00797632,
7,0.00519445,-0.02040854,0.00241259,
8,0.00583453,-0.01191524,0.0221072,
9,0.01445092,-0.00477594,0.02589841,
10,-0.0264154,-0.00617918,-0.00854254,
11,-0.00046775,-0.00349579,0.00315114,
12,0.01319539,-0.00438205,-0.01166906,
13,0.00379121,-0.01068433,-0.01006887,
14,0.00556373,-0.00915799,0.00814865,
15,-0.00192022,-0.01568183,0.0544556,
16,-0.00805017,-0.01240761,-0.00460362,
17,-0.01031505,-0.02299346,-0.03805984,
18,0.00292957,-0.01339234,0.00514522,
19,0.00681926,-0.00785323,-0.01324463,
20,0.0161742,-0.00829636,0.04711936,
21,0.00992116,0.00071393,-0.00950265,
22,0.0076809,-0.00632689,-0.04364818,
23,-0.00371736,0.0005416,0.04463291,
24,0.00743472,-0.00805017,-0.12995982,
25,0.00509598,0.00278186,0.00083702,
26,0.00034466,0.00782861,-0.00630228,
27,0.00260954,-0.01733126,0.02860642,
28,-0.00841945,-0.0068685,-0.02082705,
29,0.01154597,-0.00657308,-0.00755781,
30,0.00716391,-0.00571144,0.004579,
31,-0.00502213,-0.00866563,0.00551449,
32,0.01090589,0.00155095,0.04298349,
33,0.0033727,-0.00600686,0.01885759,
34,0.01639576,0.00214179,-0.00157557,
35,-0.00482518,-0.02072858,-0.01400779,
36,-0.00236335,-0.03591805,0.04322967,
37,0.01299844,-0.00891181,-0.01629729,
38,-0.00248644,-0.01198909,-0.03389935,
39,-0.00275725,-0.00401278,-0.00091088,
40,0.01607573,-0.00871487,0.00893643,
41,0.00182175,-0.00507136,0.02107323,
42,-0.00608071,-0.00169866,-0.00465285,
43,-0.01831599,-0.0048498,0.00238797,
44,0.0022895,-0.00977345,-0.00736086,
45,-0.00034466,-0.01085665,0.00347118,
46,0.00945341,-0.00140324,-0.00371736,
47,0.00965036,0.00137862,0.0575575,
48,0.00317576,-0.01578031,-0.10452915,
49,0.00113244,-0.01112746,0.02993581,
50,-0.01115207,-0.00901028,-0.01393394,
51,-0.00088626,-0.00487442,0.02168869,
52,0.01275226,-0.00273263,-0.00179713,
53,0.01789748,-0.00736086,0.03621347,
54,0.00017233,-0.00199408,-0.00253568,
55,-0.00718853,-0.0087641,-0.01029043,
56,-0.00280648,0.00563758,0.02333811,
57,0.01344157,-0.00851792,0.047981,
58,0.01198909,-0.01582954,-0.11772454,
59,-0.00007385,0.00952727,0.04167872,
60,0.01216142,-0.00475133,-0.00760704,
61,0.00167404,-0.00425896,-0.00251106,
62,-0.00583453,0.00044313,-0.00901028,
63,-0.01208757,-0.00558835,-0.00832097,
64,-0.00758243,0.00093549,0.01915301,
65,-0.01499252,-0.00482518,0.00659769,
66,-0.00327423,-0.00630228,-0.01570645,
67,0.00544064,-0.00226488,0.00132939,
68,0.01410627,0.01642038,0.05302774,
69,0.01189062,0.00044313,0.02821253,
70,-0.00384045,-0.00088626,-0.01324463,
71,-0.00019695,-0.00231412,0.03035432,
72,-0.00499751,-0.0036435,-0.03023123,
73,0.00608071,0.00278186,0.00465285,
74,-0.00224026,-0.00068931,0.00366812,
75,0.00322499,-0.00288034,-0.00103397,
76,0.00103397,-0.00600686,-0.03355469,
77,0.01102898,0.00169866,0.04844874,
78,0.00755781,-0.00440667,0.01152135,
79,-0.0144263,0.00556373,-0.03296386,
80,0.00494827,-0.02082705,0.01395856,
81,0.00598224,-0.00103397,0.03222531,
82,0.01029043,-0.00519445,0.00091088,
83,0.01555874,-0.00051698,-0.00563758,
84,0.00445591,-0.01174291,-0.01962076,
85,-0.01080742,-0.0008124,-0.00704082,
86,0.00622842,-0.00933032,0.02752322,
87,0.02550452,-0.00120629,-0.02939421,
88,-0.01122593,-0.01228451,0.00696697,
89,-0.01484481,-0.00265877,-0.02255033,
90,-0.01019196,-0.02872951,0.01373699,
91,0.00809941,-0.00440667,0.00059084,
92,0.02011312,-0.00925647,-0.00940418,
93,0.01528794,-0.01826675,-0.00913338,
94,-0.00450514,-0.0096996,0.00004924,
95,-0.00834559,-0.00093549,0.05689281,
96,0.00908414,-0.00219103,0.05923154,
97,-0.00339732,-0.00411125,-0.01605111,
98,0.01038891,0.00374198,0.03503179,
99,0.01149673,0.00022156,-0.00413587,
100,0.00536678,-0.00475133,-0.02173793,
101,0.00167404,-0.00642537,-0.00489903,
102,0.01962076,-0.00361888,-0.01294921,
103,-0.0002708,-0.00428358,0.03197913,
104,0.00248644,-0.00499751,-0.00260954,
105,-0.00206793,-0.00704082,-0.01610034,
106,-0.01917763,0.00238797,-0.00396354,
107,0.00068931,-0.00622842,0.00155095,
108,0.00797632,-0.00937956,0.05716361,
109,0.01838984,-0.01090589,-0.00760704,
110,-0.0039143,-0.00878872,-0.05952696,
111,-0.01373699,-0.00248644,-0.03522874,
112,-0.00952727,-0.02983734,0.03296386,
113,0.00132939,-0.01326924,-0.03682892,
114,0.00329885,0.00137862,-0.00460362,
115,-0.00066469,0.01738049,0.00263415,
116,0.02230415,-0.0064746,-0.01523871,
117,0.02107323,0.00361888,0.00805017,
118,-0.01868526,-0.00497289,-0.00841945,
119,-0.010512,-0.00224026,0.01555874,
120,0.00278186,-0.00654846,0.01038891,
121,0.02323964,0.01386008,0.04903958,
122,0.00452976,-0.00531755,-0.0393646,
123,-0.00551449,-0.00398816,0.01125055,
124,0.00445591,0.00977345,0.02959115,
125,0.00339732,-0.01912839,-0.00460362,
126,0.00711468,-0.00425896,0.02651387,
127,0.01223528,-0.01043814,-0.02262418,
128,0.01816828,0.00379121,0.00019695,
129,0.00642537,-0.00721315,-0.00524369,
130,0.00662231,-0.00445591,0.01312153,
131,-0.00140324,0.00009847,0.02799097,
132,-0.00428358,-0.01125055,0.02294422,
133,0.00834559,-0.00507136,-0.02616921,
134,0.0074101,-0.0067454,-0.01543565,
135,0.00297881,-0.00182175,-0.00952727,
136,-0.00088626,-0.00526831,0.00595762,
137,-0.00007385,-0.00992116,-0.00526831,
138,0.00497289,0.00583453,0.03030508,
139,-0.01607573,-0.00137862,0.00937956,
140,-0.00019695,-0.00438205,-0.01381085,
141,0.01102898,-0.01014272,-0.01838984,
142,0.01006887,-0.00068931,-0.00544064,
143,0.00561296,0.00236335,-0.00211717,
144,0.00324961,-0.0008124,0.00809941,
145,0.00324961,0.00706544,0.01437707,
146,-0.00514522,-0.00241259,0.0320776,
147,0.0079517,0.00066469,-0.02964039,
148,0.01211219,-0.00002462,-0.0187345,
149,0.0115952,-0.00376659,-0.00632689,
150,0.00379121,-0.00091088,-0.00955189,
151,-0.0095765,0.00206793,-0.00556373,
152,-0.00315114,-0.00669617,0.01548489,
153,0.00814865,-0.0031019,0.02161484,
154,0.00531755,-0.00918261,-0.03613961,
155,0.0005416,-0.00265877,-0.0036435,
156,0.00278186,-0.00273263,-0.00452976,
157,0.00908414,0.01122593,0.0192761,
158,0.01208757,0.00398816,-0.02323964,
159,-0.00236335,-0.00059084,-0.01787286,
160,-0.00869025,-0.01011811,0.01326924,
161,0.00083702,-0.01376161,-0.00243721,
162,0.00411125,-0.00635151,-0.02112247,
163,0.00408663,-0.00386507,0.00241259,
164,0.01843908,-0.00499751,0.00672079,
165,0.01479558,-0.00155095,-0.00029542,
166,-0.00780399,-0.01228451,0.05644968,
167,0.01322001,-0.01166906,-0.09578967,
168,0.01962076,0.00731162,-0.02850795,
169,-0.02900032,-0.00672079,0.03860144,
170,-0.01125055,-0.00920723,-0.02826177,
171,0.00706544,-0.00743472,-0.02360892,
172,0.00416049,-0.00236335,0.00568682,
173,0.00169866,-0.00278186,0.01100436,
174,0.00699159,-0.00561296,0.00908414,
175,0.00691773,-0.00268339,0.0025603,
176,0.00305266,-0.00204332,0.02033469,
177,0.00243721,-0.00721315,-0.05091057,
178,0.01038891,-0.00563758,0.02287037,
179,0.01061047,-0.00913338,-0.00994578,
180,-0.00487442,-0.00253568,0.0501474,
181,0.00224026,-0.00622842,0.00681926,
182,0.00164942,-0.00105859,0.06021627,
183,-0.00465285,0.00115706,-0.03444095,
184,-0.00802555,-0.00945341,-0.00711468,
185,0.00361888,-0.0040374,0.00091088,
186,0.00817326,0.00388969,-0.00297881,
187,0.01848832,-0.0020187,0.0094288,
188,0.01703584,0.00206793,0.04128483,
189,-0.00617918,0.011866,0.00940418,
190,-0.01322001,-0.02828639,0.00760704,
