製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,07/13 15:27:57,07/13 15:27:57,07/13 15:27:57,
サンプリング周波数,200,200,200,
シーケンス数,6443,6443,6443,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01816828,-0.03970926,0.05839452,
3,0.0102412,-0.00605609,-0.01339234,
4,-0.00477594,-0.00041851,-0.03414553,
5,0.02653849,0.00514522,0.05804987,
6,-0.01203833,0.01521409,-0.0130723,
7,-0.02579994,-0.0192761,-0.02998505,
8,0.0094288,-0.00556373,-0.00290496,
9,0.01041353,0.00157557,0.02890184,
10,0.01836523,-0.00359427,-0.02087629,
11,0.03847835,-0.0179221,0.03313618,
12,0.00152633,0.01014272,0.04010315,
13,-0.0357211,0.0048498,-0.02451979,
14,-0.01139826,-0.0017479,0.0485226,
15,-0.00465285,-0.00162481,-0.09357402,
16,0.00709006,-0.01693737,0.01031505,
17,0.03165909,0.00814865,-0.00241259,
18,0.01696198,0.00420972,-0.04130945,
19,0.01309692,-0.0068685,0.01486943,
20,0.02872951,-0.01201371,0.12446994,
21,-0.02717856,-0.00745933,-0.02717856,
22,-0.0261446,0.0122599,-0.05024588,
23,-0.0036435,-0.03030508,-0.03045279,
24,-0.00354503,-0.0051206,-0.01065971,
25,0.04780867,0.00829636,-0.00263415,
26,0.01216142,0.00388969,0.12434685,
27,-0.01129978,0.04305734,-0.0306005,
28,0.00214179,0.00662231,-0.08067405,
29,-0.01129978,-0.02077782,-0.07543036,
30,-0.00915799,0.00051698,0.00150171,
31,0.00777937,0.03271767,0.08596698,
32,0.01272764,-0.04510066,-0.06541073,
33,-0.00519445,-0.00585915,-0.01041353,
34,-0.03481023,-0.00834559,0.0053914,
35,-0.01740511,0.0230427,0.05273232,
36,0.0115952,-0.04409131,-0.01678966,
37,-0.00477594,-0.01063509,0.01841446,
38,-0.00814865,-0.01262917,0.06115177,
39,0.01634653,0.00595762,-0.05524339,
40,-0.02863104,-0.0161742,0.0549972,
41,-0.00164942,0.00745933,0.00696697,
42,0.02483983,0.0392169,-0.06730633,
43,-0.01457401,0.01088127,0.01189062,
44,-0.02193487,0.01134902,-0.02545529,
45,-0.00009847,-0.00814865,-0.0238551,
46,-0.00859177,0.00704082,-0.00807479,
47,-0.01228451,0.03892148,0.05987162,
48,-0.00150171,-0.00162481,-0.01902992,
49,-0.00152633,0.00642537,-0.01270302,
50,-0.00866563,0.00704082,0.02415052,
51,-0.0020187,-0.01297383,0.05361858,
52,0.00465285,0.01750359,-0.0416541,
53,-0.0176513,0.01171829,-0.01297383,
54,0.00017233,-0.01405703,-0.00312652,
55,-0.01297383,0.0175282,0.01457401,
56,-0.01245684,-0.00780399,-0.0146971,
57,-0.00819788,0.01221066,-0.00305266,
58,-0.00901028,-0.02176255,-0.00915799,
59,0.00920723,-0.00162481,0.01233375,
60,0.04170334,-0.01804519,0.03227454,
61,0.02220567,-0.01041353,0.0094288,
62,-0.07488876,0.03419477,-0.02407666,
63,-0.03387473,0.00598224,0.0238551,
64,-0.01642038,-0.02309193,-0.01344157,
65,0.00440667,-0.01533718,-0.00521907,
66,0.00238797,-0.01282612,0.00155095,
67,0.00088626,0.010512,0.00777937,
68,0.00408663,0.00019695,0.06248115,
69,0.03847835,0.00059084,-0.00832097,
70,-0.03697663,-0.01861141,-0.00253568,
71,-0.022378,-0.00132939,0.01324463,
72,-0.01683889,0.00275725,0.05423404,
73,-0.01986694,-0.0020187,0.03466252,
74,-0.00472671,-0.00716391,-0.06792179,
75,0.00064007,0.00893643,0.05777907,
76,-0.01934996,0.0102412,0.03217607,
77,-0.00275725,-0.02557838,-0.05573575,
78,-0.00817326,0.02077782,-0.02491368,
79,0.00280648,0.03527797,0.0436728,
80,-0.00987192,-0.03478561,0.01432783,
81,0.00352041,-0.01154597,0.01422936,
82,-0.00711468,-0.0040374,0.00292957,
83,-0.01573107,-0.02944344,0.0008124,
84,-0.01383546,0.03690278,-0.01235837,
85,-0.02274728,0.03978312,-0.00076317,
86,-0.01282612,0.01216142,0.04175258,
87,-0.00679464,-0.00659769,0.00064007,
88,-0.00679464,-0.00290496,0.00893643,
89,-0.01112746,0.04170334,-0.03623809,
90,0.0074101,-0.01779901,-0.01777439,
91,-0.01467249,-0.01893145,0.00758243,
92,-0.00526831,0.0005416,0.0431312,
93,-0.00733624,-0.01915301,-0.00644999,
94,-0.00248644,-0.00438205,-0.0133431,
95,0.00292957,0.00433281,0.00940418,
96,0.0048498,-0.01061047,-0.02813868,
97,-0.00531755,0.00805017,0.04032472,
98,-0.00130477,-0.01898068,0.00519445,
99,-0.02016236,0.0144263,-0.00573606,
100,-0.01565722,-0.01701122,0.01115207,
101,-0.00881334,0.03131443,-0.00470209,
102,0.01432783,-0.01437707,-0.00066469,
103,0.00032004,-0.0246675,-0.00573606,
104,-0.02813868,-0.00204332,0.0303297,
105,-0.01462325,0.00093549,0.01080742,
106,-0.00829636,0.00302805,-0.02269804,
107,0.00214179,0.01632191,0.01211219,
108,-0.00642537,0.00711468,0.04182643,
109,-0.01331848,0.04116174,0.01777439,
110,-0.02533219,0.01326924,-0.03764133,
111,0.01531256,-0.02661234,-0.00182175,
112,0.03197913,-0.00859177,0.02740013,
113,0.01248146,-0.04300811,-0.13759148,
114,-0.03266844,0.02063011,-0.00608071,
115,-0.03350546,-0.00096011,-0.01420474,
116,-0.01189062,0.00696697,0.04364818,
117,0.00374198,-0.02085167,0.02218106,
118,0.01565722,0.00477594,0.00051698,
119,-0.00519445,-0.01161982,0.05228919,
120,-0.01632191,0.00937956,-0.03613961,
121,-0.01031505,-0.02287037,-0.02247648,
122,0.00115706,-0.02589841,0.00519445,
123,0.01459863,0.0544556,0.02939421,
124,0.00829636,-0.0067454,-0.0490642,
125,-0.01597725,-0.00819788,-0.01622344,
126,-0.03047741,0.00595762,-0.0529785,
127,-0.00438205,0.00433281,0.0076809,
128,0.01001963,-0.01240761,-0.05063977,
129,-0.01831599,0.00920723,-0.01678966,
130,-0.00194484,-0.01740511,0.00573606,
131,-0.00856716,-0.01191524,-0.04965504,
132,-0.00792708,0.00187099,0.03392397,
133,-0.00802555,-0.00780399,-0.00413587,
134,0.00509598,0.0093057,0.0031019,
135,0.0008124,0.02050701,-0.02427361,
136,0.00612995,-0.03505641,-0.04170334,
137,0.00888719,-0.02149174,-0.01208757,
138,0.02218106,-0.01885759,0.0357211,
139,0.00152633,0.01853755,-0.02577532,
140,-0.0153618,0.00839483,0.01351543,
141,0.00305266,-0.00194484,0.0036435,
142,0.00691773,-0.01570645,0.03714896,
143,0.00681926,-0.01425398,-0.07986165,
144,-0.00844406,0.01398317,0.02119633,
145,-0.01701122,0.00371736,-0.01733126,
146,-0.00743472,0.00206793,-0.04965504,
147,-0.00608071,0.0175282,-0.0079517,
148,0.00236335,0.00706544,0.00617918,
149,0.00361888,-0.02077782,-0.01934996,
150,0.00696697,-0.01019196,0.01371237,
151,-0.00164942,0.00032004,-0.00489903,
152,-0.00499751,0.01102898,0.01122593,
153,-0.01134902,-0.00002462,0.02341197,
154,-0.00288034,-0.02885261,-0.02971425,
155,0.00347118,0.03525335,-0.00374198,
156,0.00105859,-0.02309193,0.00231412,
157,-0.01201371,0.00684388,0.0102412,
158,-0.00206793,0.01435245,0.07762139,
159,0.01664195,0.00514522,-0.04194952,
160,-0.00519445,0.01597725,-0.00007385,
161,-0.00329885,0.00435743,-0.01706046,
162,0.00068931,0.02053163,0.03759209,
163,-0.01326924,-0.01642038,-0.08069867,
164,-0.00851792,-0.02693238,-0.01462325,
165,0.00881334,-0.02033469,0.00487442,
166,-0.00034466,-0.02853257,-0.01504176,
167,-0.00167404,0.00164942,0.0082225,
168,0.0033727,-0.00977345,0.01065971,
169,-0.0053914,0.02865566,-0.01570645,
170,-0.00017233,-0.01117669,0.03835526,
171,0.00014771,-0.01614958,0.04916267,
172,0.0036435,-0.01570645,0.00649922,
173,0.00088626,-0.03451481,-0.00802555,
174,-0.00017233,-0.0062038,-0.00745933,
175,0.0002708,0.02282113,0.00056622,
176,-0.00667155,0.00347118,-0.00088626,
177,-0.00595762,0.04303273,-0.02712933,
178,0.02808944,-0.04507604,0.01356466,
179,-0.0074101,0.00945341,-0.01459863,
180,-0.00462823,-0.00760704,0.00595762,
181,0.00773013,-0.01816828,0.03953693,
182,-0.0087641,0.00155095,0.05361858,
183,-0.01309692,-0.01056124,-0.03185603,
184,0.00359427,0.00667155,-0.0008124,
185,0.00901028,-0.03498255,-0.0167158,
186,-0.02013774,-0.06986663,0.01718355,
187,0.00056622,0.03035432,-0.00580991,
188,0.00817326,0.0133431,0.03010814,
189,0.00352041,0.02232877,0.00103397,
190,-0.03564725,-0.01356466,-0.01184139,
191,-0.01435245,-0.02267342,0.0039143,
192,-0.00644999,0.01053662,0.00595762,
193,-0.00851792,0.00206793,0.01614958,
194,0.00039389,-0.0064746,-0.0338255,
195,0.00420972,-0.02934497,-0.01031505,
196,0.01326924,-0.00920723,-0.00292957,
197,0.0020187,0.00130477,0.00728701,
198,-0.00654846,0.00179713,-0.01486943,
199,-0.00933032,-0.00113244,-0.00017233,
200,0.00428358,-0.00164942,-0.00937956,
201,0.01026582,0.00206793,0.07205766,
202,0.00275725,-0.02065472,-0.0547264,
203,-0.0096996,-0.00598224,0.00546525,
204,0.01435245,-0.00521907,0.01811904,
205,0.01691275,0.01486943,-0.01728202,
206,0.01683889,-0.04130945,0.00588377,
207,0.00982269,0.04842413,0.00386507,
208,-0.03047741,-0.00265877,0.00704082,
209,0.00260954,-0.0074101,-0.00583453,
210,-0.01398317,0.010512,-0.01026582,
211,0.00211717,0.00140324,0.00785323,
212,0.00883796,0.02225491,0.0087641,
213,0.0093057,0.01804519,0.00598224,
214,-0.00105859,0.00376659,-0.01518947,
215,-0.01971923,0.00379121,-0.01014272,
216,-0.00349579,0.00893643,0.02188564,
217,-0.00610533,-0.00534216,-0.016445,
218,-0.00896105,0.02198411,-0.0074101,
219,-0.01075818,-0.043402,-0.00334808,
220,-0.00928109,0.04404207,0.00635151,
221,-0.00999502,0.01745435,0.00773013,
222,-0.01351543,0.01863603,0.04118636,
223,0.00773013,0.00091088,0.016445,
224,0.00376659,-0.06760175,-0.03540106,
225,0.00219103,0.03168371,-0.00007385,
226,0.00706544,-0.00238797,0.00733624,
227,0.0010832,0.01902992,0.00157557,
228,-0.00416049,-0.0190053,0.01139826,
229,-0.01351543,0.01282612,-0.0036435,
230,-0.00044313,-0.00753319,0.04564226,
231,0.0010832,0.00893643,-0.00260954,
232,-0.00241259,0.00187099,0.00819788,
233,-0.0079517,0.00992116,-0.05534186,
234,-0.01080742,0.00913338,-0.01856217,
235,-0.01036429,0.01088127,-0.00913338,
236,0.00644999,-0.0082225,0.04133407,
237,0.00056622,-0.00608071,0.00711468,
238,0.00544064,0.01164444,-0.0025603,
239,0.00507136,-0.00728701,-0.00846868,
240,0.00206793,0.0252091,-0.00115706,
241,-0.00748395,0.00526831,-0.00113244,
242,-0.00420972,-0.01555874,0.01745435,
243,-0.0079517,-0.0039143,0.04822718,
