製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 16:09:40,10/10 16:09:40,10/10 16:09:40,
サンプリング周波数,200,200,200,
シーケンス数,6609,6609,6609,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.02001465,0.02181178,-0.01198909,
3,0.00760704,0.00420972,-0.01238299,
4,0.01228451,-0.00268339,-0.00743472,
5,-0.01282612,-0.04967966,-0.00204332,
6,-0.02139327,-0.00317576,-0.01656809,
7,-0.01115207,0.04901496,-0.00807479,
8,0.00866563,-0.09652821,-0.00979807,
9,0.03254535,0.08596698,-0.00497289,
10,-0.01750359,-0.07412559,-0.00869025,
11,-0.00046775,0.02840948,0.0010832,
12,0.03023123,-0.07067904,-0.00329885,
13,0.01693737,0.03833064,-0.00167404,
14,-0.02464288,-0.03468713,0.00765628,
15,-0.00691773,0.04977813,0.01080742,
16,-0.01400779,-0.03202836,-0.01592802,
17,-0.00497289,-0.0036435,-0.01450016,
18,0.00696697,0.06619851,0.01829137,
19,0.00100935,0.05487411,-0.0031019,
20,-0.00093549,-0.03833064,0.01376161,
21,0.03111749,0.02139327,0.00536678,
22,0.01629729,-0.06900499,-0.00681926,
23,-0.02900032,-0.02370739,-0.0022895,
24,-0.02737551,-0.00137862,0.00162481,
25,-0.01905454,-0.00933032,-0.01043814,
26,0.02860642,-0.10083641,-0.01090589,
27,0.0010832,0.059847,-0.01356466,
28,0.01001963,-0.0416541,0.00672079,
29,0.01432783,-0.02629231,0.0153618,
30,0.01312153,0.04679932,-0.00945341,
31,-0.00224026,-0.02063011,-0.01826675,
32,0.00977345,0.00273263,-0.00268339,
33,-0.02823715,-0.01184139,-0.00009847,
34,-0.00450514,-0.00765628,-0.00290496,
35,0.01602649,0.0149679,-0.00275725,
36,0.00113244,-0.02016236,0.00009847,
37,-0.02710471,0.0274986,-0.00384045,
38,-0.01043814,-0.02577532,-0.00241259,
39,-0.00300343,-0.06639546,-0.01386008,
40,0.00608071,0.07294392,-0.00679464,
41,0.0502705,-0.03513026,-0.00859177,
42,0.0064746,0.02565223,-0.00497289,
43,-0.03648427,-0.03321004,0.00034466,
44,0.00034466,0.02631692,-0.01147211,
45,0.01422936,-0.16548397,0.00366812,
46,-0.04162948,0.02353506,-0.02693238,
47,-0.00802555,0.02944344,-0.02341197,
48,0.0320776,0.00260954,-0.00078778,
49,-0.01085665,0.0473163,-0.00420972,
50,-0.00322499,-0.02336273,0.00654846,
51,0.01757744,-0.03628732,0.00349579,
52,0.00829636,0.01006887,0.00014771,
53,0.04022624,0.00709006,0.00238797,
54,-0.02762169,0.00103397,-0.00152633,
55,-0.0203593,-0.01696198,-0.00438205,
56,0.00544064,0.02124556,-0.0062038,
57,0.00933032,-0.03010814,-0.0079517,
58,0.00433281,-0.04364818,-0.0102412,
59,-0.01139826,-0.00137862,-0.00376659,
60,0.00177252,-0.04606077,0.00561296,
61,0.00494827,0.03724743,-0.00908414,
62,-0.01339234,-0.02195949,0.00928109,
63,0.01061047,0.03867529,0.00064007,
64,0.01395856,-0.05130446,-0.005933,
65,-0.02528296,0.00989654,0.00699159,
66,-0.00007385,-0.02644002,-0.00440667,
67,-0.01580493,0.03609038,-0.00617918,
68,0.0079517,-0.05807449,0.01166906,
69,0.02267342,-0.10356904,-0.01521409,
70,-0.00524369,0.05253538,0.01014272,
71,0.00827174,-0.00807479,0.00105859,
72,-0.00142786,0.04396822,-0.00103397,
73,0.00563758,-0.03133905,-0.00425896,
74,0.0020187,-0.03067436,-0.00736086,
75,0.0181929,0.00521907,-0.00733624,
76,-0.00300343,-0.04645466,0.0051206,
77,0.01634653,0.1692998,-0.01004425,
78,0.01642038,-0.00408663,-0.02483983,
79,-0.02922188,0.00342194,0.00329885,
80,-0.01041353,-0.10061485,-0.00302805,
81,0.01836523,0.03596728,-0.00396354,
82,0.00164942,-0.00278186,0.00649922,
83,-0.00278186,-0.04118636,0.00888719,
84,0.02282113,-0.01777439,0.00558835,
85,-0.00546525,-0.01893145,-0.00896105,
86,0.00896105,-0.04266345,-0.0033727,
87,0.00534216,0.14655253,-0.00194484,
88,-0.00576067,-0.07085136,0.00022156,
89,-0.03353008,0.00585915,-0.00150171,
90,0.0149679,-0.04239265,-0.01346619,
91,0.0258738,-0.03242225,-0.00066469,
92,0.01302306,-0.01447554,0.00029542,
93,-0.02813868,0.01614958,0.00260954,
94,0.00617918,-0.04655314,-0.00214179,
95,-0.0031019,0.01196448,-0.01031505,
96,-0.00819788,0.00243721,0.00413587,
97,0.01147211,0.05462793,0.00251106,
98,0.0136139,-0.10802494,-0.00265877,
99,0.01346619,-0.0039143,0.00905952,
100,-0.00014771,-0.01499252,0.00078778,
101,-0.03451481,-0.08746869,-0.00918261,
102,-0.005933,0.03744438,-0.01410627,
103,0.02779402,-0.08008321,-0.00814865,
104,0.00470209,-0.00733624,-0.00379121,
105,0.00452976,0.01405703,-0.00041851,
106,-0.00238797,-0.11344096,-0.01880835,
107,0.00125553,0.1579754,-0.0122599,
108,-0.00864101,0.08983205,0.00152633,
109,0.04126021,-0.05585884,-0.00007385,
110,0.00551449,-0.03328389,0.00376659,
111,-0.0280402,0.02838486,-0.00832097,
112,0.00078778,-0.01457401,-0.0136139,
113,-0.00071393,-0.0096996,-0.01102898,
114,0.03444095,0.04143254,-0.0159034,
115,-0.03451481,-0.03833064,-0.00465285,
116,0.01371237,0.02747398,0.00002462,
117,-0.00777937,-0.01713431,0.00130477,
118,-0.0051206,-0.02611998,-0.02016236,
119,-0.00731162,-0.0031019,-0.01745435,
120,-0.00891181,-0.04490371,-0.00066469,
121,0.01282612,-0.0005416,-0.00753319,
122,0.01646962,0.1098467,-0.0008124,
123,0.0094288,-0.13697602,-0.00945341,
124,-0.01457401,-0.07282083,-0.01031505,
125,-0.00137862,0.01368775,-0.01257993,
126,0.00497289,-0.04239265,-0.00507136,
127,0.00327423,-0.0093057,-0.00425896,
128,-0.01816828,-0.01922686,0.00632689,
129,0.01265379,0.00982269,0.00354503,
130,0.01395856,-0.01585416,-0.0068685,
131,0.01139826,0.02230415,-0.01014272,
132,0.00829636,0.00531755,-0.02087629,
133,0.02082705,0.00987192,0.00667155,
134,-0.0371982,0.02592303,0.00780399,
135,0.00017233,-0.01422936,-0.02515987,
136,0.00608071,-0.03970926,-0.00974883,
137,0.00317576,-0.10430759,0.00211717,
138,-0.03197913,0.02946806,-0.00179713,
139,0.01228451,0.07402712,-0.00265877,
140,0.01634653,-0.06902961,-0.02380586,
141,0.00558835,-0.03055127,0.0031019,
142,-0.01962076,-0.01122593,-0.0121368,
143,-0.01432783,-0.00654846,0.00041851,
144,0.00669617,-0.02107323,-0.01494329,
145,-0.01326924,-0.04670085,-0.00241259,
146,0.00610533,-0.0207532,-0.0082225,
147,0.02109785,-0.03244687,0.00150171,
148,0.01629729,0.06171799,-0.00460362,
149,-0.00032004,-0.04032472,0.00521907,
150,0.0148202,-0.03756747,-0.01272764,
151,0.00987192,-0.01422936,-0.01134902,
152,0.00115706,-0.06701092,0.01964537,
153,0.04044781,0.02740013,0.00034466,
154,-0.02451979,-0.05241228,-0.00113244,
155,-0.00829636,0.04482986,-0.00361888,
156,-0.00551449,-0.02136865,-0.00913338,
157,0.01031505,-0.00448052,0.00413587,
158,0.00034466,-0.00113244,0.00982269,
159,0.01324463,-0.00192022,-0.00044313,
160,-0.00019695,-0.01036429,0.0064746,
161,-0.00359427,-0.01398317,-0.00071393,
162,-0.01393394,0.00489903,-0.00388969,
163,0.00711468,-0.02257495,0.00608071,
164,0.01139826,0.04753787,-0.01435245,
165,0.0161742,-0.03047741,-0.0175282,
166,-0.00588377,0.0074101,-0.00420972,
167,-0.01767591,-0.00721315,-0.01088127,
168,0.01184139,-0.03559801,-0.00659769,
169,0.00563758,-0.03399782,-0.00019695,
170,0.00817326,-0.06297352,0.00684388,
171,-0.00411125,0.04384513,-0.01459863,
172,0.00507136,-0.01999003,-0.01102898,
173,-0.04490371,0.00366812,0.00420972,
174,0.01063509,-0.00091088,-0.0082225,
175,0.01445092,-0.0025603,-0.00014771,
176,0.04187567,-0.0079517,-0.01602649,
177,-0.04409131,0.05832067,0.01001963,
178,-0.03995544,0.01080742,-0.01787286,
179,-0.0025603,-0.05211687,-0.01036429,
180,0.00563758,-0.04741478,-0.00482518,
181,0.00753319,-0.02801558,-0.00805017,
182,0.01777439,0.04310658,-0.00807479,
183,0.01331848,-0.00413587,-0.00782861,
184,0.03879838,-0.00913338,-0.00290496,
185,-0.03456404,-0.00965036,-0.00189561,
186,-0.00499751,0.01578031,-0.00177252,
187,0.01102898,0.01848832,-0.00844406,
188,-0.0153618,-0.16939828,-0.00100935,
189,-0.00654846,0.17658681,0.02011312,
190,0.00866563,0.03500717,-0.02639078,
191,-0.00435743,-0.06331818,-0.00728701,
192,0.02208258,-0.1055385,0.00226488,
193,0.05388938,0.01580493,-0.00908414,
194,0.02988657,-0.01580493,0.00100935,
195,-0.04064475,0.00019695,0.00777937,
196,-0.0079517,0.02838486,-0.00536678,
197,0.03813369,-0.02508601,-0.00179713,
198,-0.03217607,0.00507136,0.00361888,
199,-0.02422437,-0.02676005,0.00130477,
200,-0.00563758,-0.00642537,-0.00952727,
201,0.01139826,-0.0575575,-0.01287535,
202,0.00059084,0.02186102,-0.00041851,
203,-0.00130477,0.03862606,-0.01656809,
204,0.015091,-0.01216142,-0.00248644,
205,0.0122599,-0.00709006,-0.01245684,
206,0.03037894,-0.00556373,0.00248644,
207,-0.01745435,-0.04901496,-0.00610533,
208,0.02742475,0.04766096,-0.00034466,
209,-0.02380586,0.01474634,-0.00034466,
210,-0.01001963,0.0110536,0.00384045,
211,-0.03813369,-0.0556619,-0.01824213,
212,0.04564226,-0.01991618,-0.02149174,
213,-0.02673544,-0.09652821,-0.01314615,
214,-0.00928109,0.0082225,0.00452976,
215,-0.00891181,0.00076317,-0.01622344,
216,0.01664195,-0.00278186,-0.00965036,
217,0.01430321,0.00420972,0.00115706,
218,-0.02050701,0.00642537,-0.00536678,
219,0.02417514,-0.0068685,-0.01233375,
220,-0.00041851,0.05743441,0.00423434,
221,0.00152633,0.01139826,0.00721315,
222,0.00078778,-0.00354503,0.00017233,
223,0.05536648,0.00078778,0.01654347,
224,0.00204332,0.0033727,0.00925647,
225,-0.02986195,0.00630228,0.00408663,
226,-0.0033727,0.00526831,-0.02715395,
227,-0.0025603,-0.01031505,-0.015091,
228,-0.01376161,-0.04881802,-0.00866563,
229,0.00721315,0.00150171,0.00273263,
230,0.03540106,-0.00563758,0.00745933,
231,0.05814834,0.00182175,0.00507136,
232,-0.05007355,0.00334808,0.00452976,
233,-0.01853755,0.07006358,0.00420972,
234,0.02789249,-0.03879838,0.00534216,
235,-0.01326924,0.00384045,-0.01848832,
236,-0.01949767,0.0238551,-0.00622842,
237,0.02402743,-0.0148202,-0.01326924,
238,0.00342194,-0.0970452,0.00475133,
239,-0.01164444,0.02218106,-0.01418012,
240,0.00962574,-0.01125055,-0.00994578,
241,-0.00832097,0.01851293,-0.00558835,
242,-0.01088127,-0.05051668,-0.01454939,
243,0.00388969,0.02678467,-0.00339732,
244,0.02171331,0.03018199,-0.01029043,
245,0.00571144,-0.04175258,-0.01265379,
246,0.01523871,-0.01152135,-0.0062038,
247,-0.01610034,-0.00398816,-0.01435245,
