製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 15:42:19,10/10 15:42:19,10/10 15:42:19,
サンプリング周波数,200,200,200,
シーケンス数,6974,6973,6974,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01504176,0.04938424,0.00669617,
3,0.01915301,0.07094984,0.00071393,
4,-0.01770053,-0.05817296,-0.00014771,
5,-0.0323484,-0.03503179,0.0320776,
6,0.01794671,0.0107828,-0.03082207,
7,0.01125055,-0.00869025,-0.05824681,
8,0.02432285,0.00132939,-0.01125055,
9,-0.03798598,0.04396822,-0.00617918,
10,-0.0040374,-0.01336772,0.00022156,
11,-0.01467249,0.05608041,0.01368775,
12,0.02525834,-0.11637054,0.03929075,
13,-0.02021159,0.03178218,-0.02259957,
14,-0.00691773,-0.08756717,-0.03328389,
15,-0.00519445,-0.02011312,0.00096011,
16,0.01161982,0.01326924,0.02360892,
17,0.02378124,0.04975351,0.03641041,
18,-0.00716391,-0.00162481,-0.0675279,
19,-0.00531755,-0.03205298,-0.00780399,
20,0.00189561,0.00339732,-0.01201371,
21,-0.00354503,-0.10455377,0.00169866,
22,0.00805017,0.08301279,0.01651886,
23,0.03567186,0.01297383,-0.01738049,
24,0.00536678,-0.01014272,0.01558336,
25,-0.00315114,0.0578283,-0.00379121,
26,-0.00526831,-0.20127893,-0.02754784,
27,0.00965036,-0.02491368,-0.00773013,
28,-0.01738049,0.12995982,0.00359427,
29,-0.00152633,0.06878343,0.00278186,
30,0.01090589,-0.07412559,-0.00482518,
31,0.00066469,0.00487442,0.00992116,
32,-0.01351543,0.00561296,-0.01432783,
33,-0.00630228,-0.09189998,-0.0167158,
34,0.00292957,-0.00408663,-0.00354503,
35,0.00743472,-0.02988657,0.03820755,
36,0.00280648,-0.15590747,-0.00790246,
37,0.01061047,0.15482426,-0.01312153,
38,0.00241259,0.05997009,0.04108788,
39,-0.00536678,-0.10361827,0.02875413,
40,0.02341197,0.13018138,-0.08490839,
41,0.01139826,-0.04300811,-0.02419975,
42,-0.00224026,0.03663198,-0.00770552,
43,-0.01937457,-0.05460331,0.00711468,
44,0.01607573,0.00878872,-0.00091088,
45,0.00078778,0.06112715,0.00275725,
46,0.01312153,-0.01386008,-0.00177252,
47,0.01265379,-0.01511561,-0.0130723,
48,0.0090349,0.0146971,-0.00617918,
49,-0.0161742,-0.02506139,-0.01289997,
50,-0.00288034,-0.02481521,0.01866064,
51,-0.00728701,-0.04047243,-0.0190053,
52,-0.0203593,0.00164942,-0.00231412,
53,0.01642038,-0.01632191,-0.00374198,
54,0.01154597,0.06902961,-0.00487442,
55,-0.01400779,-0.00637613,0.00347118,
56,-0.01238299,-0.02442132,-0.00064007,
57,-0.03980773,0.01782362,0.00349579,
