製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 16:14:29,10/10 16:14:29,10/10 16:14:29,
サンプリング周波数,200,200,200,
シーケンス数,6542,6542,6538,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.02023621,0.03535183,0.00571144,
3,-0.00411125,-0.02877875,0.0068685,
4,0.00199408,-0.01386008,-0.0074101,
5,-0.0033727,0.00347118,-0.03252073,
6,-0.01738049,-0.00002462,0.00502213,
7,0.01233375,0.00002462,0.04414055,
8,-0.01868526,-0.01767591,-0.044756,
9,-0.01358928,-0.01432783,0.01324463,
10,0.01605111,-0.01605111,-0.0033727,
11,0.02772017,0.00856716,0.01029043,
12,-0.01161982,0.0102412,-0.00999502,
13,-0.01863603,-0.02496292,-0.00521907,
14,0.00448052,-0.01875912,0.01235837,
15,0.00411125,0.0022895,-0.00032004,
16,0.016445,0.00275725,0.04342662,
17,0.00059084,-0.00068931,-0.04034934,
18,0.00194484,-0.0087641,0.00716391,
19,-0.00605609,-0.02316579,0.00017233,
20,0.00982269,0.00580991,-0.01420474,
21,0.00644999,-0.00214179,-0.00950265,
22,0.00278186,0.01090589,0.01309692,
23,-0.00859177,-0.00548987,0.02026083,
24,-0.00536678,-0.01654347,-0.02013774,
25,0.02311655,-0.0096996,-0.01383546,
26,-0.00881334,-0.01585416,-0.00268339,
27,-0.00137862,0.01191524,-0.00167404,
28,-0.00534216,0.00076317,-0.01386008,
29,0.00854254,-0.00064007,0.00187099,
30,0.0053914,-0.02070396,0.03559801,
31,0.01706046,-0.00743472,0.00068931,
32,-0.00497289,-0.01093051,-0.0318068,
33,-0.00113244,-0.02200873,-0.0067454,
34,0.00224026,-0.00588377,-0.02134404,
35,0.02134404,-0.00292957,-0.00807479,
