製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 15:48:59,10/10 15:48:59,10/10 15:48:59,
サンプリング周波数,200,200,200,
シーケンス数,6804,6804,6804,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00987192,-0.0115952,-0.00194484,
3,-0.0287049,-0.00856716,-0.01720817,
4,0.01065971,-0.01297383,0.0094288,
5,-0.00105859,-0.03148676,-0.01582954,
6,0.00748395,0.02543067,-0.01038891,
7,0.0096996,-0.02144251,-0.00347118,
8,0.00556373,0.04967966,-0.0062038,
9,-0.00573606,-0.00908414,-0.00342194,
10,0.04556841,-0.01257993,-0.00699159,
11,-0.02752322,0.00716391,-0.00556373,
12,-0.01312153,-0.01742973,-0.0102412,
13,-0.00248644,-0.01799595,-0.01787286,
14,0.01208757,0.11193925,0.01962076,
15,0.03724743,-0.1058093,-0.00140324,
16,-0.03542568,-0.01006887,-0.00475133,
17,-0.01125055,-0.00982269,-0.00064007,
18,0.00448052,-0.00571144,-0.01019196,
19,0.01201371,-0.00236335,0.00169866,
20,0.02050701,-0.03412091,0.00580991,
21,0.01546027,-0.0082225,0.00891181,
22,-0.00450514,-0.00630228,-0.01472172,
23,0.00118168,-0.00125553,0.01299844,
24,0.01088127,-0.01289997,-0.01742973,
25,-0.00452976,0.01166906,-0.00928109,
26,0.00743472,0.02700624,-0.00642537,
27,0.00598224,-0.00064007,0.00546525,
28,-0.00544064,-0.00733624,0.00598224,
29,-0.00854254,-0.02198411,-0.02346121,
30,0.02058087,-0.01568183,-0.00659769,
31,0.01257993,0.0159034,0.00612995,
32,0.00883796,-0.02764631,0.00888719,
33,-0.00374198,0.00728701,0.01211219,
34,0.02383048,0.0121368,-0.01260455,
35,0.02705547,0.00524369,-0.0115952,
36,-0.02205796,0.02419975,0.00928109,
37,0.01368775,-0.07358399,-0.01450016,
38,-0.01651886,0.00494827,0.00214179,
39,0.02247648,-0.05056591,0.01043814,
40,-0.00920723,-0.01184139,-0.00118168,
41,0.00219103,-0.04428826,0.00115706,
42,-0.0008124,0.0323484,-0.03328389,
43,0.00374198,0.01912839,-0.02171331,
44,-0.01129978,0.01511561,0.00558835,
45,-0.00709006,0.01789748,-0.00625304,
46,0.01339234,-0.03700125,-0.02122094,
47,-0.00347118,-0.01806981,-0.00017233,
48,0.02395357,-0.01245684,0.00352041,
49,-0.00470209,0.00396354,0.00142786,
50,0.01201371,0.01706046,-0.01368775,
51,-0.00561296,0.03136367,0.00497289,
52,-0.02365815,-0.02737551,-0.0115952,
53,-0.00187099,0.03424401,-0.01093051,
54,-0.01339234,0.06385978,0.00625304,
55,-0.00871487,-0.06189032,-0.00709006,
56,-0.00521907,-0.0714422,0.00204332,
57,0.01814366,-0.00792708,-0.01701122,
58,-0.01336772,0.01149673,0.00339732,
59,0.00019695,-0.01073356,-0.00465285,
60,0.00721315,-0.0277694,0.01016734,
61,0.00211717,0.00268339,0.04667623,
62,0.00329885,0.01472172,-0.04359895,
63,0.01976847,-0.00022156,-0.02710471,
64,0.00118168,-0.00420972,0.00396354,
65,-0.00064007,-0.00386507,-0.01863603,
66,-0.00285572,-0.00179713,-0.01996541,
67,-0.0093057,0.00844406,-0.00706544,
68,-0.00982269,0.08685324,-0.01100436,
69,0.00571144,-0.11467188,0.01036429,
70,0.00164942,0.05376629,0.00472671,
71,-0.00396354,-0.02496292,-0.01595264,
72,-0.00327423,-0.04576535,0.00352041,
73,0.01546027,0.03616423,-0.00142786,
74,0.00748395,0.00896105,-0.00982269,
75,-0.00352041,-0.01479558,-0.00226488,
76,0.00388969,0.00278186,0.01863603,
77,-0.01838984,0.00445591,0.01272764,
78,-0.00302805,-0.00809941,-0.00728701,
79,0.01004425,-0.01093051,-0.01309692,
80,-0.00096011,-0.00657308,0.00777937,
81,0.02176255,-0.01110284,0.02442132,
82,-0.01602649,0.05214148,-0.01001963,
83,-0.01580493,-0.04377127,0.00477594,
84,-0.00502213,0.0351795,0.01110284,
85,-0.0010832,-0.022378,0.00905952,
86,0.00088626,-0.01164444,-0.00598224,
87,0.01703584,0.00051698,0.00349579,
88,0.02109785,-0.00465285,-0.01324463,
89,-0.00869025,-0.10223965,-0.00238797,
90,-0.01235837,0.09869462,-0.00755781,
91,-0.00241259,0.01142287,-0.01602649,
92,-0.00285572,0.00728701,-0.005933,
93,0.01868526,0.00297881,0.00807479,
94,-0.00839483,0.09148147,0.00273263,
95,-0.00192022,-0.14418917,-0.01546027,
96,0.0039143,-0.01669118,-0.01730664,
97,-0.02250109,-0.04096479,-0.00041851,
98,-0.00637613,0.00534216,-0.00558835,
99,0.03579496,-0.0649676,0.00920723,
100,-0.00088626,-0.01595264,-0.00438205,
101,0.00521907,-0.05915769,-0.00802555,
102,-0.02269804,0.01031505,-0.00157557,
103,-0.00765628,0.0274986,-0.00145248,
104,0.00066469,-0.01420474,-0.0020187,
105,0.00152633,0.00379121,0.00977345,
106,0.00273263,-0.03549954,-0.00551449,
107,-0.01666656,-0.01383546,-0.01393394,
108,0.00568682,-0.00696697,-0.00509598,
109,-0.00807479,-0.06742943,-0.01459863,
110,-0.00374198,0.01607573,-0.00718853,
111,0.0048498,-0.01607573,-0.00435743,
112,0.005933,0.03549954,-0.00563758,
113,-0.00871487,0.01430321,-0.00644999,
114,0.00423434,0.00630228,0.00241259,
115,0.00731162,0.01708508,-0.00408663,
116,-0.00199408,-0.0990639,0.00814865,
117,0.00302805,-0.0149679,-0.00487442,
118,-0.0025603,0.03515488,-0.02353506,
119,0.01395856,-0.071713,0.00408663,
120,-0.0051206,-0.0192761,-0.00376659,
121,0.01676504,-0.0161742,-0.00487442,
122,-0.00561296,0.00088626,-0.01445092,
123,0.03116672,-0.00622842,-0.00435743,
124,-0.00041851,0.00625304,0.01432783,
125,-0.02619383,-0.03050203,-0.00864101,
126,0.01762668,0.02410128,-0.00155095,
127,0.00425896,0.00709006,0.00945341,
128,0.00489903,-0.00974883,0.00445591,
129,-0.00305266,-0.01607573,-0.02218106,
130,-0.01117669,0.00187099,-0.01418012,
131,-0.00071393,-0.00940418,0.00347118,
132,0.01418012,0.05475102,-0.01179215,
133,0.00452976,-0.03857682,-0.01006887,
134,0.01930072,0.02626769,0.00211717,
135,-0.01683889,0.0002708,-0.01075818,
136,0.01678966,-0.00743472,0.00268339,
137,-0.01073356,0.00681926,-0.00305266,
138,-0.00908414,0.01297383,-0.00871487,
139,0.0249383,-0.04071861,-0.00361888,
140,0.01750359,-0.02058087,0.00637613,
141,0.01868526,0.01578031,0.01019196,
142,-0.01216142,-0.00509598,-0.00386507,
143,0.00974883,-0.01875912,-0.01521409,
144,0.01742973,-0.01666656,-0.00128015,
145,-0.00260954,-0.00472671,-0.00901028,
146,0.01090589,-0.00888719,0.00933032,
147,-0.01578031,-0.01112746,-0.00561296,
148,0.00477594,-0.00297881,0.00334808,
149,-0.01934996,-0.0292465,-0.00268339,
150,-0.01265379,-0.01349081,-0.01302306,
151,0.01235837,-0.00155095,-0.00945341,
152,-0.02060549,-0.00654846,-0.0093057,
153,-0.00132939,-0.00704082,-0.0093057,
154,0.00982269,-0.00056622,0.01223528,
155,0.00891181,-0.00386507,-0.00706544,
