製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 16:12:16,10/10 16:12:16,10/10 16:12:16,
サンプリング周波数,200,200,200,
シーケンス数,6538,6538,6538,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01134902,-0.0033727,-0.00499751,
3,0.01733126,-0.03764133,-0.00268339,
4,-0.0187345,-0.02316579,0.01102898,
5,0.00709006,0.0989408,0.02543067,
6,0.00694235,0.00817326,0.0125307,
7,0.00009847,-0.07771986,-0.02513525,
8,-0.0033727,-0.01026582,-0.02282113,
9,-0.02242724,-0.0359919,0.00802555,
10,-0.00187099,-0.05967467,0.00883796,
11,0.01053662,-0.086804,0.02737551,
12,0.01639576,0.03269306,-0.0093057,
13,0.00765628,-0.0783107,-0.02845871,
14,-0.00610533,0.02097476,-0.00179713,
15,0.01351543,-0.01166906,-0.0039143,
16,0.01779901,0.09606047,0.0051206,
17,0.0148202,-0.08473607,-0.00901028,
18,0.00029542,0.06494298,-0.00263415,
19,-0.03911842,-0.0349087,-0.0096996,
20,0.03559801,-0.04938424,0.02838486,
21,0.0048498,-0.00679464,-0.0130723,
22,-0.01570645,-0.06870958,-0.02099938,
23,0.01174291,0.03837987,-0.01976847,
24,-0.01004425,-0.01139826,-0.02688314,
25,0.00290496,0.07267312,0.00723777,
26,-0.00672079,-0.02299346,-0.0064746,
27,0.01420474,-0.04766096,-0.00128015,
28,0.01959614,-0.01250608,-0.00118168,
29,-0.00807479,-0.00733624,0.00556373,
30,-0.03084669,-0.01056124,-0.03453942,
31,0.00285572,-0.08072329,-0.00499751,
32,-0.0025603,0.01240761,0.00452976,
33,0.03357931,-0.03328389,-0.00322499,
34,0.00605609,-0.0675279,-0.01001963,
35,0.01738049,-0.00642537,-0.01004425,
36,-0.00448052,0.00206793,0.005933,
37,0.0002708,0.00034466,-0.01890683,
38,-0.01659271,-0.01115207,-0.01472172,
39,-0.00743472,-0.00785323,-0.01383546,
40,0.04239265,-0.00093549,-0.00248644,
41,-0.00940418,-0.00933032,-0.01275226,
42,-0.02907417,-0.04576535,-0.00472671,
43,0.01260455,-0.02673544,-0.00657308,
44,0.02023621,-0.01019196,-0.0033727,
45,0.00773013,-0.00379121,0.00425896,
46,0.02279651,0.00499751,0.00514522,
47,-0.01381085,0.02077782,0.0148202,
48,-0.02717856,-0.03062512,-0.03330851,
49,-0.02011312,-0.03453942,-0.01757744,
50,0.00777937,0.0292465,-0.0094288,
51,0.02378124,0.03621347,-0.0122599,
52,0.00039389,-0.00263415,-0.00268339,
53,0.00977345,-0.0570159,-0.01154597,
54,-0.01174291,0.07833532,0.0074101,
55,-0.01235837,-0.01888221,0.00384045,
56,0.01602649,0.00150171,-0.0190053,
57,0.01979308,-0.05578499,0.00440667,
58,-0.00915799,-0.02060549,0.00416049,
59,0.00519445,-0.04551917,0.00206793,
60,0.02518448,-0.02109785,-0.00802555,
61,-0.02085167,-0.02840948,-0.01949767,
62,-0.00177252,-0.01592802,0.01117669,
63,-0.0380106,0.05556342,0.00551449,
64,0.01755282,-0.00470209,-0.0337024,
65,0.0025603,0.06275196,-0.00465285,
66,-0.0074101,-0.06602618,0.00974883,
67,0.00709006,-0.01262917,-0.01001963,
68,0.00622842,-0.0067454,0.01703584,
69,-0.01016734,-0.10987131,0.02341197,
70,0.01708508,-0.02205796,0.00145248,
71,-0.01430321,-0.00834559,-0.04342662,
72,-0.00743472,0.01314615,-0.01459863,
73,-0.00211717,0.00265877,-0.01228451,
74,0.00657308,-0.07808913,-0.01233375,
75,0.00605609,0.08916735,0.00066469,
76,0.00396354,0.06270272,-0.0005416,
77,0.01851293,-0.05972391,0.01137364,
78,-0.00667155,-0.05937925,-0.02139327,
79,-0.01676504,0.02555376,-0.01878374,
80,-0.00386507,-0.00096011,-0.01774977,
