製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 15:45:59,10/10 15:45:59,10/10 15:45:59,
サンプリング周波数,200,200,200,
シーケンス数,6919,6918,6919,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00950265,0.00044313,0.00226488,
3,-0.00499751,0.01666656,0.00312652,
4,-0.01799595,-0.0371982,0.01127517,
5,0.00952727,-0.00999502,-0.00371736,
6,0.01693737,-0.07525803,-0.00352041,
7,0.00236335,-0.06538611,-0.031536,
8,-0.00115706,0.14054567,-0.00374198,
9,0.00398816,-0.09005361,0.03325928,
10,-0.00982269,-0.02882799,-0.01026582,
11,0.00460362,-0.04401746,-0.00659769,
12,-0.00214179,-0.01681427,0.03074821,
13,0.01462325,-0.07355937,-0.01004425,
14,0.01235837,0.09414024,0.00548987,
15,-0.01942381,0.01949767,-0.01208757,
16,-0.01129978,-0.17840856,-0.02508601,
17,-0.00817326,0.03357931,-0.01127517,
18,0.00438205,-0.00659769,0.00933032,
19,0.01952228,0.04470677,0.00462823,
20,0.00672079,-0.01356466,-0.00396354,
21,0.01528794,0.03099439,-0.01198909,
22,0.03057588,0.00809941,0.00349579,
23,0.02663696,-0.05332316,0.02181178,
24,-0.04891649,-0.00145248,-0.00716391,
25,-0.00241259,0.01573107,-0.01073356,
26,-0.03808445,0.04153101,-0.01610034,
27,-0.01794671,-0.09820226,0.00679464,
28,-0.00777937,0.08685324,0.00797632,
29,-0.00349579,-0.00563758,-0.02538143,
30,0.00499751,-0.02823715,-0.00696697,
31,0.0207532,0.04305734,0.0036435,
32,0.00162481,-0.0274986,-0.01432783,
33,0.01312153,-0.04064475,-0.01848832,
34,0.00497289,-0.00773013,-0.00748395,
35,-0.00056622,-0.04601154,-0.00004924,
36,-0.00105859,-0.06427829,-0.01484481,
37,-0.02272266,0.05839452,-0.00731162,
38,-0.01548489,-0.09620818,-0.04327891,
39,0.00396354,0.04446059,0.02996043,
40,0.01294921,0.16060956,0.0121368,
