製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 16:06:09,10/10 16:06:09,10/10 16:06:09,
サンプリング周波数,200,200,200,
シーケンス数,11284,11284,11284,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.0017479,-0.00398816,-0.00440667,
3,-0.00352041,-0.06157028,-0.0036435,
4,-0.00162481,0.01856217,-0.01363852,
5,0.01117669,0.00243721,-0.00396354,
6,0.00881334,0.00334808,-0.00241259,
7,-0.0020187,-0.00608071,-0.00019695,
8,0.00130477,0.01270302,0.00128015,
9,-0.00526831,0.086804,0.00292957,
10,0.00162481,-0.04697165,0.00610533,
11,0.00002462,-0.03761671,0.00342194,
12,0.02205796,0.02823715,-0.00891181,
13,-0.00288034,-0.01322001,0.00088626,
14,-0.0130723,0.00361888,0.00435743,
15,-0.01171829,0.08724713,0.00278186,
16,0.01866064,-0.0359919,-0.00785323,
17,-0.00164942,-0.10199347,-0.00100935,
18,0.00622842,-0.01715893,-0.00312652,
19,0.00494827,-0.01713431,-0.00499751,
20,0.00573606,-0.00324961,-0.00654846,
21,-0.00273263,-0.01073356,-0.00450514,
22,-0.01270302,-0.02838486,-0.00425896,
23,-0.00765628,0.00561296,0.00088626,
24,-0.00489903,-0.04202338,-0.00029542,
25,-0.01257993,0.08104333,-0.00238797,
26,0.00992116,0.03481023,-0.0033727,
27,0.01553412,-0.03966002,-0.00782861,
28,0.00231412,-0.01383546,-0.00179713,
29,-0.02296884,0.00558835,-0.0017479,
30,0.00322499,-0.00290496,-0.00657308,
31,-0.01125055,-0.00263415,-0.00462823,
32,-0.00128015,-0.00940418,-0.00243721,
33,0.00758243,0.02717856,0.00376659,
34,-0.00965036,0.00317576,0.00371736,
35,0.00662231,-0.03461328,0.00514522,
36,0.00612995,0.01346619,0.00334808,
37,0.00733624,-0.11895545,-0.00681926,
38,0.01016734,-0.01395856,-0.00216641,
39,0.01154597,-0.00327423,-0.0022895,
40,0.00435743,0.0036435,-0.00425896,
41,-0.01642038,-0.00452976,-0.00544064,
42,-0.01216142,0.00327423,0.00096011,
43,-0.00130477,-0.02725242,-0.00145248,
44,0.00120629,0.04721783,0.0033727,
45,-0.00315114,-0.00814865,-0.00300343,
46,-0.01048738,-0.0130723,0.00152633,
47,0.00305266,-0.01053662,0.00022156,
48,0.00425896,0.05076286,-0.01001963,
49,-0.00068931,-0.04153101,-0.01565722,
50,0.01324463,-0.01257993,-0.00706544,
51,-0.00514522,0.03867529,0.00115706,
52,-0.00588377,-0.04121097,-0.00851792,
53,0.00354503,-0.02540605,-0.00731162,
54,0.02530758,0.0572867,-0.00231412,
55,-0.00580991,-0.02887722,-0.01326924,
56,0.00214179,0.01553412,0.00169866,
57,0.00893643,0.00219103,-0.00905952,
58,-0.01065971,-0.00950265,-0.00189561,
59,0.00214179,-0.00096011,0.00290496,
60,-0.01693737,-0.00317576,-0.00411125,
61,0.00448052,-0.00248644,-0.00056622,
62,0.00465285,0.05260923,-0.01043814,
63,0.01152135,-0.06230883,0.0095765,
64,0.00440667,0.02811406,-0.00211717,
65,0.00236335,-0.04955657,-0.00100935,
66,0.00571144,-0.02368277,-0.00433281,
67,0.01740511,-0.01836523,-0.00398816,
68,-0.02626769,0.00167404,0.00177252,
69,0.00093549,0.02934497,0.00019695,
70,-0.01602649,0.01174291,-0.01430321,
71,-0.01164444,-0.01001963,0.00014771,
72,0.00704082,-0.07030976,-0.00987192,
73,0.00425896,0.01179215,-0.00780399,
74,0.00832097,-0.01930072,-0.0062038,
75,0.01110284,-0.01065971,0.0040374,
76,0.00433281,-0.00684388,-0.00386507,
77,0.0039143,-0.00465285,-0.00275725,
78,-0.00827174,-0.00041851,-0.00179713,
79,-0.00416049,-0.00142786,0.00167404,
80,-0.01989156,0.0190053,0.00164942,
81,0.01614958,0.00224026,-0.01176753,
82,0.00531755,-0.06245654,-0.00327423,
83,0.00248644,-0.00950265,-0.0039143,
84,-0.00435743,-0.03133905,0.00667155,
85,0.00352041,-0.00878872,0.00076317,
86,-0.00905952,-0.00460362,-0.00288034,
87,-0.00896105,0.00216641,-0.00083702,
88,0.00206793,0.01962076,-0.0005416,
89,0.01203833,0.03924151,0.00204332,
90,0.00411125,-0.02442132,-0.00519445,
91,0.01149673,-0.01289997,-0.00413587,
92,-0.00514522,0.00571144,-0.01368775,
93,0.0033727,-0.0175282,-0.01097975,
94,0.00551449,-0.0082225,-0.00526831,
95,0.00386507,-0.00041851,-0.00610533,
96,0.00477594,-0.00155095,-0.00192022,
97,0.02272266,-0.01713431,0.00041851,
98,-0.01659271,0.05635121,-0.00376659,
99,-0.00534216,-0.06381054,0.00152633,
100,0.00214179,0.00679464,-0.01696198,
101,0.00489903,-0.05455407,-0.00157557,
102,-0.00241259,-0.00785323,-0.00312652,
103,0.00214179,-0.00583453,-0.00642537,
104,0.00071393,-0.00014771,-0.00103397,
105,0.00290496,-0.00236335,0.00251106,
106,0.00064007,-0.00662231,0.00718853,
107,0.00819788,0.00150171,0.00076317,
108,0.00470209,0.01499252,-0.00056622,
109,-0.01294921,-0.03242225,-0.00814865,
110,0.00189561,0.05029511,-0.00573606,
111,0.02082705,-0.03417015,-0.00051698,
112,0.01174291,-0.0093057,-0.0064746,
113,-0.01211219,-0.02885261,-0.00844406,
114,0.00829636,0.01097975,-0.00507136,
115,-0.01555874,-0.02508601,-0.00118168,
116,0.00475133,0.04020163,0.00157557,
117,-0.00315114,0.0200885,0.00219103,
118,0.00349579,0.00105859,-0.00546525,
119,0.00728701,0.01555874,-0.00635151,
120,0.0002708,-0.01558336,-0.00667155,
121,-0.00731162,0.01036429,0.0051206,
122,-0.00460362,0.00901028,0.00669617,
123,0.004579,0.01888221,0.00137862,
124,-0.00760704,0.02407666,0.00162481,
125,0.00448052,-0.13286477,0.01090589,
126,0.00002462,-0.02555376,-0.00691773,
127,0.01324463,0.01789748,-0.00342194,
128,0.00118168,-0.02299346,0.00157557,
129,0.00598224,0.0107828,0.00438205,
130,0.0221072,0.00241259,-0.00605609,
131,0.00216641,-0.00014771,-0.00039389,
132,-0.00992116,0.0039143,0.00083702,
133,-0.0040374,-0.00832097,-0.00022156,
134,-0.01041353,-0.05214148,0.00585915,
135,-0.00445591,0.06797103,0.00194484,
136,-0.01646962,-0.00199408,-0.00130477,
137,-0.00017233,0.00630228,-0.00029542,
138,0.00588377,-0.02508601,-0.00915799,
139,0.00901028,-0.01272764,-0.0068685,
140,-0.00260954,-0.00600686,0.00017233,
141,-0.00162481,-0.02058087,-0.00206793,
142,0.00905952,0.00211717,-0.00937956,
143,-0.01152135,0.01191524,-0.00194484,
144,-0.02026083,-0.04354971,0.00440667,
145,0.01395856,0.02259957,-0.01639576,
146,0.0093057,-0.04423902,-0.00551449,
147,0.01189062,-0.00231412,-0.00182175,
148,0.01198909,-0.02323964,-0.00327423,
149,0.01100436,0.00881334,0.00288034,
150,-0.00236335,0.02752322,-0.00366812,
151,-0.02447055,-0.09278624,0.00014771,
152,-0.01289997,0.06248115,-0.01208757,
153,0.0190053,-0.09254006,0.00420972,
154,0.02070396,0.04438673,-0.0002708,
155,-0.00546525,-0.01036429,-0.00384045,
156,0.01546027,-0.00608071,-0.00920723,
157,-0.00132939,0.00120629,-0.0039143,
158,-0.00632689,-0.00509598,-0.00460362,
159,0.00637613,0.010512,0.00435743,
160,-0.01011811,0.08003398,0.00617918,
161,-0.00361888,-0.00773013,-0.01004425,
162,0.01014272,-0.06565691,0.00241259,
163,0.01056124,-0.02577532,-0.00359427,
164,0.00169866,-0.01580493,0.00140324,
165,-0.00672079,0.01203833,0.00002462,
166,0.00411125,-0.03350546,-0.00290496,
167,0.01363852,0.04953195,-0.00361888,
168,-0.00644999,0.01435245,0.00716391,
169,0.00792708,-0.02134404,-0.00396354,
170,0.00445591,0.08170802,0.00260954,
171,0.01925148,-0.0074101,-0.00728701,
172,0.00893643,-0.02415052,-0.00169866,
173,-0.02168869,-0.01779901,-0.0074101,
174,-0.01260455,-0.00263415,-0.00733624,
175,-0.01934996,0.01041353,-0.00324961,
176,0.00211717,0.05137832,0.00342194,
177,0.00864101,-0.02127018,-0.00556373,
178,0.00435743,-0.04364818,-0.00009847,
179,-0.00009847,-0.0039143,0.00132939,
180,0.00992116,-0.01516485,-0.00979807,
181,-0.00088626,-0.00669617,-0.00140324,
182,0.00014771,-0.00681926,0.00125553,
183,-0.00568682,-0.04684856,0.00420972,
184,0.00913338,0.10920662,0.00371736,
185,0.00428358,0.02890184,0.01499252,
