製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,
計測開始時刻,10/10 16:07:20,10/10 16:07:20,
サンプリング周波数,200,200,
シーケンス数,7188,7188,
PGAゲイン,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,
ファイル保存形式,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],
1,0,0,
2,-0.01479558,-0.04672547,
3,-0.00758243,0.01843908,
4,0.00041851,-0.00462823,
5,0.00711468,-0.00733624,
6,-0.00322499,0.01137364,
7,0.01363852,0.02397819,
8,-0.00044313,0.00371736,
9,0.00544064,-0.05989624,
10,-0.00044313,0.08377595,
11,0.01398317,-0.03636118,
12,-0.00169866,0.02097476,
13,-0.02168869,-0.03247149,
14,0.00563758,0.01678966,
15,-0.00189561,0.0549972,
16,-0.00704082,-0.0366566,
17,0.00130477,0.00125553,
18,0.01516485,-0.01755282,
19,0.00051698,0.02715395,
20,-0.01154597,0.03744438,
21,0.03252073,-0.03906919,
22,0.01634653,-0.05110752,
23,-0.01257993,-0.08350515,
24,0.01486943,0.06467218,
25,-0.00384045,0.04337738,
26,-0.00475133,0.0125307,
27,-0.01344157,-0.05610502,
28,-0.01701122,0.02836024,
29,0.00817326,-0.08057558,
30,0.00684388,-0.0010832,
31,-0.01289997,0.02459365,
32,-0.02040854,0.02875413,
33,0.02397819,-0.00460362,
34,-0.00487442,-0.03872453,
35,0.00571144,-0.02661234,
36,-0.01344157,-0.05204301,
37,-0.00140324,-0.01597725,
38,0.01925148,0.01041353,
39,0.01198909,-0.00999502,
40,-0.01196448,-0.01691275,
41,0.00379121,0.02279651,
42,-0.00694235,-0.05654815,
43,0.00019695,0.10649861,
44,-0.00642537,-0.04458368,
45,-0.00374198,0.03505641,
46,0.01356466,-0.07562731,
47,0.00396354,0.08965972,
48,0.00782861,0.0136139,
49,0.01376161,-0.01573107,
50,0.00893643,0.0096996,
51,-0.00179713,-0.00878872,
52,0.01632191,-0.02767093,
53,-0.01154597,-0.04288502,
54,0.00696697,-0.02939421,
55,0.00322499,0.08655782,
56,-0.02159022,-0.06570615,
57,0.00238797,0.00805017,
58,-0.00051698,0.00610533,
59,0.00056622,0.01634653,
60,0.00118168,0.03042817,
61,0.01420474,0.01595264,
62,0.01314615,-0.04500219,
63,0.00428358,0.01351543,
64,-0.00817326,0.04241727,
65,-0.00817326,-0.05807449,
66,-0.00728701,0.01688813,
67,-0.00189561,-0.01223528,
68,-0.00236335,-0.11671519,
69,0.01026582,0.04020163,
70,-0.01097975,-0.02808944,
71,-0.00667155,-0.00428358,
72,0.00002462,0.04950733,
73,0.02294422,0.02033469,
74,-0.0233135,-0.0444852,
75,-0.00324961,0.0167158,
76,0.01139826,0.00721315,
77,-0.00558835,-0.0176513,
78,0.0002708,-0.01088127,
79,-0.00137862,-0.01381085,
80,0.00091088,-0.02747398,
81,0.00753319,-0.059847,
82,0.00317576,0.03675507,
83,-0.00423434,-0.04598692,
84,0.00851792,0.02255033,
85,0.0033727,0.0176513,
86,0.02085167,-0.01216142,
87,0.00992116,-0.04167872,
88,-0.0025603,0.00580991,
89,-0.00654846,0.01829137,
90,-0.01368775,0.01309692,
91,0.02550452,-0.02072858,
92,-0.02235338,0.00832097,
93,-0.01112746,0.07727673,
94,0.00654846,-0.00278186,
95,-0.01272764,-0.04310658,
96,0.00164942,-0.01398317,
97,0.00312652,0.05608041,
98,0.01676504,-0.1165921,
99,0.01324463,0.02981272,
100,0.01262917,-0.01112746,
101,0.01088127,0.00137862,
102,0.01681427,-0.02353506,
103,-0.01462325,0.03847835,
104,-0.01966999,-0.0090349,
105,0.00376659,-0.02971425,
106,0.00396354,0.06036398,
107,0.00305266,-0.0161742,
108,0.01578031,-0.04261422,
109,0.03702587,-0.04133407,
110,-0.04315582,0.00908414,
111,-0.01565722,0.02996043,
112,0.00452976,-0.06565691,
113,0.02545529,0.02422437,
114,-0.00187099,-0.08306202,
115,0.01154597,0.02533219,
116,-0.00546525,-0.01029043,
117,0.00009847,-0.03303771,
118,0.02040854,0.05534186,
119,0.00093549,-0.08670553,
120,-0.00723777,0.05630197,
121,-0.00482518,-0.04827642,
122,-0.00716391,-0.05989624,
123,-0.01762668,0.02072858,
124,-0.00580991,0.01730664,
125,0.01708508,-0.02759707,
126,0.01578031,0.03549954,
127,-0.01570645,-0.0390938,
128,0.00536678,-0.01386008,
129,0.01418012,0.0040374,
130,0.01555874,-0.08953663,
131,-0.00568682,-0.00142786,
132,-0.00610533,-0.02555376,
133,0.01770053,0.06139795,
134,-0.00494827,-0.07673513,
135,0.00497289,-0.00669617,
136,0.00736086,0.03552416,
137,0.02737551,-0.01878374,
138,-0.01134902,0.00349579,
139,-0.0257507,-0.01029043,
140,0.00487442,-0.0470455,
141,0.00684388,0.01381085,
142,0.01272764,-0.00809941,
143,-0.03271767,0.04803023,
144,-0.02454441,-0.05635121,
145,0.00573606,-0.04288502,
146,0.00248644,0.06383516,
147,0.02016236,-0.08232348,
148,0.01432783,0.01408165,
149,0.01201371,0.01435245,
150,0.00192022,-0.00157557,
151,0.00965036,0.0040374,
152,0.00189561,0.01518947,
153,-0.01149673,-0.02644002,
154,0.01363852,0.037469,
155,0.02119633,-0.03074821,
156,-0.00064007,-0.01346619,
157,-0.01915301,-0.04217109,
158,-0.01351543,0.06920194,
159,0.0022895,-0.05115675,
160,0.04027548,-0.03675507,
161,-0.02245186,0.00302805,
162,-0.01117669,0.00236335,
163,-0.00672079,-0.06285043,
164,-0.00933032,0.00292957,
165,-0.00297881,-0.01356466,
166,0.00780399,0.01634653,
167,0.01294921,-0.03899533,
168,0.01223528,0.0564743,
169,0.00915799,-0.00630228,
170,-0.00608071,0.03638579,
171,-0.01198909,-0.02698162,
172,-0.00420972,-0.0774983,
173,0.02112247,0.03030508,
174,-0.02801558,-0.05967467,
175,-0.00462823,-0.04963042,
176,0.00347118,0.02685853,
177,-0.0076809,0.03417015,
178,0.0207532,-0.04611001,
179,0.00780399,-0.01681427,
180,-0.00462823,0.03604114,
181,0.02095014,0.01147211,
182,-0.00805017,-0.00630228,
183,-0.00130477,-0.01966999,
184,0.0300589,-0.03621347,
185,0.00546525,-0.02471674,
186,-0.02365815,0.00398816,
187,0.01171829,-0.00219103,
188,-0.00472671,-0.00384045,
189,0.00248644,0.01848832,
190,0.01093051,-0.00859177,
191,0.00044313,-0.00546525,
192,0.00962574,0.01755282,
193,-0.00672079,0.02550452,
194,0.00083702,-0.0179221,
195,0.01075818,0.02611998,
196,0.00083702,-0.07675975,
197,0.00004924,-0.02176255,
198,-0.00182175,-0.03094516,
199,0.04625772,-0.04194952,
200,0.00622842,-0.01523871,
201,-0.02840948,-0.02397819,
202,0.01324463,0.02159022,
203,0.01831599,0.00386507,
204,-0.00654846,0.0544556,
205,-0.01381085,-0.09800531,
206,0.01056124,-0.00354503,
207,-0.01573107,0.00044313,
208,0.00329885,0.00583453,
209,0.01506638,-0.01875912,
210,0.00194484,0.00155095,
211,-0.00950265,-0.02151636,
212,0.01122593,0.01149673,
213,-0.01043814,0.01836523,
214,-0.00805017,-0.04362356,
215,0.00807479,0.01221066,
216,0.03239764,-0.01484481,
217,0.00425896,-0.01634653,
218,-0.01080742,-0.02294422,
219,0.00285572,-0.11597664,
220,-0.00672079,0.03887224,
221,-0.00662231,0.02996043,
222,0.00684388,-0.03796136,
223,0.02909879,-0.04537146,
224,-0.00659769,-0.01902992,
225,-0.00869025,0.02530758,
226,0.00433281,0.02557838,
227,0.02235338,-0.05546495,
228,-0.00096011,0.02607074,
229,0.00679464,-0.02488907,
230,0.01454939,-0.00580991,
231,-0.01962076,-0.05672048,
232,-0.00598224,0.02427361,
233,0.00654846,0.0218364,
234,-0.01484481,-0.00718853,
235,0.00002462,-0.00078778,
236,0.00093549,-0.03252073,
237,-0.01257993,-0.01405703,
238,0.01715893,0.01410627,
239,0.00728701,-0.02235338,
240,0.00076317,-0.0408417,
241,0.0079517,0.03638579,
242,0.0074101,-0.01893145,
243,-0.00460362,-0.01211219,
244,-0.01432783,-0.03658274,
245,0.0068685,-0.01125055,
246,0.03515488,0.03165909,
247,-0.00137862,-0.04881802,
248,-0.0292465,-0.00989654,
249,-0.00955189,-0.01166906,
250,-0.00841945,0.02602151,
251,-0.01117669,0.01314615,
252,0.01523871,-0.03929075,
253,-0.01019196,0.01708508,
254,0.00928109,-0.08143722,
255,-0.00253568,-0.03136367,
256,-0.00268339,0.04384513,
257,0.00832097,-0.00263415,
258,-0.00238797,-0.02193487,
259,-0.00765628,-0.00297881,
260,0.00046775,-0.00204332,
261,0.00622842,0.00022156,
262,0.00829636,-0.03010814,
263,0.00925647,-0.00472671,
264,0.00352041,-0.06489374,
265,-0.00819788,0.03047741,
266,0.00425896,0.02661234,
267,-0.00241259,0.02939421,
268,0.01272764,0.00571144,
269,-0.0176513,0.00881334,
270,0.00329885,-0.05091057,
271,-0.01179215,-0.01011811,
272,0.01430321,-0.00413587,
273,0.00470209,-0.03998006,
274,0.02779402,0.04015239,
275,-0.00194484,-0.0485226,
276,0.0122599,-0.01974385,
277,-0.00696697,0.021024,
278,0.00585915,-0.01299844,
279,0.00494827,-0.03687816,
280,-0.00164942,0.00809941,
281,0.00433281,0.00950265,
282,-0.00253568,0.04470677,
283,-0.00408663,-0.0559327,
284,0.00014771,0.00438205,
285,-0.0076809,0.01312153,
286,-0.00162481,-0.05019664,
287,0.01122593,-0.00585915,
288,0.02653849,-0.02095014,
289,0.0022895,-0.03013276,
290,-0.02639078,0.01659271,
291,-0.0144263,0.02939421,
292,0.00482518,-0.02680929,
293,0.00955189,0.02772017,
294,0.00145248,-0.0008124,
295,0.010512,-0.00790246,
296,0.00718853,-0.02159022,
297,0.01491867,0.03220069,
298,-0.0175282,-0.03591805,
299,-0.00571144,0.05726208,
300,0.01585416,-0.01521409,
301,0.01425398,-0.06637084,
302,-0.02065472,0.03515488,
303,0.01804519,-0.00546525,
304,0.01971923,-0.0176513,
305,-0.00182175,0.02397819,
306,-0.01184139,0.01573107,
307,-0.01093051,-0.03503179,
308,-0.00088626,-0.02195949,
309,-0.00219103,0.01233375,
310,0.00435743,0.00017233,
311,0.016445,-0.01541103,
312,0.00753319,-0.02611998,
313,-0.02383048,-0.01942381,
314,0.01457401,-0.03542568,
315,-0.00017233,-0.00630228,
316,0.01898068,0.00100935,
317,-0.00526831,0.02964039,
318,0.00723777,-0.0544556,
319,-0.02415052,-0.0413833,
320,0.00413587,0.02144251,
321,0.00792708,0.00994578,
322,0.00388969,0.01006887,
323,-0.00918261,-0.00236335,
324,-0.00499751,0.03798598,
325,-0.00315114,-0.01056124,
326,0.00797632,-0.03970926,
327,0.00162481,-0.00268339,
328,0.00706544,0.00305266,
329,0.00189561,0.0603886,
330,0.02208258,-0.03732129,
331,-0.00366812,-0.05263385,
332,-0.00334808,0.00278186,
333,0.00992116,-0.0172574,
334,-0.0031019,0.03431786,
335,-0.02163945,-0.01585416,
336,-0.00691773,0.00068931,
337,-0.00041851,0.03414553,
338,0.00041851,-0.03303771,
339,0.00253568,-0.03586881,
340,0.00805017,0.06555844,
341,0.01358928,-0.04768558,
342,-0.00420972,0.01659271,
343,0.00280648,-0.03690278,
344,0.0010832,-0.04768558,
345,0.01265379,-0.01139826,
346,0.00608071,0.02875413,
347,-0.00428358,0.0005416,
348,-0.00376659,0.00649922,
349,0.03628732,-0.00462823,
350,-0.02390433,-0.00571144,
351,-0.01521409,0.00014771,
352,-0.02703085,-0.0161742,
353,0.00142786,0.00544064,
354,0.01139826,-0.01952228,
355,0.02003927,0.01285073,
356,-0.00219103,-0.01152135,
357,-0.00918261,0.0343671,
358,0.0005416,0.00214179,
359,0.00696697,0.02262418,
360,-0.01312153,0.05787754,
361,0.01019196,-0.01038891,
362,0.02464288,-0.03417015,
363,-0.00398816,-0.00497289,
364,-0.01312153,-0.02395357,
365,0.00745933,0.00204332,
366,0.01447554,0.00297881,
367,0.02390433,0.00305266,
368,-0.00967498,-0.01302306,
369,0.00494827,-0.01922686,
370,-0.00177252,0.01339234,
371,0.011866,0.03096978,
372,0.00041851,-0.03000966,
373,-0.01245684,0.00797632,
374,-0.00760704,0.00145248,
375,0.01989156,0.02247648,
376,0.01420474,-0.00979807,
377,-0.0153618,-0.00064007,
378,0.00408663,0.0175282,
379,0.005933,-0.03128981,
380,0.00206793,0.02530758,
381,0.01614958,-0.0377398,
382,-0.01585416,0.07895077,
383,-0.00034466,-0.02040854,
384,0.0176513,-0.07843379,
385,0.00379121,-0.0243967,
386,0.01371237,-0.08968434,
387,0.00312652,0.04054628,
388,-0.01447554,-0.03616423,
389,-0.00709006,-0.04977813,
390,-0.00694235,0.04404207,
391,0.0122599,-0.0400293,
392,-0.00219103,0.03574572,
393,0.00681926,-0.04155563,
394,-0.00002462,0.04290963,
395,-0.01745435,-0.04214647,
396,0.00177252,0.00475133,
397,-0.00450514,-0.0076809,
398,0.00411125,-0.07235308,
399,0.04251574,0.010512,
400,0.01265379,-0.00817326,
401,-0.00600686,-0.00777937,
402,-0.00846868,0.0436728,
403,-0.02097476,-0.01075818,
404,-0.00743472,-0.08303741,
405,0.03751823,-0.02072858,
406,-0.02850795,0.02417514,
407,-0.01102898,-0.03392397,
408,-0.00416049,0.02200873,
409,0.01395856,-0.02779402,
410,0.00834559,0.03000966,
411,-0.01041353,0.01504176,
412,0.00659769,-0.02624307,
413,0.03724743,-0.06245654,
414,0.01041353,0.02245186,
415,-0.01491867,-0.01088127,
416,-0.00251106,-0.01004425,
417,0.00103397,0.0337024,
418,0.01585416,-0.01196448,
419,0.03769056,-0.03229916,
420,-0.03018199,0.03505641,
421,-0.01942381,-0.0337024,
422,-0.0008124,-0.00064007,
423,0.01061047,-0.00354503,
424,-0.0022895,-0.02208258,
425,-0.00150171,0.05467717,
426,0.00251106,-0.04943347,
427,0.02255033,0.00440667,
428,0.00743472,-0.0005416,
429,0.00526831,0.03429324,
430,0.00032004,-0.00305266,
431,0.01164444,-0.00182175,
432,-0.00096011,-0.0349087,
433,0.0130723,-0.06910347,
434,0.01558336,-0.02368277,
435,-0.01703584,0.04539608,
436,0.0107828,-0.07639047,
437,0.0125307,-0.01073356,
438,-0.0102412,0.02725242,
439,-0.0093057,0.00002462,
440,-0.00770552,0.00548987,
441,-0.00630228,0.05960082,
442,-0.00435743,-0.05726208,
443,0.02853257,-0.0087641,
444,0.04546993,-0.00531755,
445,-0.02631692,-0.02476597,
446,0.00736086,-0.03084669,
447,-0.0261446,0.00268339,
448,0.00120629,0.03232378,
449,0.01555874,-0.0107828,
450,0.01450016,-0.00137862,
451,-0.00359427,-0.00536678,
452,0.00002462,-0.02740013,
453,0.00487442,0.0110536,
454,0.00580991,-0.03798598,
455,-0.01518947,-0.00514522,
456,0.00460362,-0.00817326,
457,-0.00007385,-0.00091088,
458,0.00327423,-0.00448052,
459,-0.00317576,0.01422936,
460,-0.01302306,-0.04817794,
461,0.00145248,-0.00891181,
462,-0.00605609,-0.00802555,
463,0.00748395,0.03148676,
464,0.01878374,-0.01597725,
465,-0.00339732,-0.05228919,
466,-0.01730664,-0.00556373,
467,0.00452976,-0.00014771,
468,0.01472172,-0.01149673,
469,0.02579994,0.01097975,
470,-0.00834559,0.01356466,
471,-0.00396354,-0.0359919,
472,0.02471674,-0.01413088,
473,0.00588377,-0.02171331,
474,-0.00765628,0.01755282,
475,-0.00785323,0.02533219,
476,0.00115706,0.01949767,
477,0.00681926,-0.01831599,
478,0.02119633,-0.06565691,
479,0.01038891,0.04325429,
480,-0.01654347,-0.02124556,
481,0.01048738,-0.01260455,
482,0.01733126,-0.03030508,
483,-0.02932035,0.01605111,
484,0.00145248,0.01838984,
485,-0.00967498,-0.00965036,
