製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/10 15:39:52,10/10 15:39:52,10/10 15:39:52,
サンプリング周波数,200,200,200,
シーケンス数,6998,6998,6998,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00979807,-0.02471674,-0.00600686,
3,0.02939421,-0.00905952,0.00064007,
4,-0.01068433,0.00398816,-0.00334808,
5,-0.02922188,0.01302306,-0.00551449,
6,0.01757744,0.00531755,0.00032004,
7,0.02346121,0.06304737,-0.00179713,
8,0.00044313,-0.12163884,-0.01294921,
9,-0.00199408,0.03092054,-0.00236335,
10,-0.00064007,-0.04719321,-0.00667155,
11,-0.005933,0.01912839,-0.0005416,
12,0.01302306,-0.02365815,-0.0031019,
13,0.00194484,-0.06070864,-0.00182175,
14,-0.00580991,0.01410627,0.00792708,
15,-0.00989654,0.04756249,0.00297881,
16,-0.0130723,-0.03911842,-0.01418012,
17,0.00819788,-0.05177221,-0.0102412,
18,0.0149679,0.06100406,-0.00460362,
19,0.0122599,-0.03722282,-0.00349579,
20,0.01358928,-0.0559327,0.00238797,
21,-0.00142786,0.07045747,-0.00361888,
22,-0.00275725,-0.03869991,-0.011866,
23,-0.00733624,-0.02762169,-0.00952727,
24,0.00888719,-0.00608071,-0.00105859,
25,0.00765628,-0.04389437,0.00091088,
26,-0.02149174,0.03050203,-0.00263415,
27,0.00933032,0.03481023,-0.010512,
28,-0.00521907,-0.01189062,-0.00893643,
29,0.02653849,-0.00987192,-0.01381085,
30,-0.01324463,-0.01937457,-0.00260954,
31,0.01376161,-0.00416049,0.00630228,
32,-0.0039143,0.0010832,-0.01669118,
33,-0.00438205,0.00871487,-0.00974883,
34,-0.00019695,-0.06452447,0.00071393,
35,0.00785323,0.00251106,-0.00349579,
36,0.03453942,-0.01703584,-0.00536678,
37,0.00022156,0.00928109,0.00657308,
38,-0.01289997,-0.01319539,-0.00066469,
39,0.01299844,0.02545529,-0.00411125,
40,0.04241727,-0.02907417,-0.00433281,
41,0.00088626,0.00041851,0.00088626,
42,0.02213182,0.00236335,-0.00231412,
43,-0.00445591,-0.03453942,-0.00093549,
44,-0.05118137,0.02545529,-0.00248644,
45,0.00182175,-0.0501474,0.00071393,
46,-0.00544064,0.07158991,-0.00300343,
47,0.00477594,0.00187099,-0.01073356,
48,0.01014272,0.02968963,-0.01122593,
49,0.00610533,-0.03205298,-0.00226488,
50,0.00317576,-0.0025603,-0.00091088,
51,0.00649922,0.00571144,-0.00773013,
52,0.00103397,-0.00071393,-0.0053914,
53,-0.00851792,0.00487442,0.00526831,
54,-0.01344157,0.06735557,-0.00576067,
55,0.02996043,-0.03966002,0.00280648,
56,0.0274986,0.03131443,-0.00854254,
57,-0.00950265,-0.03190527,-0.00219103,
58,-0.02488907,0.01425398,-0.00388969,
59,0.01152135,-0.10108259,-0.00669617,
60,-0.0064746,0.03985697,-0.00691773,
61,0.0010832,-0.03220069,-0.00051698,
62,-0.00667155,0.00736086,0.00211717,
63,-0.00745933,0.01548489,-0.00088626,
64,0.00448052,-0.0010832,0.00273263,
65,0.010512,-0.01447554,-0.0153618,
66,-0.004579,0.00371736,-0.00388969,
67,-0.00846868,-0.00691773,-0.01233375,
68,0.02464288,0.01528794,-0.00029542,
69,-0.01755282,-0.02823715,-0.00083702,
70,-0.00844406,0.02712933,0.00896105,
71,0.04101403,-0.1112007,-0.01122593,
72,0.00782861,0.12387911,-0.00204332,
73,-0.03722282,0.00974883,0.00216641,
74,0.00558835,-0.0513537,-0.00273263,
75,0.00155095,-0.0204824,-0.00253568,
76,0.02464288,0.01750359,-0.00792708,
77,-0.01014272,-0.0285818,-0.00177252,
78,0.01565722,0.00450514,0.00019695,
79,-0.0215656,-0.06802026,-0.00157557,
80,0.0161742,0.05829605,-0.00733624,
81,-0.01824213,-0.00071393,-0.00534216,
82,0.02902493,-0.06223497,-0.01100436,
83,-0.0181929,0.00612995,-0.0068685,
84,-0.02496292,-0.01358928,-0.00519445,
85,-0.00605609,0.09039827,-0.00130477,
86,0.04522375,0.02060549,-0.00450514,
87,-0.00994578,0.02451979,-0.00694235,
88,-0.02397819,-0.05017202,-0.00733624,
89,-0.0005416,-0.04281116,-0.00312652,
90,0.00908414,-0.04805485,-0.01555874,
91,-0.00371736,-0.0068685,-0.01041353,
92,-0.01755282,0.04039857,0.00206793,
93,0.00423434,0.03798598,-0.00374198,
94,0.02515987,-0.02488907,0.0017479,
95,-0.00091088,0.03769056,0.00034466,
96,0.02370739,0.01504176,-0.00056622,
97,0.0039143,0.02119633,-0.00374198,
98,-0.00022156,-0.03638579,-0.01016734,
99,0.00797632,-0.03537645,-0.00662231,
100,-0.00290496,-0.02163945,-0.0122599,
101,-0.01888221,-0.00192022,-0.00556373,
102,0.04241727,-0.02136865,0.00376659,
103,-0.01979308,0.03321004,-0.00416049,
104,-0.00071393,0.00039389,0.00068931,
105,0.00760704,-0.11506577,-0.00807479,
106,-0.00915799,-0.00155095,-0.00736086,
107,0.03239764,-0.04071861,-0.00669617,
108,-0.01462325,-0.01435245,-0.00347118,
109,-0.01939919,0.00672079,-0.0146971,
110,0.04091556,-0.01824213,-0.01425398,
111,-0.02451979,0.04549455,0.00265877,
112,-0.01056124,-0.01989156,-0.00366812,
113,0.00349579,-0.04478062,-0.02533219,
114,-0.01395856,-0.01804519,-0.00224026,
115,0.00051698,0.06949736,-0.00918261,
116,0.01161982,-0.08621316,-0.00091088,
117,0.02909879,0.01848832,0.0008124,
118,0.0181929,-0.04190029,-0.00275725,
119,0.00718853,-0.01432783,-0.00989654,
120,-0.02993581,-0.01166906,0.00317576,
121,-0.02134404,0.01947305,-0.00194484,
122,0.01915301,0.01309692,-0.00657308,
123,0.01457401,0.00962574,-0.00425896,
124,0.02629231,-0.02144251,-0.00644999,
125,-0.01745435,0.0033727,-0.0010832,
126,0.01117669,-0.00568682,-0.00157557,
127,-0.01696198,-0.05031973,-0.00297881,
128,-0.00965036,-0.0094288,-0.00051698,
129,0.02082705,-0.01056124,-0.00760704,
130,0.00819788,0.03835526,-0.00423434,
131,-0.00472671,-0.04524837,-0.00128015,
132,0.00199408,-0.01154597,-0.0125307,
133,-0.01061047,0.04113712,0.00334808,
134,-0.00317576,-0.02875413,-0.00965036,
135,0.00940418,0.0144263,-0.00051698,
136,0.02218106,-0.00770552,0.00425896,
137,0.01479558,-0.0773752,-0.00777937,
138,0.01418012,0.04433749,-0.0025603,
139,0.00548987,0.02053163,-0.00162481,
140,-0.00157557,-0.03414553,-0.01171829,
141,0.02306731,-0.00699159,-0.00046775,
142,0.00007385,-0.02296884,-0.01299844,
143,-0.01580493,-0.05832067,0.00302805,
144,-0.00416049,-0.03645965,-0.01289997,
145,0.00371736,0.00736086,-0.00329885,
146,0.01523871,0.01110284,-0.00662231,
147,0.00002462,-0.01664195,-0.0082225,
148,-0.00029542,0.03498255,-0.0136139,
149,0.00448052,-0.05036897,-0.00226488,
150,-0.03394859,-0.00056622,-0.00605609,
151,0.02528296,-0.01905454,0.00263415,
152,0.00987192,-0.02134404,-0.00928109,
153,0.00908414,0.03953693,0.00736086,
154,0.01198909,0.04724245,0.00487442,
155,-0.02077782,-0.0287049,-0.00260954,
