製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:51:41,10/16 16:51:41,10/16 16:51:41,
サンプリング周波数,200,200,200,
シーケンス数,6553,6553,6553,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00091088,-0.16398226,-0.01297383,
3,0.00091088,0.0074101,-0.01149673,
4,0.00637613,0.07368247,-0.00580991,
5,0.00327423,0.00918261,0.00694235,
6,0.00204332,0.00699159,-0.00881334,
7,-0.00071393,0.01149673,-0.00315114,
8,0.00425896,-0.04889187,-0.00002462,
9,0.01494329,-0.01235837,0.00352041,
10,-0.00489903,-0.15467655,-0.00556373,
11,-0.00856716,-0.03943846,-0.00888719,
12,-0.00359427,0.06907885,-0.0033727,
13,-0.00388969,0.05073824,-0.00782861,
14,0.00162481,-0.04032472,-0.00632689,
15,-0.00071393,0.0252091,-0.0022895,
16,-0.00544064,-0.14670024,-0.00408663,
17,0.00416049,0.03727205,-0.00253568,
18,0.00482518,-0.0036435,-0.01486943,
19,0.00571144,-0.01061047,0.04945809,
20,0.00236335,-0.00482518,0.02821253,
21,0.00462823,0.00497289,-0.0826189,
22,0.00376659,-0.02122094,-0.02353506,
23,0.00046775,-0.03281615,-0.01632191,
24,0.00556373,0.07018667,0.005933,
25,0.00317576,-0.05324931,-0.02742475,
26,0.00179713,0.03970926,0.00260954,
27,0.00551449,-0.00211717,-0.00376659,
28,0.00292957,-0.00019695,-0.0031019,
29,0.00305266,-0.00718853,-0.00509598,
30,0.00275725,-0.0161742,-0.00551449,
31,0.00071393,-0.01824213,-0.0033727,
32,-0.00142786,-0.00846868,-0.00699159,
33,0.00004924,-0.00371736,-0.01383546,
34,0.00423434,-0.06910347,-0.00206793,
35,-0.00681926,0.04482986,-0.00758243,
36,-0.00152633,0.01437707,0.00004924,
37,0.00544064,0.01019196,-0.00937956,
38,-0.0040374,-0.01922686,-0.00694235,
39,-0.00329885,-0.02136865,-0.00238797,
40,0.00142786,-0.0159034,-0.00280648,
41,0.00465285,-0.01681427,-0.00315114,
42,0.00667155,-0.00105859,-0.00253568,
43,0.00635151,-0.00610533,-0.00056622,
44,-0.00470209,-0.04896573,0.00140324,
45,-0.0008124,0.00755781,-0.00617918,
46,-0.0064746,0.01043814,-0.0159034,
47,0.00260954,-0.05103366,0.00324961,
48,0.00066469,-0.10255969,0.00433281,
49,0.0107828,0.02909879,-0.01110284,
50,-0.00051698,0.01346619,-0.01093051,
51,-0.0033727,0.00162481,0.00285572,
52,0.00292957,-0.09438643,0.00009847,
53,-0.00004924,0.10145187,-0.00251106,
54,0.00115706,0.00155095,-0.00472671,
55,0.00376659,-0.01075818,-0.00401278,
56,-0.0033727,0.02577532,-0.00041851,
57,0.00408663,-0.06452447,-0.00265877,
58,0.00888719,0.03980773,0.00465285,
59,0.00423434,0.00438205,-0.00120629,
60,-0.00445591,-0.01125055,0.01703584,
61,-0.00536678,-0.02269804,-0.03377626,
62,0.0048498,-0.00460362,-0.00928109,
63,0.00401278,-0.01474634,-0.01506638,
64,0.00189561,-0.0010832,0.00669617,
65,0.00022156,-0.01029043,-0.01088127,
66,0.00125553,-0.00745933,-0.01826675,
67,-0.00014771,-0.005933,-0.0082225,
68,-0.00187099,-0.17119541,-0.0053914,
69,0.00681926,0.22176132,0.00251106,
70,0.00374198,0.01770053,-0.00420972,
71,-0.00352041,0.02456903,-0.00635151,
72,0.00068931,-0.01413088,-0.01683889,
73,0.00401278,0.04734092,0.00051698,
74,0.00731162,-0.01750359,0.00214179,
75,0.00093549,-0.01450016,-0.00248644,
76,0.0022895,0.00155095,-0.01147211,
77,0.00423434,0.00379121,-0.00071393,
78,0.00706544,-0.03266844,0.00834559,
79,0.00423434,-0.01634653,-0.00236335,
80,0.00625304,-0.02026083,-0.00411125,
81,-0.00046775,-0.01171829,-0.00374198,
82,0.00908414,-0.00896105,0.03025585,
83,0.00755781,-0.01718355,0.01491867,
84,-0.00349579,-0.18037802,-0.03919228,
85,0.00945341,0.14763573,0.00096011,
86,-0.01410627,0.05667124,-0.01336772,
87,-0.00032004,0.00204332,-0.00814865,
88,0.00411125,0.00635151,-0.00487442,
89,0.00595762,-0.02045778,0.02447055,
90,0.00475133,-0.01738049,-0.00248644,
91,-0.00452976,-0.00435743,-0.00760704,
92,0.00241259,0.01223528,-0.0130723,
93,-0.00497289,-0.03047741,-0.00199408,
94,0.00502213,-0.01841446,-0.00617918,
95,0.00502213,-0.00662231,-0.00093549,
96,-0.00128015,-0.01179215,-0.00411125,
97,-0.00610533,-0.01073356,-0.00731162,
98,0.00561296,-0.04199876,0.00792708,
99,0.00155095,0.02845871,0.00130477,
100,-0.00071393,-0.00901028,0.01521409,
101,-0.00059084,-0.00317576,0.01410627,
102,0.00206793,-0.01511561,-0.01902992,
103,-0.00280648,-0.20428236,-0.00915799,
104,0.00292957,0.11506577,-0.00610533,
105,0.00253568,0.02796635,-0.00145248,
106,0.01088127,-0.0020187,0.02395357,
107,0.0008124,-0.00199408,0.03296386,
108,-0.00605609,-0.00736086,-0.04249112,
109,-0.00982269,-0.02151636,-0.02279651,
110,0.02973886,-0.00032004,-0.00305266,
111,-0.00155095,0.00425896,0.00460362,
112,-0.01678966,-0.03823216,-0.02235338,
113,0.00435743,-0.07621815,0.00275725,
114,-0.00667155,0.0300589,-0.00317576,
115,0.00103397,-0.00157557,-0.00019695,
116,0.00039389,-0.01287535,0.00580991,
117,0.00177252,-0.12375601,-0.0136139,
118,0.00354503,0.29140639,-0.00721315,
119,0.00534216,0.00502213,-0.00721315,
120,-0.00278186,-0.00846868,-0.0017479,
121,0.00066469,0.02026083,-0.00022156,
122,0.00103397,-0.01371237,0.00551449,
123,-0.00204332,-0.06728172,0.02912341,
124,0.00268339,0.02269804,-0.02747398,
125,0.00854254,-0.01745435,-0.00797632,
126,0.00435743,-0.02316579,-0.00556373,
127,0.00411125,0.01585416,-0.01289997,
128,-0.00711468,-0.22449395,-0.01129978,
129,0.01142287,0.20504552,0.00420972,
130,-0.00039389,0.02589841,-0.00288034,
131,0.00066469,0.03414553,-0.00450514,
132,0.0094288,0.05361858,-0.00145248,
133,-0.0039143,-0.05381553,0.0277694,
134,-0.00260954,-0.07331319,-0.01166906,
135,-0.00051698,-0.12215583,-0.01856217,
136,0.00051698,0.00536678,-0.01688813,
137,0.01006887,-0.00398816,0.01610034,
138,0.00214179,0.00635151,0.02082705,
139,-0.00297881,-0.02407666,0.00684388,
140,-0.00167404,-0.01467249,-0.02063011,
141,0.00226488,-0.01959614,-0.02050701,
142,0.0076809,-0.01528794,-0.00226488,
143,0.00416049,-0.00177252,0.02346121,
144,0.00132939,-0.01738049,-0.00384045,
145,0.00120629,-0.2771278,-0.00859177,
146,-0.00494827,0.04377127,-0.02284575,
147,0.00194484,0.03879838,-0.00797632,
148,0.01336772,0.01063509,-0.00327423,
149,0.00068931,-0.0039143,0.00179713,
150,-0.0187345,-0.0130723,0.00329885,
151,0.00376659,-0.00573606,0.00416049,
152,-0.00083702,-0.00901028,-0.00083702,
153,0.00521907,-0.02402743,-0.00743472,
154,0.00580991,-0.06085635,-0.00194484,
155,-0.00659769,0.10876349,-0.00376659,
156,0.00563758,0.02107323,-0.0048498,
157,-0.00612995,0.0331608,0.00251106,
158,0.00342194,-0.02218106,0.00103397,
159,0.00039389,0.01171829,0.02316579,
160,0.00322499,-0.00694235,-0.03663198,
161,0.0017479,-0.02195949,-0.00268339,
162,0.00322499,-0.02193487,-0.00253568,
163,0.00519445,-0.00177252,0.01029043,
164,-0.0167158,-0.04593768,0.04121097,
165,0.00583453,-0.08968434,-0.06612466,
166,0.00342194,0.04965504,-0.01122593,
167,0.02390433,-0.13889625,-0.01622344,
168,0.00192022,0.05684357,-0.0025603,
169,-0.01875912,-0.02479059,0.010512,
170,0.00755781,0.02562761,0.03970926,
171,0.00334808,0.01745435,0.01730664,
172,0.0053914,-0.04071861,-0.0392169,
173,0.00642537,-0.04261422,-0.01523871,
174,-0.02336273,0.01420474,-0.00531755,
175,-0.00224026,-0.0102412,-0.00425896,
176,0.0022895,-0.01676504,-0.00096011,
177,0.00118168,-0.02186102,-0.00428358,
178,0.0002708,0.03663198,0.00125553,
179,-0.0074101,-0.12348521,-0.00132939,
180,0.00083702,-0.06998973,-0.02099938,
181,0.01016734,0.04687318,0.00017233,
182,0.01065971,-0.03158523,0.00679464,
