製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:32:32,10/16 16:32:32,10/16 16:32:32,
サンプリング周波数,200,200,200,
シーケンス数,6929,6929,6929,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00526831,-0.0074101,0.00150171,
3,0.00032004,0.0017479,0.00007385,
4,-0.0036435,0.01203833,0.00297881,
5,-0.00140324,-0.00805017,0.00192022,
6,0.00509598,-0.01885759,-0.01762668,
7,0.00435743,-0.00556373,-0.00846868,
8,-0.00275725,-0.00758243,-0.00371736,
9,0.01088127,-0.00059084,-0.00361888,
10,-0.00317576,-0.01250608,-0.01053662,
11,-0.00002462,-0.03042817,-0.00659769,
12,0.00595762,-0.02996043,-0.00563758,
13,0.00755781,0.00807479,-0.00600686,
14,0.00297881,-0.00514522,-0.00384045,
15,0.00374198,-0.00137862,-0.01085665,
16,-0.00169866,0.00965036,-0.00519445,
17,-0.00846868,0.00881334,-0.00324961,
18,0.00706544,-0.00280648,-0.00834559,
19,0.0136139,-0.01654347,-0.0093057,
20,0.00967498,0.00709006,-0.00347118,
21,-0.00462823,-0.00913338,-0.00169866,
22,0.00179713,0.00096011,-0.00128015,
23,-0.00140324,-0.00211717,-0.00716391,
24,-0.00736086,-0.00854254,-0.00420972,
25,0.00401278,-0.00605609,0.00009847,
26,0.00379121,-0.01915301,-0.01693737,
27,0.00324961,0.00002462,0.0010832,
28,0.0087641,-0.00573606,0.01309692,
29,0.00118168,-0.0022895,0.00595762,
30,-0.00130477,-0.01233375,0.00002462,
31,0.00263415,-0.00445591,0.00100935,
32,-0.00044313,-0.01026582,-0.00955189,
33,0.00128015,-0.0190053,0.00305266,
34,0.00265877,0.00187099,-0.00625304,
35,-0.01001963,-0.00374198,-0.00654846,
36,-0.00777937,0.01004425,-0.00051698,
37,0.00644999,-0.02053163,-0.00219103,
38,0.00571144,-0.00706544,-0.00869025,
39,0.00531755,-0.01122593,-0.00452976,
40,0.00083702,-0.01824213,-0.00519445,
41,-0.01026582,-0.02565223,-0.00585915,
42,-0.00366812,-0.0167158,-0.00103397,
43,0.00068931,0.00071393,-0.0095765,
44,-0.00622842,-0.00920723,-0.01240761,
45,-0.00327423,-0.00152633,-0.00844406,
46,0.00691773,0.00044313,-0.00056622,
47,0.01565722,-0.01811904,0.00068931,
48,0.00248644,-0.00758243,-0.00182175,
49,0.00642537,-0.0087641,0.00051698,
50,-0.00452976,-0.00622842,-0.01491867,
51,0.00580991,-0.0036435,-0.0064746,
52,0.0062038,-0.00263415,0.01356466,
53,-0.00462823,-0.01176753,-0.00329885,
54,0.0020187,-0.00649922,-0.00915799,
55,-0.00472671,-0.00605609,-0.00583453,
