製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:58:19,10/16 16:58:19,10/16 16:58:19,
サンプリング周波数,200,200,200,
シーケンス数,6604,6604,6604,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.0020187,-0.03737053,-0.0272278,
3,-0.01459863,0.01666656,-0.02592303,
4,0.00260954,-0.01646962,0.01964537,
5,-0.00317576,-0.02296884,-0.00844406,
6,0.01651886,-0.00728701,-0.00017233,
7,0.02407666,-0.205144,-0.02653849,
8,-0.02395357,0.07735059,0.0508121,
9,-0.03205298,-0.01245684,-0.0518953,
10,0.00901028,0.02065472,-0.03318542,
11,-0.00580991,-0.01191524,-0.00290496,
12,0.0031019,-0.0233135,0.00807479,
13,0.02666158,-0.0246675,-0.03202836,
14,0.01036429,-0.01356466,-0.0022895,
15,-0.00896105,-0.00642537,0.02730166,
16,0.00103397,-0.01093051,-0.01890683,
17,-0.00004924,0.02306731,-0.00260954,
18,0.00051698,0.01868526,0.00630228,
19,0.0107828,-0.0233135,0.01127517,
20,0.0005416,-0.01656809,-0.00792708,
21,-0.00236335,-0.01393394,-0.01142287,
22,0.02747398,-0.05965005,0.01358928,
23,0.01031505,0.06282581,0.02968963,
24,-0.00169866,-0.00465285,-0.01666656,
25,-0.02789249,-0.08069867,-0.02981272,
26,-0.01494329,-0.05918231,-0.01233375,
27,0.0346379,0.13729606,-0.0005416,
28,-0.01351543,0.01324463,0.01543565,
29,-0.00502213,0.00696697,-0.00096011,
30,0.00748395,0.04699627,0.02528296,
31,0.00204332,-0.04167872,0.00241259,
32,-0.0122599,-0.04613463,-0.05888689,
33,0.01922686,-0.01930072,-0.02616921,
34,-0.00888719,-0.00878872,-0.01952228,
35,0.01262917,0.00580991,0.00933032,
36,0.00152633,0.01703584,0.02085167,
37,-0.00231412,-0.0074101,-0.02589841,
38,0.01137364,-0.14748802,0.00448052,
39,0.00709006,0.10027019,-0.01115207,
40,-0.00388969,0.01398317,0.00844406,
41,-0.00155095,-0.00482518,0.00416049,
42,-0.00078778,-0.00534216,-0.0022895,
43,0.00733624,-0.09702058,0.01376161,
44,0.01843908,0.11518886,-0.02383048,
45,-0.004579,0.00046775,0.00265877,
46,0.02872951,0.00347118,0.01930072,
47,0.00324961,0.01285073,0.01964537,
48,0.01171829,-0.03402244,-0.03340698,
49,-0.00883796,0.03035432,-0.0274986,
50,-0.01629729,-0.02501216,-0.01898068,
51,-0.00059084,-0.05484949,-0.00413587,
52,0.00300343,-0.11346558,0.042048,
53,-0.01368775,-0.02380586,-0.00937956,
54,0.00182175,-0.01999003,-0.00509598,
55,0.02259957,0.07577502,-0.02247648,
56,0.00056622,0.00987192,0.00770552,
57,0.00561296,-0.00260954,-0.03591805,
58,-0.01560798,-0.01339234,-0.00630228,
59,-0.00755781,0.00182175,0.01326924,
60,0.00514522,-0.03104363,-0.0005416,
61,0.0064746,0.01085665,-0.03663198,
62,0.00374198,0.01314615,0.00125553,
63,-0.01063509,-0.09832535,0.01605111,
64,-0.00709006,0.05667124,-0.04436211,
65,0.00339732,-0.01605111,0.01853755,
66,0.01164444,-0.08975819,-0.01866064,
67,0.0230427,-0.01838984,0.0067454,
68,0.00723777,-0.02860642,-0.00288034,
69,0.00802555,-0.0082225,-0.02136865,
70,-0.01836523,-0.00817326,0.00460362,
71,0.00558835,-0.1260209,0.00145248,
72,0.01767591,0.01868526,-0.00322499,
73,-0.01991618,0.09507574,-0.00352041,
74,-0.00435743,0.0549972,0.0243967,
75,-0.00576067,-0.02540605,-0.00657308,
76,0.00608071,-0.00869025,-0.03513026,
77,0.01730664,-0.01959614,0.01420474,
78,-0.02373201,-0.01053662,0.02159022,
79,0.00132939,-0.02380586,-0.04546993,
80,-0.00105859,-0.0462331,-0.00625304,
81,0.01006887,-0.01211219,0.01905454,
82,0.02045778,-0.12823654,-0.02336273,
83,0.0064746,0.15482426,-0.04672547,
84,-0.00317576,0.02146713,0.01250608,
85,-0.00514522,-0.00977345,-0.02250109,
86,-0.00546525,-0.00187099,0.00386507,
87,0.0002708,-0.03980773,0.00859177,
88,0.00120629,0.00051698,-0.01073356,
89,0.00477594,-0.02287037,0.01080742,
90,0.00145248,-0.00499751,-0.02395357,
91,0.04756249,-0.13677908,0.00083702,
92,-0.02370739,-0.07892616,-0.01097975,
93,-0.02845871,0.05654815,-0.0040374,
94,0.02530758,0.04470677,0.01265379,
95,-0.0033727,0.00034466,0.00989654,
96,-0.02095014,0.00046775,0.01745435,
97,0.01179215,-0.05512029,-0.01789748,
98,0.01824213,0.01174291,0.01597725,
99,-0.01314615,0.01447554,-0.01221066,
100,-0.0036435,0.02099938,-0.02171331,
101,-0.00706544,-0.04606077,0.01065971,
102,0.00494827,-0.07944314,0.04423902,
103,0.01974385,-0.22715272,-0.03813369,
104,-0.00105859,0.08527767,-0.01984232,
105,0.01841446,0.05979776,-0.01430321,
106,-0.01289997,0.02434746,0.02651387,
107,0.01134902,-0.11624744,-0.01275226,
108,-0.0051206,0.0718361,-0.02262418,
109,0.0053914,0.00265877,0.02481521,
110,0.01841446,0.1386993,-0.01437707,
111,-0.01031505,-0.17483891,-0.01774977,
112,0.00989654,-0.09975321,0.0138847,
113,-0.00192022,0.18010722,-0.00150171,
114,-0.00022156,0.01782362,-0.00177252,
115,0.00354503,-0.02680929,0.02259957,
116,0.00241259,-0.02772017,-0.00694235,
117,0.01861141,-0.02028545,0.00753319,
118,0.00251106,-0.37104648,-0.00654846,
119,0.01075818,0.33269122,0.00748395,
120,-0.00438205,0.08889655,0.01393394,
121,0.0121368,-0.00450514,0.01201371,
122,-0.00846868,0.01102898,-0.01139826,
123,-0.01302306,-0.0149679,-0.01802057,
124,0.0033727,-0.01339234,-0.0544556,
125,0.00470209,-0.06624775,0.00955189,
126,0.021024,0.10172267,0.0144263,
127,0.00238797,-0.00214179,-0.03170832,
128,-0.01063509,-0.00386507,0.00290496,
129,0.01019196,-0.0062038,-0.0133431,
130,0.02678467,-0.0231904,0.0005416,
131,-0.01528794,-0.02355968,0.00297881,
132,-0.00563758,0.06336741,-0.00721315,
133,0.00211717,-0.13397259,-0.02021159,
134,0.00022156,0.00974883,0.03338237,
135,-0.00401278,0.0090349,0.01115207,
136,0.0036435,0.01826675,-0.02392895,
137,0.03611499,-0.10398755,-0.00324961,
