製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:37:45,10/16 16:37:45,10/16 16:37:45,
サンプリング周波数,200,200,200,
シーケンス数,6619,6618,6618,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01085665,0.00758243,0.13308634,
3,0.01270302,-0.00937956,-0.04032472,
4,-0.01688813,-0.01693737,-0.01518947,
5,0.01856217,-0.00241259,-0.00096011,
6,0.00051698,-0.01878374,-0.03082207,
7,0.01750359,0.02161484,0.00790246,
8,0.0031019,-0.05393862,-0.00556373,
9,0.03082207,-0.0649676,-0.00635151,
10,0.038823,0.03042817,0.02725242,
11,-0.02163945,0.01893145,-0.03727205,
12,-0.05347087,-0.16920133,0.04458368,
13,0.00182175,-0.00093549,-0.00354503,
14,0.00556373,-0.0200885,-0.00507136,
15,0.01265379,-0.02885261,-0.06157028,
16,0.00829636,-0.01597725,-0.03131443,
17,0.02552914,-0.01233375,0.00088626,
18,0.01989156,0.00177252,0.00290496,
19,0.00238797,-0.02011312,-0.00548987,
20,0.02050701,-0.00078778,0.00465285,
21,0.01568183,-0.03658274,0.00130477,
22,-0.00029542,0.04066937,0.02163945,
23,0.0416541,-0.03247149,0.04741478,
24,-0.0394877,-0.01437707,-0.04805485,
25,0.004579,-0.0087641,0.06676473,
26,0.07097446,-0.0683403,0.01011811,
27,-0.09965473,0.09977783,-0.0010832,
28,-0.01952228,-0.09955626,-0.09337708,
29,0.03980773,0.02528296,0.0300589,
30,-0.01659271,-0.00681926,-0.06001933,
31,0.02050701,-0.01863603,-0.00241259,
32,0.01605111,0.00888719,-0.00169866,
33,-0.02762169,-0.01794671,0.0008124,
34,-0.00667155,-0.12730104,0.02754784,
35,0.02518448,0.0456915,-0.0090349,
36,-0.00630228,-0.04372204,-0.0233135,
37,0.02882799,0.0655092,-0.00214179,
38,0.00649922,-0.04094017,-0.01139826,
39,0.04263883,-0.05644968,-0.04672547,
40,-0.02087629,0.03621347,-0.01523871,
41,0.00644999,-0.00989654,-0.01134902,
42,0.02680929,0.08995514,-0.00814865,
43,-0.00662231,-0.02380586,0.03345622,
44,-0.03616423,-0.00854254,-0.00285572,
45,-0.00132939,-0.01294921,0.00088626,
46,0.05923154,-0.00649922,0.02058087,
47,-0.05187068,0.01454939,0.05251076,
48,-0.02895108,-0.10137801,-0.09357402,
49,-0.00544064,0.03449019,-0.038823,
50,-0.01696198,0.01147211,-0.02567685,
51,-0.0067454,0.02607074,-0.00933032,
52,0.0102412,-0.20319915,0.01585416,
53,0.01738049,0.12614399,0.00359427,
54,0.0094288,0.02220567,-0.00288034,
55,0.01112746,0.01789748,0.00211717,
56,-0.01651886,-0.03008352,-0.05667124,
57,-0.00807479,-0.05937925,0.00994578,
58,0.07523342,0.03488408,-0.00622842,
59,-0.00502213,-0.02159022,0.00955189,
60,-0.03682892,0.10652323,-0.05100904,
61,0.0125307,0.04500219,-0.0090349,
62,-0.00349579,0.01115207,0.01408165,
63,-0.00499751,0.01371237,0.02988657,
64,0.05928078,-0.00989654,-0.01319539,
65,0.03449019,-0.02065472,0.01435245,
66,-0.05044282,0.03776442,-0.03527797,
67,-0.04822718,-0.05155065,-0.01925148,
68,-0.01622344,-0.07368247,0.02562761,
69,-0.00300343,0.00753319,0.0919246,
70,0.02971425,-0.05807449,-0.09618356,
71,-0.00317576,-0.12929512,-0.07973856,
72,-0.00169866,0.04153101,-0.0233135,
73,0.01479558,0.00760704,0.07021129,
74,-0.00965036,0.00302805,-0.10049175,
75,0.00238797,-0.03636118,-0.06196417,
76,0.02294422,-0.00846868,-0.01651886,
77,0.01166906,0.00260954,-0.01467249,
78,0.01651886,-0.0093057,0.01068433,
79,-0.01073356,-0.01425398,0.0136139,
80,-0.02602151,-0.01139826,0.00349579,
81,0.00273263,-0.00361888,0.00411125,
82,0.05196916,-0.01115207,0.00179713,
83,-0.0380106,-0.02710471,-0.0074101,
84,-0.010512,-0.03293924,-0.0138847,
85,-0.01484481,-0.02644002,-0.00347118,
86,0.0153618,0.06787255,-0.00989654,
87,0.02235338,0.19170242,0.06307199,
88,0.00809941,-0.0102412,-0.06041322,
89,-0.00315114,-0.00004924,0.04970428,
90,-0.01654347,-0.0076809,-0.03394859,
91,-0.01560798,-0.01216142,-0.02136865,
92,0.01991618,-0.01270302,-0.00588377,
93,0.05928078,-0.00576067,0.00032004,
94,-0.00366812,-0.00979807,-0.03562263,
95,-0.05664663,-0.03045279,-0.02813868,
96,-0.01398317,-0.01811904,-0.00965036,
