製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:54:24,10/16 16:54:24,10/16 16:54:24,
サンプリング周波数,200,200,200,
シーケンス数,6653,6653,6655,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00349579,-0.02070396,0.01703584,
3,-0.00632689,0.02016236,-0.01582954,
4,0.00709006,0.00718853,-0.00433281,
5,-0.01043814,-0.0130723,0.00571144,
6,-0.00265877,-0.00962574,-0.00950265,
7,0.00681926,-0.00435743,-0.00585915,
8,0.00324961,0.004579,-0.00280648,
9,-0.00797632,-0.01260455,0.076292,
10,0.00425896,-0.02607074,-0.01949767,
11,0.00275725,-0.00273263,-0.03362855,
12,0.00376659,-0.0051206,-0.01358928,
13,0.00152633,-0.00312652,0.02336273,
14,0.00452976,-0.01708508,-0.00736086,
15,0.0148202,-0.01499252,-0.03008352,
16,-0.0122599,0.01656809,0.02887722,
17,0.00883796,-0.01152135,-0.02715395,
18,0.00192022,-0.01154597,-0.02986195,
19,-0.00423434,-0.01063509,-0.00420972,
20,-0.01425398,-0.00243721,-0.00324961,
21,0.01368775,-0.00002462,-0.00096011,
22,-0.01494329,0.01486943,0.01006887,
23,0.00398816,0.00494827,0.00600686,
24,0.00758243,-0.00034466,0.03439172,
25,-0.00573606,-0.00723777,-0.00883796,
26,0.00051698,-0.00438205,-0.01339234,
27,-0.00401278,-0.00489903,-0.00846868,
28,0.00105859,-0.00644999,-0.00585915,
29,-0.00773013,-0.00864101,0.01413088,
30,-0.00448052,-0.0090349,0.01595264,
31,0.01137364,-0.00494827,-0.00657308,
32,0.01457401,-0.01420474,-0.01905454,
33,0.00425896,-0.00507136,-0.00352041,
34,0.0010832,-0.01548489,0.00630228,
35,0.00273263,-0.00667155,0.0146971,
36,-0.00758243,-0.00982269,-0.00137862,
37,-0.00548987,-0.0295173,-0.01223528,
38,0.00398816,0.00556373,0.02840948,
39,0.01065971,-0.00817326,-0.01270302,
40,-0.00371736,-0.03047741,-0.01161982,
41,-0.00312652,0.03675507,-0.01102898,
42,0.00748395,-0.03439172,-0.00502213,
43,0.01422936,0.00499751,0.01964537,
44,-0.01516485,-0.02836024,-0.01085665,
45,0.00386507,0.02011312,-0.00359427,
46,0.00017233,-0.01688813,-0.01043814,
47,-0.00573606,-0.01425398,0.00236335,
48,0.01282612,-0.00891181,0.00167404,
49,0.0048498,-0.0082225,0.07794142,
50,0.00753319,-0.01395856,-0.08156031,
51,-0.00231412,-0.00489903,-0.00091088,
52,0.00448052,-0.00292957,-0.01110284,
53,-0.00507136,-0.01688813,0.02247648,
54,0.00536678,0.00807479,-0.03682892,
55,-0.01627267,-0.01806981,-0.00231412,
56,-0.0002708,0.00292957,-0.01398317,
57,0.00398816,-0.01065971,0.01176753,
58,-0.00967498,-0.00475133,0.0431312,
59,0.02159022,-0.01708508,-0.05521877,
60,0.00888719,-0.01312153,0.01853755,
61,-0.00583453,-0.01019196,-0.0017479,
62,0.00659769,-0.01947305,-0.02976348,
63,-0.00130477,-0.00169866,-0.00487442,
64,-0.01228451,-0.01137364,-0.00851792,
65,0.00499751,-0.02095014,-0.01762668,
66,0.00113244,-0.00105859,0.02774478,
67,-0.00105859,-0.00755781,-0.00401278,
