製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:35:23,10/16 16:35:23,10/16 16:35:23,
サンプリング周波数,200,200,200,
シーケンス数,6660,6660,6660,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00551449,-0.00103397,-0.00032004,
3,-0.0181929,0.00022156,-0.00832097,
4,0.03478561,-0.00782861,-0.00078778,
5,0.03168371,-0.01161982,-0.00145248,
6,-0.06088097,-0.00002462,-0.02050701,
7,-0.01999003,-0.01285073,0.01654347,
8,0.00056622,-0.02218106,0.00428358,
9,0.00536678,-0.01580493,0.0022895,
10,-0.01147211,0.00231412,-0.00642537,
11,0.0153618,-0.01639576,0.0005416,
12,0.02131942,0.00275725,-0.00199408,
13,0.022378,-0.01004425,-0.00216641,
14,0.01472172,-0.00925647,-0.01299844,
15,-0.0008124,-0.00770552,-0.00137862,
16,-0.00630228,-0.01922686,-0.00440667,
17,0.01885759,-0.00450514,-0.00709006,
18,0.00937956,-0.01063509,0.0008124,
19,-0.00231412,0.00531755,-0.0005416,
20,-0.05184606,-0.01706046,-0.00526831,
21,-0.0181929,-0.00561296,-0.02082705,
22,0.00300343,-0.00470209,0.00637613,
23,-0.00115706,-0.00805017,-0.00169866,
24,-0.00275725,-0.00987192,0.00093549,
25,0.01939919,0.00118168,-0.02070396,
26,-0.02592303,-0.00770552,-0.01373699,
27,-0.00211717,-0.00177252,-0.00093549,
28,0.00083702,0.00315114,0.00022156,
29,-0.01139826,-0.0079517,-0.00625304,
30,0.00869025,-0.0190053,-0.00243721,
31,-0.0010832,-0.01189062,-0.00704082,
32,0.01516485,-0.01289997,-0.011866,
33,0.04372204,-0.00189561,0.00583453,
34,-0.01991618,-0.00979807,-0.00105859,
35,0.0096996,0.00243721,-0.00096011,
36,-0.03500717,-0.00416049,0.00450514,
37,-0.01221066,-0.00288034,0.00029542,
38,0.01610034,-0.02161484,0.01430321,
39,0.01713431,-0.00758243,-0.0053914,
40,0.01494329,-0.00137862,0.00019695,
41,-0.00758243,-0.00113244,0.00472671,
42,-0.00278186,-0.00699159,-0.03941384,
43,-0.0102412,-0.00022156,0.00551449,
44,0.00231412,-0.01504176,0.00758243,
45,0.010512,-0.01011811,-0.04773481,
46,0.00349579,-0.01233375,-0.0115952,
47,0.00925647,-0.00103397,-0.00841945,
48,0.0079517,0.00032004,-0.02592303,
49,0.03256996,0.00224026,-0.01036429,
50,-0.01085665,-0.0115952,0.00226488,
51,-0.00285572,0.00103397,0.00130477,
52,0.00354503,-0.00561296,-0.00499751,
53,0.00489903,-0.00782861,0.00142786,
54,0.01999003,-0.01152135,0.00125553,
55,0.0287049,-0.00519445,-0.005933,
56,0.04194952,-0.00448052,-0.00349579,
57,-0.05928078,0.00612995,-0.00425896,
58,0.03242225,-0.00280648,0.00950265,
59,-0.01152135,-0.00556373,-0.00706544,
60,-0.0405709,0.00280648,-0.00920723,
61,0.00989654,-0.00548987,0.02159022,
62,0.00214179,-0.01521409,-0.01459863,
63,-0.00918261,-0.00881334,-0.004579,
64,-0.02365815,-0.00588377,-0.00435743,
65,-0.00167404,-0.02085167,-0.011866,
66,0.01073356,0.00078778,0.00302805,
67,-0.00140324,-0.0005416,-0.01065971,
68,0.00989654,-0.00460362,-0.0133431,
69,0.03047741,-0.00704082,-0.00423434,
70,-0.01420474,0.00103397,0.01319539,
71,-0.01149673,-0.00864101,-0.01319539,
72,0.0025603,-0.0130723,-0.00019695,
73,0.04081708,-0.00315114,-0.00580991,
74,0.01548489,0.0040374,0.01669118,
75,-0.02070396,-0.01802057,-0.0218364,
76,-0.00925647,-0.00952727,-0.00950265,
77,-0.00032004,-0.0090349,-0.00736086,
78,0.02208258,0.00169866,0.00253568,
79,0.00736086,-0.01265379,-0.00435743,
80,-0.00096011,-0.00066469,0.00411125,
81,0.02513525,-0.00635151,0.00263415,
82,-0.05561266,-0.00044313,-0.02693238,
83,0.01843908,-0.016445,-0.00709006,
84,0.01905454,-0.01026582,0.00251106,
85,-0.02282113,0.00413587,-0.00374198,
86,-0.01282612,-0.00797632,-0.00625304,
87,-0.00302805,0.00297881,-0.0062038,
88,0.02235338,-0.00278186,-0.01147211,
89,-0.00598224,-0.00551449,-0.00039389,
90,0.01073356,0.00192022,0.03259458,
91,-0.01393394,-0.00167404,-0.01629729,
92,-0.02213182,-0.02003927,-0.01324463,
93,-0.00809941,-0.0025603,0.00130477,
94,0.00709006,-0.01176753,-0.00494827,
95,-0.00598224,-0.0087641,-0.00901028,
96,0.00844406,-0.00780399,-0.00588377,
97,-0.01634653,-0.00856716,0.00684388,
98,-0.011866,-0.00132939,-0.02550452,
99,0.01666656,-0.01154597,-0.01371237,
100,-0.00583453,-0.01669118,0.02639078,
101,-0.00470209,0.01053662,0.02038392,
102,0.01166906,-0.01777439,-0.02082705,
103,0.00548987,-0.00605609,0.00396354,
104,0.03025585,-0.00728701,0.00408663,
105,0.03377626,-0.00130477,-0.01474634,
106,-0.00526831,-0.01238299,-0.0067454,
107,-0.00691773,-0.0017479,-0.01491867,
108,-0.02639078,-0.01602649,-0.00494827,
109,-0.00524369,-0.00999502,-0.00507136,
110,-0.0090349,-0.00477594,0.00376659,
111,-0.01262917,-0.01393394,-0.0068685,
112,0.00925647,0.01730664,0.0082225,
113,0.00994578,0.00083702,-0.00475133,
114,0.04118636,-0.00773013,0.00974883,
115,-0.02131942,-0.01248146,0.01085665,
116,0.01479558,-0.00580991,-0.01322001,
117,-0.00100935,-0.00273263,-0.01642038,
118,-0.00632689,-0.0079517,0.00192022,
119,-0.0031019,-0.01245684,0.0036435,
120,0.00524369,-0.00489903,-0.00962574,
121,0.04423902,-0.00765628,-0.00859177,
122,-0.02151636,-0.01191524,-0.0036435,
123,0.00989654,-0.00635151,-0.00536678,
124,-0.02796635,0.00280648,0.00758243,
125,-0.01250608,-0.01939919,-0.0149679,
126,0.02311655,-0.01688813,-0.02139327,
127,0.03916766,-0.01233375,-0.00711468,
128,-0.00891181,-0.00610533,0.00002462,
129,-0.03042817,-0.0031019,-0.00462823,
130,0.01787286,-0.01511561,0.04010315,
131,0.00598224,-0.00576067,0.01097975,
132,0.00718853,-0.00644999,-0.04561764,
133,-0.00064007,-0.00327423,-0.03690278,
134,0.02365815,-0.00610533,0.01410627,
135,0.00460362,-0.00642537,-0.01585416,
136,-0.02407666,-0.00637613,-0.00164942,
137,-0.01065971,-0.00716391,-0.00315114,
138,0.01405703,-0.00327423,0.00120629,
139,0.02444594,-0.00745933,-0.00083702,
140,-0.00684388,-0.00901028,-0.01048738,
141,-0.01885759,-0.00359427,-0.01179215,
142,0.01516485,-0.01506638,0.01326924,
143,-0.00819788,-0.00785323,0.00694235,
144,0.00288034,-0.00206793,-0.00251106,
145,0.00526831,0.00051698,0.00164942,
146,0.0096996,-0.00780399,0.00477594,
147,0.01238299,-0.01211219,0.03156061,
148,-0.00297881,-0.00509598,-0.04239265,
149,0.06206264,-0.02205796,-0.00411125,
150,-0.01056124,0.00157557,-0.00263415,
151,-0.01922686,-0.00140324,0.00046775,
152,-0.01297383,-0.00477594,-0.01706046,
153,-0.0308713,-0.00556373,0.00608071,
