製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:48:43,10/16 16:48:43,10/16 16:48:43,
サンプリング周波数,200,200,200,
シーケンス数,6635,6635,6635,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01533718,0.01622344,-0.0161742,
3,-0.01811904,0.00408663,-0.00905952,
4,-0.00551449,-0.00398816,-0.00115706,
5,-0.0051206,-0.00649922,-0.01164444,
6,0.00329885,-0.00238797,-0.02333811,
7,0.00585915,-0.00327423,0.01026582,
8,0.00659769,0.0002708,0.0190053,
9,0.00881334,0.00913338,0.07845841,
10,0.01006887,-0.1012303,-0.02309193,
11,-0.00219103,0.00100935,-0.01061047,
12,-0.01602649,0.01011811,-0.01176753,
13,0.00179713,0.00231412,-0.00952727,
14,-0.00056622,-0.00605609,-0.00866563,
15,-0.00115706,-0.05105828,0.00462823,
16,0.02759707,0.05334778,0.01257993,
17,-0.01806981,-0.00214179,-0.0115952,
18,-0.01915301,-0.00064007,-0.00605609,
19,-0.00728701,0.03961079,-0.0036435,
20,0.00841945,-0.03456404,-0.06772485,
21,0.01619882,-0.00859177,0.00733624,
22,-0.0138847,-0.02373201,0.01075818,
23,-0.00305266,-0.0102412,0.04608539,
24,0.00329885,-0.01139826,-0.01001963,
25,0.00499751,-0.01016734,-0.01053662,
26,0.00521907,-0.11068372,0.0093057,
27,0.00544064,0.15135309,-0.00952727,
28,0.01164444,-0.0346379,0.02456903,
29,0.00758243,0.06952198,-0.04130945,
30,0.00477594,-0.00083702,-0.02040854,
31,0.00334808,-0.00347118,-0.01989156,
32,-0.00706544,-0.00068931,0.00285572,
33,-0.0039143,0.01363852,0.0053914,
34,0.00477594,-0.02082705,0.00292957,
35,-0.00642537,-0.01555874,-0.00632689,
36,0.00327423,-0.01371237,-0.00219103,
37,0.00785323,-0.00901028,0.02799097,
38,0.0102412,-0.02186102,-0.04950733,
39,0.00753319,0.20969838,-0.02483983,
40,-0.01799595,-0.0533724,0.01486943,
41,0.00066469,-0.0842437,0.00251106,
42,0.01373699,0.06484451,-0.01558336,
43,0.00034466,0.03104363,0.0048498,
44,-0.01223528,-0.00278186,-0.03232378,
45,0.00224026,-0.00352041,-0.00846868,
46,0.00029542,-0.01201371,0.00044313,
47,-0.00423434,-0.01139826,0.04096479,
48,0.00342194,-0.00854254,0.01097975,
49,0.0172574,-0.00004924,-0.02789249,
50,-0.00999502,-0.02013774,-0.00915799,
51,-0.00622842,-0.00667155,0.00029542,
52,0.00288034,-0.00908414,0.00743472,
53,0.00563758,-0.01632191,-0.04721783,
54,0.00352041,-0.00428358,0.00556373,
55,0.00076317,-0.10846807,-0.00605609,
56,0.00386507,0.07808913,-0.02058087,
