製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/16 16:29:13,10/16 16:29:13,10/16 16:29:13,
サンプリング周波数,200,200,200,
シーケンス数,6765,6765,6765,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01001963,-0.00440667,-0.00292957,
3,-0.00462823,-0.00595762,-0.00374198,
4,0.00507136,-0.00546525,-0.00475133,
5,0.00083702,-0.01090589,0.00292957,
6,-0.00755781,-0.00809941,-0.0031019,
7,0.00433281,-0.00125553,-0.00785323,
8,0.00696697,-0.00179713,-0.00076317,
9,0.00179713,-0.01125055,0.0020187,
10,0.01110284,-0.00462823,-0.00041851,
11,0.00440667,-0.00805017,-0.0025603,
12,-0.01277688,-0.00534216,-0.00396354,
13,-0.00585915,-0.00096011,-0.00413587,
14,-0.00384045,0.0087641,-0.00157557,
15,-0.00263415,-0.0064746,0.00194484,
16,0.00273263,-0.01053662,-0.00268339,
17,0.01543565,-0.00509598,-0.01073356,
18,0.01664195,-0.01706046,0.00241259,
19,-0.01976847,0.00189561,0.00519445,
20,-0.00933032,-0.01029043,-0.01134902,
21,-0.00718853,-0.00475133,-0.00354503,
22,0.0039143,-0.00854254,-0.01056124,
23,0.00064007,-0.00329885,-0.00029542,
24,0.0121368,-0.00979807,-0.00093549,
25,-0.00630228,-0.00782861,0.00096011,
26,-0.0094288,-0.00608071,-0.00248644,
27,0.00711468,-0.00797632,-0.00157557,
28,0.00206793,-0.00374198,-0.00265877,
29,-0.00386507,-0.00489903,0.00509598,
30,0.00531755,-0.00595762,0.0020187,
31,0.00470209,-0.00349579,0.00507136,
32,-0.00169866,-0.00952727,-0.01393394,
33,0.00514522,-0.00155095,-0.00625304,
34,0.00096011,0.00499751,-0.00071393,
35,-0.00192022,-0.00913338,-0.00187099,
36,-0.00199408,-0.00696697,-0.00585915,
37,0.0136139,-0.01824213,-0.01176753,
38,0.02589841,-0.00600686,-0.00140324,
39,-0.00716391,-0.00869025,-0.00302805,
40,0.01728202,-0.00226488,-0.00214179,
41,-0.02053163,-0.00546525,-0.00854254,
42,-0.00521907,-0.01129978,-0.00113244,
43,-0.00379121,-0.00805017,-0.00017233,
44,-0.00379121,-0.00327423,-0.00401278,
45,0.0064746,-0.01831599,-0.00755781,
46,-0.00009847,-0.00032004,-0.00913338,
47,0.00684388,-0.00425896,-0.0008124,
48,-0.00470209,0.00206793,-0.01706046,
49,-0.00216641,-0.00113244,-0.00667155,
50,0.01097975,-0.01117669,0.00576067,
51,0.00556373,-0.00140324,-0.00635151,
52,0.00354503,-0.00598224,0.00460362,
53,0.00315114,-0.01029043,0.00007385,
54,0.00509598,-0.01115207,-0.00017233,
55,0.00103397,-0.00568682,-0.00275725,
56,0.00497289,-0.00945341,0.01922686,
57,0.00334808,0.00354503,0.00051698,
58,-0.004579,-0.02235338,-0.01184139,
59,0.00103397,-0.01592802,-0.01339234,
60,-0.0053914,-0.01533718,-0.01053662,
61,0.00169866,-0.00189561,-0.00068931,
62,0.02063011,-0.0040374,-0.00162481,
63,-0.00573606,-0.00182175,0.00386507,
64,-0.00915799,-0.00428358,0.00066469,
65,-0.00573606,0.00192022,0.00083702,
66,0.00758243,-0.00280648,-0.0053914,
67,0.00790246,-0.01344157,-0.00844406,
68,-0.00521907,-0.01216142,-0.0020187,
69,-0.01171829,-0.00571144,-0.0068685,
70,0.0110536,-0.00694235,-0.0079517,
71,-0.00096011,-0.00071393,-0.00192022,
72,-0.00760704,-0.00371736,-0.01043814,
73,-0.01171829,-0.00893643,0.00743472,
74,0.004579,-0.00452976,0.00115706,
75,0.00617918,-0.00573606,-0.00324961,
76,0.00694235,0.00083702,-0.00401278,
77,0.0094288,-0.01299844,-0.00265877,
78,-0.02232877,-0.00384045,-0.00827174,
79,-0.00691773,-0.01248146,-0.00489903,
80,-0.00915799,-0.00187099,-0.00477594,
81,0.01203833,0.00450514,-0.00482518,
82,0.00482518,0.00206793,-0.00435743,
83,-0.00576067,-0.02604612,-0.00531755,
84,0.00388969,-0.00499751,-0.00339732,
85,-0.00482518,-0.00588377,-0.00142786,
86,0.00044313,-0.00928109,0.00182175,
87,0.00588377,-0.01053662,0.00056622,
88,0.00324961,-0.0017479,0.00150171,
89,0.00157557,-0.00465285,-0.00864101,
90,-0.00009847,-0.00164942,-0.00844406,
91,0.01339234,-0.00999502,-0.00083702,
92,0.00548987,-0.00709006,-0.00462823,
93,0.01110284,-0.00408663,-0.00211717,
94,-0.0020187,-0.00238797,0.00211717,
95,0.00891181,-0.00989654,-0.00797632,
96,0.00440667,-0.00691773,-0.00662231,
97,0.01319539,-0.00844406,-0.00937956,
98,-0.00731162,0.00657308,0.01137364,
99,0.03355469,-0.00928109,0.00669617,
100,0.00736086,-0.00913338,-0.04593768,
101,-0.01597725,-0.01063509,-0.00694235,
102,-0.01203833,0.01235837,-0.00401278,
103,-0.00448052,-0.02619383,-0.00999502,
104,-0.00169866,-0.00657308,-0.00933032,
105,0.00214179,-0.00300343,-0.00177252,
106,0.004579,-0.0130723,-0.00059084,
107,0.0010832,-0.01445092,-0.00736086,
108,0.0031019,-0.00546525,-0.00150171,
109,0.00002462,-0.00667155,-0.00189561,
110,0.00285572,-0.00278186,-0.00219103,
111,0.00839483,-0.00408663,-0.00091088,
112,-0.00450514,-0.01102898,-0.00278186,
113,0.00091088,-0.00445591,-0.00354503,
114,0.00113244,-0.00576067,-0.00519445,
115,0.0033727,-0.00827174,-0.00630228,
116,0.00718853,-0.00438205,-0.0074101,
117,-0.00243721,-0.00118168,0.00285572,
118,0.00039389,-0.0068685,0.0076809,
119,0.00322499,-0.00435743,-0.00706544,
120,-0.00548987,0.00534216,0.00009847,
121,0.01804519,-0.01472172,-0.00029542,
122,0.01019196,-0.00007385,-0.00992116,
123,0.0025603,-0.01898068,0.00044313,
124,0.02740013,-0.00182175,0.00544064,
125,-0.00359427,-0.00896105,0.0022895,
126,-0.01275226,-0.00556373,-0.00736086,
127,0.00576067,-0.00839483,-0.00465285,
128,-0.00379121,-0.00334808,-0.00105859,
129,-0.00625304,-0.00155095,-0.00428358,
130,0.00731162,-0.0040374,-0.00064007,
131,0.00211717,-0.02299346,-0.0048498,
132,-0.0133431,0.00155095,-0.00347118,
133,-0.00411125,-0.00177252,-0.00608071,
134,0.00312652,-0.00302805,-0.00556373,
135,-0.00979807,-0.00211717,0.00585915,
